대유(290380),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-08-10,13250,13900,11450,12400,9904732,112250.0,9052400.0
2018-08-13,12200,13750,10400,10700,3947009,96861.0,9052400.0
2018-08-14,11150,13900,11100,13900,8534658,125828.0,9052400.0
2018-08-16,14600,17500,13500,16050,11583983,145291.0,9052400.0
2018-08-17,16400,17750,15200,16350,5664029,148007.0,9052400.0
2018-08-20,16650,18250,15700,17100,2650775,154796.0,9052400.0
2018-08-21,17100,17500,16600,17250,1569251,156154.0,9052400.0
2018-08-22,16700,17150,16100,16650,1283076,150722.0,9052400.0
2018-08-23,16400,17150,16150,16300,999734,147554.0,9052400.0
2018-08-24,16650,16800,16150,16500,639419,149365.0,9052400.0
2018-08-27,14900,15500,14400,14400,916826,130355.0,9052400.0
2018-08-28,14500,14650,13150,13550,918544,122660.0,9052400.0
2018-08-29,13700,15500,13500,14200,2634150,128544.0,9052400.0
2018-08-30,14400,17300,14250,15750,4069230,142575.0,9052400.0
2018-08-31,15900,15900,14750,15800,1079440,143028.0,9052400.0
2018-09-03,16700,17100,16150,16350,1006562,148007.0,9052400.0
2018-09-04,16450,21100,16450,19900,7105636,180143.0,9052400.0
2018-09-05,20850,23250,20550,21700,3601884,196437.0,9052400.0
2018-09-06,24000,25000,21200,22400,4192569,202774.0,9052400.0
2018-09-07,22000,23200,21750,22650,1570288,205037.0,9052400.0
2018-09-10,22850,29400,22800,29400,5520979,266141.0,9052400.0
2018-09-11,32250,35050,30650,32100,3511520,290582.0,9052400.0
2018-09-12,33500,33500,29450,31700,1272888,286961.0,9052400.0
2018-09-13,32000,34650,30400,32500,1189045,294203.0,9052400.0
2018-09-14,31600,33650,30500,33400,1103396,302350.0,9052400.0
2018-09-17,35000,37300,33250,36000,1374064,325886.0,9052400.0
2018-09-18,35300,35900,30300,31200,1374491,282435.0,9052400.0
2018-09-19,31800,32200,26500,28000,2505102,253467.0,9052400.0
2018-09-20,28900,33400,27050,32300,2776442,292393.0,9052400.0
2018-09-21,31750,33300,30700,32250,1024877,291940.0,9052400.0
2018-09-27,32800,33150,31350,32400,429010,293298.0,9052400.0
2018-09-28,31900,32450,30750,32250,334385,291940.0,9052400.0
2018-10-01,31850,33050,31050,31300,375773,283340.0,9052400.0
2018-10-02,30100,32500,29300,29500,879368,267046.0,9052400.0
2018-10-04,31150,32000,28200,28250,668318,255730.0,9052400.0
2018-10-05,27900,27900,25650,26400,660893,238983.0,9052400.0
2018-10-08,26000,26800,24150,24600,766153,222689.0,9052400.0
2018-10-10,23900,24250,20250,20900,1345014,189195.0,9052400.0
2018-10-11,19800,21950,19200,21300,1390576,192816.0,9052400.0
2018-10-12,21050,21700,20650,21250,651995,192364.0,9052400.0
2018-10-15,20850,22100,19800,20350,718349,184216.0,9052400.0
2018-10-16,20350,20950,19850,20650,488342,186932.0,9052400.0
2018-10-17,21500,26400,21150,25150,5233386,227668.0,9052400.0
2018-10-18,25650,25850,23400,24100,1054108,218163.0,9052400.0
2018-10-19,23800,24450,23000,24150,789812,218615.0,9052400.0
2018-10-22,23000,23100,21550,21550,674195,195079.0,9052400.0
2018-10-23,22250,25650,21550,21900,2956607,198248.0,9052400.0
2018-10-24,21800,22100,19800,19800,797926,179238.0,9052400.0
2018-10-25,18300,20200,18100,18850,663303,170638.0,9052400.0
2018-10-26,19050,19150,16700,16700,541059,151175.0,9052400.0
2018-10-29,16550,17350,14900,15000,576303,135786.0,9052400.0
2018-10-30,14700,16650,14200,16150,907985,146196.0,9052400.0
2018-10-31,16400,18950,16150,17150,1556891,155249.0,9052400.0
2018-11-01,17850,18900,17650,17950,673136,162491.0,9052400.0
2018-11-02,18650,19300,18250,19100,594614,172901.0,9052400.0
2018-11-05,19100,20000,18250,19300,542505,174711.0,9052400.0
2018-11-06,19600,19600,18450,18900,309761,171090.0,9052400.0
2018-11-07,19900,23650,18750,19300,4763856,174711.0,9052400.0
2018-11-08,20250,22250,20250,20750,1644715,187837.0,9052400.0
2018-11-09,20400,21600,19500,21100,754911,191006.0,9052400.0
2018-11-12,20650,21900,20300,20900,567653,189195.0,9052400.0
2018-11-13,20400,21000,19950,20800,516909,188290.0,9052400.0
