조이시티(067000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-05-30,8729,8812,7440,7441,1195680,83622.0,9343200.0
2008-06-02,6925,7050,6326,6327,1416786,71102.0,9343200.0
2008-06-03,6151,6276,5735,5862,1068200,65870.0,9343200.0
2008-06-04,5885,6143,5810,5836,560565,65589.0,9343200.0
2008-06-05,6018,6317,5927,5927,878907,66617.0,9343200.0
2008-06-09,5611,5694,5220,5246,360113,58956.0,9343200.0
2008-06-10,5320,5428,4937,4988,390229,56059.0,9343200.0
2008-06-11,5038,5187,4779,5022,335893,56433.0,9343200.0
2008-06-12,4963,5254,4945,5163,237945,58021.0,9343200.0
2008-06-13,5170,5337,4979,5113,145927,57461.0,9343200.0
2008-06-16,5137,5311,5028,5246,213832,58956.0,9343200.0
2008-06-17,5278,5303,5079,5213,123495,58582.0,9343200.0
2008-06-18,5204,5262,5079,5080,107064,57087.0,9343200.0
2008-06-19,5054,5162,4987,4988,79826,56059.0,9343200.0
2008-06-20,5104,5370,5070,5163,238554,58021.0,9343200.0
2008-06-23,5121,5236,5112,5163,55385,58021.0,9343200.0
2008-06-24,5195,5278,4680,4780,155822,53723.0,9343200.0
2008-06-25,4821,4862,4671,4755,45233,53443.0,9343200.0
2008-06-26,4763,4804,4696,4697,43380,52789.0,9343200.0
2008-06-27,4438,4563,4406,4489,83077,50453.0,9343200.0
2008-06-30,4788,5162,4655,4889,490319,54938.0,9343200.0
2008-07-01,4779,4830,4531,4564,154353,51294.0,9343200.0
2008-07-02,4663,4713,4397,4456,119108,50080.0,9343200.0
2008-07-03,4289,4289,4131,4144,100206,46576.0,9343200.0
2008-07-04,4098,4323,4098,4141,52378,46529.0,9343200.0
2008-07-07,4222,4222,4098,4182,25602,46996.0,9343200.0
2008-07-08,4239,4406,4126,4149,82991,46623.0,9343200.0
2008-07-09,4297,4297,4147,4190,37228,47090.0,9343200.0
2008-07-10,4077,4289,4035,4248,24344,47744.0,9343200.0
2008-07-11,4164,4364,4164,4357,36952,48958.0,9343200.0
2008-07-14,4314,4738,4173,4323,136775,48585.0,9343200.0
2008-07-15,4239,4364,4147,4149,31591,46623.0,9343200.0
2008-07-16,4206,4323,4131,4149,37781,46623.0,9343200.0
2008-07-17,4289,4289,4173,4190,25982,47090.0,9343200.0
2008-07-18,4248,4272,4089,4165,37924,46809.0,9343200.0
2008-07-21,4173,4389,4173,4331,85943,48678.0,9343200.0
2008-07-22,4380,4572,4272,4273,58950,48024.0,9343200.0
2008-07-23,4380,4531,4323,4456,51038,50080.0,9343200.0
2008-07-24,4489,4572,4414,4556,38789,51201.0,9343200.0
2008-07-25,4531,4531,4380,4498,36835,50547.0,9343200.0
2008-07-28,4555,4622,4455,4456,44188,50080.0,9343200.0
2008-07-29,4430,4430,4230,4298,35986,48304.0,9343200.0
2008-07-30,4339,4380,4156,4190,31493,47090.0,9343200.0
2008-07-31,4272,4289,4139,4182,27137,46996.0,9343200.0
2008-08-01,4222,4230,4043,4066,50512,45688.0,9343200.0
2008-08-04,4040,4081,3707,3800,51881,42698.0,9343200.0
2008-08-05,3603,3711,3416,3475,113646,39055.0,9343200.0
2008-08-06,3533,3723,3483,3550,42683,39895.0,9343200.0
2008-08-07,3424,3595,3424,3492,16316,39241.0,9343200.0
2008-08-08,3557,3557,3416,3500,6980,39335.0,9343200.0
2008-08-11,3549,3553,3416,3417,12569,38401.0,9343200.0
2008-08-12,3337,3441,3328,3371,16726,37887.0,9343200.0
2008-08-13,3387,3408,2892,3309,28760,37186.0,9343200.0
2008-08-14,3258,3283,2942,2993,165315,33636.0,9343200.0
2008-08-18,3050,3050,2847,2847,42152,32000.0,9343200.0
2008-08-19,2867,2876,2755,2756,29189,30973.0,9343200.0
2008-08-20,2755,2818,2693,2818,15438,31673.0,9343200.0
2008-08-21,2901,2901,2701,2706,36839,30412.0,9343200.0
2008-08-22,2706,2706,2560,2598,15405,29198.0,9343200.0
2008-08-25,2643,2643,2535,2577,13133,28964.0,9343200.0
2008-08-26,2564,2576,2426,2428,10362,27282.0,9343200.0
2008-08-27,2443,2535,2290,2431,22553,27329.0,9343200.0
2008-08-28,2402,2556,2402,2490,19457,27983.0,9343200.0
2008-08-29,2564,2564,2360,2399,21249,26955.0,9343200.0
2008-09-01,2331,2435,2161,2203,40743,24759.0,9343200.0
2008-09-02,2077,2256,1999,2045,47467,22984.0,9343200.0
2008-09-03,2049,2348,1953,2348,134226,26395.0,9343200.0
2008-09-04,2335,2472,2244,2348,105630,26395.0,9343200.0
2008-09-05,2302,2394,2202,2394,38679,26908.0,9343200.0
2008-09-08,2439,2602,2439,2577,73432,28964.0,9343200.0
2008-09-09,2618,2735,2519,2690,49860,30225.0,9343200.0
2008-09-10,2618,2735,2618,2644,35975,29711.0,9343200.0
2008-09-11,2706,2706,2593,2644,44707,29711.0,9343200.0
2008-09-12,2651,2717,2605,2648,30836,29758.0,9343200.0
2008-09-16,2314,2560,2314,2369,66791,26628.0,9343200.0
2008-09-17,2410,2651,2389,2544,56120,28590.0,9343200.0
2008-09-18,2481,2568,2410,2524,54720,28357.0,9343200.0
2008-09-19,2626,2626,2522,2573,66165,28917.0,9343200.0
2008-09-22,2639,2639,2501,2636,30450,29618.0,9343200.0
2008-09-23,2618,2634,2535,2631,17700,29571.0,9343200.0
2008-09-24,2618,2701,2597,2644,25771,29711.0,9343200.0
2008-09-25,2685,2701,2634,2636,12848,29618.0,9343200.0
2008-09-26,2618,2685,2576,2636,18678,29618.0,9343200.0
2008-09-29,2701,2701,2568,2636,21606,29618.0,9343200.0
2008-09-30,2506,2593,2493,2535,17131,28497.0,9343200.0
2008-10-01,2605,2610,2535,2610,14290,29338.0,9343200.0
2008-10-02,2660,2660,2493,2602,6964,29244.0,9343200.0
2008-10-06,2498,2634,2377,2506,17640,28170.0,9343200.0
2008-10-07,2489,2527,2327,2444,8829,27469.0,9343200.0
2008-10-08,2468,2501,2106,2319,35452,26068.0,9343200.0
2008-10-09,2426,2426,2127,2266,5264,25460.0,9343200.0
2008-10-10,2161,2277,1928,2004,51213,22517.0,9343200.0
2008-10-13,1870,2202,1870,2124,22527,23872.0,9343200.0
2008-10-14,2169,2368,2165,2236,15467,25133.0,9343200.0
2008-10-15,2236,2385,2161,2386,12549,26815.0,9343200.0
2008-10-16,2202,2377,2202,2278,46907,25600.0,9343200.0
2008-10-17,2410,2410,2244,2282,12618,25647.0,9343200.0
2008-10-20,2207,2389,2207,2390,6752,26862.0,9343200.0
2008-10-21,2385,2481,2327,2361,9274,26535.0,9343200.0
2008-10-22,2285,2472,2244,2369,29574,26628.0,9343200.0
2008-10-23,2094,2343,2094,2340,26750,26301.0,9343200.0
2008-10-24,2186,2327,2152,2286,72520,25694.0,9343200.0
2008-10-27,2119,2265,1945,1945,91425,21863.0,9343200.0
2008-10-28,1654,1911,1654,1663,40014,18686.0,9343200.0
2008-10-29,1537,1820,1495,1497,67930,16818.0,9343200.0
2008-10-30,1695,1695,1513,1604,24135,18032.0,9343200.0
2008-10-31,1529,1841,1529,1841,31766,20695.0,9343200.0
2008-11-03,1932,2115,1845,2116,32051,23778.0,9343200.0
2008-11-04,2202,2431,2036,2411,43916,27095.0,9343200.0
2008-11-05,2576,2576,2285,2328,26825,26161.0,9343200.0
2008-11-06,2028,2493,1978,2236,7029,25133.0,9343200.0
2008-11-07,1924,2202,1924,2203,4623,24759.0,9343200.0
2008-11-10,2244,2485,2049,2111,8025,23732.0,9343200.0
2008-11-11,2028,2314,2002,2004,3831,22517.0,9343200.0
2008-11-12,1911,2161,1841,2070,5066,23265.0,9343200.0
2008-11-13,2044,2044,1762,1809,13453,20321.0,9343200.0
2008-11-14,1857,2069,1679,1713,26302,19247.0,9343200.0
2008-11-17,1711,1804,1637,1679,27183,18873.0,9343200.0
2008-11-18,1612,1774,1612,1622,8168,18219.0,9343200.0
2008-11-19,1637,1724,1495,1497,30777,16818.0,9343200.0
2008-11-20,1495,1495,1271,1272,41645,14295.0,9343200.0
2008-11-21,1213,1362,1167,1355,7346,15229.0,9343200.0
2008-11-24,1354,1412,1287,1339,14601,15043.0,9343200.0
2008-11-25,1354,1433,1354,1376,7801,15463.0,9343200.0
2008-11-26,1441,1441,1308,1380,7724,15510.0,9343200.0
2008-11-27,1466,1533,1399,1471,15097,16537.0,9343200.0
2008-11-28,1570,1570,1454,1492,17390,16771.0,9343200.0
2008-12-01,1492,1537,1454,1497,14318,16818.0,9343200.0
2008-12-02,1492,1575,1420,1497,7721,16818.0,9343200.0
2008-12-03,1495,1703,1454,1471,4581,16537.0,9343200.0
2008-12-04,1583,1583,1450,1500,3128,16864.0,9343200.0
2008-12-05,1500,1545,1483,1538,3684,17285.0,9343200.0
2008-12-08,1578,1578,1479,1534,16779,17238.0,9343200.0
2008-12-09,1662,1662,1487,1505,5807,16911.0,9343200.0
2008-12-10,1483,1620,1483,1612,13025,18126.0,9343200.0
2008-12-11,1654,1654,1529,1588,7879,17846.0,9343200.0
2008-12-12,1596,1596,1462,1538,7843,17285.0,9343200.0
2008-12-15,1583,1662,1524,1654,22510,18593.0,9343200.0
2008-12-16,1583,1703,1583,1687,7349,18967.0,9343200.0
2008-12-17,1662,1732,1607,1612,10158,18126.0,9343200.0
2008-12-18,1612,1637,1566,1584,9368,17799.0,9343200.0
2008-12-19,1537,1682,1537,1625,10983,18266.0,9343200.0
2008-12-22,1628,1628,1545,1588,10985,17846.0,9343200.0
2008-12-23,1596,1596,1350,1422,34322,15977.0,9343200.0
2008-12-24,1420,1537,1420,1488,6607,16724.0,9343200.0
2008-12-26,1483,1483,1420,1422,3607,15977.0,9343200.0
2008-12-29,1487,1487,1425,1480,6242,16631.0,9343200.0
2008-12-30,1492,1492,1417,1438,11557,16164.0,9343200.0
2009-01-02,1492,1508,1429,1505,7366,16911.0,9343200.0
2009-01-05,1645,1645,1471,1571,8278,17659.0,9343200.0
2009-01-06,1578,1637,1533,1588,17913,17846.0,9343200.0
2009-01-07,1578,1824,1537,1825,53989,20508.0,9343200.0
2009-01-08,1828,1870,1753,1804,73241,20275.0,9343200.0
2009-01-09,1820,1870,1679,1771,19755,19901.0,9343200.0
2009-01-12,1745,1745,1612,1612,12535,18126.0,9343200.0
2009-01-13,1612,1679,1550,1654,15848,18593.0,9343200.0
2009-01-14,1700,1700,1591,1679,8418,18873.0,9343200.0
2009-01-15,1583,1874,1583,1625,120128,18266.0,9343200.0
2009-01-16,1662,1729,1625,1671,14284,18780.0,9343200.0
2009-01-19,1687,1794,1645,1796,33883,20181.0,9343200.0
2009-01-20,1794,1911,1770,1812,113989,20368.0,9343200.0
2009-01-21,1745,1861,1662,1825,28608,20508.0,9343200.0
2009-01-22,1870,2036,1828,1929,60037,21676.0,9343200.0
2009-01-23,1887,2069,1887,1958,53419,22003.0,9343200.0
2009-01-28,1994,2124,1928,1958,64849,22003.0,9343200.0
2009-01-29,1994,1994,1911,1950,42311,21910.0,9343200.0
2009-01-30,1911,1953,1898,1916,34890,21536.0,9343200.0
2009-02-02,1907,1949,1791,1841,65781,20695.0,9343200.0
2009-02-03,1841,1841,1703,1734,109298,19481.0,9343200.0
2009-02-04,1783,1812,1745,1812,54835,20368.0,9343200.0
2009-02-05,1841,1841,1745,1771,60664,19901.0,9343200.0
2009-02-06,1783,1799,1737,1791,81087,20135.0,9343200.0
2009-02-09,1812,1870,1774,1791,92565,20135.0,9343200.0
2009-02-10,1791,1994,1786,1916,95242,21536.0,9343200.0
2009-02-11,1874,2065,1833,2025,69128,22751.0,9343200.0
2009-02-12,2007,2044,1853,1854,114624,20835.0,9343200.0
2009-02-13,1853,1853,1766,1850,44038,20789.0,9343200.0
2009-02-16,1870,1911,1836,1875,24563,21069.0,9343200.0
2009-02-17,1878,1878,1670,1713,45510,19247.0,9343200.0
2009-02-18,1662,1824,1587,1654,30696,18593.0,9343200.0
2009-02-19,1670,1745,1620,1742,28467,19574.0,9343200.0
2009-02-20,1845,1845,1711,1737,25056,19527.0,9343200.0
2009-02-23,1807,1807,1524,1671,15832,18780.0,9343200.0
2009-02-24,1670,1745,1633,1705,7252,19154.0,9343200.0
2009-02-25,1745,1783,1649,1663,9151,18686.0,9343200.0
2009-02-26,1654,1662,1591,1633,17192,18359.0,9343200.0
2009-02-27,1737,1737,1587,1588,9364,17846.0,9343200.0
2009-03-02,1578,1578,1446,1538,9736,17285.0,9343200.0
2009-03-03,1550,1550,1420,1438,20992,16164.0,9343200.0
2009-03-04,1492,1562,1438,1521,1390,17098.0,9343200.0
2009-03-05,1521,1521,1454,1476,7051,16584.0,9343200.0
2009-03-06,1487,1524,1454,1463,4710,16444.0,9343200.0
2009-03-09,1462,1495,1458,1480,12743,16631.0,9343200.0
2009-03-10,1483,1637,1479,1547,5354,17378.0,9343200.0
2009-03-11,1516,1587,1516,1542,2771,17332.0,9343200.0
2009-03-12,1541,1620,1537,1580,16018,17752.0,9343200.0
2009-03-13,1604,1654,1578,1588,6101,17846.0,9343200.0
2009-03-16,1587,1662,1587,1630,8013,18313.0,9343200.0
2009-03-17,1645,1645,1578,1646,21444,18500.0,9343200.0
2009-03-18,1645,1691,1607,1692,9865,19013.0,9343200.0
2009-03-19,1662,1695,1604,1622,13605,18219.0,9343200.0
2009-03-20,1658,1720,1628,1638,6574,18406.0,9343200.0
2009-03-23,1687,1745,1628,1734,10714,19481.0,9343200.0
2009-03-24,1741,1828,1741,1796,23185,20181.0,9343200.0
2009-03-25,1724,1828,1724,1788,16971,20088.0,9343200.0
2009-03-26,1828,1874,1783,1829,12695,20555.0,9343200.0
2009-03-27,1828,1882,1820,1879,32162,21116.0,9343200.0
2009-03-30,1903,1953,1866,1913,53923,21489.0,9343200.0
2009-03-31,1857,1911,1828,1879,33865,21116.0,9343200.0
2009-04-01,1836,1861,1745,1800,20344,20228.0,9343200.0
2009-04-02,1870,1870,1741,1758,55032,19761.0,9343200.0
2009-04-03,1757,1870,1745,1809,43140,20321.0,9343200.0
2009-04-06,1815,1845,1791,1796,32125,20181.0,9343200.0
2009-04-07,1861,1911,1783,1866,50555,20975.0,9343200.0
2009-04-08,1833,2144,1833,2145,85837,24105.0,9343200.0
2009-04-09,2327,2464,2248,2465,71790,27703.0,9343200.0
