펩트론(087010),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-07-22,16000,20800,16000,20800,62177,211827.0,5092001.0
2015-07-23,27000,27000,27000,27000,291207,274968.0,5092001.0
2015-07-24,29350,35100,28250,35100,2380275,357458.0,5092001.0
2015-07-27,37250,38600,34050,35950,1023806,366115.0,5092001.0
2015-07-28,35000,35950,32900,34700,536769,353385.0,5092001.0
2015-07-29,33550,41800,33000,36250,1833891,369170.0,5092001.0
2015-07-30,37350,39400,31000,31250,711812,318250.0,5092001.0
2015-07-31,32750,35050,31750,33550,611115,341673.0,5092001.0
2015-08-03,32350,32950,29750,30050,324973,306029.0,5092001.0
2015-08-04,29550,32450,28500,31200,482722,317741.0,5092001.0
2015-08-05,30700,32500,30450,30650,166281,312140.0,5092001.0
2015-08-06,31200,32800,30650,32000,267771,325888.0,5092001.0
2015-08-07,31350,33950,31150,31900,226923,324870.0,5092001.0
2015-08-10,32350,32850,30050,30850,166011,314176.0,5092001.0
2015-08-11,30850,33600,30500,31650,299895,371390.0,5867137.0
2015-08-12,31500,31850,28150,29600,247931,347335.0,5867137.0
2015-08-13,29900,32750,29250,32000,317629,375497.0,5867137.0
2015-08-17,31800,33600,31600,33400,228277,391925.0,5867137.0
2015-08-18,33150,33500,29700,31500,234063,369630.0,5867137.0
2015-08-19,31000,31749,29100,30000,154790,352028.0,5867137.0
2015-08-20,29300,30299,27000,27000,176793,316825.0,5867137.0
2015-08-21,24499,25699,22875,25000,451951,293357.0,5867137.0
2015-08-24,25000,26450,24600,24950,222934,292770.0,5867137.0
2015-08-25,25800,26000,24874,25550,229211,299811.0,5867137.0
2015-08-26,25450,26200,23400,25650,275615,300984.0,5867137.0
2015-08-27,26150,27249,25300,26000,254760,305091.0,5867137.0
2015-08-28,26499,27550,26350,26600,126838,312132.0,5867137.0
2015-08-31,26500,27250,25150,27000,157964,316825.0,5867137.0
2015-09-01,27950,28700,26350,26450,133781,310372.0,5867137.0
2015-09-02,25500,25950,24950,25300,107579,296877.0,5867137.0
2015-09-03,25650,26300,25150,25300,53345,296877.0,5867137.0
2015-09-04,25300,25600,22100,22500,185288,264021.0,5867137.0
2015-09-07,22700,22725,20700,21150,173849,248180.0,5867137.0
2015-09-08,21050,21350,18550,19350,293330,227058.0,5867137.0
2015-09-09,20000,21700,19900,21600,243800,253460.0,5867137.0
2015-09-10,21000,22900,20850,21950,97632,257567.0,5867137.0
2015-09-11,22450,23225,22075,22075,60746,259034.0,5867137.0
2015-09-14,22100,22225,21000,21850,34803,256394.0,5867137.0
2015-09-15,21450,22625,21450,21875,35867,256687.0,5867137.0
2015-09-16,22375,23350,21800,23350,77321,273995.0,5867137.0
2015-09-17,23350,23700,21950,22000,51573,258154.0,5867137.0
2015-09-18,22550,24800,22200,24800,147147,291010.0,5867137.0
2015-09-21,24025,24900,23750,24850,59326,291597.0,5867137.0
2015-09-22,24500,26050,23975,25300,66365,296877.0,5867137.0
2015-09-23,24800,26400,24800,25000,84694,293357.0,5867137.0
2015-09-24,25400,26250,25050,25650,64531,300984.0,5867137.0
