네오팜(092730),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-01-30,9382,10778,7986,8374,2695393,51840.0,4800000.0
2007-01-31,8219,8568,7482,7505,388940,46464.0,4800000.0
2007-02-01,7676,8180,7366,7436,473958,46032.0,4800000.0
2007-02-02,7443,7754,7265,7304,287806,45216.0,4800000.0
2007-02-05,7312,7986,7219,7343,509783,45456.0,4800000.0
2007-02-06,7443,7792,7389,7451,232809,46128.0,4800000.0
2007-02-07,7498,7505,7032,7032,249964,43536.0,4800000.0
2007-02-08,7032,7133,6645,6676,267218,44390.0,5155579.0
2007-02-09,6684,6862,6591,6629,193474,44080.0,5155579.0
2007-02-12,6629,6870,6513,6823,160704,45369.0,5155579.0
2007-02-13,6893,6893,6591,6591,142298,43822.0,5155579.0
2007-02-14,6591,6677,6490,6513,123891,43307.0,5155579.0
2007-02-15,6598,7110,6521,6947,376049,46194.0,5155579.0
2007-02-16,6986,7001,6645,6738,105655,44802.0,5155579.0
2007-02-20,6699,6893,6606,6707,112275,44596.0,5155579.0
2007-02-21,6707,7707,6653,7707,550566,51246.0,5155579.0
2007-02-22,7715,7738,7281,7327,278749,48720.0,5155579.0
2007-02-23,7327,7381,7040,7195,183076,47844.0,5155579.0
2007-02-26,7265,8064,7265,7498,594682,49854.0,5155579.0
2007-02-27,7498,7498,7056,7118,177588,47328.0,5155579.0
2007-02-28,6668,6947,6653,6746,135542,44854.0,5155579.0
2007-03-02,6753,7071,6753,6932,371435,46091.0,5155579.0
2007-03-05,6862,6978,6637,6653,215710,44235.0,5155579.0
2007-03-06,6685,6832,6342,6544,252492,43513.0,5155579.0
2007-03-07,6668,6707,6505,6614,184478,43977.0,5155579.0
2007-03-08,6591,6978,6536,6978,295678,46400.0,5155579.0
2007-03-09,7017,7133,6761,6823,203521,45369.0,5155579.0
2007-03-12,6916,7048,6784,7017,189195,46658.0,5155579.0
2007-03-13,7056,7079,6854,6854,116857,45575.0,5155579.0
2007-03-14,6653,6738,6591,6614,168828,43977.0,5155579.0
2007-03-15,6699,6746,6606,6614,102649,43977.0,5155579.0
2007-03-16,6699,7443,6629,6908,566390,45936.0,5155579.0
2007-03-19,6994,7288,6939,7288,213413,48462.0,5155579.0
2007-03-20,7327,7405,7009,7087,211722,47122.0,5155579.0
2007-03-21,7110,7467,7056,7459,303199,49597.0,5155579.0
2007-03-22,7583,7583,7226,7226,268457,48050.0,5155579.0
2007-03-23,7265,7629,7017,7521,392951,50009.0,5155579.0
2007-03-26,7389,8645,7389,8645,1863312,57485.0,5155579.0
2007-03-27,8529,8568,7986,8219,736806,54649.0,5155579.0
2007-03-28,8296,8955,7792,7792,1244696,51814.0,5155579.0
2007-03-29,7676,8102,7676,8064,421487,53618.0,5155579.0
2007-03-30,8064,8064,7459,7490,385110,49803.0,5155579.0
2007-04-02,7529,7684,7412,7412,239945,49287.0,5155579.0
2007-04-03,7428,7591,7389,7552,238435,50215.0,5155579.0
2007-04-04,7645,8258,7622,8102,809778,53876.0,5155579.0
2007-04-05,8490,9304,8451,8762,2236427,58258.0,5155579.0
2007-04-06,9227,9421,8723,8839,698711,58774.0,5155579.0
2007-04-09,8723,9227,8529,9227,577188,61351.0,5155579.0
2007-04-10,9188,9847,8994,9847,795163,65476.0,5155579.0
2007-04-11,10157,11320,9808,11010,2454989,73209.0,5155579.0
2007-04-12,10894,11863,10312,11088,885873,73725.0,5155579.0
2007-04-13,11243,11398,10661,11088,338018,73725.0,5155579.0
2007-04-16,11010,11320,10312,10700,474946,71147.0,5155579.0
2007-04-17,10700,10855,10312,10739,419729,71405.0,5155579.0
2007-04-18,10622,10661,10041,10080,361378,67023.0,5155579.0
2007-04-19,10002,10661,9808,10118,484468,67280.0,5155579.0
2007-04-20,10273,10506,10002,10467,265337,69600.0,5155579.0
2007-04-23,10700,10739,10196,10390,284917,69085.0,5155579.0
2007-04-24,10700,11863,10661,11785,1076434,78365.0,5155579.0
2007-04-25,11709,11786,10855,10855,345497,72178.0,5155579.0
2007-04-26,11088,11359,10080,10080,350249,67023.0,5155579.0
2007-04-27,10390,10429,9769,10002,283683,66507.0,5155579.0
2007-04-30,10002,10312,9847,9847,169900,65476.0,5155579.0
2007-05-02,9886,10196,9459,9925,223721,65991.0,5155579.0
2007-05-03,10118,10196,9847,9963,132514,66249.0,5155579.0
2007-05-04,10041,10196,9847,10002,129023,66507.0,5155579.0
2007-05-07,10235,10429,9847,9847,189916,65476.0,5155579.0
2007-05-08,9808,10041,9110,9149,289440,60836.0,5155579.0
