휴온스(243070),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-06-03,78456,78456,63331,67870,580128,608412.0,5895464.0
2016-06-07,67737,68986,63001,66424,219545,595442.0,5895464.0
2016-06-08,66882,71551,65764,67804,175491,607822.0,5895464.0
2016-06-09,67409,68921,64777,65503,101329,587188.0,5895464.0
2016-06-10,65698,68855,65435,68396,63740,613128.0,5895464.0
2016-06-13,68132,68132,66093,66424,40207,595442.0,5895464.0
2016-06-14,66093,67079,64252,64779,50833,580703.0,5895464.0
2016-06-15,64777,65172,63331,64122,34510,574808.0,5895464.0
2016-06-16,64186,64581,58859,61030,102636,547099.0,5895464.0
2016-06-17,61818,62542,60503,62346,37666,558890.0,5895464.0
2016-06-20,62015,62475,60503,60504,32606,542383.0,5895464.0
2016-06-21,60173,60766,58924,60767,48795,544741.0,5895464.0
2016-06-22,60897,62410,60766,62280,41801,558300.0,5895464.0
2016-06-23,62213,62937,60436,62675,37794,561838.0,5895464.0
2016-06-24,63133,63396,57148,59124,72193,530002.0,5895464.0
2016-06-27,57215,59385,56622,59321,32444,531771.0,5895464.0
2016-06-28,58661,60436,58333,60044,37430,538256.0,5895464.0
2016-06-29,60634,62607,59780,61162,43507,548278.0,5895464.0
2016-06-30,61818,62739,61292,62609,44493,561248.0,5895464.0
2016-07-01,62937,65303,62015,64779,39377,580703.0,5895464.0
2016-07-04,65698,65764,63265,64779,43378,580703.0,5895464.0
2016-07-05,63528,63660,59121,60307,185911,540614.0,5895464.0
2016-07-06,61752,62015,60042,60571,61312,542972.0,5895464.0
2016-07-07,61094,61160,59582,59650,49283,534719.0,5895464.0
2016-07-08,59977,59977,58266,58532,48109,524696.0,5895464.0
2016-07-11,58595,58727,56820,57611,57248,516443.0,5895464.0
2016-07-12,57478,58530,56820,57019,39477,511137.0,5895464.0
2016-07-13,57280,58003,55964,56888,46793,509958.0,5895464.0
2016-07-14,56557,58003,56426,57545,32179,515853.0,5895464.0
2016-07-15,57609,58333,56622,57151,42679,512316.0,5895464.0
2016-07-18,57148,58069,55505,56558,37872,507010.0,5895464.0
2016-07-19,56490,59780,56031,59781,57565,535898.0,5895464.0
2016-07-20,59582,60832,58530,60702,48031,544151.0,5895464.0
2016-07-21,60503,60832,58793,59189,23931,530592.0,5895464.0
2016-07-22,59121,59911,58727,59255,15499,531181.0,5895464.0
2016-07-25,59254,59780,58201,58532,24002,524696.0,5895464.0
2016-07-26,58661,59188,57806,58334,11304,522928.0,5895464.0
2016-07-27,58333,58398,56359,57413,28916,514674.0,5895464.0
2016-07-28,57411,58793,57411,58795,21738,527054.0,5895464.0
2016-07-29,58333,59188,57609,59189,25751,530592.0,5895464.0
2016-08-01,59582,59582,57017,57019,23950,511137.0,5895464.0
2016-08-02,57411,58398,56228,56296,25898,504652.0,5895464.0
2016-08-03,56162,57017,55505,56427,12986,505831.0,5895464.0
2016-08-04,56426,58530,56426,58465,23779,524107.0,5895464.0
2016-08-05,58530,58727,56293,56624,22405,507599.0,5895464.0
2016-08-08,57083,57215,55833,55967,19852,501704.0,5895464.0
2016-08-09,55964,56622,55833,55967,14626,501704.0,5895464.0
2016-08-10,55964,57280,55833,56558,17769,507010.0,5895464.0
2016-08-11,56490,57872,56228,56427,15739,505831.0,5895464.0
2016-08-12,57083,57741,56162,56690,15863,508189.0,5895464.0
2016-08-16,56162,56688,55767,55835,16540,500525.0,5895464.0
2016-08-17,55767,55767,48730,48995,147403,439212.0,5895464.0
2016-08-18,49059,50178,44719,45510,191628,407966.0,5895464.0
2016-08-19,45705,46560,44522,45642,62559,409145.0,5895464.0
2016-08-22,45508,46889,45376,46430,48703,416220.0,5895464.0
2016-08-23,46232,47020,45902,46430,29503,416220.0,5895464.0
2016-08-24,46824,46955,44851,45905,30646,411503.0,5895464.0
2016-08-25,45639,46034,42878,43866,65085,393227.0,5895464.0
2016-08-26,43799,43799,40247,40906,131815,366698.0,5895464.0
2016-08-29,41102,41891,39392,39920,88829,357855.0,5895464.0
2016-08-30,40509,40904,39589,39853,73171,357265.0,5895464.0
2016-08-31,39984,40312,39063,40118,41795,359623.0,5895464.0
2016-09-01,40115,40707,39786,40380,25783,361981.0,5895464.0
2016-09-02,40181,42023,39918,41433,40343,371414.0,5895464.0
