삼양옵틱스(225190),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-06-02,16700,19500,16500,16800,8494415,168000.0,10000000.0
2017-06-05,16900,17400,16050,16450,947602,164500.0,10000000.0
2017-06-07,16600,17350,16200,16950,768686,169500.0,10000000.0
2017-06-08,17250,17550,16900,17300,671556,173000.0,10000000.0
2017-06-09,17450,17550,17200,17200,276490,172000.0,10000000.0
2017-06-12,17200,17300,16750,16750,241102,167500.0,10000000.0
2017-06-13,16800,17250,16450,17050,237973,170500.0,10000000.0
2017-06-14,17050,17200,16400,16450,363846,164500.0,10000000.0
2017-06-15,16450,16600,15700,15700,295439,157000.0,10000000.0
2017-06-16,15900,15900,15000,15650,247237,156500.0,10000000.0
2017-06-19,15500,15800,15450,15550,91107,155500.0,10000000.0
2017-06-20,15700,15800,15250,15300,70482,153000.0,10000000.0
2017-06-21,15200,15450,14700,14950,197965,149500.0,10000000.0
2017-06-22,15150,16600,15050,15850,331392,158500.0,10000000.0
2017-06-23,15950,16200,15700,15850,73923,158500.0,10000000.0
2017-06-26,15650,15800,15300,15350,78303,153500.0,10000000.0
2017-06-27,15400,16000,15250,15350,129361,153500.0,10000000.0
2017-06-28,15400,15850,15400,15850,89770,158500.0,10000000.0
2017-06-29,15850,16250,15650,16200,133739,162000.0,10000000.0
2017-06-30,16150,16400,16050,16250,90759,162500.0,10000000.0
2017-07-03,16600,17150,16400,16450,269946,164500.0,10000000.0
2017-07-04,16500,16800,16150,16650,85627,166500.0,10000000.0
2017-07-05,16700,16850,16450,16450,74684,164500.0,10000000.0
2017-07-06,16600,16750,16400,16400,65774,164000.0,10000000.0
2017-07-07,16350,16600,16150,16200,59365,162000.0,10000000.0
2017-07-10,16400,16400,15950,16050,57014,160500.0,10000000.0
2017-07-11,16150,16200,15850,15950,43222,159500.0,10000000.0
2017-07-12,16150,16250,15950,16100,42927,161000.0,10000000.0
2017-07-13,16050,16250,15550,15700,87584,157000.0,10000000.0
2017-07-14,15700,16000,15600,15750,32513,157500.0,10000000.0
2017-07-17,16150,16250,15800,15950,46555,159500.0,10000000.0
2017-07-18,16100,16200,15800,15950,69111,159500.0,10000000.0
2017-07-19,15950,17050,15700,16700,253483,167000.0,10000000.0
2017-07-20,16650,16950,16400,16850,125799,168500.0,10000000.0
2017-07-21,16850,17350,16800,17300,222667,173000.0,10000000.0
2017-07-24,17350,17650,17150,17500,159483,175000.0,10000000.0
2017-07-25,17500,17800,17150,17350,135334,173500.0,10000000.0
2017-07-26,17200,17350,16700,16850,95104,168500.0,10000000.0
2017-07-27,16850,17500,16850,17050,68552,170500.0,10000000.0
2017-07-28,17000,17100,16050,16400,159815,164000.0,10000000.0
2017-07-31,16400,16500,16000,16350,82187,163500.0,10000000.0
2017-08-01,16500,16750,16350,16650,96853,166500.0,10000000.0
2017-08-02,16600,16850,16550,16750,71308,167500.0,10000000.0
2017-08-03,16750,16850,16300,16350,70547,163500.0,10000000.0
2017-08-04,16500,16650,16300,16650,21079,166500.0,10000000.0
2017-08-07,16600,16800,16450,16650,32309,166500.0,10000000.0
2017-08-08,16650,16900,16350,16550,28276,165500.0,10000000.0
2017-08-09,16450,16500,15900,16300,96928,163000.0,10000000.0
2017-08-10,16150,16250,15700,16200,80992,162000.0,10000000.0
2017-08-11,15800,16100,15800,15900,59739,159000.0,10000000.0
2017-08-14,16050,16150,15600,15600,53253,156000.0,10000000.0
2017-08-16,16150,16300,15900,16050,93313,160500.0,10000000.0
2017-08-17,16200,16200,15950,16100,17808,161000.0,10000000.0
2017-08-18,16100,17300,16050,16650,143905,166500.0,10000000.0
2017-08-21,16650,16950,16650,16750,73026,167500.0,10000000.0
2017-08-22,16950,17150,16650,16800,39374,168000.0,10000000.0
2017-08-23,17000,17000,16450,16550,53763,165500.0,10000000.0
2017-08-24,16450,16800,16300,16750,72457,167500.0,10000000.0
2017-08-25,16600,16900,16500,16800,39486,168000.0,10000000.0
2017-08-28,17000,17150,16650,17000,93330,170000.0,10000000.0
2017-08-29,17050,17650,16950,17500,236346,175000.0,10000000.0
2017-08-30,17300,18100,16850,18050,256459,180500.0,10000000.0
2017-08-31,18050,18450,17750,18200,142673,182000.0,10000000.0
2017-09-01,18100,18600,17750,18450,140276,184500.0,10000000.0
2017-09-04,18150,19150,17600,18650,211908,186500.0,10000000.0
2017-09-05,18900,19100,18500,18500,129482,185000.0,10000000.0
2017-09-06,18500,18650,17850,18400,83676,184000.0,10000000.0
2017-09-07,18500,18750,18150,18400,60451,184000.0,10000000.0
2017-09-08,18400,18600,17900,18350,79691,183500.0,10000000.0
2017-09-11,18500,18950,18350,18950,77460,189500.0,10000000.0
2017-09-12,19000,19000,18450,18700,59005,187000.0,10000000.0
2017-09-13,18800,18800,18250,18600,65837,186000.0,10000000.0
2017-09-14,18250,18450,17750,18200,127519,182000.0,10000000.0
2017-09-15,18250,18250,17500,17850,82476,178500.0,10000000.0
2017-09-18,18150,18150,17600,17850,44656,178500.0,10000000.0
2017-09-19,17800,18550,17500,18250,84770,182500.0,10000000.0
2017-09-20,18250,18350,17600,17750,64886,177500.0,10000000.0
2017-09-21,17850,17850,16900,17300,117073,173000.0,10000000.0
2017-09-22,17500,17650,16950,17200,88042,172000.0,10000000.0
2017-09-25,17200,17450,16900,17200,45854,172000.0,10000000.0
2017-09-26,17200,18200,17200,18200,79831,182000.0,10000000.0
2017-09-27,18250,18400,17900,17950,63600,179500.0,10000000.0
2017-09-28,18150,18200,17450,17700,69118,177000.0,10000000.0
2017-09-29,17700,17900,17500,17650,27472,176500.0,10000000.0
