피앤이솔루션(131390),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-09-27,4055,4535,3465,3535,4772216,43664.0,6176000.0
2011-09-28,3670,3755,3275,3450,1183030,42614.0,6176000.0
2011-09-29,3450,3965,3405,3700,1515038,45702.0,6176000.0
2011-09-30,3605,3865,3535,3550,612018,43850.0,6176000.0
2011-10-04,3300,3370,3075,3150,445991,38909.0,6176000.0
2011-10-05,3190,3380,3080,3130,394012,38662.0,6176000.0
2011-10-06,3210,3590,3205,3515,440722,43417.0,6176000.0
2011-10-07,3600,3720,3400,3640,332767,44961.0,6176000.0
2011-10-10,3615,3810,3570,3735,145569,46135.0,6176000.0
2011-10-11,3780,3810,3550,3550,221350,43850.0,6176000.0
2011-10-12,3595,4055,3520,3850,318444,47555.0,6176000.0
2011-10-13,3900,4215,3800,3875,415479,47864.0,6176000.0
2011-10-14,3900,4130,3810,4045,185679,49964.0,6176000.0
2011-10-17,4140,4245,3985,4030,181242,57548.0,7140000.0
2011-10-18,3975,4060,3825,4000,88543,57120.0,7140000.0
2011-10-19,4010,4225,3900,3925,251266,56049.0,7140000.0
2011-10-20,3915,3990,3625,3800,121848,54264.0,7140000.0
2011-10-21,3910,3935,3685,3850,68048,54978.0,7140000.0
2011-10-24,3920,4030,3875,3880,96315,55406.0,7140000.0
2011-10-25,3895,3900,3675,3675,111194,52479.0,7140000.0
2011-10-26,3675,4040,3570,4015,132097,57334.0,7140000.0
2011-10-27,3970,4015,3855,3875,77588,55335.0,7140000.0
2011-10-28,3940,4000,3695,3825,152681,54621.0,7140000.0
2011-10-31,3875,4075,3750,3750,265031,53550.0,7140000.0
2011-11-01,3705,3840,3665,3725,113043,53193.0,7140000.0
2011-11-02,3595,3760,3540,3755,53004,53621.0,7140000.0
2011-11-03,3825,3995,3725,3945,312194,56335.0,7140000.0
2011-11-04,4100,4425,3965,4200,621122,59976.0,7140000.0
2011-11-07,4300,4595,4200,4270,469144,60976.0,7140000.0
2011-11-08,4320,4320,4090,4150,204182,59262.0,7140000.0
2011-11-09,4160,4260,4105,4105,132001,58619.0,7140000.0
2011-11-10,3975,4050,3880,3880,128819,55406.0,7140000.0
2011-11-11,4075,4075,3880,3935,65331,56192.0,7140000.0
2011-11-14,4025,4045,3850,3850,105992,54978.0,7140000.0
2011-11-15,3835,3960,3810,3850,64280,54978.0,7140000.0
2011-11-16,3970,4060,3885,3885,134481,55478.0,7140000.0
2011-11-17,3900,4100,3845,4100,97383,58548.0,7140000.0
2011-11-18,4025,4050,3935,3995,47182,57049.0,7140000.0
2011-11-21,3995,4020,3855,3865,59170,55192.0,7140000.0
2011-11-22,3755,3930,3755,3865,39263,55192.0,7140000.0
2011-11-23,3870,3920,3680,3750,71290,53550.0,7140000.0
2011-11-24,3705,3940,3700,3895,62551,55621.0,7140000.0
2011-11-25,3895,3925,3765,3825,59226,54621.0,7140000.0
2011-11-28,3940,4070,3880,4055,152450,57905.0,7140000.0
2011-11-29,4065,4100,3945,4040,141078,57691.0,7140000.0
2011-11-30,4040,4135,3970,4030,92995,57548.0,7140000.0
2011-12-01,4100,4100,3970,4000,79124,57120.0,7140000.0
2011-12-02,3975,4000,3890,3930,79022,56120.0,7140000.0
2011-12-05,3995,4005,3835,3835,71099,54764.0,7140000.0
2011-12-06,3835,3885,3750,3825,80504,54621.0,7140000.0
2011-12-07,3835,3980,3795,3850,87095,54978.0,7140000.0
2011-12-08,3935,4085,3900,3970,135260,56692.0,7140000.0
2011-12-09,3945,3955,3845,3940,65545,56263.0,7140000.0
2011-12-12,4040,4045,3865,3940,59555,56263.0,7140000.0
2011-12-13,3940,4530,3940,4335,1109403,61904.0,7140000.0
2011-12-14,4335,4690,4285,4525,503202,64617.0,7140000.0
2011-12-15,4525,4695,4350,4550,275970,64974.0,7140000.0
2011-12-16,4655,4750,4510,4640,230174,66259.0,7140000.0
2011-12-19,4580,4670,4064,4245,381443,60619.0,7140000.0
2011-12-20,4300,4650,4300,4650,356121,66402.0,7140000.0
2011-12-21,4765,4880,4400,4400,447187,62832.0,7140000.0
2011-12-22,4425,4465,4150,4435,224405,63332.0,7140000.0
2011-12-23,4435,4470,4260,4265,194433,60904.0,7140000.0
2011-12-26,4380,4600,4365,4515,204640,64474.0,7140000.0
2011-12-27,4400,4745,4350,4745,362987,67759.0,7140000.0
2011-12-28,4800,5425,4690,5325,806023,76041.0,7140000.0
2011-12-29,5275,5875,5175,5725,846946,81753.0,7140000.0
2012-01-02,5825,5850,5525,5775,655161,82467.0,7140000.0
2012-01-03,5675,5750,5400,5700,686519,81396.0,7140000.0
2012-01-04,5650,5975,5475,5475,885625,78183.0,7140000.0
2012-01-05,5575,5725,5275,5350,808924,76398.0,7140000.0
2012-01-06,5350,5400,5000,5075,558413,72471.0,7140000.0
2012-01-09,5150,5625,5050,5500,997088,78540.0,7140000.0
2012-01-10,5475,5575,5300,5550,509145,79254.0,7140000.0
2012-01-11,5575,5575,5250,5425,289773,77469.0,7140000.0
2012-01-12,5500,5775,5275,5275,731143,75327.0,7140000.0
2012-01-13,5300,5325,5000,5175,429840,73899.0,7140000.0
2012-01-16,5175,5350,5100,5250,320742,74970.0,7140000.0
2012-01-17,5325,5475,5200,5300,280576,75684.0,7140000.0
2012-01-18,5400,5525,5200,5475,389706,78183.0,7140000.0
2012-01-19,5450,5525,5350,5350,209705,76398.0,7140000.0
2012-01-20,5400,5425,5075,5125,255923,73185.0,7140000.0
2012-01-25,5175,5225,4990,5100,124369,72828.0,7140000.0
2012-01-26,5100,5300,5050,5125,195885,73185.0,7140000.0
2012-01-27,5200,5200,4850,4865,318947,69472.0,7140000.0
2012-01-30,4865,4985,4725,4745,243040,67759.0,7140000.0
2012-01-31,4705,4870,4705,4735,113718,67616.0,7140000.0
2012-02-01,4755,4855,4735,4765,100636,68044.0,7140000.0
2012-02-02,4775,4925,4710,4750,192486,67830.0,7140000.0
2012-02-03,4800,4820,4715,4775,87184,68187.0,7140000.0
2012-02-06,4780,4900,4780,4855,93599,69329.0,7140000.0
2012-02-07,4865,4960,4540,4645,303105,66331.0,7140000.0
2012-02-08,4605,4660,4505,4550,161313,64974.0,7140000.0
2012-02-09,4650,4980,4625,4900,320702,69972.0,7140000.0
2012-02-10,4855,4940,4765,4925,110526,70329.0,7140000.0
