힘스(238490),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-07-20,32500,34300,30400,33000,2899067,163944.0,4968000.0
2017-07-21,32000,33900,31150,33000,809523,163944.0,4968000.0
2017-07-24,34850,39650,34600,37800,2214737,187790.0,4968000.0
2017-07-25,38500,39900,36050,36050,728969,179096.0,4968000.0
2017-07-26,35500,35850,32150,33550,595184,166676.0,4968000.0
2017-07-27,35000,35500,32050,33450,598424,166180.0,4968000.0
2017-07-28,32650,32900,31100,31300,356276,155498.0,4968000.0
2017-07-31,30600,31200,28900,30650,285393,152269.0,4968000.0
2017-08-01,30000,30150,28900,28900,323216,143575.0,4968000.0
2017-08-02,28600,31200,28300,29300,492985,145562.0,4968000.0
2017-08-03,29500,29900,26700,27000,226245,134136.0,4968000.0
2017-08-04,27000,28050,26850,26900,149427,133639.0,4968000.0
2017-08-07,26850,27950,26300,27400,214170,136123.0,4968000.0
2017-08-08,27850,29050,27600,29000,276367,144072.0,4968000.0
2017-08-09,28600,29050,28100,28100,78622,139601.0,4968000.0
2017-08-10,28000,28400,26550,27100,96603,134633.0,4968000.0
2017-08-11,26250,27750,26100,26800,107565,133142.0,4968000.0
2017-08-14,28950,29500,26800,26800,321052,133142.0,4968000.0
2017-08-16,27150,28200,26550,27400,142421,142257.0,5191850.0
2017-08-17,27650,27750,26350,27300,139737,141738.0,5191850.0
2017-08-18,26800,28100,26800,27200,118554,141218.0,5191850.0
2017-08-21,26850,27450,26600,26750,117898,138882.0,5191850.0
2017-08-22,27000,27050,26500,26650,88344,138363.0,5191850.0
2017-08-23,27100,27600,26600,26650,163992,138363.0,5191850.0
2017-08-24,26750,26800,25050,25200,185355,130835.0,5191850.0
2017-08-25,25100,25500,24300,25400,249275,131873.0,5191850.0
2017-08-28,25850,26500,25600,26000,195419,134988.0,5191850.0
2017-08-29,25850,25950,25300,25350,94484,131613.0,5191850.0
2017-08-30,25600,26200,25500,25800,100819,133950.0,5191850.0
2017-08-31,25800,26100,25450,25850,50141,134209.0,5191850.0
2017-09-01,25950,26100,25450,25450,85932,132133.0,5191850.0
2017-09-04,24500,25200,24450,24550,87344,127460.0,5191850.0
2017-09-05,24550,25000,23950,24300,80760,126162.0,5191850.0
2017-09-06,24200,24250,23150,23200,125453,120451.0,5191850.0
2017-09-07,23200,23600,23050,23050,78594,119672.0,5191850.0
2017-09-08,23000,23500,22850,22850,60623,118634.0,5191850.0
2017-09-11,22850,24200,22650,23200,114743,120451.0,5191850.0
2017-09-12,23400,24300,23100,23950,116772,124345.0,5191850.0
2017-09-13,24200,24650,24000,24350,116497,126422.0,5191850.0
2017-09-14,24400,24500,23900,24250,47444,127175.0,5244320.0
2017-09-15,24200,26000,24000,25450,166242,133468.0,5244320.0
2017-09-18,25400,26100,25150,25400,80073,133206.0,5244320.0
2017-09-19,25400,25600,24800,25050,50531,131370.0,5244320.0
2017-09-20,24000,24350,23300,23300,233616,122193.0,5244320.0
2017-09-21,23300,23350,22850,22900,85632,120095.0,5244320.0
2017-09-22,22800,23100,22000,22150,76018,116162.0,5244320.0
2017-09-25,22250,22350,20950,21050,74040,110393.0,5244320.0
2017-09-26,20450,21250,20300,20850,56163,109344.0,5244320.0
2017-09-27,21000,21800,20900,21300,57138,111704.0,5244320.0
2017-09-28,21400,22300,21250,21400,59622,112228.0,5244320.0
2017-09-29,21300,21500,20800,21200,44633,111180.0,5244320.0
2017-10-10,21300,21600,20900,21600,29946,113277.0,5244320.0
2017-10-11,21500,21950,21500,21650,26862,113540.0,5244320.0
2017-10-12,21900,23350,21650,22450,124506,117735.0,5244320.0
2017-10-13,22450,22700,21500,21700,53742,113802.0,5244320.0
2017-10-16,21550,21700,20000,20500,73058,107509.0,5244320.0
2017-10-17,20500,21100,20200,20600,41737,108033.0,5244320.0
2017-10-18,20600,20850,20350,20800,27002,109082.0,5244320.0
2017-10-19,20900,21250,20700,20700,34213,108557.0,5244320.0
2017-10-20,20700,21100,20350,20650,41844,108295.0,5244320.0
2017-10-23,20800,21600,20650,21300,40647,111704.0,5244320.0
2017-10-24,21300,22000,21200,21500,45288,112753.0,5244320.0
2017-10-25,21600,21750,21000,21700,31592,113802.0,5244320.0
2017-10-26,21400,22150,21400,21500,51659,112753.0,5244320.0
2017-10-27,21450,22550,21400,22300,59338,117257.0,5258150.0
2017-10-30,22550,22650,21650,21800,43329,114628.0,5258150.0
2017-10-31,21700,21850,21250,21650,42979,113839.0,5258150.0
2017-11-01,21800,23550,21750,23450,252484,123304.0,5258150.0
2017-11-02,23650,23900,22900,23200,110876,121989.0,5258150.0
2017-11-03,23200,24450,23100,23800,173318,125144.0,5258150.0
2017-11-06,24050,24700,23200,23350,170843,122778.0,5258150.0
2017-11-07,23600,23600,22600,22750,106244,119623.0,5258150.0
2017-11-08,22750,23250,22700,23050,55968,121200.0,5258150.0
2017-11-09,23350,25200,23200,24450,222625,128562.0,5258150.0
2017-11-10,24350,25100,24000,24950,135307,131191.0,5258150.0
2017-11-13,25200,26500,24800,25850,269216,135923.0,5258150.0
2017-11-14,25850,25950,24950,25750,134258,135397.0,5258150.0
2017-11-15,25950,26400,24850,25100,197515,131980.0,5258150.0
2017-11-16,25500,26100,25300,25950,80855,136449.0,5258150.0
2017-11-17,26150,26650,26050,26450,98712,139078.0,5258150.0
2017-11-20,26600,26800,26050,26600,71044,139867.0,5258150.0
2017-11-21,26850,26900,25900,26450,103141,139078.0,5258150.0
2017-11-22,26550,28100,26550,27000,264425,141970.0,5258150.0
2017-11-23,27600,27950,26750,27450,103454,144336.0,5258150.0
2017-11-24,27650,29450,27000,28950,353596,152223.0,5258150.0
2017-11-27,29650,30200,27800,29050,249153,152749.0,5258150.0
2017-11-28,29600,29750,28000,28350,145267,149069.0,5258150.0
2017-11-29,28500,28550,26600,27000,221125,141970.0,5258150.0
2017-11-30,26900,27250,26150,26800,122564,140918.0,5258150.0
2017-12-01,26550,27100,26200,27000,113653,141970.0,5258150.0
2017-12-04,27400,27550,26150,26150,76348,137501.0,5258150.0
2017-12-05,26450,26450,24800,25350,100674,133294.0,5258150.0
2017-12-06,25000,25650,24400,25300,107282,133031.0,5258150.0
2017-12-07,25500,25700,24650,24950,77397,131191.0,5258150.0
2017-12-08,25000,25550,24700,24950,46137,131191.0,5258150.0
2017-12-11,25350,25350,24600,25300,43454,133031.0,5258150.0
2017-12-12,25600,26500,25250,26500,89835,139341.0,5258150.0
2017-12-13,26500,27350,26150,27000,80534,141970.0,5258150.0
2017-12-14,27200,27550,26700,27200,55335,143022.0,5258150.0
2017-12-15,27500,27550,25600,25850,104975,135923.0,5258150.0
2017-12-18,25750,25850,24750,24800,83100,130402.0,5258150.0
2017-12-19,24800,24900,24050,24100,76938,126721.0,5258150.0
2017-12-20,23750,24700,23750,24250,36919,127510.0,5258150.0
2017-12-21,24450,24600,23400,23450,63187,123304.0,5258150.0
2017-12-22,23600,24000,22600,24000,59108,126196.0,5258150.0
2017-12-26,24000,24000,23500,23600,34625,124092.0,5258150.0
2017-12-27,23600,23950,23200,23550,46955,123829.0,5258150.0
2017-12-28,23700,24100,23600,23950,50542,125933.0,5258150.0
2018-01-02,23900,23900,22900,23550,64519,123829.0,5258150.0
2018-01-03,23550,23750,23400,23600,43605,124092.0,5258150.0
2018-01-04,23700,23950,23400,23400,44689,123041.0,5258150.0
2018-01-05,23100,23400,22450,22900,74859,120412.0,5258150.0
2018-01-08,22700,22850,21650,21700,103475,114102.0,5258150.0
