올리패스(244460),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-09-20,30600,32000,24700,24800,3749206,344118.0,13875738.0
2019-09-23,24700,26400,23600,25500,1106949,353831.0,13875738.0
2019-09-24,24600,24700,22250,22250,755169,308735.0,13875738.0
2019-09-25,22000,22600,20300,20600,553511,285840.0,13875738.0
2019-09-26,20900,21750,20150,20300,437676,281677.0,13875738.0
2019-09-27,20400,21100,20150,20450,286812,283759.0,13875738.0
2019-09-30,20900,21000,18600,18600,427142,258089.0,13875738.0
2019-10-01,19050,20950,18900,19200,763198,266414.0,13875738.0
2019-10-02,18800,19200,18500,18850,197944,261558.0,13875738.0
2019-10-04,18800,19350,17850,17850,428358,247682.0,13875738.0
2019-10-07,18100,18650,17600,18200,518192,252538.0,13875738.0
