블러썸엠앤씨(263920),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-09-28,6500,6500,5080,5270,5803837,41510.0,7876580.0
2017-09-29,5300,5640,4955,5140,2070046,40486.0,7876580.0
2017-10-10,5260,5300,5100,5230,922298,41195.0,7876580.0
2017-10-11,5160,5460,5130,5200,817679,40958.0,7876580.0
2017-10-12,5230,5670,5140,5660,1879129,44581.0,7876580.0
2017-10-13,5760,5880,5280,5300,1135387,41746.0,7876580.0
2017-10-16,5340,5540,5100,5430,963299,42770.0,7876580.0
2017-10-17,5380,5490,5150,5240,437409,41273.0,7876580.0
2017-10-18,5190,5230,5040,5050,325511,39777.0,7876580.0
2017-10-19,5140,5240,4980,5200,462081,40958.0,7876580.0
2017-10-20,5140,5230,5050,5150,144803,40564.0,7876580.0
2017-10-23,5150,5340,5110,5310,278132,41825.0,7876580.0
2017-10-24,5260,5350,5110,5110,202909,40249.0,7876580.0
2017-10-25,5160,5270,5080,5100,153417,40171.0,7876580.0
2017-10-26,5150,5560,5090,5430,871605,42770.0,7876580.0
2017-10-27,5900,6200,5300,5340,1617346,42061.0,7876580.0
2017-10-30,5440,5550,5350,5500,366566,43321.0,7876580.0
2017-10-31,5560,5580,5380,5450,260318,42927.0,7876580.0
2017-11-01,5480,5750,5440,5660,320653,44581.0,7876580.0
2017-11-02,5620,5720,5520,5580,162337,43951.0,7876580.0
2017-11-03,5580,5670,5370,5410,254930,42612.0,7876580.0
2017-11-06,5460,5500,5360,5360,107327,42218.0,7876580.0
2017-11-07,5360,5460,5210,5280,198906,41588.0,7876580.0
2017-11-08,5330,5480,5270,5480,197933,43164.0,7876580.0
2017-11-09,5590,7120,5540,7120,4079346,56081.0,7876580.0
2017-11-10,7310,8200,6840,7490,5887961,58996.0,7876580.0
2017-11-13,7610,7840,7350,7580,1549769,59704.0,7876580.0
2017-11-14,7430,7560,7130,7520,973578,59232.0,7876580.0
2017-11-15,7460,7470,7150,7160,628647,56396.0,7876580.0
2017-11-16,7120,7350,7050,7230,340596,56948.0,7876580.0
2017-11-17,7270,8290,7130,7910,2404250,62304.0,7876580.0
2017-11-20,8300,10150,7990,9250,4726306,72858.0,7876580.0
2017-11-21,9180,9450,8750,8950,904744,70495.0,7876580.0
2017-11-22,8960,9420,8400,8400,866074,66163.0,7876580.0
2017-11-23,9030,10050,8790,8820,2285040,69471.0,7876580.0
2017-11-24,8900,9350,8820,9220,560653,72622.0,7876580.0
2017-11-27,9610,9900,8950,9000,594925,70889.0,7876580.0
2017-11-28,8910,8950,8470,8690,450376,68447.0,7876580.0
