오리엔탈정공(014940),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-12-26,34154,34154,34154,34154,19960,27864.0,1720000.0
2001-12-27,31593,32984,31178,31203,1057950,25456.0,1720000.0
2001-12-28,31840,32465,31190,31308,672350,25542.0,1720000.0
2002-01-02,31829,33289,31385,32362,424580,26402.0,1720000.0
2002-01-03,31723,32348,31396,31519,246290,25714.0,1720000.0
2002-01-04,31716,32132,31389,31624,237570,25800.0,1720000.0
2002-01-07,32250,32553,31601,32046,274140,26144.0,1720000.0
2002-01-08,32250,32250,31302,31835,249450,25972.0,1720000.0
2002-01-09,31828,31921,31296,31413,145740,25628.0,1720000.0
2002-01-10,31376,31586,30751,30781,199710,25112.0,1720000.0
2002-01-11,30780,31727,30360,30570,2004000,24940.0,1720000.0
2002-01-14,31376,31376,30751,30781,753070,25112.0,1720000.0
2002-01-15,30984,30984,30359,30359,1721660,24768.0,1720000.0
2002-01-16,30440,30669,30347,30465,838180,24854.0,1720000.0
2002-01-17,30452,30564,30359,30359,387440,24768.0,1720000.0
2002-01-18,30452,30452,30359,30359,697390,24768.0,1720000.0
2002-01-21,30347,30552,30347,30465,404950,24854.0,1720000.0
2002-01-22,30440,30762,30347,30465,322090,24854.0,1720000.0
2002-01-23,30570,30687,30360,30570,231270,24940.0,1720000.0
2002-01-24,30452,30564,30359,30359,279810,24768.0,1720000.0
2002-01-25,30359,30452,30359,30359,1252530,24768.0,1720000.0
2002-01-28,31184,33918,30974,33943,160650,27692.0,1720000.0
2002-01-29,37935,37935,31720,32468,679660,26488.0,1720000.0
2002-01-30,32242,32242,30343,31203,194810,25456.0,1720000.0
2002-01-31,30773,32462,30773,32468,327140,26488.0,1720000.0
2002-02-01,33303,34787,31609,32678,253300,26660.0,1720000.0
2002-02-04,32031,36552,32031,33311,2049590,27176.0,1720000.0
2002-02-05,33491,36879,31592,35630,3950090,29068.0,1720000.0
2002-02-06,35808,36228,34139,35208,873590,28724.0,1720000.0
2002-02-07,35203,36477,33416,33416,809690,27262.0,1720000.0
2002-02-08,31834,34568,31834,33943,290850,27692.0,1720000.0
2002-02-14,34140,35927,34140,35630,493350,29068.0,1720000.0
2002-02-15,35311,37098,35311,36473,502660,29756.0,1720000.0
2002-02-18,36470,37720,35938,37633,637630,30702.0,1720000.0
2002-02-19,36896,37941,36247,37317,506630,30444.0,1720000.0
2002-02-20,37300,38550,36880,38160,456530,31132.0,1720000.0
2002-02-21,37724,39208,37724,39003,251120,31820.0,1720000.0
2002-02-22,40652,40652,38543,40057,428740,32680.0,1720000.0
2002-02-25,39616,39826,38552,39109,333840,31906.0,1720000.0
2002-02-26,40042,42478,39094,41111,315100,33540.0,1720000.0
2002-02-27,41303,42046,40029,41006,184280,33454.0,1720000.0
2002-02-28,41099,45830,41099,45855,256540,37410.0,1720000.0
2002-03-04,45749,45749,40579,41111,813000,33540.0,1720000.0
2002-03-05,41105,42057,37932,40901,644540,33368.0,1720000.0
2002-03-06,40986,41103,39619,40479,277140,33024.0,1720000.0
2002-03-07,39830,41524,39620,40690,316940,33196.0,1720000.0
2002-03-08,40891,42351,40149,42166,278970,34400.0,1720000.0
2002-03-11,43229,44273,37941,44274,1089110,36120.0,1720000.0
2002-03-12,46366,49515,44257,49545,1038480,40420.0,1720000.0
2002-03-13,48899,51013,48484,50599,655460,41280.0,1720000.0
2002-03-14,50593,50593,49319,50599,309430,41280.0,1720000.0
2002-03-15,50581,52481,50044,51231,364920,41796.0,1720000.0
2002-03-18,51627,55846,51417,53761,365270,43860.0,1720000.0
2002-03-19,47633,54820,47633,54288,1237030,44290.0,1720000.0
2002-03-20,53753,56487,53753,55448,309330,45236.0,1720000.0
2002-03-21,52900,58164,52900,55869,149830,45580.0,1720000.0
2002-03-22,56596,57851,55854,56924,400710,46440.0,1720000.0
2002-03-25,56924,56924,53746,54815,327920,44720.0,1720000.0
2002-03-26,54376,54376,51012,52707,315290,43000.0,1720000.0
2002-03-27,50885,53946,50885,53761,357020,43860.0,1720000.0
2002-03-28,54165,54815,52706,54815,203670,44720.0,1720000.0
2002-03-29,55433,61346,55228,61351,583500,50052.0,1720000.0
2002-04-01,64283,67437,62174,63776,698650,52030.0,1720000.0
2002-04-02,60079,64717,60079,64303,164870,52460.0,1720000.0
2002-04-03,67022,67022,62384,63248,287770,51600.0,1720000.0
2002-04-04,63229,63229,61115,62721,232250,51170.0,1720000.0
2002-04-08,63216,64280,60062,60297,294380,49192.0,1720000.0
2002-04-09,60289,61124,57345,57345,169280,46784.0,1720000.0
2002-04-10,56908,60272,55844,57978,144060,47300.0,1720000.0
2002-04-11,57344,61445,57344,59454,159770,48504.0,1720000.0
2002-04-12,59015,60079,58595,59664,98670,48676.0,1720000.0
2002-04-15,60081,60710,58714,60086,280640,49020.0,1720000.0
2002-04-16,60069,60069,57330,58399,167240,47644.0,1720000.0
2002-04-17,58590,58800,54601,55553,249430,45322.0,1720000.0
2002-04-18,54807,56472,52693,56502,127910,46096.0,1720000.0
2002-04-19,56472,56916,53323,56502,224270,46096.0,1720000.0
2002-04-22,55315,56472,52693,56502,278390,46096.0,1720000.0
2002-04-23,55025,57969,55025,57134,150370,46612.0,1720000.0
2002-04-24,56923,58588,56274,56924,297100,46440.0,1720000.0
2002-04-25,56058,57962,55223,56713,178520,46268.0,1720000.0
2002-04-26,57962,57962,56268,56713,354040,46268.0,1720000.0
2002-04-29,56925,57760,56275,57345,246520,46784.0,1720000.0
2002-04-30,57128,58383,56806,56924,381060,46440.0,1720000.0
2002-05-02,56911,59440,56261,56291,624360,45924.0,1720000.0
2002-05-03,57118,58275,56908,57978,938680,47300.0,1720000.0
2002-05-06,58593,61976,58383,59243,423480,48332.0,1720000.0
2002-05-07,60070,61555,60070,61140,224630,49880.0,1720000.0
2002-05-08,61556,62180,60491,61351,295480,50052.0,1720000.0
2002-05-09,61346,61346,61346,61351,0,50052.0,1720000.0
2002-05-10,61346,61346,61346,61351,0,,
2002-05-13,57954,61337,57329,58189,392996,47472.0,17200000.0
2002-05-14,57971,58386,56926,57556,135500,46956.0,17200000.0
2002-05-15,57328,61751,57328,57978,248120,47300.0,17200000.0
2002-05-16,55432,57331,52693,54183,355327,44204.0,17200000.0
2002-05-17,52692,55636,51623,53972,285999,44032.0,17200000.0
2002-05-20,54376,54606,52707,52707,323246,43000.0,17200000.0
2002-05-21,50584,54363,50374,54183,199598,44204.0,17200000.0
2002-05-22,52910,60072,52910,56924,423493,46440.0,17200000.0
2002-05-23,57536,57955,54802,56291,300351,45924.0,17200000.0
2002-05-24,56689,57963,55854,56924,357631,46440.0,17200000.0
2002-05-27,56909,57119,53735,55869,223794,45580.0,17200000.0
2002-05-28,56260,56679,55010,55869,202443,45580.0,17200000.0
2002-05-29,55839,56469,54799,55659,242121,45408.0,17200000.0
2002-05-30,54370,55229,52910,54605,170314,44548.0,17200000.0
2002-05-31,54592,59855,51418,56291,592454,45924.0,17200000.0
2002-06-03,56277,56927,55442,55448,152912,45236.0,17200000.0
2002-06-04,54809,55439,53745,54605,161526,44548.0,17200000.0
2002-06-05,54167,55651,52912,52918,147529,43172.0,17200000.0
2002-06-07,54806,55846,52691,53761,299616,43860.0,17200000.0
2002-06-10,53730,55634,53730,55659,168686,45408.0,17200000.0
2002-06-11,55026,55441,52707,52707,144736,43000.0,17200000.0
2002-06-12,52912,53537,48694,50599,514281,41280.0,17200000.0
2002-06-14,50999,52693,49100,49545,224931,40420.0,17200000.0
2002-06-17,48484,49524,43636,43641,341639,35604.0,17200000.0
2002-06-18,41324,41324,38565,39425,913515,32164.0,17200000.0
2002-06-19,38998,40668,35405,39003,191572,31820.0,17200000.0
2002-06-20,39004,39419,36246,39425,245850,32164.0,17200000.0
2002-06-21,39410,43633,38136,40690,415525,33196.0,17200000.0
2002-06-24,39824,41309,38135,40479,138099,33024.0,17200000.0
2002-06-25,40461,43430,39627,43431,350965,35432.0,17200000.0
2002-06-26,42352,42558,38339,42587,194704,34744.0,17200000.0
2002-06-27,42149,43633,40665,40690,150402,33196.0,17200000.0
2002-06-28,40028,41097,36459,40057,338007,32680.0,17200000.0
2002-07-02,38139,42362,37304,39003,295920,31820.0,17200000.0
2002-07-03,39004,39629,37934,39214,206805,31992.0,17200000.0
2002-07-04,38792,39837,37933,38792,207194,31648.0,17200000.0
2002-07-05,38778,40237,38128,40057,207228,32680.0,17200000.0
2002-07-08,40033,40888,38549,40268,300060,32852.0,17200000.0
2002-07-09,40447,40447,39197,39847,440992,32508.0,17200000.0
2002-07-10,39407,40032,38777,39847,185147,32508.0,17200000.0
2002-07-11,39419,39419,36684,36895,750387,30100.0,17200000.0
2002-07-12,37918,37918,34555,35419,287043,28896.0,17200000.0
2002-07-15,34771,35811,33497,33522,313447,27348.0,17200000.0
2002-07-16,33506,34155,32251,32257,277802,26316.0,17200000.0
2002-07-18,32242,36021,32242,35841,477635,29240.0,17200000.0
2002-07-19,34365,37934,33716,36895,318871,30100.0,17200000.0
2002-07-22,35810,36669,33281,33311,276222,27176.0,17200000.0
2002-07-23,32248,33918,31598,33733,167631,27520.0,17200000.0
2002-07-24,32883,33928,32468,32678,137274,26660.0,17200000.0
2002-07-25,36466,36466,33708,33733,285727,27520.0,17200000.0
2002-07-26,32879,34569,32879,34154,137942,27864.0,17200000.0
2002-07-29,34351,34351,32662,33522,112947,27348.0,17200000.0
2002-07-30,32882,34576,32462,32468,168365,26488.0,17200000.0
2002-07-31,32250,32879,31395,31835,155779,25972.0,17200000.0
2002-08-01,31844,32889,31194,32889,181407,26832.0,17200000.0
2002-08-02,32889,33099,31844,32889,94933,26832.0,17200000.0
2002-08-05,32469,32889,31844,32889,113797,26832.0,17200000.0
2002-08-06,31820,33070,31820,33100,88025,27004.0,17200000.0
2002-08-07,33918,34567,32663,33733,237666,27520.0,17200000.0
2002-08-08,33514,33724,32679,32889,136576,26832.0,17200000.0
2002-08-09,32879,35199,32879,34154,273815,27864.0,17200000.0
2002-08-12,34771,37925,34561,35841,609135,29240.0,17200000.0
2002-08-13,36473,37098,35198,36473,302395,29756.0,17200000.0
2002-08-14,35411,35616,34576,34787,132947,28380.0,17200000.0
2002-08-16,35193,36238,33918,33943,129436,27692.0,17200000.0
2002-08-19,33911,34140,32241,33311,159287,27176.0,17200000.0
2002-08-20,33281,34140,32031,33311,144495,27176.0,17200000.0
2002-08-21,33281,33281,32241,33311,117830,27176.0,17200000.0
2002-08-22,32671,34780,32671,34576,130861,28208.0,17200000.0
2002-08-23,34764,36459,34555,35419,256204,28896.0,17200000.0
2002-08-26,35184,36459,35184,35419,151683,28896.0,17200000.0
