아이디스홀딩스(054800),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-09-27,6318,6318,6318,6318,229012,76800.0,9600000.0
2001-09-28,6807,7076,6728,7076,117912,86016.0,9600000.0
2001-10-04,7897,7897,7897,7898,3975,96000.0,9600000.0
2001-10-05,8845,8845,8845,8845,18726,107520.0,9600000.0
2001-10-08,8766,8766,7818,7819,795070,95040.0,9600000.0
2001-10-09,8292,8450,7589,7937,386650,96480.0,9600000.0
2001-10-10,7897,8253,7818,7827,195576,95136.0,9600000.0
2001-10-11,8016,8726,7874,8727,441486,106080.0,9600000.0
2001-10-12,8924,9240,7976,7977,602332,96960.0,9600000.0
2001-10-15,7976,8332,7858,7882,209582,95808.0,9600000.0
2001-10-16,8016,8371,7937,8174,293447,99360.0,9600000.0
2001-10-17,8332,9121,8055,9122,714923,110880.0,9600000.0
2001-10-18,8805,9951,8687,9082,982205,110400.0,9600000.0
2001-10-19,9240,9398,8845,9161,336799,111360.0,9600000.0
2001-10-22,9398,9951,9240,9556,721388,116160.0,9600000.0
2001-10-23,9635,9674,8924,8924,386782,108480.0,9600000.0
2001-10-24,8687,9082,8411,8530,263803,103680.0,9600000.0
2001-10-25,8648,9516,8648,9517,541314,115680.0,9600000.0
2001-10-26,9714,10622,9595,10386,978150,126240.0,9600000.0
2001-10-29,10622,11056,10148,10386,661859,126240.0,9600000.0
2001-10-30,10385,11609,10109,11136,1449781,135360.0,9600000.0
2001-10-31,11056,11333,10819,11294,450004,137280.0,9600000.0
2001-11-01,11412,11451,10938,11294,379129,137280.0,9600000.0
2001-11-02,11451,11530,10188,10425,364257,126720.0,9600000.0
2001-11-05,10267,10740,10267,10464,128870,127200.0,9600000.0
2001-11-06,10661,10740,9951,10464,222958,127200.0,9600000.0
2001-11-07,10306,11056,10188,10662,401047,129600.0,9600000.0
2001-11-08,10740,11570,10701,11017,656236,133920.0,9600000.0
2001-11-09,11017,11372,10859,11215,243582,136320.0,9600000.0
2001-11-12,11846,12557,11846,12557,1158505,152640.0,9600000.0
2001-11-13,12794,14057,12636,14058,1639592,170880.0,9600000.0
2001-11-14,14610,15163,13584,13742,967752,167040.0,9600000.0
2001-11-15,13860,14057,13228,13821,651298,168000.0,9600000.0
2001-11-16,13663,14294,12675,13663,662289,166080.0,9600000.0
2001-11-19,13426,14334,13110,14334,421877,174240.0,9600000.0
2001-11-20,14334,14452,12794,12952,400594,157440.0,9600000.0
2001-11-21,12636,13742,12517,13347,328971,162240.0,9600000.0
2001-11-22,13426,14452,13268,14453,609870,175680.0,9600000.0
2001-11-23,14452,14492,13860,14018,295691,170400.0,9600000.0
2001-11-26,14373,14413,13189,13821,466716,168000.0,9600000.0
2001-11-27,13544,14018,12833,13071,320838,158880.0,9600000.0
2001-11-28,12715,13031,11530,11531,318834,140160.0,9600000.0
2001-11-29,11214,11372,10543,11136,219752,135360.0,9600000.0
2001-11-30,11056,11570,11056,11452,371655,139200.0,9600000.0
2001-12-03,10740,11846,10740,11412,266827,138720.0,9600000.0
2001-12-04,11728,11965,11175,11175,247873,135840.0,9600000.0
2001-12-05,11293,11451,10267,10425,377858,126720.0,9600000.0
2001-12-06,10661,10898,10227,10820,265447,131520.0,9600000.0
2001-12-07,10898,11372,10622,11215,299813,136320.0,9600000.0
2001-12-10,11056,11491,10267,10859,208276,132000.0,9600000.0
2001-12-11,10780,10898,10385,10504,97489,127680.0,9600000.0
2001-12-12,10385,10701,10109,10228,247545,124320.0,9600000.0
2001-12-13,10346,10543,9832,10504,292889,127680.0,9600000.0
2001-12-14,10346,11728,10109,11728,511549,142560.0,9600000.0
2001-12-17,11728,11846,10819,11175,251105,135840.0,9600000.0
2001-12-18,11214,11333,10385,10386,156832,126240.0,9600000.0
2001-12-19,10385,10582,9161,9556,603761,116160.0,9600000.0
2001-12-20,9951,10030,9477,9635,281150,117120.0,9600000.0
2001-12-21,9398,9556,8884,8924,158744,108480.0,9600000.0
2001-12-24,8845,9082,8095,8214,514631,99840.0,9600000.0
2001-12-26,8292,8529,8134,8293,245882,100800.0,9600000.0
2001-12-27,8213,8884,8134,8727,715725,106080.0,9600000.0
2001-12-28,8766,9477,8766,9280,596618,112800.0,9600000.0
2002-01-02,9477,9635,9319,9635,284056,117120.0,9600000.0
2002-01-03,9635,9635,9279,9319,256071,113280.0,9600000.0
2002-01-04,9635,10425,9556,10030,815316,121920.0,9600000.0
2002-01-07,10188,10661,10109,10464,498391,127200.0,9600000.0
2002-01-08,10306,10819,10109,10188,578985,123840.0,9600000.0
2002-01-09,10346,11135,10148,10859,711280,132000.0,9600000.0
2002-01-10,11451,12162,11214,12163,929272,147840.0,9600000.0
2002-01-11,12636,13110,11214,11215,1117816,136320.0,9600000.0
2002-01-14,11846,12004,11333,11491,432187,139680.0,9600000.0
2002-01-15,11491,12044,10938,11412,438887,138720.0,9600000.0
2002-01-16,11096,12320,11096,11847,563975,144000.0,9600000.0
2002-01-17,12083,12833,12004,12163,763188,147840.0,9600000.0
2002-01-18,12359,12438,11451,11452,399379,139200.0,9600000.0
2002-01-21,11530,12004,11214,11847,251430,144000.0,9600000.0
2002-01-22,11688,12280,11609,11768,314356,143040.0,9600000.0
2002-01-23,11767,13110,11688,12636,699820,153600.0,9600000.0
2002-01-24,13031,13189,12399,12439,424456,151200.0,9600000.0
2002-01-25,12873,13663,12557,13505,705213,164160.0,9600000.0
2002-01-28,13821,14531,13663,13861,924008,168480.0,9600000.0
2002-01-29,13978,14018,13149,13624,356765,165600.0,9600000.0
2002-01-30,12833,13228,12044,12241,500513,148800.0,9600000.0
2002-01-31,12478,12833,11965,12676,560164,154080.0,9600000.0
2002-02-01,12636,12675,12004,12399,279592,150720.0,9600000.0
2002-02-04,12399,13149,12399,12992,569203,157920.0,9600000.0
2002-02-05,12794,13426,12320,13426,381112,163200.0,9600000.0
2002-02-06,13584,13821,13110,13110,334679,159360.0,9600000.0
2002-02-07,13070,13821,13031,13268,447690,161280.0,9600000.0
2002-02-08,13663,13900,13268,13268,274955,161280.0,9600000.0
2002-02-14,13505,14847,13426,14453,641818,175680.0,9600000.0
2002-02-15,14413,15519,14018,15085,676323,183360.0,9600000.0
2002-02-18,15084,15676,14610,14808,340924,180000.0,9600000.0
2002-02-19,14610,14808,14176,14216,397976,172800.0,9600000.0
2002-02-20,14057,14650,13978,14532,296573,176640.0,9600000.0
2002-02-21,14610,14610,14057,14176,256685,172320.0,9600000.0
2002-02-22,13939,14373,13939,14295,168036,173760.0,9600000.0
2002-02-25,14413,14768,14334,14374,352008,174720.0,9600000.0
2002-02-26,14531,14926,14294,14413,211134,175200.0,9600000.0
2002-02-27,14452,14729,13939,14453,398593,175680.0,9600000.0
2002-02-28,14413,15321,14136,15124,602476,183840.0,9600000.0
2002-03-04,16585,16901,15992,16822,770425,204480.0,9600000.0
2002-03-05,17217,18836,16980,17375,1108679,211200.0,9600000.0
2002-03-06,16703,17375,16427,16901,347721,205440.0,9600000.0
2002-03-07,17375,17532,16348,16467,275015,200160.0,9600000.0
2002-03-08,16427,16782,15598,16190,282964,196800.0,9600000.0
2002-03-11,16269,18046,16269,18046,694841,219360.0,9600000.0
2002-03-12,17888,18480,17138,17178,631153,208800.0,9600000.0
2002-03-13,17296,19230,16822,19231,1377312,233760.0,9600000.0
2002-03-14,19665,19665,18322,19349,957309,235200.0,9600000.0
2002-03-15,19033,19507,18796,18955,459995,230400.0,9600000.0
2002-03-18,20139,21205,19744,19823,927650,240960.0,9600000.0
2002-03-19,19823,21086,19112,20060,490004,243840.0,9600000.0
2002-03-20,20534,21007,19586,19981,395061,242880.0,9600000.0
2002-03-21,19349,20257,19191,19586,248359,238080.0,9600000.0
2002-03-22,20139,21639,19823,21047,573195,255840.0,9600000.0
2002-03-25,21481,23535,21442,22824,805887,277440.0,9600000.0
2002-03-26,21797,22508,20573,21482,526296,261120.0,9600000.0
