신라젠(215600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-12-06,13500,15050,12400,12850,13725568,791772.0,61616527.0
2016-12-07,12750,13150,11750,11800,4291145,727075.0,61616527.0
2016-12-08,11850,12300,10900,11200,4501845,690105.0,61616527.0
2016-12-09,11350,12300,11250,11900,3958017,733237.0,61616527.0
2016-12-12,12150,12300,11450,11550,1711610,711671.0,61616527.0
2016-12-13,11550,13800,11400,13300,6621075,819500.0,61616527.0
2016-12-14,13050,13700,12850,12950,3493116,797934.0,61616527.0
2016-12-15,12800,14350,12700,13600,5434936,837985.0,61616527.0
2016-12-16,13750,14150,13400,13750,1815132,847227.0,61616527.0
2016-12-19,13800,14250,13500,13600,1981956,837985.0,61616527.0
2016-12-20,13700,13850,12900,12950,1749314,797934.0,61616527.0
2016-12-21,12950,13000,12250,12450,1583932,774487.0,62207812.0
2016-12-22,12350,12600,12150,12600,975439,783818.0,62207812.0
2016-12-23,12600,12950,12400,12600,1327045,783818.0,62207812.0
2016-12-26,12650,12850,12500,12650,890647,787182.0,62227812.0
2016-12-27,12700,13000,12600,12800,1151746,796516.0,62227812.0
2016-12-28,12850,13400,12800,13200,1455124,821407.0,62227812.0
2016-12-29,13050,13300,12900,13250,588591,824519.0,62227812.0
2017-01-02,13250,13250,12900,12950,497396,805850.0,62227812.0
2017-01-03,13000,13150,12700,12750,540369,793405.0,62227812.0
2017-01-04,12800,12900,12650,12850,399112,799627.0,62227812.0
2017-01-05,12950,13550,12800,13200,1159516,821407.0,62227812.0
2017-01-06,13250,13250,12950,13050,385308,812073.0,62227812.0
2017-01-09,13000,13100,12800,12800,404520,797308.0,62289712.0
2017-01-10,12800,12900,12450,12500,491422,778621.0,62289712.0
2017-01-11,12600,12800,12450,12450,459544,775507.0,62289712.0
2017-01-12,12350,12500,12100,12150,496991,756820.0,62289712.0
2017-01-13,12200,12350,11850,12100,612247,753706.0,62289712.0
2017-01-16,12050,12200,11650,11700,546945,728790.0,62289712.0
2017-01-17,11500,11600,11250,11450,748532,713217.0,62289712.0
2017-01-18,11400,11850,11150,11500,649156,716562.0,62309712.0
2017-01-19,11500,11800,11500,11500,300342,716562.0,62309712.0
2017-01-20,11500,11550,11150,11200,475914,697869.0,62309712.0
2017-01-23,11100,11150,10400,10500,914339,654252.0,62309712.0
2017-01-24,10400,10400,9980,10000,971277,623097.0,62309712.0
2017-01-25,10100,10350,9980,10100,489739,629732.0,62349712.0
2017-01-26,10100,10850,10100,10600,789656,660907.0,62349712.0
2017-01-31,10650,10850,10350,10500,359750,654672.0,62349712.0
2017-02-01,10500,10700,10450,10600,311870,660907.0,62349712.0
2017-02-02,10450,10500,10200,10200,457227,635967.0,62349712.0
2017-02-03,10400,10400,10050,10200,325456,635967.0,62349712.0
2017-02-06,10250,10600,10100,10400,366412,649298.0,62432469.0
2017-02-07,10450,10700,10300,10600,365127,661784.0,62432469.0
2017-02-08,10700,10750,10450,10550,265728,658663.0,62432469.0
2017-02-09,10250,10400,10150,10200,455731,636811.0,62432469.0
2017-02-10,10250,10400,10150,10200,249618,636811.0,62432469.0
2017-02-13,10200,10250,10000,10050,334122,627778.0,62465469.0
2017-02-14,10100,10300,10000,10150,380490,634025.0,62465469.0
2017-02-15,10100,10300,10050,10150,367330,634025.0,62465469.0
2017-02-16,10150,10150,9790,9790,733536,611537.0,62465469.0
2017-02-17,9790,9790,8940,9200,1447684,581411.0,63196889.0
2017-02-20,9160,9190,8900,9050,874109,571932.0,63196889.0
2017-02-21,9000,11450,8990,10050,7600340,635129.0,63196889.0
2017-02-22,9940,10150,9670,10100,1674711,638289.0,63196889.0
2017-02-23,10100,11000,9960,10350,2475921,654088.0,63196889.0
2017-02-24,10400,10800,10350,10550,899518,666727.0,63196889.0
2017-02-27,10750,10950,10550,10650,762281,673047.0,63196889.0
2017-02-28,10650,10750,10350,10500,397511,663567.0,63196889.0
2017-03-02,10550,10900,10450,10650,540662,673047.0,63196889.0
2017-03-03,10950,12600,10850,11350,5581222,717285.0,63196889.0
2017-03-06,11450,11550,11150,11450,943593,723604.0,63196889.0
2017-03-07,11850,11950,11500,11650,1325335,736244.0,63196889.0
2017-03-08,11500,11750,11300,11650,662372,736244.0,63196889.0
2017-03-09,11650,11650,11350,11350,348116,717285.0,63196889.0
2017-03-10,11350,11400,10950,11250,495835,710965.0,63196889.0
2017-03-13,11250,11550,11000,11300,322954,714125.0,63196889.0
2017-03-14,11450,11800,11350,11600,745093,733084.0,63196889.0
