위지윅스튜디오(299900),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-20,11250,11700,9030,9350,5238875,82262.0,8798060.0
2018-12-21,9410,10000,9090,9360,1322694,82350.0,8798060.0
2018-12-24,9800,10600,9230,9500,2290709,83582.0,8798060.0
2018-12-26,9290,10200,9270,9330,1419002,82086.0,8798060.0
2018-12-27,9490,9780,9310,9400,661078,82702.0,8798060.0
2018-12-28,9530,9830,9440,9650,543042,84901.0,8798060.0
2019-01-02,9810,10400,9660,10200,855408,89740.0,8798060.0
2019-01-03,10450,10750,9510,9690,699045,85253.0,8798060.0
2019-01-04,9690,10350,9500,10200,499551,89740.0,8798060.0
2019-01-07,10650,13250,10350,12850,6992745,113055.0,8798060.0
2019-01-08,13150,13550,12200,12950,2606643,113935.0,8798060.0
2019-01-09,13050,13700,12500,13400,1737647,117894.0,8798060.0
2019-01-10,13150,13250,12300,12750,1099703,112175.0,8798060.0
2019-01-11,13250,13350,11500,11900,2502061,104697.0,8798060.0
2019-01-14,11750,12500,11350,12250,941950,107776.0,8798060.0
2019-01-15,12350,12450,11550,11600,803631,102057.0,8798060.0
2019-01-16,11600,11800,10650,11050,872219,97219.0,8798060.0
2019-01-17,11000,11850,10800,11450,654264,100738.0,8798060.0
2019-01-18,11700,12100,11400,11850,764269,104257.0,8798060.0
2019-01-21,11950,13050,11850,12650,1163328,111295.0,8798060.0
2019-01-22,12750,15100,12400,13250,3005798,116574.0,8798060.0
2019-01-23,13050,13450,12700,13300,551345,117014.0,8798060.0
2019-01-24,13300,14650,13150,14000,1531222,123173.0,8798060.0
2019-01-25,14050,14350,13550,13850,612783,121853.0,8798060.0
2019-01-28,14000,14150,12800,13200,911082,116134.0,8798060.0
2019-01-29,13150,13900,13050,13500,394871,118774.0,8798060.0
2019-01-30,13500,14100,13200,13300,420458,117014.0,8798060.0
2019-01-31,13350,14750,13050,13800,1047543,121413.0,8798060.0
2019-02-01,13800,14200,13350,14150,429764,124493.0,8798060.0
2019-02-07,14200,14500,13950,14150,347486,124493.0,8798060.0
2019-02-08,14000,14000,13300,13500,590796,118774.0,8798060.0
2019-02-11,13900,14000,13550,13750,317942,120973.0,8798060.0
2019-02-12,13750,13850,13350,13650,242771,120094.0,8798060.0
