크리스탈(083790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-01-06,11752,11869,10004,10284,1042928,137388.0,5304557.0
2006-01-09,10720,11811,10521,11812,1049839,157811.0,5304557.0
2006-01-10,11970,11990,10720,11018,527414,147201.0,5304557.0
2006-01-11,10957,11235,10321,10342,281295,138184.0,5304557.0
2006-01-12,10203,10700,9249,9370,396247,125188.0,5304557.0
2006-01-13,9190,9588,8813,9330,355214,124657.0,5304557.0
2006-01-16,9330,9687,9052,9211,253159,125641.0,5415557.0
2006-01-17,9091,9430,8615,8616,343112,117518.0,5415557.0
2006-01-18,8614,8893,7542,8000,376343,109123.0,5415557.0
2006-01-19,8000,8119,7582,7663,256416,105048.0,5442916.0
2006-01-20,7683,8674,7663,7842,626188,107498.0,5442916.0
2006-01-23,7622,7821,6668,6671,309683,91441.0,5442916.0
2006-01-24,6551,6829,5876,6630,325785,90897.0,5442916.0
2006-01-25,6749,7582,6729,6809,563657,93346.0,5442916.0
2006-01-26,6927,6947,6412,6611,174034,90625.0,5442916.0
2006-01-27,6868,7542,6868,7286,470414,99878.0,5442916.0
2006-01-31,7284,8079,7106,7544,391932,103415.0,5442916.0
2006-02-01,7504,7861,6689,6909,445726,94707.0,5442916.0
2006-02-02,7206,7602,6928,7604,447429,104232.0,5442916.0
2006-02-03,7344,7464,7066,7107,162462,97428.0,5442916.0
2006-02-06,6669,7146,6511,6829,220640,93618.0,5442916.0
2006-02-07,6907,6947,6551,6572,149383,90080.0,5442916.0
2006-02-08,6373,6729,6272,6313,189584,86542.0,5442916.0
2006-02-09,6550,6709,6351,6451,161169,88447.0,5442916.0
2006-02-10,6631,7324,6610,7147,528149,97972.0,5442916.0
2006-02-13,7226,7483,6828,6829,348281,93618.0,5442916.0
2006-02-14,6927,6927,6550,6691,153469,91713.0,5442916.0
2006-02-15,6789,6888,6272,6273,209842,85998.0,5442916.0
2006-02-16,6232,6490,6194,6313,136783,86542.0,5442916.0
2006-02-17,6373,6610,6353,6412,159193,87903.0,5442916.0
2006-02-20,6430,6748,6430,6491,160480,88992.0,5442916.0
2006-02-21,6531,6670,6451,6630,160201,90897.0,5442916.0
2006-02-22,7384,7623,7226,7346,1358748,100694.0,5442916.0
2006-02-23,7384,7404,7046,7067,347970,96884.0,5442916.0
2006-02-24,7066,7901,7066,7346,1052133,100694.0,5442916.0
2006-02-27,7940,8139,7523,7663,606469,105048.0,5442916.0
2006-02-28,7703,7801,7444,7683,290367,105320.0,5442916.0
2006-03-02,7683,7840,7444,7524,228893,103143.0,5442916.0
2006-03-03,7424,7503,6987,7047,231606,96612.0,5442916.0
2006-03-06,6967,7266,6948,7168,186340,98245.0,5442916.0
