솔브레인(036830),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-01-18,4505,4505,4505,4504,1420,58608.0,1190000.0
2000-01-19,5039,5039,5039,5039,1210,65569.0,1190000.0
2000-01-20,5643,5643,4436,5643,2376330,73423.0,1190000.0
2000-01-21,5945,6320,5671,6320,918220,82229.0,1190000.0
2000-01-24,6403,7071,6403,7070,249820,91987.0,1190000.0
2000-01-25,7912,7912,7326,7911,372910,102935.0,1190000.0
2000-01-26,8278,8771,6970,6969,1161000,90678.0,1190000.0
2000-01-27,6138,6138,6138,6137,59170,79849.0,1190000.0
2000-01-28,5406,5625,5406,5405,1655240,70329.0,1190000.0
2000-01-31,5295,5844,5030,5249,1285440,68306.0,1190000.0
2000-02-01,5579,5579,5058,5295,732090,68901.0,1190000.0
2000-02-02,5351,5918,5213,5533,855870,71995.0,1190000.0
2000-02-03,5670,5707,5313,5487,837080,71400.0,1190000.0
2000-02-07,5753,6146,5671,6146,712680,79968.0,1190000.0
2000-02-08,6192,6411,5497,5743,679470,74732.0,1190000.0
2000-02-09,5753,5991,5579,5853,577720,76160.0,1190000.0
2000-02-10,5671,6549,5488,6549,821460,85204.0,1190000.0
2000-02-11,7326,7326,7326,7326,357330,95319.0,1190000.0
2000-02-14,8204,8204,6860,8204,856000,106743.0,1190000.0
2000-02-15,8158,8313,7225,7224,659390,94010.0,1190000.0
2000-02-16,7134,7583,6412,7317,497670,95200.0,1190000.0
2000-02-17,7061,8196,7061,8195,618210,106624.0,1190000.0
2000-02-18,8287,9146,8241,9146,651660,119000.0,1190000.0
2000-02-21,8863,10245,8351,10244,553020,133280.0,1190000.0
2000-02-22,11342,11434,9147,10244,699600,133280.0,1190000.0
2000-02-23,9878,10884,9055,9878,493600,128520.0,1190000.0
2000-02-24,10336,11022,10061,11021,260640,143395.0,1190000.0
2000-02-25,12303,12303,11891,12302,125470,160055.0,1190000.0
2000-02-28,11891,13629,11571,11982,921660,155890.0,1190000.0
2000-02-29,11982,13400,11342,13399,1199800,174335.0,1190000.0
2000-03-02,14634,15000,13720,15000,824670,195160.0,1190000.0
2000-03-03,13811,15092,13217,13262,812770,172550.0,1190000.0
2000-03-06,13721,13904,11708,11708,416350,152320.0,1190000.0
2000-03-07,10611,11800,10336,10976,387300,142800.0,1190000.0
2000-03-08,10336,12256,10336,12256,418650,159460.0,1190000.0
2000-03-09,13080,13720,12622,13720,578010,178500.0,1190000.0
2000-03-10,14452,14452,12622,12988,831120,168980.0,1190000.0
2000-03-13,12622,13720,11890,12530,353830,163030.0,1190000.0
2000-03-14,11890,12256,11067,11615,301190,151130.0,1190000.0
2000-03-15,11342,12988,10976,12988,671410,168980.0,1190000.0
2000-03-16,11981,12988,11616,12804,324780,166600.0,1190000.0
2000-03-17,13079,13171,11296,11295,181550,146965.0,1190000.0
2000-03-20,9971,10519,9971,9970,140130,129710.0,1190000.0
2000-03-21,8781,9421,8781,9146,221080,119000.0,1190000.0
2000-03-22,9146,10244,9146,10060,210250,130900.0,1190000.0
2000-03-23,10061,10701,8872,9146,492370,119000.0,1190000.0
2000-03-24,9238,10245,8918,10244,245960,133280.0,1190000.0
2000-03-27,10884,11432,10289,11432,277960,148750.0,1190000.0
2000-03-28,10611,12806,10611,11708,746330,152320.0,1190000.0
2000-03-29,11158,11707,10335,10335,158550,134470.0,1190000.0
2000-03-30,9421,10061,9238,9740,129110,126735.0,1190000.0
2000-03-31,9147,10427,9147,9604,143020,124950.0,1190000.0
2000-04-03,9695,10244,8460,8597,147940,111860.0,1190000.0
2000-04-04,7774,8231,7573,8039,147350,104601.0,1190000.0
2000-04-06,8140,8460,7865,7956,82270,103530.0,1190000.0
2000-04-07,8058,8872,8058,8872,143410,115430.0,1190000.0
2000-04-10,9603,9832,9146,9832,236730,127925.0,1190000.0
2000-04-11,8872,8963,8689,8688,89300,113050.0,1190000.0
2000-04-12,7775,8598,7775,8460,83240,110075.0,1190000.0
2000-04-14,7683,8323,7683,7911,63940,102935.0,1190000.0
2000-04-17,6970,6970,6970,6969,33570,90678.0,1190000.0
2000-04-18,7317,7683,6174,6859,208290,89250.0,1190000.0
2000-04-19,7491,7491,7134,7408,117430,96390.0,1190000.0
2000-04-20,7500,8296,7500,8295,195930,107933.0,1190000.0
2000-04-21,8506,9037,8058,8872,166470,115430.0,1190000.0
2000-04-24,8872,8872,7875,8049,99060,104720.0,1190000.0
2000-04-25,7528,8049,7317,7673,313500,99841.0,1190000.0
2000-04-26,7912,8324,6760,7134,257020,92820.0,1190000.0
2000-04-27,7135,7501,6769,6943,143780,90321.0,1190000.0
2000-04-28,6905,7207,6860,7033,122370,91511.0,1190000.0
2000-05-02,6961,7766,6952,7217,475620,93891.0,1190000.0
2000-05-03,7144,7217,6952,7043,183550,91630.0,1190000.0
2000-05-04,6970,7546,6970,7317,296200,95200.0,1190000.0
2000-05-08,7656,8196,7555,8195,670410,106624.0,1190000.0
2000-05-09,8113,8506,7546,7966,599800,103649.0,1190000.0
2000-05-10,8242,8919,8232,8918,373510,116025.0,1190000.0
2000-05-12,9971,9971,9605,9970,810820,129710.0,1190000.0
2000-05-15,10839,11159,9238,11021,2039820,143395.0,1190000.0
2000-05-16,10975,10975,9741,9740,883620,126735.0,1190000.0
2000-05-17,9238,10884,9238,10060,2133470,130900.0,1190000.0
2000-05-18,9375,9787,8872,8872,831940,115430.0,1190000.0
2000-05-19,7958,8324,7811,7811,375110,101626.0,1190000.0
2000-05-22,6887,7583,6878,6878,446190,89488.0,1190000.0
2000-05-23,6137,6403,6055,6055,550810,78778.0,1190000.0
2000-05-24,5425,5671,5333,5333,405580,69377.0,1190000.0
2000-05-25,5799,5964,5625,5963,122410,77588.0,1190000.0
2000-05-26,6677,6677,5497,6173,974410,80325.0,1190000.0
2000-05-29,5853,6631,5670,6219,482240,80920.0,1190000.0
2000-05-30,6403,6961,6403,6960,601580,90559.0,1190000.0
2000-05-31,7482,7683,7226,7408,690960,96390.0,1190000.0
2000-06-01,7135,7364,6586,6769,482500,88060.0,1190000.0
2000-06-02,7135,7409,6796,7043,634350,91630.0,1190000.0
2000-06-05,7134,7582,7070,7207,557920,93772.0,1190000.0
2000-06-07,6951,7317,6842,6997,680770,91035.0,1190000.0
2000-06-08,6860,7683,6686,7143,845620,92939.0,1190000.0
2000-06-09,6951,7262,6823,6969,271810,90678.0,1190000.0
2000-06-12,7135,7309,6869,7043,230420,91630.0,1190000.0
2000-06-13,7042,7088,6411,6630,261350,86275.0,1190000.0
2000-06-14,6769,7044,6504,6769,248940,88060.0,1190000.0
2000-06-15,6952,6952,5964,6037,246320,78540.0,1190000.0
2000-06-16,5534,6220,5534,6101,177510,79373.0,1190000.0
2000-06-19,6128,6201,6036,6127,105520,79730.0,1190000.0
2000-06-20,6219,6677,6155,6356,358850,82705.0,1190000.0
2000-06-21,6413,6541,6175,6385,192860,83062.0,1190000.0
2000-06-22,6403,6449,6037,6165,169980,80206.0,1190000.0
2000-06-23,5990,6127,5917,6109,112020,79492.0,1190000.0
2000-06-26,5955,6175,5379,6037,199530,78540.0,1190000.0
2000-06-27,6266,6266,6001,6037,116360,78540.0,1190000.0
2000-06-28,6128,6174,5863,5908,107120,76874.0,1190000.0
2000-06-29,5853,6302,5853,6127,270630,79730.0,1190000.0
2000-06-30,6211,6211,5936,5991,79320,77945.0,1190000.0
2000-07-03,5991,6083,5863,6082,107360,79135.0,1190000.0
2000-07-04,5935,6036,5880,5935,73320,77231.0,1190000.0
2000-07-05,5854,5918,5260,5305,152610,69020.0,1190000.0
2000-07-06,5123,5461,4967,5159,80810,67116.0,1190000.0
2000-07-07,5076,5387,5076,5259,44460,68425.0,1190000.0
2000-07-10,5214,5397,5214,5305,48630,69020.0,1190000.0
2000-07-11,5305,5351,4884,5030,56240,65450.0,1190000.0
2000-07-12,5067,5085,4774,5075,59100,66045.0,1190000.0
2000-07-13,5031,5671,4921,5323,163370,69258.0,1190000.0
2000-07-14,5324,5388,5031,5159,55830,67116.0,1190000.0
2000-07-18,5305,5534,5122,5286,77410,68782.0,1190000.0
2000-07-19,5149,5432,4893,5075,53030,66045.0,1190000.0
2000-07-20,4939,5003,4720,4847,75380,63070.0,1190000.0
2000-07-21,4847,4939,4728,4865,47680,69708.0,1310300.0
2000-07-24,4802,4838,4290,4381,66400,62763.0,1310300.0
2000-07-25,4033,4299,4024,4298,46740,61584.0,1310300.0
2000-07-26,4391,4647,4345,4537,85180,64991.0,1310300.0
2000-07-27,4482,5021,4445,4563,86670,65384.0,1310300.0
2000-07-28,4527,4609,4390,4517,45460,64729.0,1310300.0
2000-07-31,4427,4674,4345,4646,34400,66563.0,1310300.0
2000-08-01,4436,4847,4436,4737,67750,67874.0,1310300.0
2000-08-02,4619,4893,4573,4618,79740,66170.0,1310300.0
2000-08-03,4903,5168,4775,5168,78050,74032.0,1310300.0
2000-08-04,5488,5671,5223,5396,428420,77308.0,1310300.0
2000-08-07,5397,5845,5040,5396,225360,77308.0,1310300.0
2000-08-08,5625,5625,5122,5213,152700,74687.0,1310300.0
2000-08-09,5040,5269,4940,4985,97550,71411.0,1310300.0
2000-08-10,4866,5123,4848,4985,81160,71411.0,1310300.0
2000-08-11,4921,5122,4802,4957,71910,71018.0,1310300.0
2000-08-14,4957,5012,4747,4829,36090,69184.0,1310300.0
2000-08-16,4920,5213,4271,5075,144350,72722.0,1310300.0
2000-08-17,5113,5113,4857,4947,65370,70887.0,1310300.0
2000-08-18,4957,5021,4701,4801,73420,68791.0,1310300.0
2000-08-21,4664,4802,4482,4682,89560,67087.0,1310300.0
2000-08-22,4509,4829,4509,4801,56100,68791.0,1310300.0
2000-08-23,4802,4839,4491,4527,76940,64860.0,1310300.0
2000-08-24,4848,4848,4555,4573,107650,65515.0,1310300.0
2000-08-25,4574,4985,4528,4637,217670,66432.0,1310300.0
2000-08-28,4839,4848,4674,4775,127280,68398.0,1310300.0
2000-08-29,4793,4793,4574,4637,84960,66432.0,1310300.0
2000-08-30,4582,4683,4536,4563,36550,65384.0,1310300.0
2000-08-31,4527,4527,4070,4298,110770,61584.0,1310300.0
2000-09-01,4116,4344,4116,4298,43320,61584.0,1310300.0
2000-09-04,4116,4299,4116,4253,43730,60929.0,1310300.0
2000-09-05,4116,4299,4116,4253,46670,60929.0,1310300.0
2000-09-06,4162,4500,4162,4386,76330,62829.0,1310300.0
2000-09-07,4344,4354,4116,4207,45390,60274.0,1310300.0
2000-09-08,4116,4317,4025,4143,39870,59357.0,1310300.0
2000-09-14,3649,3942,3649,3887,74820,55688.0,1310300.0
2000-09-15,3659,3943,3586,3741,67510,53591.0,1310300.0
2000-09-18,3407,3476,3293,3292,24310,47171.0,1310300.0
2000-09-19,2900,3019,2900,2899,133230,41537.0,1310300.0
2000-09-20,2928,3083,2836,2904,94220,41602.0,1310300.0
2000-09-21,2841,2882,2557,2556,92090,36623.0,1310300.0
2000-09-22,2378,2469,2250,2249,92130,32233.0,1310300.0
2000-09-25,2012,2332,1985,2149,105730,30792.0,1310300.0
2000-09-26,2057,2259,2057,2222,65590,31840.0,1310300.0
2000-09-27,2223,2488,2223,2488,170980,35640.0,1310300.0
2000-09-28,2785,2785,2698,2784,61690,39899.0,1310300.0
2000-09-29,3119,3119,3119,3118,48910,44681.0,1310300.0
2000-10-02,3489,3489,2927,3292,506300,47171.0,1310300.0
2000-10-04,3155,3430,2982,3091,229760,44288.0,1310300.0
2000-10-05,3261,3293,3092,3146,166070,45074.0,1310300.0
2000-10-06,2973,3156,2900,3078,139160,44092.0,1310300.0
2000-10-09,3018,3398,3018,3118,307860,44681.0,1310300.0
2000-10-10,3156,3284,3019,3110,94020,44550.0,1310300.0
2000-10-11,3018,3054,2739,2738,149330,39243.0,1310300.0
2000-10-12,2520,2730,2515,2679,128510,38392.0,1310300.0
2000-10-13,2469,2606,2359,2437,120770,34919.0,1310300.0
2000-10-16,2652,2716,2598,2707,102310,38785.0,1310300.0
2000-10-17,2625,2643,2396,2395,116680,34330.0,1310300.0
2000-10-18,2278,2470,2200,2378,74440,34068.0,1310300.0
2000-10-19,2213,2423,2213,2285,87600,32758.0,1310300.0
2000-10-20,2424,2561,2424,2560,76590,36688.0,1310300.0
2000-10-23,2867,2867,2469,2652,434570,37999.0,1310300.0
2000-10-24,2515,2675,2515,2560,114720,36688.0,1310300.0
2000-10-25,2514,2574,2450,2523,77020,36164.0,1310300.0
2000-10-26,2470,2780,2460,2721,212670,38981.0,1310300.0
2000-10-27,2743,2835,2551,2633,117250,37737.0,1310300.0
2000-10-30,2555,2670,2318,2349,124380,33675.0,1310300.0
2000-10-31,2387,2442,2103,2423,87370,34723.0,1310300.0
2000-11-01,2552,2552,2424,2510,90570,35968.0,1310300.0
2000-11-02,2341,2552,2341,2505,83260,35902.0,1310300.0
2000-11-03,2552,2607,2442,2505,103850,35902.0,1310300.0
2000-11-06,2552,2726,2529,2670,149850,38261.0,1310300.0
2000-11-07,2679,2698,2561,2569,93570,36819.0,1310300.0
2000-11-08,2543,2744,2543,2652,98290,37999.0,1310300.0
2000-11-09,2580,2969,2580,2968,329730,42519.0,1310300.0
2000-11-10,2968,3087,2789,2917,258780,41799.0,1310300.0
2000-11-13,2836,2927,2607,2689,102430,38523.0,1310300.0
2000-11-14,2734,3008,2707,2871,279730,41143.0,1310300.0
2000-11-15,2945,3146,2881,3000,432330,42978.0,1310300.0
2000-11-16,3064,3064,2862,2953,93860,42323.0,1310300.0
2000-11-17,2908,2949,2771,2889,121760,41405.0,1310300.0
2000-11-20,2926,2972,2798,2871,96280,41143.0,1310300.0
