에스엔유(080000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-01-25,14648,16384,14648,16384,29202,227893.0,3773070.0
2005-01-26,18334,18334,18334,18338,9351,255060.0,3773070.0
2005-01-27,20532,20532,20532,20535,1336,285621.0,3773070.0
2005-01-28,22974,22974,21210,21756,722413,302600.0,3773070.0
2005-01-31,22244,22244,20833,21050,101337,292790.0,3773070.0
2005-02-01,21429,21809,20344,21566,127918,299959.0,3773070.0
2005-02-02,21753,22160,18986,19803,92338,275434.0,3773070.0
2005-02-03,18986,19529,17630,18094,97270,251664.0,3773070.0
2005-02-04,18525,19258,18172,18799,160358,261474.0,3773070.0
2005-02-07,19395,20724,19178,19884,223041,276566.0,3773070.0
2005-02-11,19802,20126,19422,19531,82315,271661.0,3773070.0
2005-02-14,19531,20181,19314,19911,84999,276943.0,3773070.0
2005-02-15,20072,20179,19555,20020,67479,278453.0,3773070.0
2005-02-16,20399,21348,20073,20671,121730,287508.0,3773070.0
2005-02-17,20804,20885,20179,20183,55051,280716.0,3773070.0
2005-02-18,20044,20044,18715,18880,92239,262606.0,3773070.0
2005-02-21,18877,18986,17711,17768,90532,247136.0,3773070.0
2005-02-22,17903,18717,17822,18717,111847,260342.0,3773070.0
2005-02-23,18606,18877,18280,18311,79422,254682.0,3773070.0
2005-02-24,18308,19311,18253,18663,90219,259587.0,3773070.0
2005-02-25,18443,19067,18064,18202,81226,253173.0,3773070.0
2005-02-28,18308,18851,18308,18826,44619,261851.0,3773070.0
2005-03-02,18635,18879,17767,17958,56698,249777.0,3773070.0
2005-03-03,17903,18039,17279,17442,58574,242608.0,3773070.0
2005-03-04,17522,17846,17440,17470,32803,242986.0,3773070.0
2005-03-07,17359,17494,15921,15951,84076,221857.0,3773070.0
2005-03-08,15731,16328,15487,15978,60199,222234.0,3773070.0
2005-03-09,15758,16951,15758,16493,46634,236302.0,3886550.0
2005-03-10,16409,16843,16002,16141,38468,231250.0,3886550.0
2005-03-11,15868,17333,15814,17117,96564,245241.0,3886550.0
2005-03-14,17061,17658,16790,16954,55522,242909.0,3886550.0
2005-03-15,17033,17222,16246,16249,39568,232804.0,3886550.0
2005-03-16,16140,16465,15597,16195,27850,237997.0,3986550.0
2005-03-17,15812,16165,15595,15598,36201,229227.0,3986550.0
2005-03-18,15461,16004,15461,15788,19867,232017.0,3986550.0
2005-03-21,16031,16058,15624,15734,11788,231220.0,3986550.0
2005-03-22,15975,16816,15975,16493,38776,242382.0,3986550.0
2005-03-23,16490,16680,15866,15897,41447,233612.0,3986550.0
2005-03-24,16029,16084,14917,15245,42882,224044.0,3986550.0
2005-03-25,14891,14946,14268,14513,249060,213280.0,3986550.0
2005-03-28,14755,14944,14429,14486,102567,212882.0,3986550.0
2005-03-29,14566,14621,13698,13780,121829,202517.0,3986550.0
2005-03-30,13671,14077,13345,14079,98548,206902.0,3986550.0
2005-03-31,14214,14295,13536,13549,88602,199128.0,3986550.0
2005-04-01,13384,14239,13384,14242,210016,209294.0,3986550.0
2005-04-04,14240,15352,14159,14920,241552,219260.0,3986550.0
2005-04-06,14999,15080,14320,14405,108648,211686.0,3986550.0
2005-04-07,14401,14538,14075,14160,93174,208098.0,3986550.0
2005-04-08,14295,14973,14240,14811,141612,217666.0,3986550.0
2005-04-11,14675,14783,14403,14730,59209,216470.0,3986550.0
2005-04-12,14648,14838,14349,14757,69251,216868.0,3986550.0
2005-04-13,14811,15217,14431,14459,151990,212483.0,3986550.0
2005-04-14,14105,14160,13888,13943,77037,204909.0,3986550.0
2005-04-15,13751,13832,13452,13564,73932,199328.0,3986550.0
2005-04-18,13156,13210,12396,13021,111743,191354.0,3986550.0
2005-04-19,13222,13479,13113,13333,54327,195939.0,3986550.0
2005-04-20,13644,13834,13508,13780,61055,202517.0,3986550.0
2005-04-21,13373,13536,13156,13401,21695,196936.0,3986550.0
2005-04-22,13725,13725,13019,13292,32138,195341.0,3986550.0
2005-04-25,13088,13291,13019,13034,22775,200895.0,4180960.0
2005-04-26,13154,13235,12761,12764,36496,196714.0,4180960.0
2005-04-27,12639,12735,12463,12736,16777,196296.0,4180960.0
2005-04-28,12668,12749,12423,12546,29183,193369.0,4180960.0
2005-04-29,12152,12396,11989,12261,51964,188979.0,4180960.0
2005-05-02,12353,12407,12205,12275,23051,189188.0,4180960.0
2005-05-03,12220,12694,12206,12207,31583,188143.0,4180960.0
2005-05-04,12285,12679,12231,12424,30905,191488.0,4180960.0
2005-05-06,12450,12613,12423,12478,27298,192324.0,4180960.0
2005-05-09,12476,12585,11797,11855,52563,182708.0,4180960.0
2005-05-10,11894,12044,11881,12017,28471,185217.0,4180960.0
2005-05-11,12042,12042,11241,11258,36855,173510.0,4180960.0
2005-05-12,11119,11350,10482,10552,114269,162639.0,4180960.0
2005-05-13,10468,10468,10157,10444,57177,160967.0,4180960.0
2005-05-16,10672,12001,10563,12003,110737,185007.0,4180960.0
2005-05-17,12557,13235,12286,12614,197598,194415.0,4180960.0
2005-05-18,12665,12855,12421,12750,64871,196505.0,4180960.0
2005-05-19,13074,13549,12748,13292,101783,204867.0,4180960.0
2005-05-20,13154,13343,12991,12994,34409,200268.0,4180960.0
2005-05-23,13047,13101,12639,12804,31353,197341.0,4180960.0
2005-05-24,12801,13642,12801,13482,77097,207794.0,4180960.0
2005-05-25,13642,14021,13479,13726,76274,211557.0,4180960.0
2005-05-26,13508,13834,13495,13753,30817,211975.0,4180960.0
2005-05-27,13752,13942,13536,13753,33333,211975.0,4180960.0
2005-05-30,14077,14647,13969,14377,57482,221591.0,4180960.0
2005-05-31,14512,14566,14077,14350,37541,221173.0,4180960.0
2005-06-01,14240,14431,13779,13834,51933,213229.0,4180960.0
2005-06-02,13997,14349,13698,13834,46449,213229.0,4180960.0
2005-06-03,13751,13941,13588,13618,42056,209884.0,4180960.0
