보라티알(250000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-06-08,18900,20750,17100,17600,4282369,118813.0,6750733.0
2017-06-09,18000,18750,17700,18300,863994,123538.0,6750733.0
2017-06-12,18100,18250,17300,17300,301252,116788.0,6750733.0
2017-06-13,17050,17350,16450,17300,352741,116788.0,6750733.0
2017-06-14,17250,17600,16900,17300,154599,116788.0,6750733.0
2017-06-15,17700,18250,17300,18100,428530,122188.0,6750733.0
2017-06-16,18050,18100,17600,18100,153755,122188.0,6750733.0
2017-06-19,18150,18200,17800,18100,79292,122188.0,6750733.0
2017-06-20,18750,19200,18000,18000,503141,121513.0,6750733.0
2017-06-21,17800,18000,17300,18000,95029,121513.0,6750733.0
2017-06-22,17800,18050,17500,17500,68200,118138.0,6750733.0
2017-06-23,17500,17500,16850,17250,105052,116450.0,6750733.0
2017-06-26,17250,17250,16450,17000,89769,114762.0,6750733.0
2017-06-27,17000,17800,16700,17450,130392,117800.0,6750733.0
2017-06-28,17450,17750,17050,17550,66151,118475.0,6750733.0
2017-06-29,17750,18100,17150,17650,99160,119150.0,6750733.0
2017-06-30,17750,18250,17600,17850,130139,120501.0,6750733.0
2017-07-03,17850,17950,17100,17450,74465,117800.0,6750733.0
2017-07-04,17400,17400,16850,17250,90100,116450.0,6750733.0
2017-07-05,17350,17350,16950,17150,38586,115775.0,6750733.0
2017-07-06,17300,17650,16900,17250,56204,116450.0,6750733.0
2017-07-07,17000,17200,16900,17150,38159,115775.0,6750733.0
2017-07-10,17150,17250,16900,17100,32770,115438.0,6750733.0
2017-07-11,17150,17550,17050,17100,42449,115438.0,6750733.0
2017-07-12,17150,17150,16850,17050,46466,115100.0,6750733.0
2017-07-13,17000,17350,16900,17250,36512,116450.0,6750733.0
2017-07-14,17250,17350,17000,17100,40376,115438.0,6750733.0
2017-07-17,16950,18050,16950,17800,205587,120163.0,6750733.0
2017-07-18,17650,17900,17350,17750,68594,119826.0,6750733.0
2017-07-19,17800,18100,17600,17700,91489,119488.0,6750733.0
2017-07-20,17700,17700,17000,17400,103492,117463.0,6750733.0
2017-07-21,17200,17400,17100,17400,38056,117463.0,6750733.0
2017-07-24,17500,17500,17050,17200,46929,116113.0,6750733.0
2017-07-25,17200,17850,17100,17100,71095,115438.0,6750733.0
2017-07-26,17100,17300,17000,17150,37977,115775.0,6750733.0
2017-07-27,17150,17300,16800,16900,34935,114087.0,6750733.0
2017-07-28,16900,16900,15900,16100,117499,108687.0,6750733.0
2017-07-31,16300,16300,15600,16000,39359,108012.0,6750733.0
2017-08-01,16000,16150,15650,16150,50293,109024.0,6750733.0
2017-08-02,16000,16000,15700,15950,39487,107674.0,6750733.0
2017-08-03,15950,15950,15400,15400,45061,103961.0,6750733.0
2017-08-04,15600,15900,15000,15350,43005,103624.0,6750733.0
2017-08-07,15400,15400,14800,15050,53526,101599.0,6750733.0
2017-08-08,15050,15250,14800,15200,57765,102611.0,6750733.0
2017-08-09,15000,15200,14650,15100,42910,101936.0,6750733.0
2017-08-10,15000,15050,14300,15050,91324,101599.0,6750733.0
2017-08-11,14650,14950,14300,14950,40900,100923.0,6750733.0
2017-08-14,15150,15850,15100,15200,77565,102611.0,6750733.0
2017-08-16,15000,15400,14850,15100,27179,101936.0,6750733.0
2017-08-17,15100,15400,15000,15300,14955,103286.0,6750733.0
2017-08-18,15250,15350,15050,15300,9046,103286.0,6750733.0
2017-08-21,15300,15350,14950,15300,24715,103286.0,6750733.0
2017-08-22,15300,15300,14750,14750,33244,99573.0,6750733.0
2017-08-23,14850,15000,14550,14850,31369,100248.0,6750733.0
2017-08-24,14850,14900,14350,14350,46193,96873.0,6750733.0
2017-08-25,14400,14500,14050,14200,27482,95860.0,6750733.0
2017-08-28,14250,14250,13600,14200,58971,95860.0,6750733.0
2017-08-29,14000,14450,13800,14300,25945,96535.0,6750733.0
2017-08-30,14200,14450,13900,13900,26062,93835.0,6750733.0
2017-08-31,14100,14150,13800,14050,17438,94848.0,6750733.0
2017-09-01,13950,14050,13800,14000,15250,94510.0,6750733.0
2017-09-04,13700,14100,13500,14000,30619,94510.0,6750733.0
2017-09-05,14000,14100,13800,14000,23892,94510.0,6750733.0
2017-09-06,13950,14050,13700,14000,13795,94510.0,6750733.0
2017-09-07,13800,14000,13800,14000,13386,94510.0,6750733.0
2017-09-08,14050,14050,13800,13950,12938,94173.0,6750733.0
2017-09-11,13950,14000,13850,13950,8716,94173.0,6750733.0
2017-09-12,14000,14400,13900,14000,70125,94510.0,6750733.0
2017-09-13,14100,14100,13750,13950,11048,94173.0,6750733.0
2017-09-14,13750,13950,13150,13300,71979,89785.0,6750733.0
2017-09-15,13450,13450,12750,13150,43255,88772.0,6750733.0
2017-09-18,13150,13450,13100,13250,20109,89447.0,6750733.0
2017-09-19,13400,13400,13050,13150,18529,88772.0,6750733.0
2017-09-20,13350,13350,12600,13150,28050,88772.0,6750733.0
2017-09-21,12850,13000,12250,12650,51133,85397.0,6750733.0
2017-09-22,13000,13000,12050,12200,41997,82359.0,6750733.0
2017-09-25,12400,12400,11600,11900,27686,80334.0,6750733.0
2017-09-26,11850,12350,11450,12300,30977,83034.0,6750733.0
2017-09-27,12300,12450,11800,12050,19920,81346.0,6750733.0
2017-09-28,12050,12200,11500,11550,49311,77971.0,6750733.0
2017-09-29,11600,12300,11500,12250,60556,82696.0,6750733.0
2017-10-10,12350,13850,12300,12800,168842,86409.0,6750733.0
2017-10-11,12900,13350,12550,13100,27637,88435.0,6750733.0
2017-10-12,13100,13950,13050,13500,85155,91135.0,6750733.0
2017-10-13,14000,14000,12900,13050,65147,88097.0,6750733.0
2017-10-16,13400,13400,12550,13050,21666,88097.0,6750733.0
2017-10-17,13000,13200,12800,12850,17837,86747.0,6750733.0
2017-10-18,13000,13100,12500,12850,20178,86747.0,6750733.0
2017-10-19,13000,13300,12750,13050,38890,88097.0,6750733.0
2017-10-20,13250,13300,12850,13050,19380,88097.0,6750733.0
2017-10-23,13050,13150,12850,13050,6679,88097.0,6750733.0
2017-10-24,13250,13250,12850,13150,11125,88772.0,6750733.0
2017-10-25,13150,13200,12900,13200,13524,89110.0,6750733.0
2017-10-26,13250,13700,13100,13600,17669,91810.0,6750733.0
2017-10-27,13600,13850,13150,13150,24318,88772.0,6750733.0
2017-10-30,13300,13550,13050,13450,27624,90797.0,6750733.0
2017-10-31,13600,13600,13100,13300,13027,89785.0,6750733.0
2017-11-01,13400,13800,13250,13400,12430,90460.0,6750733.0
2017-11-02,13550,14500,13400,14150,61661,95523.0,6750733.0
2017-11-03,14400,14400,13500,13800,30627,93160.0,6750733.0
2017-11-06,13800,14100,13200,13450,37052,90797.0,6750733.0
2017-11-07,13550,13950,13450,13900,15368,93835.0,6750733.0
