동일금속(109860),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-07-28,10000,11500,10000,11500,7084504,80500.0,7000000.0
2009-07-29,11800,12550,9950,9950,3536175,69650.0,7000000.0
2009-07-30,10050,10100,8520,9250,1145641,64750.0,7000000.0
2009-07-31,9330,9690,8980,8980,875542,62860.0,7000000.0
2009-08-03,8980,9150,8800,8980,365373,62860.0,7000000.0
2009-08-04,9060,10300,8960,10300,952833,72100.0,7000000.0
2009-08-05,10150,11600,9930,10300,1798482,72100.0,7000000.0
2009-08-06,10300,10900,10000,10350,502639,72450.0,7000000.0
2009-08-07,10650,11200,10400,10400,572728,72800.0,7000000.0
2009-08-10,10500,10900,10400,10500,342551,73500.0,7000000.0
2009-08-11,10550,10600,10100,10250,278818,71750.0,7000000.0
2009-08-12,10200,10350,9980,10050,315769,70350.0,7000000.0
2009-08-13,10250,10300,10050,10050,179281,70350.0,7000000.0
2009-08-14,10150,10700,10100,10350,397095,72450.0,7000000.0
2009-08-17,10500,10800,10100,10650,351814,74550.0,7000000.0
2009-08-18,10300,10650,10250,10500,272323,73500.0,7000000.0
2009-08-19,10700,11150,10500,10500,338853,73500.0,7000000.0
2009-08-20,10550,10650,10150,10300,259908,72100.0,7000000.0
2009-08-21,10750,11200,10400,10450,315935,73150.0,7000000.0
2009-08-24,10550,10550,10150,10350,195643,72450.0,7000000.0
2009-08-25,10550,10550,10150,10300,168008,72100.0,7000000.0
2009-08-26,10400,10400,10150,10200,125971,71400.0,7000000.0
2009-08-27,10150,10400,9950,10400,199619,72800.0,7000000.0
2009-08-28,10400,10400,10100,10350,152172,72450.0,7000000.0
2009-08-31,10300,10300,10050,10100,112059,70700.0,7000000.0
2009-09-01,10350,10500,9990,10050,174813,70350.0,7000000.0
2009-09-02,10000,10050,9750,9870,128044,69090.0,7000000.0
2009-09-03,9990,9990,9320,9600,190329,67200.0,7000000.0
2009-09-04,9540,9540,9150,9160,128377,64120.0,7000000.0
2009-09-07,9190,9190,8910,8960,119506,62720.0,7000000.0
2009-09-08,8890,9650,8890,9090,149636,63630.0,7000000.0
2009-09-09,9110,9160,8750,8880,119710,62160.0,7000000.0
2009-09-10,8910,9290,8880,9140,80290,63980.0,7000000.0
2009-09-11,8900,9280,8900,9100,79559,63700.0,7000000.0
2009-09-14,9150,9160,8980,9120,66085,63840.0,7000000.0
2009-09-15,9150,9350,9080,9220,49015,64540.0,7000000.0
2009-09-16,9290,9360,9200,9270,58103,64890.0,7000000.0
2009-09-17,9300,9380,9080,9250,55370,64750.0,7000000.0
2009-09-18,9270,9390,9070,9100,57765,63700.0,7000000.0
2009-09-21,9110,9290,9000,9030,42096,63210.0,7000000.0
2009-09-22,9000,9130,8990,9010,61824,63070.0,7000000.0
2009-09-23,9020,9060,8770,8810,69905,61670.0,7000000.0
2009-09-24,8770,8850,8510,8510,82975,59570.0,7000000.0
2009-09-25,8420,8490,8220,8220,61306,57540.0,7000000.0
2009-09-28,8100,8190,7720,7720,113513,54040.0,7000000.0
2009-09-29,7720,8870,7200,8870,396662,62090.0,7000000.0
2009-09-30,8870,9560,8420,8800,395441,61600.0,7000000.0
2009-10-01,8810,9050,8330,8450,79602,59150.0,7000000.0
2009-10-05,8450,8450,7830,7910,83491,55370.0,7000000.0
2009-10-06,7900,8010,7800,7810,35157,54670.0,7000000.0
2009-10-07,7770,8000,7680,7810,57719,54670.0,7000000.0
2009-10-08,7760,7940,7640,7640,54863,53480.0,7000000.0
2009-10-09,7780,7860,7590,7850,52673,54950.0,7000000.0
2009-10-12,8000,8350,7870,8020,39256,56140.0,7000000.0
2009-10-13,8110,8200,7900,8170,33045,57190.0,7000000.0
2009-10-14,8230,8240,8000,8200,21239,57400.0,7000000.0
2009-10-15,8200,8650,8170,8260,71088,57820.0,7000000.0
2009-10-16,8350,8600,8270,8480,47198,59360.0,7000000.0
2009-10-19,8450,8550,8400,8450,17622,59150.0,7000000.0
2009-10-20,8490,8500,8260,8280,30567,57960.0,7000000.0
2009-10-21,8210,8390,8000,8070,26058,56490.0,7000000.0
2009-10-22,8000,8170,7960,8130,28925,56910.0,7000000.0
2009-10-23,8200,8250,7950,8100,18510,56700.0,7000000.0
2009-10-26,8020,8100,7930,7930,24011,55510.0,7000000.0
2009-10-27,7810,8130,7800,8000,28935,56000.0,7000000.0
2009-10-28,8020,8090,7850,7860,30243,55020.0,7000000.0
2009-10-29,7710,7990,7640,7720,28176,54040.0,7000000.0
2009-10-30,7760,8000,7700,7760,18423,54320.0,7000000.0
2009-11-02,7600,7790,7600,7690,15536,53830.0,7000000.0
2009-11-03,7630,7900,7630,7860,13730,55020.0,7000000.0
2009-11-04,7860,8020,7750,7860,15223,55020.0,7000000.0
2009-11-05,7880,7920,7770,7890,16247,55230.0,7000000.0
2009-11-06,8090,8680,8010,8340,113987,58380.0,7000000.0
2009-11-09,8340,8430,8180,8200,36176,57400.0,7000000.0
2009-11-10,8290,8300,8160,8230,31545,57610.0,7000000.0
2009-11-11,8270,8280,8110,8200,27767,57400.0,7000000.0
2009-11-12,8210,8210,7920,7920,28679,55440.0,7000000.0
2009-11-13,7930,8020,7770,7950,18053,55650.0,7000000.0
2009-11-16,8000,8100,7820,7970,14545,55790.0,7000000.0
2009-11-17,7950,8160,7950,8010,22296,56070.0,7000000.0
2009-11-18,8020,8310,8000,8030,27866,56210.0,7000000.0
2009-11-19,7980,8090,7880,7890,24863,55230.0,7000000.0
2009-11-20,7890,7920,7740,7880,21377,55160.0,7000000.0
2009-11-23,7920,7980,7750,7770,23618,54390.0,7000000.0
2009-11-24,7800,7890,7750,7760,16527,54320.0,7000000.0
2009-11-25,7750,7900,7710,7770,42008,54390.0,7000000.0
2009-11-26,8050,8050,7810,7860,18823,55020.0,7000000.0
2009-11-27,7750,7850,7500,7500,42521,52500.0,7000000.0
2009-11-30,7510,7770,7510,7640,28168,53480.0,7000000.0
2009-12-01,7550,7700,7550,7680,17062,53760.0,7000000.0
2009-12-02,7670,7780,7660,7760,19441,54320.0,7000000.0
2009-12-03,7820,7870,7720,7870,16892,55090.0,7000000.0
2009-12-04,7870,7880,7730,7880,22231,55160.0,7000000.0
2009-12-07,7850,7900,7780,7850,13143,54950.0,7000000.0
2009-12-08,7830,7900,7800,7870,9208,55090.0,7000000.0
2009-12-09,7740,7880,7740,7800,10244,54600.0,7000000.0
2009-12-10,7890,7940,7790,7930,11323,55510.0,7000000.0
2009-12-11,7940,8250,7930,8150,42898,57050.0,7000000.0
2009-12-14,8170,8340,8070,8290,31313,58030.0,7000000.0
2009-12-15,8290,8500,8110,8180,22992,57260.0,7000000.0
2009-12-16,8250,8330,8140,8290,30986,58030.0,7000000.0
2009-12-17,8240,8550,8240,8400,30197,58800.0,7000000.0
2009-12-18,8330,8400,8200,8330,19109,58310.0,7000000.0
2009-12-21,8330,8390,8200,8230,19857,57610.0,7000000.0
2009-12-22,8250,8330,8170,8250,30718,57750.0,7000000.0
2009-12-23,8290,8300,8050,8230,13601,57610.0,7000000.0
2009-12-24,8230,8260,8120,8250,18655,57750.0,7000000.0
2009-12-28,8400,8430,8220,8300,26418,58100.0,7000000.0
2009-12-29,8400,8400,8120,8230,8990,57610.0,7000000.0
2009-12-30,8200,8290,8000,8040,20493,56280.0,7000000.0
2010-01-04,7950,8090,7700,7780,50663,54460.0,7000000.0
2010-01-05,7820,7820,7700,7780,38557,54460.0,7000000.0
2010-01-06,7780,7800,7710,7730,39357,54110.0,7000000.0
2010-01-07,7730,8040,7730,7890,57929,55230.0,7000000.0
2010-01-08,7880,8100,7850,7990,31868,55930.0,7000000.0
2010-01-11,8000,8050,7870,7940,20635,55580.0,7000000.0
2010-01-12,7940,8580,7900,8550,112608,59850.0,7000000.0
2010-01-13,8800,9300,8730,8760,271872,61320.0,7000000.0
2010-01-14,8700,8820,8460,8820,94566,61740.0,7000000.0
2010-01-15,8820,8990,8630,8810,53684,61670.0,7000000.0
2010-01-18,8790,8800,8600,8630,44744,60410.0,7000000.0
2010-01-19,8760,8980,8570,8650,54798,60550.0,7000000.0
2010-01-20,8680,8680,8400,8460,50443,59220.0,7000000.0
2010-01-21,8450,8530,8330,8530,31004,59710.0,7000000.0
2010-01-22,8440,8490,8310,8320,40596,58240.0,7000000.0
2010-01-25,8210,8300,8050,8100,46043,56700.0,7000000.0
2010-01-26,8090,8150,7930,7930,25694,55510.0,7000000.0
2010-01-27,7900,7980,7790,7900,24017,55300.0,7000000.0
2010-01-28,7990,8140,7890,8060,9199,56420.0,7000000.0
2010-01-29,8040,8040,7800,7810,17663,54670.0,7000000.0
2010-02-01,7940,7940,7730,7850,16395,54950.0,7000000.0
2010-02-02,7850,8200,7850,7980,19191,55860.0,7000000.0
2010-02-03,8100,8150,7800,7850,24372,54950.0,7000000.0
2010-02-04,7910,7920,7740,7800,13920,54600.0,7000000.0
2010-02-05,7690,7800,7520,7770,38527,54390.0,7000000.0
2010-02-08,7800,7800,7710,7760,10929,54320.0,7000000.0
2010-02-09,7610,7740,7610,7700,10484,53900.0,7000000.0
2010-02-10,7800,7840,7620,7690,12827,53830.0,7000000.0
2010-02-11,7660,7790,7660,7700,6082,53900.0,7000000.0
2010-02-12,7720,7810,7710,7800,6521,54600.0,7000000.0
2010-02-16,7800,7850,7670,7830,6586,54810.0,7000000.0
2010-02-17,7800,7990,7800,7830,9066,54810.0,7000000.0
2010-02-18,7890,7890,7770,7800,7020,54600.0,7000000.0
2010-02-19,7860,7860,7730,7730,7864,54110.0,7000000.0
2010-02-22,7740,7800,7690,7740,11436,54180.0,7000000.0
2010-02-23,7770,7770,7690,7750,6106,54250.0,7000000.0
2010-02-24,7700,7750,7670,7720,6547,54040.0,7000000.0
2010-02-25,7770,7770,7620,7640,13929,53480.0,7000000.0
2010-02-26,7750,7750,7580,7580,7443,53060.0,7000000.0
2010-03-02,7590,7700,7540,7570,7803,52990.0,7000000.0
2010-03-03,7610,7700,7510,7620,6101,53340.0,7000000.0
2010-03-04,7600,7670,7200,7640,9217,53480.0,7000000.0
2010-03-05,7500,7660,7480,7560,17868,52920.0,7000000.0
2010-03-08,7600,7600,7490,7540,12437,52780.0,7000000.0
2010-03-09,7600,7600,7410,7550,16116,52850.0,7000000.0
2010-03-10,7470,7550,7350,7390,28805,51730.0,7000000.0
2010-03-11,7410,7410,7230,7270,24534,50890.0,7000000.0
2010-03-12,7270,7340,7190,7290,24044,51030.0,7000000.0
2010-03-15,7300,7340,7220,7310,14260,51170.0,7000000.0
2010-03-16,7240,8400,7240,8400,243329,58800.0,7000000.0
2010-03-17,9200,9660,9150,9660,570072,67620.0,7000000.0
2010-03-18,9660,9990,8600,9400,398606,65800.0,7000000.0
2010-03-19,9550,9970,9320,9470,194913,66290.0,7000000.0
2010-03-22,9500,9750,9100,9190,129864,64330.0,7000000.0
2010-03-23,9360,9360,8710,8980,156635,62860.0,7000000.0
2010-03-24,9140,9160,8600,8690,96934,60830.0,7000000.0
2010-03-25,8750,8920,8700,8780,66776,61460.0,7000000.0
2010-03-26,8860,8860,8350,8630,83652,60410.0,7000000.0
2010-03-29,8630,8630,8360,8450,45161,59150.0,7000000.0
2010-03-30,8420,8750,8350,8600,46348,60200.0,7000000.0
2010-03-31,8450,8740,8450,8500,23945,59500.0,7000000.0
2010-04-01,8570,9090,8570,8900,65474,62300.0,7000000.0
2010-04-02,9100,9100,8750,8790,34860,61530.0,7000000.0
2010-04-05,8900,8900,8490,8560,31225,59920.0,7000000.0
2010-04-06,8700,8780,8560,8620,21838,60340.0,7000000.0
2010-04-07,8560,8700,8430,8550,40025,59850.0,7000000.0
2010-04-08,8580,8580,8370,8410,29738,58870.0,7000000.0
2010-04-09,8410,8490,8210,8400,33565,58800.0,7000000.0
2010-04-12,8460,8460,8210,8310,23861,58170.0,7000000.0
