메카로(241770),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-12-06,43000,44000,36700,38500,2238668,378634.0,9834640.0
2017-12-07,39000,40500,38150,39100,355217,384534.0,9834640.0
2017-12-08,39700,40350,38700,39400,127728,387485.0,9834640.0
2017-12-11,39750,39950,37500,38350,125305,377158.0,9834640.0
2017-12-12,38100,38100,35900,36950,175065,363390.0,9834640.0
2017-12-13,36950,39700,36950,39000,182069,383551.0,9834640.0
2017-12-14,39950,43750,39500,42700,535374,419939.0,9834640.0
2017-12-15,41600,43000,40700,42700,142751,419939.0,9834640.0
2017-12-18,42500,44900,40500,43900,184514,431741.0,9834640.0
2017-12-19,44100,45000,42150,44500,125135,437641.0,9834640.0
2017-12-20,44750,44750,43100,43700,52602,429774.0,9834640.0
2017-12-21,42700,43200,40850,41050,100925,403712.0,9834640.0
2017-12-22,41100,42550,40150,41300,104939,406171.0,9834640.0
2017-12-26,41250,41250,39150,40050,125067,397742.0,9931140.0
2017-12-27,40600,40600,38900,40050,81672,397742.0,9931140.0
2017-12-28,39700,42950,38700,42450,155246,421577.0,9931140.0
2018-01-02,43200,43500,41650,42700,100310,424060.0,9931140.0
2018-01-03,43000,43500,41900,43350,85414,430515.0,9931140.0
2018-01-04,43350,43350,41750,41950,52676,416611.0,9931140.0
2018-01-05,41900,44100,41700,43400,85521,431011.0,9931140.0
2018-01-08,41800,42500,40850,41400,269585,411149.0,9931140.0
2018-01-09,41800,42500,39800,40350,137568,400721.0,9931140.0
2018-01-10,40800,41150,38750,39350,132133,390790.0,9931140.0
2018-01-11,39100,41050,39100,40500,85498,402211.0,9931140.0
2018-01-12,41150,41150,38800,40000,101508,397246.0,9931140.0
2018-01-15,40800,41000,40000,40500,74185,402211.0,9931140.0
2018-01-16,40500,41200,39500,41200,62156,409163.0,9931140.0
2018-01-17,41100,41450,39300,39850,81321,395756.0,9931140.0
2018-01-18,40200,40300,39600,39700,43427,394266.0,9931140.0
2018-01-19,40100,40200,39350,39700,34651,394266.0,9931140.0
2018-01-22,39900,39900,38200,38450,82904,381852.0,9931140.0
2018-01-23,38300,39200,38300,38750,49508,386537.0,9975140.0
2018-01-24,38950,39600,38750,39300,36663,392023.0,9975140.0
2018-01-25,39100,39300,37800,39050,77773,389529.0,9975140.0
2018-01-26,39250,39950,38450,39900,63078,398008.0,9975140.0
2018-01-29,40400,40400,39300,39300,66376,392023.0,9975140.0
2018-01-30,39400,39550,38800,38800,41100,387035.0,9975140.0
2018-01-31,38450,38800,38000,38600,63696,385040.0,9975140.0
2018-02-01,38550,39000,37750,38150,56962,380552.0,9975140.0
2018-02-02,38450,38750,37250,37250,48208,371574.0,9975140.0
2018-02-05,36700,37000,34300,34950,119238,348631.0,9975140.0
2018-02-06,32550,34800,32550,34500,88336,344142.0,9975140.0
2018-02-07,34950,35900,33250,33450,56625,333668.0,9975140.0
2018-02-08,33450,36450,33000,35500,71425,354117.0,9975140.0
2018-02-09,37200,38600,35900,37450,215421,373569.0,9975140.0
2018-02-12,37000,37350,35350,35900,78811,358108.0,9975140.0
