아바텍(149950),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-11-06,10500,12050,10100,12050,2974829,192800.0,16000000.0
2012-11-07,13050,13850,12750,13850,729181,221600.0,16000000.0
2012-11-08,14950,15450,13150,13850,4753390,221600.0,16000000.0
2012-11-09,13850,14800,12950,13700,2577551,219200.0,16000000.0
2012-11-12,14050,14300,12800,13350,1467768,213600.0,16000000.0
2012-11-13,13600,13700,12750,13450,1086033,215200.0,16000000.0
2012-11-14,13250,13550,12200,12350,739226,197600.0,16000000.0
2012-11-15,12050,12200,11000,11000,782522,176000.0,16000000.0
2012-11-16,11400,12650,11300,11900,3111087,190400.0,16000000.0
2012-11-19,11700,13650,11300,13650,1876537,218400.0,16000000.0
2012-11-20,13700,14400,13150,13750,1879810,220000.0,16000000.0
2012-11-21,14150,14300,12000,12050,1956751,192800.0,16000000.0
2012-11-22,12300,12450,11750,12000,674755,192000.0,16000000.0
2012-11-23,12150,12150,11150,11400,698482,182400.0,16000000.0
2012-11-26,11400,12150,11250,12000,701015,192000.0,16000000.0
2012-11-27,12000,12400,11700,12200,531186,195200.0,16000000.0
2012-11-28,12250,12250,11550,11850,428282,189600.0,16000000.0
2012-11-29,11900,12150,11250,11300,440010,180800.0,16000000.0
2012-11-30,11450,11650,11150,11350,271568,181600.0,16000000.0
2012-12-03,10950,11100,10000,10150,851177,162400.0,16000000.0
2012-12-04,10300,11600,10250,11200,655176,179200.0,16000000.0
2012-12-05,11200,11650,10500,10600,608540,169600.0,16000000.0
2012-12-06,10300,11950,10150,11500,1173707,184000.0,16000000.0
2012-12-07,11500,12150,11200,11850,528631,189600.0,16000000.0
2012-12-10,11950,12250,11500,11700,291217,187200.0,16000000.0
2012-12-11,11550,11750,10700,10700,295752,171200.0,16000000.0
2012-12-12,10950,11350,10550,10700,360085,171200.0,16000000.0
2012-12-13,10700,11300,10600,11250,284092,183459.0,16307500.0
2012-12-14,11200,11450,10650,10900,287629,177752.0,16307500.0
2012-12-17,10750,10900,10300,10400,273012,169598.0,16307500.0
2012-12-18,10450,10700,10200,10550,264722,172044.0,16307500.0
2012-12-20,10600,10850,10350,10550,118109,172044.0,16307500.0
2012-12-21,10550,10650,9840,9990,330387,162912.0,16307500.0
2012-12-24,10000,10000,9200,9300,702969,151660.0,16307500.0
2012-12-26,9250,9550,8970,9000,653274,146768.0,16307500.0
2012-12-27,9150,10000,9000,9930,980053,161933.0,16307500.0
2012-12-28,9900,10700,9840,10550,693588,172044.0,16307500.0
2013-01-02,10700,10750,10300,10300,601098,167967.0,16307500.0
2013-01-03,10400,10450,10000,10250,320345,167152.0,16307500.0
2013-01-04,10250,10950,10100,10900,452861,177752.0,16307500.0
2013-01-07,11050,11400,10950,11250,465071,183459.0,16307500.0
2013-01-08,11250,11450,11000,11100,202873,181013.0,16307500.0
2013-01-09,11100,11350,10600,10750,276105,175306.0,16307500.0
2013-01-10,10800,12000,10650,11700,909470,190798.0,16307500.0
2013-01-11,11800,12250,11550,12050,788129,196505.0,16307500.0
2013-01-14,12400,13700,12300,13450,1622853,219336.0,16307500.0
2013-01-15,13400,13500,12900,13350,529444,217705.0,16307500.0
2013-01-16,13400,13950,13100,13400,593943,218520.0,16307500.0
2013-01-17,13300,13700,12800,13200,313757,215259.0,16307500.0
2013-01-18,13200,13900,13050,13900,376279,226674.0,16307500.0
2013-01-21,13900,14000,13550,13800,253703,225044.0,16307500.0
2013-01-22,13650,13850,13400,13750,341756,224228.0,16307500.0
2013-01-23,13650,14150,13550,13600,238214,221782.0,16307500.0
2013-01-24,13600,13700,12800,12800,326638,208736.0,16307500.0
2013-01-25,12950,13200,12600,12900,256376,210367.0,16307500.0
2013-01-28,12800,13050,12550,12750,144134,207921.0,16307500.0
2013-01-29,12750,13250,12750,12750,167564,207921.0,16307500.0
2013-01-30,12900,13100,12550,12600,160444,205474.0,16307500.0
2013-01-31,12750,12750,12100,12500,208139,203844.0,16307500.0
2013-02-01,12500,12800,12150,12450,234907,203028.0,16307500.0
2013-02-04,12450,12500,11150,11150,333277,181829.0,16307500.0
2013-02-05,11200,11500,10800,11300,181179,184275.0,16307500.0
2013-02-06,11400,11750,11300,11550,149548,188352.0,16307500.0
2013-02-07,11600,12500,11600,12400,359844,202213.0,16307500.0
2013-02-08,12500,12750,12150,12550,247876,204659.0,16307500.0
2013-02-12,12700,13200,12300,12650,354689,206290.0,16307500.0
2013-02-13,12750,12900,12550,12800,192504,208736.0,16307500.0
2013-02-14,12900,12900,12350,12600,248230,205474.0,16307500.0
2013-02-15,12600,13200,12600,13200,413133,215259.0,16307500.0
2013-02-18,13200,13450,13050,13450,235341,219336.0,16307500.0
2013-02-19,13500,13500,13050,13250,221351,216074.0,16307500.0
2013-02-20,13350,13400,13050,13300,315801,216890.0,16307500.0
2013-02-21,13450,14350,13350,13500,1229771,220151.0,16307500.0
2013-02-22,13200,13600,12750,13600,573011,221782.0,16307500.0
2013-02-25,13650,13850,13350,13600,230280,221782.0,16307500.0
2013-02-26,13700,14100,13600,13800,284902,225044.0,16307500.0
2013-02-27,13900,14350,13850,14250,601476,232382.0,16307500.0
2013-02-28,14400,14550,14100,14250,406903,232382.0,16307500.0
2013-03-04,14200,14300,12800,12800,949680,208736.0,16307500.0
2013-03-05,12650,12750,11350,11650,3467822,189982.0,16307500.0
2013-03-06,11750,11900,11450,11650,1030233,189982.0,16307500.0
2013-03-07,11800,11800,11050,11300,932082,184275.0,16307500.0
2013-03-08,11200,11300,10550,10750,1241520,175306.0,16307500.0
2013-03-11,10750,11350,10400,11300,989215,184275.0,16307500.0
2013-03-12,11400,11650,11250,11450,565858,186721.0,16307500.0
2013-03-13,11600,12050,11550,11850,1058900,193244.0,16307500.0
2013-03-14,12150,12400,12100,12100,886717,197321.0,16307500.0
2013-03-15,12150,12250,11400,11400,617130,185906.0,16307500.0
2013-03-18,11300,11550,11100,11450,285562,186721.0,16307500.0
2013-03-19,11550,11700,11300,11550,287465,188352.0,16307500.0
2013-03-20,11450,11500,10900,11000,387173,179382.0,16307500.0
2013-03-21,11150,11350,10700,10900,362728,177752.0,16307500.0
2013-03-22,10800,11300,10750,11250,274062,183459.0,16307500.0
2013-03-25,11300,11650,11100,11500,252107,187536.0,16307500.0
2013-03-26,11400,11550,11200,11250,173571,183459.0,16307500.0
2013-03-27,11300,11450,11150,11250,251758,183459.0,16307500.0
2013-03-28,11450,11750,11400,11400,436928,185906.0,16307500.0
2013-03-29,11450,11650,11400,11600,239189,189167.0,16307500.0
2013-04-01,11800,11800,11500,11600,214091,189167.0,16307500.0
2013-04-02,11700,11900,11450,11600,402994,189167.0,16307500.0
2013-04-03,11800,12700,11700,12650,1337073,206290.0,16307500.0
2013-04-04,12550,13000,12050,12950,817197,211182.0,16307500.0
2013-04-05,12950,13050,12300,12400,492199,202213.0,16307500.0
2013-04-08,12600,12750,11550,11600,669134,189167.0,16307500.0
2013-04-09,11500,11900,10900,11250,567200,183459.0,16307500.0
2013-04-10,11250,11700,11250,11700,272115,190798.0,16307500.0
2013-04-11,11800,11950,11550,11800,292539,192428.0,16307500.0
2013-04-12,12000,12350,11900,12050,337205,196505.0,16307500.0
2013-04-15,12100,12450,11900,12000,251373,195690.0,16307500.0
2013-04-16,11800,12300,11700,12300,369827,200582.0,16307500.0
2013-04-17,12500,12550,12150,12250,377214,199767.0,16307500.0
2013-04-18,12200,12200,11800,11800,255082,192428.0,16307500.0
2013-04-19,11750,11850,11450,11550,308672,188352.0,16307500.0
2013-04-22,11550,11900,11550,11900,183072,194059.0,16307500.0
2013-04-23,12000,12350,11950,12250,357942,199767.0,16307500.0
2013-04-24,12300,12400,12100,12350,326536,201398.0,16307500.0
2013-04-25,12450,12800,12300,12450,560250,203028.0,16307500.0
2013-04-26,12500,12550,12300,12550,198301,204659.0,16307500.0
2013-04-29,12650,12650,12150,12250,353268,199767.0,16307500.0
2013-04-30,12400,12450,12100,12300,341261,200582.0,16307500.0
2013-05-02,12300,12350,11850,11900,226129,194059.0,16307500.0
2013-05-03,12000,12450,12000,12450,321690,203028.0,16307500.0
2013-05-06,12550,13000,12450,13000,755744,211998.0,16307500.0
2013-05-07,13000,13350,12750,12850,686450,209551.0,16307500.0
2013-05-08,12850,13350,12750,13200,561327,215259.0,16307500.0
2013-05-09,13450,13500,13000,13200,311122,215259.0,16307500.0
2013-05-10,13300,13450,12850,13250,380654,216074.0,16307500.0
2013-05-13,13300,13500,13000,13000,256388,211998.0,16307500.0
2013-05-14,12950,13200,12400,12650,426825,206290.0,16307500.0
2013-05-15,12800,12850,12500,12600,253197,205474.0,16307500.0
2013-05-16,12700,13100,12650,13000,292641,211998.0,16307500.0
2013-05-20,13000,13150,12600,12650,203014,206290.0,16307500.0
2013-05-21,12700,12800,12300,12500,273205,203844.0,16307500.0
2013-05-22,12600,12700,12350,12450,212325,203028.0,16307500.0
2013-05-23,12400,12650,11900,11900,400369,194059.0,16307500.0
2013-05-24,12000,12150,11650,11950,242767,194875.0,16307500.0
2013-05-27,11950,12150,11800,12150,132292,198136.0,16307500.0
2013-05-28,12200,12800,12200,12450,425634,203028.0,16307500.0
2013-05-29,12500,12550,12300,12300,121893,200582.0,16307500.0
2013-05-30,12300,12450,12150,12150,125488,198136.0,16307500.0
2013-05-31,12250,12300,11750,11850,192022,193244.0,16307500.0
2013-06-03,11900,12050,11600,11600,139161,189167.0,16307500.0
2013-06-04,11600,11800,11250,11450,136079,186721.0,16307500.0
2013-06-05,11450,11600,11000,11050,136066,180198.0,16307500.0
2013-06-07,10950,11100,10250,10850,207403,176936.0,16307500.0
2013-06-10,10850,11150,10700,11150,75578,181829.0,16307500.0
2013-06-11,11150,11150,10700,10900,103070,177752.0,16307500.0
2013-06-12,10750,10950,10600,10800,90676,176121.0,16307500.0
2013-06-13,10700,10950,10450,10500,86298,171229.0,16307500.0
2013-06-14,10650,10750,9990,10150,150957,165521.0,16307500.0
2013-06-17,10150,10300,9390,9420,277774,153617.0,16307500.0
2013-06-18,9540,9660,9180,9660,171735,157530.0,16307500.0
2013-06-19,9690,9990,9680,9700,140926,158183.0,16307500.0
2013-06-20,9800,9900,9520,9700,81523,158183.0,16307500.0
2013-06-21,9510,9780,9450,9780,62491,159487.0,16307500.0
2013-06-24,9760,9870,9660,9700,67812,158183.0,16307500.0
2013-06-25,9520,9700,8900,8950,167080,145952.0,16307500.0
2013-06-26,9000,9320,9000,9320,68704,151986.0,16307500.0
2013-06-27,9470,10050,9360,9800,110139,159814.0,16307500.0
2013-06-28,9990,9990,9650,9810,68261,159977.0,16307500.0
2013-07-01,9780,9980,9760,9930,41067,161933.0,16307500.0
2013-07-02,10000,10000,9710,9900,55685,161444.0,16307500.0
2013-07-03,9890,10200,9880,9980,94216,162749.0,16307500.0
2013-07-04,10100,10350,10000,10050,75691,163890.0,16307500.0
2013-07-05,10150,10250,10000,10100,50538,164706.0,16307500.0
2013-07-08,10100,10200,9750,9750,60944,158998.0,16307500.0
2013-07-09,9870,10100,9760,10100,65648,164706.0,16307500.0
2013-07-10,10150,10250,10000,10100,52117,164706.0,16307500.0
2013-07-11,10300,10400,10150,10200,62357,166336.0,16307500.0
2013-07-12,10250,10300,10050,10100,42883,164706.0,16307500.0
2013-07-15,10250,10250,9920,9950,61658,162260.0,16307500.0
2013-07-16,10050,10100,9780,9860,107331,160792.0,16307500.0
2013-07-17,9860,10100,9860,9970,84129,162586.0,16307500.0
2013-07-18,10050,10150,9740,9760,113446,159161.0,16307500.0
2013-07-19,9900,11000,9890,10600,710896,172860.0,16307500.0
2013-07-22,10700,10900,10400,10400,204942,169598.0,16307500.0
2013-07-23,10350,10550,10300,10400,115954,169598.0,16307500.0
2013-07-24,10550,10600,10250,10400,145204,169598.0,16307500.0
2013-07-25,10350,10450,10250,10300,65570,167967.0,16307500.0
2013-07-26,10400,10400,10000,10150,99434,165521.0,16307500.0
2013-07-29,10150,10150,9800,9830,178576,160303.0,16307500.0
2013-07-30,9840,9940,9810,9830,58742,160303.0,16307500.0
2013-07-31,9930,9940,9760,9880,73038,161118.0,16307500.0
2013-08-01,9860,10100,9750,9980,76578,162749.0,16307500.0
2013-08-02,10100,10150,9830,9870,95590,160955.0,16307500.0
2013-08-05,9950,9950,9770,9850,56454,160629.0,16307500.0
2013-08-06,9840,9930,9730,9800,55734,159814.0,16307500.0
2013-08-07,9730,9870,9510,9510,134709,155084.0,16307500.0
2013-08-08,9600,9710,9510,9560,100905,155900.0,16307500.0
2013-08-09,9570,9840,9480,9760,138405,159161.0,16307500.0
2013-08-12,9710,10800,9620,10000,519520,163075.0,16307500.0
2013-08-13,10150,10850,10000,10800,399937,176121.0,16307500.0
2013-08-14,10800,11100,10600,10600,227447,172860.0,16307500.0
2013-08-16,10600,11300,10550,11200,223150,182644.0,16307500.0
2013-08-19,11200,11200,10800,10900,106057,177752.0,16307500.0
2013-08-20,10950,11150,10450,10500,136178,171229.0,16307500.0
2013-08-21,10700,10900,10150,10300,107057,167967.0,16307500.0
2013-08-22,10200,10300,9950,10100,48846,164706.0,16307500.0
2013-08-23,10150,10600,10150,10500,77825,171229.0,16307500.0
2013-08-26,10500,10650,10200,10450,36783,170413.0,16307500.0
2013-08-27,10400,10650,10150,10350,49360,168783.0,16307500.0
2013-08-28,10000,10350,9980,9990,108156,162912.0,16307500.0
2013-08-29,10300,11400,10300,11200,569831,182644.0,16307500.0
2013-08-30,11200,11250,10850,11050,135442,180198.0,16307500.0
2013-09-02,11050,11500,10750,11500,189290,187536.0,16307500.0
2013-09-03,11500,11550,11200,11250,139417,183459.0,16307500.0
2013-09-04,11300,11550,11000,11000,134309,179382.0,16307500.0
2013-09-05,11050,11250,10800,10950,176553,178567.0,16307500.0
2013-09-06,10900,11000,10800,10900,52628,177752.0,16307500.0
2013-09-09,11300,11500,11150,11200,162938,182644.0,16307500.0
2013-09-10,11100,11200,10800,11000,74209,179382.0,16307500.0
2013-09-11,11100,11350,11000,11200,93365,182644.0,16307500.0
2013-09-12,11100,11250,10500,10500,290820,171229.0,16307500.0
2013-09-13,10550,10650,10450,10650,39622,173675.0,16307500.0
2013-09-16,10650,10650,10400,10500,62141,171229.0,16307500.0
2013-09-17,10500,11000,10300,10800,124851,176121.0,16307500.0
2013-09-23,11000,11000,10700,10700,61174,174490.0,16307500.0
2013-09-24,10950,10950,10500,10600,60607,172860.0,16307500.0
2013-09-25,10650,10650,10350,10450,55222,170413.0,16307500.0
2013-09-26,10500,10600,10400,10500,41998,171229.0,16307500.0
2013-09-27,10600,10900,10500,10650,79754,173675.0,16307500.0
2013-09-30,10700,10700,10450,10450,48314,170413.0,16307500.0
2013-10-01,10450,10650,10000,10050,127029,163890.0,16307500.0
2013-10-02,10100,10250,9950,10050,88004,163890.0,16307500.0
2013-10-04,10100,10100,9900,10050,38253,163890.0,16307500.0
2013-10-07,10000,10200,9940,10000,44616,163075.0,16307500.0
2013-10-08,9910,10250,9850,10200,76005,166336.0,16307500.0
2013-10-10,10100,10700,10100,10700,158279,174490.0,16307500.0
2013-10-11,11500,11800,10950,11250,723818,183459.0,16307500.0
2013-10-14,11350,11500,11100,11250,209693,183459.0,16307500.0
2013-10-15,11500,11850,11400,11550,307191,188352.0,16307500.0
2013-10-16,11550,11550,11000,11000,104191,179382.0,16307500.0
2013-10-17,11200,11250,10900,11100,108019,181013.0,16307500.0
2013-10-18,11000,11650,11000,11600,189393,189167.0,16307500.0
2013-10-21,11700,11750,11450,11550,113776,188352.0,16307500.0
2013-10-22,11500,11550,11200,11400,147216,185906.0,16307500.0
2013-10-23,11600,11800,11300,11400,228339,185906.0,16307500.0
2013-10-24,11350,12000,11100,11900,238731,194059.0,16307500.0
2013-10-25,11800,11900,11450,11800,183807,192428.0,16307500.0
2013-10-28,11700,12000,11500,12000,248568,195690.0,16307500.0
2013-10-29,12300,12450,11800,11850,474109,193244.0,16307500.0
2013-10-30,12000,12000,11400,11500,339285,187536.0,16307500.0
2013-10-31,11500,11650,11300,11500,134264,187536.0,16307500.0
2013-11-01,11350,11950,11300,11800,338526,192428.0,16307500.0
