하나금융10호스팩(270520),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-08-22,2020,2020,2000,2005,234197,9227.0,4602000.0
2017-08-23,2005,2010,2005,2005,212190,9227.0,4602000.0
2017-08-24,2005,2025,2005,2020,9574,9296.0,4602000.0
2017-08-25,2015,2030,2015,2025,13808,9319.0,4602000.0
2017-08-28,2025,2040,2020,2030,12369,9342.0,4602000.0
2017-08-29,2020,2035,2020,2035,26156,9365.0,4602000.0
2017-08-30,2035,2100,2030,2045,65012,9411.0,4602000.0
2017-08-31,2100,2100,2025,2040,40111,9388.0,4602000.0
2017-09-01,2025,2060,2025,2055,73913,9457.0,4602000.0
2017-09-04,2055,2055,2025,2050,6680,9434.0,4602000.0
2017-09-05,2035,2085,2010,2030,224099,9342.0,4602000.0
2017-09-06,2030,2035,2010,2010,122229,9250.0,4602000.0
2017-09-07,2025,2025,2010,2015,4293,9273.0,4602000.0
2017-09-08,2025,2025,2010,2015,19479,9273.0,4602000.0
2017-09-11,2030,2030,2010,2020,4043,9296.0,4602000.0
2017-09-12,2020,2020,2005,2010,23752,9250.0,4602000.0
2017-09-13,2015,2015,2005,2005,19858,9227.0,4602000.0
2017-09-14,2005,2030,2005,2010,13250,9250.0,4602000.0
2017-09-15,2010,2030,2010,2015,15414,9273.0,4602000.0
2017-09-18,2010,2025,2005,2025,20607,9319.0,4602000.0
2017-09-19,2020,2035,2010,2010,12484,9250.0,4602000.0
2017-09-20,2015,2030,2010,2020,2480,9296.0,4602000.0
2017-09-21,2020,2030,2010,2030,4459,9342.0,4602000.0
2017-09-22,2030,2030,2000,2025,34689,9319.0,4602000.0
2017-09-25,2025,2030,2010,2030,14831,9342.0,4602000.0
2017-09-26,2010,2030,2005,2025,2361,9319.0,4602000.0
2017-09-27,2015,2025,2005,2005,29661,9227.0,4602000.0
2017-09-28,2020,2020,2015,2015,3488,9273.0,4602000.0
2017-09-29,2010,2025,2005,2010,559,9250.0,4602000.0
2017-10-10,2035,2035,2010,2025,9806,9319.0,4602000.0
2017-10-11,2005,2025,2005,2010,6856,9250.0,4602000.0
2017-10-12,2005,2020,2005,2020,5007,9296.0,4602000.0
2017-10-13,2000,2015,2000,2005,831,9227.0,4602000.0
2017-10-16,2010,2010,2005,2010,669,9250.0,4602000.0
2017-10-17,2005,2010,2000,2005,51932,9227.0,4602000.0
2017-10-18,2010,2025,2010,2020,2941,9296.0,4602000.0
2017-10-19,2020,2025,2020,2025,613,9319.0,4602000.0
2017-10-20,2005,2025,2005,2010,716,9250.0,4602000.0
2017-10-23,2005,2025,2005,2025,1241,9319.0,4602000.0
2017-10-24,2025,2030,2025,2030,243,9342.0,4602000.0
2017-10-25,2005,2025,2005,2010,837,9250.0,4602000.0
2017-10-26,2000,2025,2000,2020,5768,9296.0,4602000.0
2017-10-27,2010,2025,1995,2000,56861,9204.0,4602000.0
2017-10-30,2000,2025,2000,2000,1013,9204.0,4602000.0
2017-10-31,2020,2020,2020,2020,1,9296.0,4602000.0
2017-11-01,2015,2015,1995,2000,12606,9204.0,4602000.0
2017-11-02,2015,2015,2005,2015,3,9273.0,4602000.0
2017-11-03,2015,2015,2015,2015,0,9273.0,4602000.0
2017-11-06,2000,2015,2000,2015,7,9273.0,4602000.0
2017-11-07,2000,2015,2000,2015,9006,9273.0,4602000.0
2017-11-08,2015,2015,2005,2005,5,9227.0,4602000.0
2017-11-09,2020,2020,2020,2020,1,9296.0,4602000.0
2017-11-10,2000,2020,2000,2015,1225,9273.0,4602000.0
2017-11-13,2015,2015,2015,2015,0,,
2017-11-14,1995,2015,1995,1995,312,9181.0,4602000.0
