아이디스(143160),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-09-26,9314,10700,9266,10701,108351,103126.0,3106200.0
2011-09-27,11764,11844,9105,9186,195915,88527.0,3106200.0
2011-09-28,9153,9298,8202,8864,34015,85420.0,3106200.0
2011-09-29,8621,10185,8621,9137,73190,88061.0,3106200.0
2011-09-30,8863,9250,8541,8831,37368,85110.0,3106200.0
2011-10-04,8670,8702,8122,8703,12653,83867.0,3106200.0
2011-10-05,8847,9250,8428,8541,6971,82314.0,3106200.0
2011-10-06,8251,8831,8251,8783,9019,84644.0,3106200.0
2011-10-07,8976,9266,8653,9186,10245,88527.0,3106200.0
2011-10-10,9089,9427,8895,9331,4759,89924.0,3106200.0
2011-10-11,9556,9572,9024,9508,3780,91633.0,3106200.0
2011-10-12,9540,9846,9379,9686,4760,93341.0,3106200.0
2011-10-13,9685,9685,9347,9589,4978,92409.0,3106200.0
2011-10-14,9927,9927,9234,9589,2176,92409.0,3106200.0
2011-10-17,9814,9814,9507,9653,614,93031.0,3106200.0
2011-10-18,9507,9701,9379,9653,7993,93031.0,3106200.0
2011-10-19,9781,9781,9459,9686,1963,93341.0,3106200.0
2011-10-20,9685,10620,9588,10282,8216,99088.0,3106200.0
2011-10-21,10281,10281,9491,9863,13743,95050.0,3106200.0
2011-10-24,9862,10249,9862,10234,7769,98622.0,3106200.0
2011-10-25,10039,10539,10023,10475,4827,100952.0,3106200.0
2011-10-26,10297,10765,10152,10717,3395,103281.0,3106200.0
2011-10-27,10716,10716,10346,10556,835,101728.0,3106200.0
2011-10-28,10539,10716,9911,10636,5057,102505.0,3106200.0
2011-10-31,10571,10684,10394,10685,2885,102971.0,3106200.0
2011-11-01,10700,10861,10507,10636,1007,102505.0,3106200.0
2011-11-02,10410,10684,10152,10685,1022,102971.0,3106200.0
2011-11-03,10684,10894,10684,10685,1163,102971.0,3106200.0
2011-11-04,10684,10781,10475,10636,3640,102505.0,3106200.0
2011-11-07,10475,11087,10475,10524,7002,101417.0,3106200.0
2011-11-08,10491,11570,10491,11523,11647,111047.0,3106200.0
2011-11-09,11570,11699,11119,11410,4759,109959.0,3106200.0
2011-11-10,11184,11345,10346,11039,1980,106387.0,3106200.0
2011-11-11,11329,11522,10475,10798,3658,104058.0,3106200.0
2011-11-14,11006,11442,10797,11329,3134,109183.0,3106200.0
2011-11-15,11216,11248,10894,11007,7161,106077.0,3106200.0
2011-11-16,11103,11329,10668,10669,8352,102815.0,3106200.0
2011-11-17,10894,10894,10491,10733,2927,103436.0,3106200.0
2011-11-18,10716,10861,10523,10572,1465,101883.0,3106200.0
2011-11-21,10571,10604,10152,10218,8412,98467.0,3106200.0
2011-11-22,10201,10201,9733,9814,9531,94584.0,3106200.0
2011-11-23,9927,9943,9507,9524,2807,91788.0,3106200.0
2011-11-24,9347,10845,9347,10378,4617,100020.0,3106200.0
2011-11-25,10958,10958,9878,10346,2677,99709.0,3106200.0
2011-11-28,10571,10571,10007,10121,2545,97535.0,3106200.0
