서진시스템(178320),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-03-27,18369,19035,16670,17153,1396347,210736.0,5642185.0
2017-03-28,17405,17451,16326,16556,310796,203401.0,5642185.0
2017-03-29,16257,16257,15269,15339,276986,188449.0,5642185.0
2017-03-30,15338,15935,14948,15109,174183,185628.0,5642185.0
2017-03-31,15246,15453,14649,14696,93214,180550.0,5642185.0
2017-04-03,14856,15155,14535,15086,97987,185346.0,5642185.0
2017-04-04,15155,15843,14902,15706,134440,192963.0,5642185.0
2017-04-05,15752,15752,15361,15546,43399,190988.0,5642185.0
2017-04-06,15522,15522,14695,14857,62284,182525.0,5642185.0
2017-04-07,14833,15040,14603,15040,47809,184782.0,5642185.0
2017-04-10,15040,15315,14856,14926,59658,183371.0,5642185.0
2017-04-11,14649,16762,14626,16166,490466,212262.0,6030159.0
2017-04-12,16165,17267,15981,16992,240735,223116.0,6030159.0
2017-04-13,16969,17336,16555,17176,104986,225528.0,6030159.0
2017-04-14,18140,18645,17634,18049,669353,236985.0,6030159.0
2017-04-17,17680,18415,17634,18324,266228,240603.0,6030159.0
2017-04-18,18277,18507,17910,18370,103817,241206.0,6030159.0
2017-04-19,18415,19173,18186,18921,157456,248443.0,6030159.0
2017-04-20,18920,19265,18599,18646,101212,244824.0,6030159.0
2017-04-21,18828,19655,18277,19656,106975,258091.0,6030159.0
2017-04-24,19885,20183,19540,19633,68848,257789.0,6030159.0
2017-04-25,19655,20000,19380,19518,36798,256282.0,6030159.0
2017-04-26,19724,19724,18943,19357,60109,254171.0,6030159.0
2017-04-27,18507,18851,18231,18668,344922,245126.0,6030159.0
2017-04-28,18622,19150,18622,19151,115956,251458.0,6030159.0
2017-05-02,19471,19471,18806,19105,46589,250855.0,6030159.0
2017-05-04,19104,19586,18828,19518,62950,256282.0,6030159.0
2017-05-08,19609,19609,19242,19357,38375,254171.0,6030159.0
2017-05-10,19494,19494,18737,18875,63005,247840.0,6030159.0
2017-05-11,18874,19219,18576,19174,87937,251759.0,6030159.0
2017-05-12,18920,19265,18737,19174,46774,251759.0,6030159.0
2017-05-15,19173,19173,18300,18783,103713,246634.0,6030159.0
2017-05-16,18897,18920,17956,18026,84152,236684.0,6030159.0
2017-05-17,17910,18140,17129,17451,81663,229146.0,6030159.0
2017-05-18,17451,17956,17244,17911,83138,235176.0,6030159.0
2017-05-19,17795,17956,17520,17681,60056,232161.0,6030159.0
2017-05-22,17680,17864,16969,17383,61259,228242.0,6030159.0
2017-05-23,17221,18002,17175,17911,56324,235176.0,6030159.0
2017-05-24,17795,17887,17267,17566,44150,230654.0,6030159.0
2017-05-25,17566,17910,17244,17383,39959,228242.0,6030159.0
2017-05-26,17405,17703,17129,17566,40640,239014.0,6248737.0
2017-05-29,17405,17887,17267,17474,40086,237764.0,6248737.0
2017-05-30,17474,17956,17382,17865,66640,243076.0,6248737.0
2017-05-31,17864,18048,17703,17911,38722,243701.0,6248737.0
2017-06-01,17910,18737,17818,18370,122608,249949.0,6248737.0
2017-06-02,18599,18668,18208,18209,51045,247762.0,6248737.0
2017-06-05,18415,18461,17933,18209,36906,247762.0,6248737.0
2017-06-07,18346,18369,17864,18140,32743,246825.0,6248737.0
2017-06-08,18186,18507,18002,18140,78778,246825.0,6248737.0
2017-06-09,18186,18300,17634,17796,60000,242139.0,6248737.0
2017-06-12,17657,17726,17267,17520,33758,238389.0,6248737.0
2017-06-13,17657,17657,16923,16969,82875,230891.0,6248737.0
2017-06-14,17060,17175,16785,16992,34137,231203.0,6248737.0
2017-06-15,17083,18071,17060,17819,75881,242451.0,6248737.0
2017-06-16,18025,18025,17405,17704,26618,240889.0,6248737.0
2017-06-19,17566,17910,17244,17429,62154,237140.0,6248737.0
2017-06-20,17221,17451,16900,16900,36919,229954.0,6248737.0
2017-06-21,17129,17152,16647,16877,22440,229641.0,6248737.0
2017-06-22,16969,17382,16877,16877,35364,229641.0,6248737.0
2017-06-23,16923,16969,16601,16671,38244,226829.0,6248737.0
2017-06-26,16670,17359,16670,17107,79611,232765.0,6248737.0
2017-06-27,16785,17979,16785,17268,166195,234953.0,6248737.0
2017-06-28,17313,17887,16946,17451,525666,237452.0,6248737.0
2017-06-29,17795,17818,17336,17796,145906,242139.0,6248737.0
2017-06-30,17818,18071,17634,18049,267641,245575.0,6248737.0
2017-07-03,18323,18438,17933,18071,130807,245888.0,6248737.0
2017-07-04,18140,18186,17543,17750,67054,241514.0,6248737.0
2017-07-05,17680,17864,17497,17796,38582,242139.0,6248737.0
2017-07-06,17864,17887,17474,17658,57043,240264.0,6248737.0
2017-07-07,17726,17726,16991,16992,70066,231203.0,6248737.0
2017-07-10,16991,17221,16739,16809,39631,228704.0,6248737.0
2017-07-11,16900,17267,16601,16877,46118,229641.0,6248737.0
2017-07-12,17106,17106,16785,16832,32768,229016.0,6248737.0
2017-07-13,16923,17060,16693,16992,44032,231203.0,6248737.0
2017-07-14,16969,16969,16670,16809,43291,228704.0,6248737.0
2017-07-17,16946,17083,16716,16832,29343,229016.0,6248737.0
2017-07-18,17014,17474,16854,17383,94372,236515.0,6248737.0
2017-07-19,17634,18071,17451,17681,122681,240576.0,6248737.0
2017-07-20,18186,19081,18002,19013,239725,258698.0,6248737.0
2017-07-21,19012,19448,18828,19151,118255,260572.0,6248737.0
2017-07-24,19242,19540,19035,19334,102802,263072.0,6248737.0
2017-07-25,19334,19334,18645,18944,108669,257760.0,6248737.0
2017-07-26,19058,19058,18277,18416,83175,250574.0,6248737.0
2017-07-27,18438,19081,18048,18140,95826,246825.0,6248737.0
2017-07-28,18186,18369,17382,17451,70404,237452.0,6248737.0
2017-07-31,17244,18186,17244,18094,42660,246200.0,6248737.0
2017-08-01,17956,18966,17887,18875,68877,256823.0,6248737.0
2017-08-02,18897,18966,18530,18921,30247,257448.0,6248737.0
2017-08-03,18874,18874,18094,18600,51955,253074.0,6248737.0
2017-08-04,18461,18553,17933,18163,37857,247138.0,6248737.0
2017-08-07,18415,18415,17864,18071,38462,245888.0,6248737.0
2017-08-08,18071,18140,17795,18071,19043,245888.0,6248737.0
2017-08-09,17749,18048,17428,17497,61051,238077.0,6248737.0
2017-08-10,17359,17795,16854,17176,42406,233703.0,6248737.0
2017-08-11,16808,17175,16578,17107,53105,232765.0,6248737.0
2017-08-14,17267,17382,17129,17130,19341,233078.0,6248737.0
2017-08-16,16877,17267,16486,16992,140044,231203.0,6248737.0
2017-08-17,16991,17772,16808,17704,73490,240889.0,6248737.0
2017-08-18,17451,17795,17382,17704,42739,240889.0,6248737.0
2017-08-21,17818,17818,17129,17383,57953,236515.0,6248737.0
2017-08-22,17451,17451,16946,17084,63049,232453.0,6248737.0
2017-08-23,17129,17221,16877,16946,40039,230578.0,6248737.0
2017-08-24,17221,18300,17221,18301,235091,249012.0,6248737.0
2017-08-25,18369,18828,18094,18760,107504,255261.0,6248737.0
2017-08-28,18783,18783,18208,18508,65432,251824.0,6248737.0
2017-08-29,18415,19012,18231,18875,105254,256823.0,6248737.0
2017-08-30,18920,19816,18783,19633,223275,267134.0,6248737.0
2017-08-31,19770,19862,19448,19633,110055,267134.0,6248737.0
2017-09-01,19724,19770,19288,19748,114227,268696.0,6248737.0
2017-09-04,19058,19494,18920,19105,111299,259947.0,6248737.0
2017-09-05,19173,19425,18599,19403,111053,264009.0,6248737.0
2017-09-06,19471,19632,19242,19472,80673,264946.0,6248737.0
2017-09-07,19471,19609,19265,19472,58037,264946.0,6248737.0
2017-09-08,19563,19563,19058,19082,51800,259635.0,6248737.0
2017-09-11,19058,19380,18691,19197,77494,261197.0,6248737.0
2017-09-12,19380,20597,19380,20299,361047,276194.0,6248737.0
2017-09-13,20321,20413,19816,20115,140150,273695.0,6248737.0
2017-09-14,20114,21148,19931,21148,218465,287754.0,6248737.0
2017-09-15,21056,21239,20665,21011,85530,285880.0,6248737.0
2017-09-18,20918,21056,20711,21034,74575,286192.0,6248737.0
2017-09-19,21032,21032,20298,20781,82412,282755.0,6248737.0
2017-09-20,20780,20826,19862,19863,109235,270258.0,6248737.0
2017-09-21,20137,20137,19012,19288,85827,262447.0,6248737.0
2017-09-22,19288,19471,18369,18737,97061,254948.0,6248737.0
2017-09-25,18599,18783,17818,18668,99542,254011.0,6248737.0
2017-09-26,18484,18668,18140,18370,77704,249949.0,6248737.0
2017-09-27,18576,18828,18392,18714,43637,254636.0,6248737.0
2017-09-28,18714,18920,18392,18439,26002,250887.0,6248737.0
2017-09-29,18300,18691,18048,18531,48215,252137.0,6248737.0
2017-10-10,18645,18691,17910,18026,68404,245263.0,6248737.0
2017-10-11,18048,18094,17428,17497,115082,238077.0,6248737.0
2017-10-12,17611,17772,17106,17199,55297,234015.0,6248737.0
2017-10-13,17313,17313,16119,16257,141416,221205.0,6248737.0
2017-10-16,16417,16486,15453,16005,91719,217768.0,6248737.0
2017-10-17,16142,16440,15958,15982,50500,217456.0,6248737.0
2017-10-18,16119,16188,15591,15706,41022,213707.0,6248737.0
2017-10-19,15683,16578,15453,16349,61574,222455.0,6248737.0
2017-10-20,16463,16578,16211,16257,26530,221205.0,6248737.0
2017-10-23,16417,16693,16165,16464,33358,224017.0,6248737.0
2017-10-24,16624,17106,16463,17015,72303,231516.0,6248737.0
2017-10-25,17014,17175,16349,16740,62885,227766.0,6248737.0
2017-10-26,16624,16877,16050,16257,54804,221205.0,6248737.0
2017-10-27,16256,16877,16256,16717,48910,227454.0,6248737.0
2017-10-30,16900,17152,16739,16900,32690,229954.0,6248737.0
2017-10-31,16900,17083,16624,16717,33239,227454.0,6248737.0
2017-11-01,16946,16946,16188,16418,59990,223392.0,6248737.0
2017-11-02,16486,16601,16142,16212,32217,220580.0,6248737.0
2017-11-03,16188,16349,16050,16189,34729,220268.0,6248737.0
2017-11-06,16303,16670,16118,16671,61809,226829.0,6248737.0
2017-11-07,16670,17060,16647,16717,48213,227454.0,6248737.0
2017-11-08,16716,17014,16486,16717,53459,227454.0,6248737.0
2017-11-09,16900,17543,16670,17451,92029,237452.0,6248737.0
2017-11-10,17451,17910,17267,17497,91761,238077.0,6248737.0
2017-11-13,17497,17726,17198,17497,49762,238077.0,6248737.0
2017-11-14,17497,17703,16762,16900,84179,229954.0,6248737.0
2017-11-15,16991,17106,16601,16717,91454,227454.0,6248737.0
2017-11-16,16693,16969,16486,16648,75686,226517.0,6248737.0
2017-11-17,16555,17657,16509,17658,121819,240264.0,6248737.0
2017-11-20,17359,18094,17175,17474,206809,237764.0,6248737.0
2017-11-21,17657,17933,17428,17635,143673,239952.0,6248737.0
