에이피티씨(089970),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-08-23,9310,9400,7910,7980,4931567,185412.0,23234595.0
2018-08-24,8010,8440,7760,8050,1492193,187038.0,23234595.0
2018-08-27,8230,8250,7780,7810,517396,181462.0,23234595.0
2018-08-28,7880,7930,7670,7670,360385,178209.0,23234595.0
2018-08-29,7680,7730,7490,7610,382694,176815.0,23234595.0
2018-08-30,7630,7750,7510,7520,281465,174724.0,23234595.0
2018-08-31,7530,7650,7510,7600,121673,176583.0,23234595.0
2018-09-03,7570,7940,7570,7820,362057,181695.0,23234595.0
2018-09-04,7850,7880,7700,7710,137606,179139.0,23234595.0
2018-09-05,7730,7760,7650,7660,96444,177977.0,23234595.0
2018-09-06,7620,7690,7540,7640,89023,177512.0,23234595.0
2018-09-07,7620,7630,7400,7450,162400,173098.0,23234595.0
2018-09-10,7470,7470,7090,7170,220048,166592.0,23234595.0
2018-09-11,7170,7170,6950,6950,211871,161480.0,23234595.0
2018-09-12,7090,7140,6950,7000,117192,162642.0,23234595.0
2018-09-13,7090,7250,6980,7170,166878,166592.0,23234595.0
2018-09-14,7170,7400,7110,7190,190798,167057.0,23234595.0
2018-09-17,7160,7200,6980,7030,67634,163339.0,23234595.0
2018-09-18,7080,7090,6960,7020,107240,163107.0,23234595.0
2018-09-19,7120,7430,7000,7110,216033,165198.0,23234595.0
2018-09-20,7190,7190,6890,6910,159992,160551.0,23234595.0
2018-09-21,6960,7040,6900,6930,50056,161016.0,23234595.0
2018-09-27,6910,7000,6910,6930,34939,161016.0,23234595.0
2018-09-28,6980,6980,6760,6800,74199,157995.0,23234595.0
2018-10-01,6830,6840,6630,6650,59724,154510.0,23234595.0
2018-10-02,6530,6550,6320,6410,234635,148934.0,23234595.0
2018-10-04,6410,6410,6090,6190,106332,143822.0,23234595.0
2018-10-05,6100,6270,5990,6100,80910,141731.0,23234595.0
2018-10-08,6010,6160,6010,6020,31401,139872.0,23234595.0
2018-10-10,6080,6080,5650,5800,133766,134761.0,23234595.0
2018-10-11,5570,5600,5080,5150,206337,119658.0,23234595.0
2018-10-12,5090,5360,5040,5240,165225,121749.0,23234595.0
2018-10-15,5310,5310,4950,4965,96845,115360.0,23234595.0
2018-10-16,4970,5150,4970,5090,48701,118264.0,23234595.0
2018-10-17,5200,5370,5160,5220,114337,121285.0,23234595.0
2018-10-18,5170,5270,5130,5170,41440,120123.0,23234595.0
2018-10-19,5170,5400,5030,5360,76487,124537.0,23234595.0
2018-10-22,5360,5890,5190,5450,156575,126629.0,23234595.0
2018-10-23,5440,5530,5270,5300,58990,123143.0,23234595.0
2018-10-24,5390,5390,5200,5300,78463,123143.0,23234595.0
2018-10-25,5100,5290,4980,5210,86259,121052.0,23234595.0
2018-10-26,5240,5320,4925,5000,68041,116173.0,23234595.0
2018-10-29,4850,5100,4360,4460,81419,103626.0,23234595.0
2018-10-30,4470,4700,4230,4630,78907,107576.0,23234595.0
2018-10-31,4650,4760,4600,4715,50719,109551.0,23234595.0
2018-11-01,4710,4780,4645,4645,105144,107925.0,23234595.0
2018-11-02,4665,4950,4665,4950,84108,115011.0,23234595.0
2018-11-05,4930,5600,4815,5300,191002,123143.0,23234595.0
2018-11-06,5250,5400,5060,5230,106439,121517.0,23234595.0
2018-11-07,5270,5330,4990,5030,82855,116870.0,23234595.0
2018-11-08,5060,5190,4925,5000,73952,116173.0,23234595.0
2018-11-09,5000,5050,4930,5020,28446,116638.0,23234595.0
2018-11-12,5060,5060,4840,4880,65666,113385.0,23234595.0
2018-11-13,4750,4930,4725,4870,30546,113152.0,23234595.0
2018-11-14,4965,4970,4760,4835,28616,112339.0,23234595.0
2018-11-15,4850,4880,4760,4835,30535,112339.0,23234595.0
2018-11-16,4880,5160,4845,5010,77975,116405.0,23234595.0
2018-11-19,5140,5250,5040,5090,82364,118264.0,23234595.0
2018-11-20,5030,5080,4920,5000,30788,116173.0,23234595.0
2018-11-21,4900,4900,4750,4810,45577,111758.0,23234595.0
2018-11-22,4820,4870,4755,4870,45897,113152.0,23234595.0
2018-11-23,5100,5100,4765,4765,76978,110713.0,23234595.0
2018-11-26,4760,4840,4700,4800,28803,111526.0,23234595.0
2018-11-27,4810,4845,4800,4810,21091,111758.0,23234595.0
2018-11-28,4845,5450,4785,5150,375349,119658.0,23234595.0
2018-11-29,5260,6110,5230,5820,2427824,135225.0,23234595.0
2018-11-30,5990,6950,5880,6330,3423327,147075.0,23234595.0
2018-12-03,6520,6520,6060,6210,687293,144287.0,23234595.0
2018-12-04,6200,6200,5950,6180,484532,143590.0,23234595.0
2018-12-05,5980,6160,5900,6040,222979,140337.0,23234595.0
2018-12-06,5950,6100,5800,5800,224408,134761.0,23234595.0
2018-12-07,5840,6150,5750,5990,294751,139175.0,23234595.0
2018-12-10,5950,5980,5480,5550,216299,128952.0,23234595.0
2018-12-11,5600,5720,5110,5250,382871,121982.0,23234595.0
2018-12-12,5260,5400,5220,5220,226172,121285.0,23234595.0
2018-12-13,5290,5450,5260,5410,174824,125699.0,23234595.0
2018-12-14,5500,5730,5480,5580,340969,129649.0,23234595.0
2018-12-17,5580,5810,5450,5570,255791,129417.0,23234595.0
2018-12-18,5510,5980,5490,5900,429792,137084.0,23234595.0
2018-12-19,6050,6170,5820,5900,486966,137084.0,23234595.0
2018-12-20,5900,5970,5730,5840,294410,135690.0,23234595.0
2018-12-21,5850,6250,5750,5870,293618,136387.0,23234595.0
2018-12-24,5870,6300,5840,6090,922548,141499.0,23234595.0
2018-12-26,5930,5950,5800,5950,226844,138246.0,23234595.0
2018-12-27,6020,6120,5430,5600,249111,130114.0,23234595.0
2018-12-28,5540,5700,5510,5700,131337,132437.0,23234595.0
2019-01-02,5700,5700,5420,5420,112355,125932.0,23234595.0
2019-01-03,5400,5560,4980,5050,185283,117335.0,23234595.0
2019-01-04,5000,5050,4865,5000,106010,116173.0,23234595.0
2019-01-07,5010,5120,5000,5060,74522,117567.0,23234595.0
2019-01-08,5100,5100,4930,4930,71701,114547.0,23234595.0
2019-01-09,4930,5160,4930,5100,123994,118496.0,23234595.0
2019-01-10,5120,5270,5050,5200,83340,120820.0,23234595.0
2019-01-11,5250,5250,5130,5210,62197,121052.0,23234595.0
2019-01-14,5170,5330,5150,5180,63362,120355.0,23234595.0
2019-01-15,5180,5260,5100,5260,36405,122214.0,23234595.0
2019-01-16,5280,5450,5280,5320,114881,123608.0,23234595.0
2019-01-17,5330,5340,5110,5200,59893,120820.0,23234595.0
2019-01-18,5200,5310,5160,5180,40135,120355.0,23234595.0
2019-01-21,5180,5200,4975,4980,151270,115708.0,23234595.0
2019-01-22,4980,5070,4955,4960,44379,115244.0,23234595.0
2019-01-23,4950,5070,4910,5070,58858,117799.0,23234595.0
2019-01-24,5070,5110,4995,5060,33032,117567.0,23234595.0
2019-01-25,5130,5310,5020,5290,149039,122911.0,23234595.0
2019-01-28,5290,5480,5250,5440,162696,126396.0,23234595.0
2019-01-29,5370,5450,5240,5320,74369,123608.0,23234595.0
2019-01-30,5390,5490,5320,5450,71930,126629.0,23234595.0
2019-01-31,5450,5480,5320,5460,71439,126861.0,23234595.0
2019-02-01,5450,5650,5380,5480,122787,127326.0,23234595.0
2019-02-07,5480,5610,5460,5530,50345,128487.0,23234595.0
2019-02-08,5500,5730,5500,5610,110827,130346.0,23234595.0
2019-02-11,5680,5680,5430,5460,75728,126861.0,23234595.0
2019-02-12,5490,5490,5310,5390,84933,125234.0,23234595.0
2019-02-13,5400,5700,5350,5650,177198,131275.0,23234595.0
2019-02-14,5660,6050,5610,5990,537197,139175.0,23234595.0
2019-02-15,6000,6130,5870,6000,514985,139408.0,23234595.0
2019-02-18,6160,6160,5820,6020,170591,139872.0,23234595.0
2019-02-19,6020,6080,5920,6040,98589,140337.0,23234595.0
2019-02-20,6080,6090,5960,6090,132640,141499.0,23234595.0
2019-02-21,6030,6130,5970,6000,75578,139408.0,23234595.0
2019-02-22,5970,6050,5800,5870,81873,136387.0,23234595.0
2019-02-25,5880,5970,5770,5800,84937,134761.0,23234595.0
2019-02-26,5860,5940,5640,5730,137294,133134.0,23234595.0
2019-02-27,5740,5770,5610,5720,69017,132902.0,23234595.0
2019-02-28,5730,5760,5500,5530,144886,128487.0,23234595.0
2019-03-04,5550,5690,5530,5550,32844,128952.0,23234595.0
2019-03-05,5550,5700,5510,5650,66137,131275.0,23234595.0
2019-03-06,5620,5700,5610,5670,38917,131740.0,23234595.0
2019-03-07,5660,5710,5570,5580,56263,129649.0,23234595.0
2019-03-08,5550,5600,5500,5540,38581,128720.0,23234595.0
2019-03-11,5480,5570,5290,5390,57221,125234.0,23234595.0
2019-03-12,5490,5490,5330,5440,59072,126396.0,23234595.0
2019-03-13,5440,5660,5440,5660,104050,131508.0,23234595.0
2019-03-14,5700,6070,5620,5870,474853,136387.0,23234595.0
2019-03-15,6020,6030,5750,5790,220322,134528.0,23234595.0
2019-03-18,5810,6070,5760,6070,253367,141034.0,23234595.0
2019-03-19,6180,6300,5900,6070,356120,141034.0,23234595.0
2019-03-20,6010,6060,5890,5970,92962,138711.0,23234595.0
2019-03-21,5910,6260,5910,6200,352661,144054.0,23234595.0
2019-03-22,6240,6430,6130,6210,374623,144287.0,23234595.0
2019-03-25,6150,6150,5890,5900,204529,137084.0,23234595.0
2019-03-26,5920,5990,5830,5950,64472,138246.0,23234595.0
2019-03-27,5910,6050,5750,5870,108756,136387.0,23234595.0
2019-03-28,5720,5830,5670,5720,91322,132902.0,23234595.0
2019-03-29,5670,5910,5600,5900,81013,137084.0,23234595.0
2019-04-01,5900,6120,5900,6060,138690,140802.0,23234595.0
2019-04-02,6090,6110,5940,6050,68826,140569.0,23234595.0
2019-04-03,6060,6160,5990,6080,125273,141266.0,23234595.0
2019-04-04,6150,6350,6080,6190,207741,143822.0,23234595.0
2019-04-05,6250,7790,6180,7250,6516862,168451.0,23234595.0
2019-04-08,7280,8140,7140,7710,3854064,179139.0,23234595.0
2019-04-09,7660,7760,7290,7420,1302433,172401.0,23234595.0
2019-04-10,7410,7570,7180,7550,747436,175421.0,23234595.0
2019-04-11,7630,7730,7370,7520,425608,174724.0,23234595.0
2019-04-12,7700,8230,7600,7780,1600140,180765.0,23234595.0
2019-04-15,7800,8080,7600,7950,648701,184715.0,23234595.0
2019-04-16,8040,8040,7550,7650,378290,177745.0,23234595.0
2019-04-17,7590,7930,7590,7720,252440,179371.0,23234595.0
2019-04-18,7720,7780,7250,7400,291368,171936.0,23234595.0
2019-04-19,7490,7630,7380,7420,204303,172401.0,23234595.0
2019-04-22,7420,7540,7270,7300,150624,169613.0,23234595.0
2019-04-23,7300,7390,7080,7360,198847,171007.0,23234595.0
2019-04-24,7370,7370,7100,7180,196226,166824.0,23234595.0
