이지웰페어(090850),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-12-27,7000,8050,6600,8050,2658130,79639.0,9893000.0
2013-12-30,8300,8750,7610,8440,2627175,83497.0,9893000.0
2014-01-02,8610,8760,7790,7910,1828074,78254.0,9893000.0
2014-01-03,7830,7960,7290,7790,1118626,77066.0,9893000.0
2014-01-06,7880,8580,7800,8350,1333997,82607.0,9893000.0
2014-01-07,8380,8600,8180,8190,450658,81024.0,9893000.0
2014-01-08,8280,8680,7900,8420,972434,83299.0,9893000.0
2014-01-09,8400,8670,8270,8670,578814,85772.0,9893000.0
2014-01-10,8580,8690,8140,8140,428405,80529.0,9893000.0
2014-01-13,8260,8260,7840,8010,300691,79243.0,9893000.0
2014-01-14,8010,8220,7980,8000,176569,79144.0,9893000.0
2014-01-15,8100,8130,7940,8050,194499,79639.0,9893000.0
2014-01-16,8070,8350,7930,8040,389072,79540.0,9893000.0
2014-01-17,8100,8100,7550,7550,266320,74692.0,9893000.0
2014-01-20,7510,7930,7440,7800,254921,77165.0,9893000.0
2014-01-21,7750,7910,7680,7790,169149,77066.0,9893000.0
2014-01-22,7900,7930,7750,7780,90590,76968.0,9893000.0
2014-01-23,7760,7960,7710,7780,94233,76968.0,9893000.0
2014-01-24,7690,7770,7560,7610,91773,75286.0,9893000.0
2014-01-27,7330,7560,7310,7400,308674,73208.0,9893000.0
2014-01-28,7310,7860,7310,7860,115137,77759.0,9893000.0
2014-01-29,7900,8220,7840,8150,316600,80628.0,9893000.0
2014-02-03,8040,8940,8010,8730,586292,86366.0,9893000.0
2014-02-04,8680,8910,8530,8570,363146,84783.0,9893000.0
2014-02-05,8740,9280,8640,9090,529513,89927.0,9893000.0
2014-02-06,9020,9900,9020,9610,636150,95072.0,9893000.0
2014-02-07,9900,9940,9480,9560,238069,94577.0,9893000.0
2014-02-10,9650,9840,9380,9580,225255,94775.0,9893000.0
2014-02-11,9800,10100,9530,9840,317084,97347.0,9893000.0
2014-02-12,9840,9930,9700,9800,105294,96951.0,9893000.0
2014-02-13,9850,10500,9850,10450,336175,103382.0,9893000.0
2014-02-14,10500,10650,10300,10550,232903,104371.0,9893000.0
2014-02-17,10600,10650,9870,9870,344513,97644.0,9893000.0
2014-02-18,9900,10100,9840,10100,161064,99919.0,9893000.0
2014-02-19,10100,11200,10100,11000,682038,108823.0,9893000.0
2014-02-20,11100,12650,10950,12100,816539,119705.0,9893000.0
2014-02-21,12300,12600,11750,12200,412537,120695.0,9893000.0
2014-02-24,12300,13000,11950,12350,442236,122179.0,9893000.0
2014-02-25,12650,13300,12400,12600,466509,124652.0,9893000.0
2014-02-26,12600,13000,12300,12800,219185,126630.0,9893000.0
2014-02-27,12950,13450,12700,12950,247099,128114.0,9893000.0
2014-02-28,12850,13200,12750,13000,202969,128609.0,9893000.0
2014-03-03,12850,12950,12350,12900,235128,127620.0,9893000.0
2014-03-04,12900,14500,12700,13900,500207,137513.0,9893000.0
2014-03-05,14050,15100,13900,14300,636986,141470.0,9893000.0
2014-03-06,14300,14650,14100,14400,155308,142459.0,9893000.0
