우정바이오(215380),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-05-18,7521,7753,6392,6393,2038424,13558.0,5500000.0
2015-05-19,6095,6936,5861,6367,1327349,13502.0,5500000.0
2015-05-20,6224,6522,5873,5902,486352,12512.0,5500000.0
2015-05-21,5912,6184,5861,5915,242335,12540.0,5500000.0
2015-05-22,5912,6067,5769,5772,268982,12238.0,5500000.0
2015-05-26,5769,5820,5744,5772,132562,12238.0,5500000.0
2015-05-27,5744,5820,5744,5744,114829,12182.0,5500000.0
2015-05-28,5757,5848,5731,5732,69484,12155.0,5500000.0
2015-05-29,5757,5820,5706,5732,101234,12155.0,5500000.0
2015-06-01,5744,5769,5706,5757,99682,12210.0,5500000.0
2015-06-02,5744,5769,5706,5757,120739,12210.0,5500000.0
2015-06-03,5718,5782,5706,5744,71470,12182.0,5500000.0
2015-06-04,5731,5769,5718,5757,27834,12210.0,5500000.0
2015-06-05,5718,5795,5718,5772,28712,12238.0,5500000.0
2015-06-08,5744,5782,5718,5757,13917,12210.0,5500000.0
2015-06-09,5757,5769,5718,5744,13398,12182.0,5500000.0
2015-06-10,5731,5757,5706,5732,77458,12155.0,5500000.0
2015-06-11,5706,5731,5690,5706,64592,12100.0,5500000.0
2015-06-12,5652,5678,5523,5564,29820,11798.0,5500000.0
2015-06-15,5561,5627,5548,5602,47187,11880.0,5500000.0
2015-06-16,5561,5561,5459,5460,25533,11578.0,5500000.0
2015-06-17,5446,5523,5289,5409,36321,11468.0,5500000.0
2015-06-18,5212,5317,5212,5254,464674,11138.0,5500000.0
2015-06-19,5251,5342,5251,5330,148334,11302.0,5500000.0
2015-06-22,5355,5380,5301,5355,116270,11358.0,5500000.0
2015-06-23,5406,5406,5355,5396,53184,11440.0,5500000.0
2015-06-24,5380,5380,5317,5355,80775,11358.0,5500000.0
2015-06-25,5355,5355,5289,5355,75867,11358.0,5500000.0
2015-06-26,5367,5459,5355,5447,76123,11550.0,5500000.0
2015-06-29,5342,5459,5342,5421,59070,11495.0,5500000.0
2015-06-30,5418,5510,5393,5513,112873,11688.0,5500000.0
2015-07-01,5510,5950,5459,5643,75881,11962.0,5500000.0
2015-07-02,5627,5706,5561,5602,46157,11880.0,5500000.0
2015-07-03,5535,5690,5472,5655,64636,11990.0,5500000.0
2015-07-06,5652,5744,5548,5564,48911,11798.0,5500000.0
2015-07-07,5589,5690,5548,5693,15238,12072.0,5500000.0
2015-07-08,5690,5690,5510,5589,26274,11852.0,5500000.0
2015-07-09,5484,5601,5472,5564,19670,11798.0,5500000.0
2015-07-10,5561,5627,5523,5589,16494,11852.0,5500000.0
2015-07-13,5627,5627,5393,5576,79336,11825.0,5500000.0
2015-07-14,5576,5576,5497,5551,33536,11770.0,5500000.0
2015-07-15,5640,5640,5510,5564,25194,11798.0,5500000.0
2015-07-16,5561,5589,5459,5526,24819,11715.0,5500000.0
2015-07-17,5510,5561,5497,5526,19988,11715.0,5500000.0
2015-07-20,5576,5601,5523,5589,20931,11852.0,5500000.0
