해성옵틱스(076610),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-11-06,6646,6945,5649,5837,10437617,112169.0,16375000.0
2013-11-07,5914,6314,5786,6059,2790213,116426.0,16375000.0
2013-11-08,6093,6212,5965,5965,816647,114625.0,16375000.0
2013-11-11,5888,6041,5411,5599,681875,107584.0,16375000.0
2013-11-12,5709,5828,5573,5599,370056,107584.0,16375000.0
2013-11-13,5709,5718,5377,5454,201506,104800.0,16375000.0
2013-11-14,5470,5999,5377,5641,451888,108402.0,16375000.0
2013-11-15,5743,5743,5590,5675,202710,109058.0,16375000.0
2013-11-18,5692,5692,5232,5241,335043,100706.0,16375000.0
2013-11-19,5368,5539,5292,5411,232995,103981.0,16375000.0
2013-11-20,5411,5436,5096,5173,370840,99396.0,16375000.0
2013-11-21,5121,5164,4934,5002,382693,96121.0,16375000.0
2013-11-22,5044,5104,4721,4721,320779,90718.0,16375000.0
2013-11-25,4746,4900,4635,4866,188469,93501.0,16375000.0
2013-11-26,4857,5368,4814,5113,674099,98250.0,16375000.0
2013-11-27,5121,5206,5053,5122,145828,98414.0,16375000.0
2013-11-28,5147,5172,5044,5130,112460,98578.0,16375000.0
2013-11-29,5155,5709,5155,5479,517321,105291.0,16375000.0
2013-12-02,5479,5496,5138,5156,302441,99069.0,16375000.0
2013-12-03,5147,5147,4925,4960,185511,95302.0,16375000.0
2013-12-04,4908,5010,4891,4960,86998,95302.0,16375000.0
2013-12-05,4985,5155,4917,5028,118044,96612.0,16375000.0
2013-12-06,4993,5087,4763,4926,504745,94648.0,16375000.0
2013-12-09,4951,4976,4831,4832,146675,92846.0,16375000.0
2013-12-10,4831,5036,4627,4772,291538,91700.0,16375000.0
2013-12-11,4789,5019,4780,4951,351124,95139.0,16375000.0
2013-12-12,4959,5300,4934,5113,349978,98250.0,16375000.0
2013-12-13,5147,5147,4968,5045,166421,96940.0,16375000.0
2013-12-16,5044,5053,4840,4883,235863,93829.0,16375000.0
2013-12-17,5002,5155,4823,4909,397602,94320.0,16375000.0
2013-12-18,4917,5053,4848,5036,241448,96776.0,16375000.0
2013-12-19,5113,5155,4848,4849,338155,93174.0,16375000.0
2013-12-20,4823,4908,4738,4789,308158,92028.0,16375000.0
2013-12-23,4823,5036,4823,4960,277771,95302.0,16375000.0
2013-12-24,5257,5377,5002,5011,1443406,96285.0,16375000.0
2013-12-26,5078,5138,5036,5139,435517,98741.0,16375000.0
2013-12-27,5130,5479,5087,5403,772357,103818.0,16375000.0
2013-12-30,5411,5743,5385,5582,556824,107256.0,16375000.0
2014-01-02,5547,5615,5326,5377,540204,103326.0,16375000.0
2014-01-03,5343,5547,5309,5531,288692,106274.0,16375000.0
2014-01-06,5581,5794,5573,5573,673811,107092.0,16375000.0
2014-01-07,5522,5581,5385,5514,339249,105946.0,16375000.0
2014-01-08,5530,5556,5309,5377,469801,103326.0,16375000.0
2014-01-09,5402,5692,5343,5633,593939,108239.0,16375000.0
2014-01-10,5777,5786,5462,5565,350692,106929.0,16375000.0
2014-01-13,5530,5581,5428,5437,175062,104472.0,16375000.0
2014-01-14,5419,5752,5394,5710,477689,109712.0,16375000.0
2014-01-15,5666,5718,5581,5658,317490,108730.0,16375000.0
2014-01-16,5701,5905,5649,5744,1063572,110368.0,16375000.0
2014-01-17,5769,5794,5641,5795,309678,111350.0,16375000.0
2014-01-20,5820,6127,5777,6076,1006173,116754.0,16375000.0
2014-01-21,6101,6110,5965,5999,479746,115280.0,16375000.0
2014-01-22,5982,6195,5982,6102,491016,117245.0,16375000.0
2014-01-23,6127,6144,5862,5863,486574,112660.0,16375000.0
2014-01-24,5862,5905,5641,5854,386162,112496.0,16375000.0
2014-01-27,5684,5709,5488,5488,386587,105455.0,16375000.0
2014-01-28,5411,5607,5394,5497,251103,105619.0,16375000.0
2014-01-29,5539,5581,5453,5514,184968,105946.0,16375000.0
2014-02-03,5462,5692,5402,5693,199196,109385.0,16375000.0
2014-02-04,5624,5914,5573,5812,499185,111678.0,16375000.0
2014-02-05,5888,5888,5718,5795,223038,111350.0,16375000.0
2014-02-06,5794,5956,5777,5906,313094,113479.0,16375000.0
2014-02-07,5939,6007,5854,5982,301167,114952.0,16375000.0
2014-02-10,6024,6050,5922,6008,198507,115444.0,16375000.0
2014-02-11,6093,6093,5914,5914,256661,113642.0,16375000.0
2014-02-12,6007,6093,5871,5965,379283,114625.0,16375000.0
2014-02-13,5956,6016,5888,5965,264873,114625.0,16375000.0
2014-02-14,6024,6144,5973,6042,515444,116099.0,16375000.0
2014-02-17,6093,6110,5880,5897,338369,113315.0,16375000.0
2014-02-18,5922,6178,5880,6153,462163,118228.0,16375000.0
2014-02-19,6212,6280,6110,6221,434241,119538.0,16375000.0
2014-02-20,6229,6331,6178,6306,262735,121175.0,16375000.0
2014-02-21,6382,6442,6212,6221,290929,119538.0,16375000.0
2014-02-24,6237,6280,5922,6059,368792,116426.0,16375000.0
2014-02-25,6067,6101,5956,6008,269538,115444.0,16375000.0
2014-02-26,6058,6110,6007,6033,205544,115935.0,16375000.0
2014-02-27,6254,6314,6110,6127,689593,117736.0,16375000.0
2014-02-28,6144,6178,5888,5923,387368,113806.0,16375000.0
2014-03-03,5905,6024,5837,5940,199436,114134.0,16375000.0
2014-03-04,5871,5982,5743,5812,690484,111678.0,16375000.0
2014-03-05,6169,6212,6024,6050,1108039,116262.0,16375000.0
2014-03-06,6084,6229,6050,6221,583246,119538.0,16375000.0
2014-03-07,6323,6646,6323,6562,1534907,126088.0,16375000.0
2014-03-10,6646,6646,6442,6502,657377,124941.0,16375000.0
