한국바이오젠(318000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-08-01,12000,15450,10500,13200,26361571,96202.0,7288035.0
2019-08-02,13850,14450,11800,11950,5782002,87092.0,7288035.0
2019-08-05,11600,11800,8400,8460,3432660,61657.0,7288035.0
2019-08-06,7910,8400,7120,7270,2693438,52984.0,7288035.0
2019-08-07,7750,9090,7630,8600,6067697,62677.0,7288035.0
2019-08-08,8500,8560,7810,8290,1427219,60418.0,7288035.0
2019-08-09,8430,8930,8240,8630,1549829,62896.0,7288035.0
2019-08-12,8620,8840,8100,8260,838034,60199.0,7288035.0
2019-08-13,8220,8440,8070,8120,562931,59179.0,7288035.0
2019-08-14,8280,8280,7810,7890,580152,57503.0,7288035.0
2019-08-16,7890,8020,7460,7460,450973,54369.0,7288035.0
2019-08-19,7470,7640,7150,7150,350149,52109.0,7288035.0
2019-08-20,7150,7270,6880,7270,564434,57806.0,7951375.0
2019-08-21,7230,7470,7140,7150,390372,56852.0,7951375.0
2019-08-22,7150,7270,6960,6960,309105,55342.0,7951375.0
2019-08-23,6960,8500,6900,7500,5017195,59635.0,7951375.0
2019-08-26,7230,7430,6930,6940,623416,55183.0,7951375.0
2019-08-27,7050,7330,6800,6800,601658,54069.0,7951375.0
2019-08-28,6800,7120,6730,6850,352038,54467.0,7951375.0
2019-08-29,6930,7750,6850,7110,2090200,56534.0,7951375.0
2019-08-30,7280,7670,7230,7390,993800,58761.0,7951375.0
2019-09-02,7320,7320,7100,7140,390849,56773.0,7951375.0
2019-09-03,7590,9280,7350,8440,9117130,67110.0,7951375.0
2019-09-04,8370,8630,8210,8570,1412775,68143.0,7951375.0
2019-09-05,8520,8850,8380,8800,1852946,69972.0,7951375.0
2019-09-06,8700,8700,8380,8390,740710,66712.0,7951375.0
2019-09-09,8430,10500,8380,9610,12664735,76413.0,7951375.0
2019-09-10,9550,10050,9370,9870,4014515,78480.0,7951375.0
2019-09-11,9730,10150,9500,9500,1876651,75538.0,7951375.0
2019-09-16,9500,10450,9500,9930,4217017,78957.0,7951375.0
2019-09-17,9780,9820,9370,9370,1190567,74504.0,7951375.0
2019-09-18,9550,9990,9170,9550,1960891,75936.0,7951375.0
2019-09-19,9520,9890,9250,9250,968284,73550.0,7951375.0
2019-09-20,9290,9770,9250,9450,1582845,75140.0,7951375.0
2019-09-23,9600,9740,9240,9240,718980,73471.0,7951375.0
2019-09-24,9230,9240,8780,8810,496660,70052.0,7951375.0
2019-09-25,8790,9100,8440,8850,761398,70370.0,7951375.0
2019-09-26,8920,9040,8410,8420,507853,66951.0,7951375.0
2019-09-27,8350,8470,7930,7970,344063,63372.0,7951375.0
2019-09-30,7960,8100,7610,7680,272112,,
2019-10-01,7690,8050,7550,7780,359585,,
2019-10-02,7800,8000,7610,8000,240819,,
2019-10-04,7950,8060,7830,7910,193689,,
2019-10-07,7950,9500,7750,8610,5796709,,
