유진스팩4호(321260),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-05-31,2500,3250,2500,3250,3532765,11342.0,3490000.0
2019-06-03,3950,4225,3815,4225,1673055,14745.0,3490000.0
2019-06-04,5020,5220,4230,4610,15118904,16089.0,3490000.0
2019-06-05,4250,4590,3710,3875,8012034,13524.0,3490000.0
2019-06-07,3950,4235,3625,3740,8725099,13053.0,3490000.0
2019-06-10,3635,3670,3330,3400,2669698,11866.0,3490000.0
2019-06-11,3390,3570,3315,3475,3997000,12128.0,3490000.0
2019-06-12,3615,3635,3200,3260,2417021,11377.0,3490000.0
2019-06-13,3195,3510,3050,3200,4906649,11168.0,3490000.0
2019-06-14,3220,3480,3155,3220,3576487,11238.0,3490000.0
2019-06-17,3255,3350,3110,3235,1884126,11290.0,3490000.0
2019-06-18,3210,3265,2985,2995,1378790,10453.0,3490000.0
2019-06-19,2995,3035,2695,2695,1344750,9406.0,3490000.0
2019-06-20,2690,2980,2640,2825,3321341,9859.0,3490000.0
2019-06-21,2775,2815,2690,2730,840298,9528.0,3490000.0
2019-06-24,2780,2785,2445,2500,853381,8725.0,3490000.0
2019-06-25,2490,2500,2310,2360,670997,8236.0,3490000.0
2019-06-26,2400,3050,2360,2685,10333856,9371.0,3490000.0
2019-06-27,2720,2730,2400,2415,2257449,8428.0,3490000.0
2019-06-28,2475,2520,2290,2390,831367,8341.0,3490000.0
2019-07-01,2350,2360,2275,2315,380959,8079.0,3490000.0
2019-07-02,2305,2405,2275,2315,429303,8079.0,3490000.0
2019-07-03,2315,2425,2315,2335,499051,8149.0,3490000.0
2019-07-04,2325,2355,2210,2230,285993,7783.0,3490000.0
2019-07-05,2245,2315,2235,2270,313872,7922.0,3490000.0
2019-07-08,2265,2500,2265,2290,2216937,7992.0,3490000.0
2019-07-09,2275,2560,2270,2360,3715776,8236.0,3490000.0
2019-07-10,2395,2430,2325,2345,786210,8184.0,3490000.0
2019-07-11,2365,2385,2300,2305,430150,8044.0,3490000.0
2019-07-12,2325,2335,2275,2275,251330,7940.0,3490000.0
2019-07-15,2285,2300,2200,2200,190488,7678.0,3490000.0
2019-07-16,2210,2230,2170,2180,168878,7608.0,3490000.0
2019-07-17,2175,2230,2135,2180,191013,7608.0,3490000.0
2019-07-18,2180,2210,2155,2180,99992,7608.0,3490000.0
2019-07-19,2170,2240,2150,2200,222804,7678.0,3490000.0
2019-07-22,2190,2660,2180,2380,6193203,8306.0,3490000.0
2019-07-23,2365,2390,2250,2300,956069,8027.0,3490000.0
2019-07-24,2305,2435,2265,2395,1486515,8359.0,3490000.0
2019-07-25,2390,2435,2255,2255,478749,7870.0,3490000.0
2019-07-26,2220,2435,2200,2300,1057973,8027.0,3490000.0
2019-07-29,2300,2330,2230,2245,308338,7835.0,3490000.0
2019-07-30,2240,2280,2210,2215,270338,7730.0,3490000.0
2019-07-31,2215,2240,2200,2220,147454,7748.0,3490000.0
2019-08-01,2220,2265,2195,2215,191403,7730.0,3490000.0
2019-08-02,2185,2220,2160,2180,80763,7608.0,3490000.0
2019-08-05,2210,2210,2140,2140,255989,7469.0,3490000.0
2019-08-06,2110,2155,2080,2110,222297,7364.0,3490000.0
2019-08-07,2110,2135,2105,2110,138168,7364.0,3490000.0
2019-08-08,2105,2155,2105,2140,60054,7469.0,3490000.0
2019-08-09,2160,2160,2105,2105,82674,7346.0,3490000.0
2019-08-12,2105,2140,2105,2120,46081,7399.0,3490000.0
2019-08-13,2110,2230,2110,2140,248824,7469.0,3490000.0
2019-08-14,2140,2175,2130,2160,84348,7538.0,3490000.0
2019-08-16,2150,2165,2135,2145,46661,7486.0,3490000.0
2019-08-19,2165,2170,2120,2125,56827,7416.0,3490000.0
2019-08-20,2120,2160,2120,2130,21212,7434.0,3490000.0
2019-08-21,2130,2170,2125,2160,78749,7538.0,3490000.0
2019-08-22,2170,2180,2135,2140,37357,7469.0,3490000.0
2019-08-23,2140,2160,2125,2135,26493,7451.0,3490000.0
2019-08-26,2120,2145,2115,2125,65593,7416.0,3490000.0
2019-08-27,2145,2145,2120,2135,69261,7451.0,3490000.0
2019-08-28,2135,2145,2120,2145,53530,7486.0,3490000.0
2019-08-29,2135,2150,2120,2135,60931,7451.0,3490000.0
2019-08-30,2155,2175,2125,2150,70626,7504.0,3490000.0
2019-09-02,2140,2165,2135,2135,60682,7451.0,3490000.0
2019-09-03,2135,2145,2125,2130,67766,7434.0,3490000.0
2019-09-04,2130,2150,2125,2130,34146,7434.0,3490000.0
2019-09-05,2150,2150,2125,2130,46666,7434.0,3490000.0
2019-09-06,2130,2150,2120,2145,45992,7486.0,3490000.0
2019-09-09,2155,2160,2125,2125,43841,7416.0,3490000.0
2019-09-10,2145,2150,2125,2130,50341,7434.0,3490000.0
2019-09-11,2130,2135,2125,2135,13992,7451.0,3490000.0
2019-09-16,2155,2155,2125,2130,29205,7434.0,3490000.0
2019-09-17,2145,2145,2125,2130,33628,7434.0,3490000.0
2019-09-18,2125,2145,2120,2130,35336,7434.0,3490000.0
2019-09-19,2135,2140,2120,2140,40933,7469.0,3490000.0
2019-09-20,2140,2140,2120,2135,44446,7451.0,3490000.0
2019-09-23,2135,2140,2120,2120,36103,7399.0,3490000.0
2019-09-24,2125,2155,2125,2135,41803,7451.0,3490000.0
2019-09-25,2135,2185,2135,2150,67086,7504.0,3490000.0
2019-09-26,2170,2170,2125,2125,24747,7416.0,3490000.0
2019-09-27,2150,2150,2120,2135,39261,7451.0,3490000.0
2019-09-30,2125,2185,2125,2170,61003,7573.0,3490000.0
2019-10-01,2145,2165,2135,2145,29670,7486.0,3490000.0
2019-10-02,2135,2145,2120,2120,56996,7399.0,3490000.0
2019-10-04,2120,2150,2110,2120,21033,7399.0,3490000.0
2019-10-07,2125,2125,2105,2105,26436,7346.0,3490000.0
