GRT(900290),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-10-25,5000,6500,4915,6500,34357291,,
2016-10-26,7440,8210,7100,7850,41967294,,
2016-10-27,7800,7910,7120,7220,14558789,,
2016-10-28,6800,6840,5760,5760,10883285,,
2016-10-31,5810,6390,5630,5650,10924461,,
2016-11-01,5730,5970,4915,5190,7455563,,
2016-11-02,5280,5340,4645,4710,5096128,,
2016-11-03,4570,5540,4555,5140,12214800,,
2016-11-04,5100,5130,4745,4815,3250428,,
2016-11-07,4950,4995,4650,4735,3125783,,
2016-11-08,4815,5880,4770,5310,24035513,,
2016-11-09,5340,5380,4350,4800,7726236,,
2016-11-10,4990,5400,4935,5050,8154447,,
2016-11-11,5160,5340,5030,5070,4980019,,
2016-11-14,5270,5280,5070,5140,2275355,,
2016-11-15,5170,5190,4945,4960,2015987,,
2016-11-16,5050,5070,4955,4985,1245190,,
2016-11-17,5040,5060,4975,4980,1285775,,
2016-11-18,4965,4980,4705,4760,1911018,,
2016-11-21,4805,4985,4535,4755,1571792,,
2016-11-22,4900,5020,4740,4800,1286842,,
2016-11-23,4800,4850,4550,4580,1125717,,
2016-11-24,4530,4625,4260,4350,1837994,,
2016-11-25,4355,4475,4265,4275,923591,,
2016-11-28,4420,5440,4400,4960,13434105,,
2016-11-29,5000,5320,4715,4960,10552190,,
2016-11-30,5070,5690,5040,5430,11841444,,
2016-12-01,5590,5650,5270,5300,5120821,,
2016-12-02,5540,5720,5250,5360,5661720,,
2016-12-05,5300,5390,5000,5000,2206265,,
2016-12-06,5150,5250,4985,4990,2101378,,
2016-12-07,5050,5140,4680,4865,2080386,,
2016-12-08,4910,5040,4775,4775,1701012,,
2016-12-09,4815,4890,4650,4685,1751982,,
2016-12-12,4730,4800,4650,4730,1301962,,
2016-12-13,4750,4870,4685,4860,1394509,,
2016-12-14,4945,5340,4875,5110,5539897,,
2016-12-15,5070,5180,5000,5120,1452000,,
2016-12-16,5230,5230,5040,5050,1437814,,
2016-12-19,5130,5310,5090,5250,2523970,,
2016-12-20,5230,5410,5150,5150,3115417,,
2016-12-21,5170,5220,4990,5010,1585364,,
2016-12-22,5060,5270,5060,5120,2384710,,
2016-12-23,5090,5180,4995,4995,1021182,,
2016-12-26,5000,5010,4730,4730,1412007,,
2016-12-27,4760,4845,4700,4720,761993,,
2016-12-28,4730,4750,4655,4665,666827,,
2016-12-29,4670,4825,4670,4745,661785,,
2017-01-02,4760,4870,4740,4850,676945,,
2017-01-03,4900,5000,4885,4915,779117,,
2017-01-04,4990,4990,4905,4915,430161,,
2017-01-05,4950,5090,4925,4985,664595,,
2017-01-06,5010,5030,4875,4885,631064,,
2017-01-09,4920,4945,4855,4865,380586,,
2017-01-10,4855,4885,4745,4785,492256,,
2017-01-11,4870,4870,4750,4755,380397,,
2017-01-12,4795,4850,4695,4760,564953,,
2017-01-13,4800,4800,4710,4720,403188,,
2017-01-16,4750,4820,4690,4790,454504,,
2017-01-17,4825,4825,4705,4710,337103,,
2017-01-18,4700,4795,4650,4705,397824,,
2017-01-19,4705,4720,4580,4600,538218,,
2017-01-20,4600,4645,4460,4460,656327,,
2017-01-23,4435,4435,4340,4345,391144,,
2017-01-24,4305,4330,4160,4185,661457,,
2017-01-25,4205,4320,4205,4265,318047,,
2017-01-26,4270,4645,4250,4455,464186,,
2017-01-31,4445,4510,4390,4410,204289,,
2017-02-01,4435,4545,4370,4545,347280,,
2017-02-02,4535,4560,4400,4460,325278,,
2017-02-03,4400,4460,4370,4395,226940,,
2017-02-06,4410,4635,4380,4610,442042,,
2017-02-07,4670,4735,4505,4505,687382,,
2017-02-08,4510,4655,4415,4635,484355,,
2017-02-09,4695,4720,4580,4590,408179,,
2017-02-10,4620,4655,4535,4535,202831,,
2017-02-13,4535,4535,4430,4435,300384,,
2017-02-14,4490,4490,4350,4395,354332,,
2017-02-15,4440,4495,4390,4400,243832,,
2017-02-16,4380,4450,4365,4395,186016,,
2017-02-17,4390,4445,4365,4390,219618,,
2017-02-20,4390,4550,4380,4550,432784,,
2017-02-21,4550,4590,4485,4490,326939,,
2017-02-22,4560,4650,4505,4585,491641,,
2017-02-23,4540,4585,4500,4500,348668,,
2017-02-24,4540,4635,4450,4475,426991,,
2017-02-27,4460,4525,4395,4425,178654,,
2017-02-28,4430,4455,4300,4430,188989,,
2017-03-02,4430,4570,4410,4420,440846,,
2017-03-03,4380,4780,4355,4515,3167397,,
2017-03-06,4580,4720,4495,4505,1198855,,
2017-03-07,4570,4770,4475,4680,2070725,,
2017-03-08,4750,4800,4600,4600,827825,,
2017-03-09,4605,4605,4415,4445,665795,,
2017-03-10,4490,4525,4335,4485,446944,,
2017-03-13,4530,4530,4435,4485,230492,,
2017-03-14,4480,4565,4450,4485,387739,,
2017-03-15,4525,4630,4510,4530,732259,,
2017-03-16,4565,4585,4430,4475,329584,,
2017-03-17,4495,4495,4415,4470,248359,,
2017-03-20,4445,4445,4360,4360,274010,,
2017-03-21,4350,4395,4250,4285,257091,,
2017-03-22,4250,4300,4140,4190,360554,,
2017-03-23,4180,4200,4015,4040,463873,,
2017-03-24,4055,4055,3870,4010,439364,,
2017-03-27,4010,4025,3930,3950,281248,,
2017-03-28,3945,4005,3920,4000,192888,,
2017-03-29,4045,4100,4015,4045,202110,,
2017-03-30,4045,4050,3935,3955,204824,,
2017-03-31,3970,3975,3900,3905,348279,,
2017-04-03,3920,3955,3900,3930,154437,,
2017-04-04,3930,4055,3900,4005,283240,,
2017-04-05,4010,4080,3995,4030,143269,,
2017-04-06,4030,4045,3960,3995,114856,,
2017-04-07,3995,4010,3960,3995,122669,,
2017-04-10,3980,3995,3900,3910,223443,,
2017-04-11,3915,3940,3750,3805,498025,,
2017-04-12,3820,3865,3785,3850,182810,,
2017-04-13,3840,4220,3820,3950,1109900,,
2017-04-14,3955,4035,3875,3920,189363,,
2017-04-17,3900,3955,3835,3915,158069,,
2017-04-18,3950,4160,3930,4040,368392,,
2017-04-19,4010,4125,3995,4050,224735,,
2017-04-20,4100,4100,4025,4045,142110,,
2017-04-21,4060,4095,3995,4045,139051,,
2017-04-24,4050,4070,3985,4005,151383,,
2017-04-25,4005,4080,3950,3965,1431790,,
2017-04-26,3955,4110,3915,3920,1936288,,
2017-04-27,3920,3920,3715,3785,1044839,,
2017-04-28,3765,3805,3420,3470,1783229,,
2017-05-02,3465,3515,3300,3405,811051,,
2017-05-04,3550,3620,3450,3535,706180,,
2017-05-08,3535,3640,3535,3615,350447,,
2017-05-10,3600,3615,3520,3550,333757,,
2017-05-11,3600,3655,3530,3625,342836,,
2017-05-12,3650,3650,3570,3640,234731,,
2017-05-15,3660,3695,3600,3645,355226,,
2017-05-16,3635,3740,3600,3705,458473,,
2017-05-17,3690,3810,3670,3775,381951,,
2017-05-18,3750,3960,3750,3885,1189202,,
2017-05-19,3880,3920,3840,3920,670614,,
2017-05-22,3930,4030,3905,4015,557656,,
2017-05-23,4000,4035,3990,4005,402929,,
2017-05-24,4005,4045,3970,4030,405399,,
2017-05-25,4035,4050,3995,4030,213348,,
2017-05-26,4000,4040,3965,4025,309856,,
2017-05-29,4040,4040,3955,3985,105075,,
2017-05-30,3945,3985,3925,3940,204773,,
2017-05-31,3975,4020,3925,4010,285275,,
2017-06-01,4010,4010,3950,3970,117378,,
2017-06-02,4005,4005,3940,3970,144888,,
2017-06-05,3955,3980,3850,3885,191890,,
2017-06-07,3850,3875,3755,3830,336691,,
2017-06-08,3815,3825,3735,3750,269961,,
2017-06-09,3730,3830,3695,3750,224323,,
2017-06-12,3780,3790,3720,3725,122295,,
2017-06-13,3700,3775,3695,3710,151971,,
2017-06-14,3745,3745,3645,3680,231647,,
2017-06-15,3670,3675,3590,3615,302097,,
2017-06-16,3615,3670,3610,3655,111813,,
2017-06-19,3670,3700,3640,3675,114140,,
2017-06-20,3750,3750,3650,3675,129298,,
2017-06-21,3700,3715,3590,3590,121300,,
2017-06-22,3565,3640,3480,3490,318012,,
2017-06-23,3535,3585,3505,3585,144997,,
2017-06-26,3600,3860,3585,3735,801985,,
2017-06-27,3735,3850,3710,3820,450289,,
2017-06-28,3820,3845,3745,3750,227783,,
2017-06-29,3725,3725,3590,3610,338783,,
2017-06-30,3550,3635,3530,3615,164045,,
2017-07-03,3570,3665,3540,3635,118700,,
2017-07-04,3640,3675,3585,3600,103571,,
2017-07-05,3600,3705,3595,3700,178440,,
2017-07-06,3690,3705,3600,3695,117589,,
2017-07-07,3685,3695,3595,3605,190311,,
2017-07-10,3605,3665,3580,3585,127905,,
2017-07-11,3600,3615,3540,3540,97610,,
2017-07-12,3540,3600,3535,3540,125295,,
2017-07-13,3540,3555,3510,3520,108344,,
2017-07-14,3515,3570,3455,3485,79477,,
2017-07-17,3450,3605,3450,3600,335432,,
2017-07-18,3570,3660,3560,3650,249661,,
2017-07-19,3660,3690,3625,3690,168311,,
2017-07-20,3695,3850,3695,3810,514590,,
2017-07-21,3810,3925,3780,3885,536471,,
2017-07-24,3900,3960,3860,3900,225676,,
2017-07-25,3900,3940,3850,3905,339991,,
2017-07-26,3910,3935,3850,3880,204998,,
2017-07-27,3885,3920,3810,3810,107499,,
2017-07-28,3825,3905,3765,3810,189921,,
2017-07-31,3810,3810,3695,3720,128891,,
2017-08-01,3720,3935,3720,3910,391335,,
2017-08-02,3950,3985,3910,3920,336567,,
2017-08-03,3925,3950,3895,3915,204938,,
2017-08-04,3915,4040,3915,4025,303375,,
2017-08-07,4035,4080,3970,4040,411103,,
2017-08-08,4070,4085,3930,4050,440373,,
2017-08-09,4040,4080,3970,4000,514107,,
2017-08-10,3980,4150,3975,4115,688370,,
2017-08-11,4080,4160,4065,4160,308265,,
2017-08-14,4160,4230,4095,4100,295475,,
2017-08-16,4150,4170,4090,4110,180053,,
2017-08-17,4100,4215,4080,4160,404929,,
2017-08-18,4150,4245,4100,4170,349558,,
2017-08-21,4170,4170,3825,3920,760511,,
2017-08-22,3960,4000,3900,4000,199271,,
2017-08-23,4040,4045,3980,3985,96485,,
2017-08-24,4000,4035,3850,3870,351429,,
2017-08-25,3925,4065,3810,4025,338322,,
2017-08-28,4000,4095,3980,4075,382016,,
2017-08-29,4090,4115,4000,4025,406567,,
2017-08-30,4005,4050,3950,4025,126597,,
