트루윈(105550),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-07-11,20996,21614,17847,17847,2949216,91555.0,6336000.0
2014-07-14,17167,20132,17044,19082,1943509,97891.0,6336000.0
2014-07-15,19390,20008,18217,18526,823227,95040.0,6336000.0
2014-07-16,18402,19267,18155,18712,351651,95990.0,6336000.0
2014-07-17,18835,19082,18032,18032,531700,92506.0,6336000.0
2014-07-18,18341,18526,17353,17785,639358,91238.0,6336000.0
2014-07-21,18217,18773,17785,17971,448129,92189.0,6336000.0
2014-07-22,18094,18094,17353,17847,298649,91555.0,6336000.0
2014-07-23,18032,18217,17538,17662,215999,90605.0,6336000.0
2014-07-24,17847,17970,16488,16921,378838,86803.0,6336000.0
2014-07-25,16797,16982,16117,16612,298303,85219.0,6336000.0
2014-07-28,16426,16982,15685,15747,377832,80784.0,6336000.0
2014-07-29,15870,15932,14759,15068,246536,77299.0,6336000.0
2014-07-30,15191,15191,14327,14389,274778,73814.0,6336000.0
2014-07-31,14635,15068,14265,15068,423047,77299.0,6336000.0
2014-08-01,15006,15438,14759,14759,202921,75715.0,6336000.0
2014-08-04,14944,15747,14635,15439,257952,79200.0,6336000.0
2014-08-05,15500,15994,14759,15006,188286,76982.0,6336000.0
2014-08-06,14697,14821,13709,13771,468705,70646.0,6336000.0
2014-08-07,13586,13956,13153,13833,245023,70963.0,6336000.0
2014-08-08,13833,14080,12968,12968,363395,76777.0,7312116.0
2014-08-11,13091,13277,12301,12351,477827,73121.0,7312116.0
2014-08-12,12350,12474,12165,12351,241032,74394.0,7439388.0
2014-08-13,12536,13153,12350,12783,683315,76998.0,7439388.0
2014-08-14,12721,12783,12412,12721,365979,76626.0,7439388.0
2014-08-18,12844,12844,12350,12721,345927,76626.0,7439388.0
2014-08-19,12844,13771,12474,13648,1062750,82205.0,7439388.0
2014-08-20,13462,14018,13400,13771,458790,82949.0,7439388.0
2014-08-21,13771,13771,13091,13154,386418,79229.0,7439388.0
2014-08-22,13277,13462,12844,13339,290315,80345.0,7439388.0
2014-08-25,13339,13400,12721,13030,227463,78486.0,7439388.0
2014-08-26,13091,13771,13091,13771,524740,82949.0,7439388.0
2014-08-27,13894,14265,13339,13463,580329,81089.0,7439388.0
2014-08-28,13462,13956,13277,13957,310896,84065.0,7439388.0
2014-08-29,14327,14635,13956,13957,544362,84065.0,7439388.0
2014-09-01,14018,14080,13215,13277,337889,79973.0,7439388.0
2014-09-02,13462,13524,13030,13401,196370,80717.0,7439388.0
2014-09-03,13400,13524,13153,13154,158910,79229.0,7439388.0
2014-09-04,13153,13400,12906,13030,188799,78486.0,7439388.0
