비즈니스온(138580),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-11-30,16900,19700,13750,14000,8373457,133629.0,9544940.0
2017-12-01,14100,14100,12600,12850,1580530,122652.0,9544940.0
2017-12-04,12850,13100,11600,11850,1079810,113108.0,9544940.0
2017-12-05,11800,12300,11400,11800,1046487,112630.0,9544940.0
2017-12-06,12250,12550,11300,11450,963248,109290.0,9544940.0
2017-12-07,11300,11600,10000,10550,841823,100699.0,9544940.0
2017-12-08,10550,13550,10450,11750,6231068,112153.0,9544940.0
2017-12-11,11900,12050,11100,11350,903722,108335.0,9544940.0
2017-12-12,11300,11450,10700,10700,420079,102131.0,9544940.0
2017-12-13,10750,11500,10700,11150,623988,106426.0,9544940.0
2017-12-14,11150,11350,10800,10850,296129,103563.0,9544940.0
2017-12-15,10950,11350,10700,10900,385554,104040.0,9544940.0
2017-12-18,11000,11200,10350,10550,303666,100699.0,9544940.0
2017-12-19,10600,10650,9960,10100,285166,96404.0,9544940.0
2017-12-20,10150,10200,9800,9800,177921,93540.0,9544940.0
2017-12-21,9900,9990,9300,9320,175785,88959.0,9544940.0
2017-12-22,9250,9430,9120,9190,140132,87718.0,9544940.0
2017-12-26,9390,9730,9310,9390,126762,89627.0,9544940.0
2017-12-27,9350,9580,9200,9530,89156,90963.0,9544940.0
2017-12-28,9650,9680,9300,9680,109847,92395.0,9544940.0
2018-01-02,9520,9550,9330,9340,246741,89150.0,9544940.0
2018-01-03,9430,9670,9320,9670,192150,92300.0,9544940.0
2018-01-04,9830,10800,9800,10300,758646,98313.0,9544940.0
2018-01-05,10400,10700,10050,10700,339584,102131.0,9544940.0
2018-01-08,10900,11000,10300,10450,256154,99745.0,9544940.0
2018-01-09,10550,11350,10500,11200,968212,106903.0,9544940.0
2018-01-10,11200,11400,10600,10700,329688,102131.0,9544940.0
2018-01-11,10700,10700,10350,10600,187783,101176.0,9544940.0
2018-01-12,10750,11600,10350,10350,783513,98790.0,9544940.0
2018-01-15,10450,10550,9980,10100,286189,96404.0,9544940.0
2018-01-16,10200,10350,9970,10250,175473,97836.0,9544940.0
2018-01-17,10200,10950,10150,10800,417524,103085.0,9544940.0
2018-01-18,10800,11100,10500,11000,383875,104994.0,9544940.0
2018-01-19,11100,11500,10700,10900,680274,104040.0,9544940.0
2018-01-22,11000,11050,10500,11050,216111,105472.0,9544940.0
2018-01-23,11250,14350,11150,13400,7994010,127902.0,9544940.0
2018-01-24,13300,14250,13000,14100,2084262,134584.0,9544940.0
2018-01-25,14400,14850,13650,13800,1191064,131720.0,9544940.0
2018-01-26,13700,14750,13400,14750,680033,140788.0,9544940.0
2018-01-29,14750,14950,14250,14400,646205,137447.0,9544940.0
2018-01-30,14400,14500,13350,13850,596237,132197.0,9544940.0
2018-01-31,13550,14250,13400,13950,413426,133152.0,9544940.0
2018-02-01,13900,14350,13600,14300,455826,136493.0,9544940.0
2018-02-02,14350,14750,13650,14100,584008,134584.0,9544940.0
2018-02-05,13600,14050,12600,12600,408667,120266.0,9544940.0
2018-02-06,11800,12300,11450,12000,479974,114539.0,9544940.0
2018-02-07,12400,12900,12150,12300,385895,117403.0,9544940.0
2018-02-08,12450,14450,12450,12800,3421479,122175.0,9544940.0
2018-02-09,12100,12450,12000,12150,491670,115971.0,9544940.0
2018-02-12,12500,12500,11600,11600,266271,110721.0,9544940.0
2018-02-13,11800,12250,11750,11800,196594,112630.0,9544940.0
2018-02-14,12200,12250,11550,11900,112013,113585.0,9544940.0
2018-02-19,12200,12450,12000,12400,206110,118357.0,9544940.0
2018-02-20,12700,13100,12450,12800,423023,122175.0,9544940.0
2018-02-21,12950,13000,12700,12900,109587,123130.0,9544940.0
2018-02-22,12800,13800,12650,13600,478706,129811.0,9544940.0
2018-02-23,13600,14000,13400,13600,253648,129811.0,9544940.0
2018-02-26,13650,13900,13200,13500,223605,128857.0,9544940.0
2018-02-27,13950,14200,13600,14150,338634,135061.0,9544940.0
2018-02-28,14050,14100,13150,13150,243199,125516.0,9544940.0
2018-03-02,12950,13350,12650,13050,131273,124561.0,9544940.0
2018-03-05,13300,13450,12700,12750,219337,121698.0,9544940.0
2018-03-06,12850,13200,12800,13000,70972,124084.0,9544940.0
2018-03-07,13200,13200,12300,12400,142705,118357.0,9544940.0
2018-03-08,12600,12950,12550,12950,86068,123607.0,9544940.0
2018-03-09,13100,13200,12800,13200,117119,125993.0,9544940.0
2018-03-12,13500,13600,13100,13100,101618,125039.0,9544940.0
2018-03-13,13100,13150,12800,13000,77329,124084.0,9544940.0
2018-03-14,13050,13400,12850,13050,75663,124561.0,9544940.0
2018-03-15,13150,14350,13100,14200,665765,135538.0,9544940.0
2018-03-16,14350,14650,14050,14500,469545,138402.0,9544940.0
2018-03-19,14550,14750,14000,14700,248976,140311.0,9544940.0
2018-03-20,14550,16200,14350,15600,1044398,148901.0,9544940.0
2018-03-21,15850,16250,15400,15750,482944,150333.0,9544940.0
2018-03-22,15700,16050,15200,15800,348271,150810.0,9544940.0
2018-03-23,15350,16600,15000,15150,634612,144606.0,9544940.0
2018-03-26,15450,16150,14800,16150,458876,154151.0,9544940.0
2018-03-27,16250,16750,15850,16650,488675,158923.0,9544940.0
2018-03-28,16350,16650,15950,16250,255930,155105.0,9544940.0
2018-03-29,16250,16750,15750,16100,198056,153674.0,9544940.0
2018-03-30,16150,17250,16050,16950,372734,161787.0,9544940.0
2018-04-02,16950,17000,15500,15600,278319,148901.0,9544940.0
2018-04-03,15250,15550,14550,15100,429199,144129.0,9544940.0
