멀티캠퍼스(067280),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-11-16,48000,55200,48000,55200,2660,310688.0,5628400.0
2006-11-17,63400,63400,63400,63400,110850,356841.0,5628400.0
2006-11-20,72900,72900,72900,72900,65517,410310.0,5628400.0
2006-11-21,72000,72000,62700,63800,1070873,359092.0,5628400.0
2006-11-22,64800,66700,62700,65000,410853,365846.0,5628400.0
2006-11-23,65700,65700,59200,59400,315652,334327.0,5628400.0
2006-11-24,58200,58500,54900,56100,273929,315753.0,5628400.0
2006-11-27,55300,57400,53700,54000,178969,303934.0,5628400.0
2006-11-28,52500,54900,51500,53200,236192,299431.0,5628400.0
2006-11-29,54200,56300,53400,53500,228086,301119.0,5628400.0
2006-11-30,53200,53900,51500,52200,150758,293802.0,5628400.0
2006-12-01,52600,54300,52500,52600,144692,296054.0,5628400.0
2006-12-04,51800,52900,51600,51600,67098,290425.0,5628400.0
2006-12-05,52100,52600,50200,50900,79511,286486.0,5628400.0
2006-12-06,50900,51000,48300,48950,76908,275510.0,5628400.0
2006-12-07,48600,49100,46400,47000,85314,264535.0,5628400.0
2006-12-08,46600,50400,45700,47750,139879,268756.0,5628400.0
2006-12-11,47300,47950,46100,46100,52887,259469.0,5628400.0
2006-12-12,45500,46100,42750,42750,75334,240614.0,5628400.0
2006-12-13,43000,44250,43000,43300,37370,243710.0,5628400.0
2006-12-14,43100,43950,43000,43300,41431,243710.0,5628400.0
2006-12-15,43800,49600,43650,48500,188654,272977.0,5628400.0
2006-12-18,48000,48100,46000,46300,76734,260595.0,5628400.0
2006-12-19,45900,48000,45900,47100,66404,265098.0,5628400.0
2006-12-20,47000,48500,46200,46900,50878,263972.0,5628400.0
2006-12-21,46150,47700,45050,45050,38989,253559.0,5628400.0
2006-12-22,45500,45600,44350,44850,24690,252434.0,5628400.0
2006-12-26,45000,45350,43500,43550,40947,245117.0,5628400.0
2006-12-27,44000,47000,44000,45750,60200,257499.0,5628400.0
2006-12-28,46100,46550,45300,46200,27397,260032.0,5628400.0
2007-01-02,46200,46600,45100,45400,21687,255529.0,5628400.0
2007-01-03,45600,46200,45000,45000,20409,253278.0,5628400.0
2007-01-04,44900,45450,43900,43900,22421,247087.0,5628400.0
2007-01-05,44000,44650,43000,43600,22753,245398.0,5628400.0
2007-01-08,43200,44250,43200,43500,17379,244835.0,5628400.0
2007-01-09,44000,44200,43300,43750,20622,246242.0,5628400.0
2007-01-10,43750,43750,42200,42200,28720,237518.0,5628400.0
2007-01-11,43000,43000,41200,42300,54193,238081.0,5628400.0
2007-01-12,42300,43800,42300,43250,37734,243428.0,5628400.0
2007-01-15,43500,49000,43500,46750,160649,263128.0,5628400.0
2007-01-16,44400,44500,41300,43000,277747,242021.0,5628400.0
2007-01-17,43200,43850,42300,42400,58590,238644.0,5628400.0
2007-01-18,42600,43000,41950,42200,65358,237518.0,5628400.0
2007-01-19,42250,44250,42250,44000,90286,247650.0,5628400.0
2007-01-22,44500,45400,44100,44300,65136,249338.0,5628400.0
2007-01-23,44000,44000,43050,43050,26621,242303.0,5628400.0
2007-01-24,43050,44000,42900,43050,24238,242303.0,5628400.0
2007-01-25,43150,43750,42700,43250,23271,243428.0,5628400.0
2007-01-26,43250,43700,42700,43050,22983,242303.0,5628400.0
2007-01-29,43100,43400,42600,42650,16632,240051.0,5628400.0
2007-01-30,42300,42900,41800,42200,25882,237518.0,5628400.0
2007-01-31,42200,42800,41600,41750,21271,234986.0,5628400.0
2007-02-01,41750,43400,41550,43000,59244,242021.0,5628400.0
2007-02-02,43500,43500,42450,43100,19914,242584.0,5628400.0
