삼표시멘트(038500),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-02-01,96477,96477,96477,96478,1475,31061.0,7765200.0
2001-02-02,108051,108051,108051,108050,302,34788.0,7765200.0
2001-02-05,120858,120858,120858,120857,5915,38904.0,7765200.0
2001-02-06,135322,135322,135322,135322,156833,43563.0,7765200.0
2001-02-07,151477,151477,151477,151478,7119,48765.0,7765200.0
2001-02-08,169552,169552,169552,169551,35183,54589.0,7765200.0
2001-02-09,189836,189836,189836,189835,1799633,61112.0,7765200.0
2001-02-12,190558,197796,170055,173192,3878027,55754.0,7765200.0
2001-02-13,179699,190311,175115,180181,1254984,58006.0,7765200.0
2001-02-14,180889,183301,171966,174135,720730,56065.0,7765200.0
2001-02-15,174376,177269,167623,169551,595849,54589.0,7765200.0
2001-02-16,169570,184525,162815,177288,1251435,57074.0,7765200.0
2001-02-19,174883,174883,167405,170299,484365,54822.0,7765200.0
2001-02-20,171253,180902,169566,173907,572484,55987.0,7765200.0
2001-02-21,168855,178503,165960,169096,527173,54434.0,7765200.0
2001-02-22,162320,164007,148812,148812,384577,47911.0,7765200.0
2001-02-23,144734,151489,134120,138703,916839,44650.0,7765200.0
2001-02-26,144974,155346,143285,155346,990624,50008.0,7765200.0
2001-02-27,157013,160872,136754,136753,1147154,44029.0,7765200.0
2001-02-28,135805,142560,130257,139906,501758,45038.0,7765200.0
2001-03-02,143284,143526,123264,123263,330091,39680.0,7765200.0
2001-03-05,108787,127360,108546,124465,538070,40068.0,7765200.0
2001-03-06,125422,126387,118186,120597,407876,38826.0,7765200.0
2001-03-07,120855,125438,120132,122060,302470,39292.0,7765200.0
2001-03-08,124223,136525,124223,136525,638957,43951.0,7765200.0
2001-03-09,138938,146657,127118,131942,1259821,42476.0,7765200.0
2001-03-12,127828,138441,122282,124693,704578,40146.0,7765200.0
2001-03-13,120352,124211,112152,117217,419197,37739.0,7765200.0
2001-03-14,121800,127589,121800,126383,527671,40690.0,7765200.0
2001-03-15,114555,123961,114555,122515,237290,39447.0,7765200.0
2001-03-16,123721,126374,120585,122515,251595,39447.0,7765200.0
2001-03-19,116968,124204,116968,122515,253991,39447.0,7765200.0
2001-03-20,127827,129033,122521,123003,359111,39603.0,7765200.0
2001-03-21,120598,137242,119392,137240,857990,44184.0,7765200.0
2001-03-22,139644,141816,128551,130479,809289,42010.0,7765200.0
2001-03-23,133139,133863,122286,125181,340318,40301.0,7765200.0
2001-03-26,127835,129763,126146,129764,385473,41777.0,7765200.0
2001-03-27,127842,135561,127842,129049,628695,41544.0,7765200.0
2001-03-28,130260,132672,120369,120370,369970,38748.0,7765200.0
2001-03-29,116276,121101,112899,113381,242943,36496.0,7765200.0
2001-03-30,110950,115775,109746,113121,302621,36419.0,7765200.0
2001-04-02,112176,115552,111210,113381,265223,36496.0,7765200.0
2001-04-03,109753,121573,109029,116989,604613,37661.0,7765200.0
2001-04-04,115789,121095,113376,117477,522900,37817.0,7765200.0
2001-04-06,125441,126407,118686,120857,479898,38904.0,7765200.0
2001-04-09,122777,123017,116988,119882,298175,38593.0,7765200.0
2001-04-10,122042,131448,121559,121800,2193766,39214.0,7765200.0
2001-04-11,125657,127827,121074,123003,691277,39603.0,7765200.0
2001-04-12,125899,136994,124211,132169,1566025,42553.0,7765200.0
2001-04-13,135064,136752,127588,132169,832109,42553.0,7765200.0
2001-04-16,132660,138932,129283,131454,1100572,42320.0,7765200.0
2001-04-17,130242,132895,124936,126383,594557,40690.0,7765200.0
2001-04-18,130246,137965,129040,137240,1042592,44184.0,7765200.0
2001-04-19,140850,147120,131444,133372,1064023,42942.0,7765200.0
2001-04-20,132671,137494,125675,127846,487612,41156.0,7765200.0
2001-04-23,128308,133372,126137,133372,627907,42942.0,7765200.0
2001-04-24,130236,132166,127341,131682,357016,42398.0,7765200.0
2001-04-25,137255,144492,134842,137013,1371754,44106.0,7765200.0
