엘엠에스(073110),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-10-12,9900,10400,8420,8420,2279111,67860.0,8059400.0
2007-10-15,8500,8840,7280,7400,422177,59640.0,8059400.0
2007-10-16,7580,7700,7110,7350,273983,59237.0,8059400.0
2007-10-17,7200,7280,6260,6480,384797,52225.0,8059400.0
2007-10-18,6470,6720,6330,6480,260075,52225.0,8059400.0
2007-10-19,6470,7180,6230,6790,334971,54723.0,8059400.0
2007-10-22,6350,7050,6310,6740,100836,54320.0,8059400.0
2007-10-23,6850,6950,6620,6880,87100,55449.0,8059400.0
2007-10-24,6900,7040,6540,6670,98187,53756.0,8059400.0
2007-10-25,6700,6730,6300,6300,70922,50774.0,8059400.0
2007-10-26,6300,6300,5860,6100,81925,49437.0,8104400.0
2007-10-29,6010,6840,6010,6740,145061,54961.0,8154400.0
2007-10-30,6900,6900,6530,6760,42654,55124.0,8154400.0
2007-10-31,6750,6750,6220,6450,75179,53769.0,8336218.0
2007-11-01,6270,6450,6160,6260,59841,52185.0,8336218.0
2007-11-02,5900,6480,5900,6400,43462,53352.0,8336218.0
2007-11-05,6400,6600,6200,6400,17112,53352.0,8336218.0
2007-11-06,6300,6470,6170,6300,31845,52698.0,8364718.0
2007-11-07,6300,6300,5980,6020,38409,50356.0,8364718.0
2007-11-08,6050,6050,5700,5890,44746,49268.0,8364718.0
2007-11-09,5930,6110,5630,5670,40392,48278.0,8514718.0
2007-11-12,5530,5670,5270,5480,49599,46661.0,8514718.0
2007-11-13,5270,5600,5270,5600,24396,47682.0,8514718.0
2007-11-14,5640,6070,5400,5400,53740,45979.0,8514718.0
2007-11-15,5550,6000,5450,5710,55851,48619.0,8514718.0
2007-11-16,5780,6100,5780,6000,89136,51088.0,8514718.0
2007-11-19,6100,6150,5710,5710,48614,48619.0,8514718.0
2007-11-20,5800,5800,5450,5720,29640,48704.0,8514718.0
2007-11-21,5720,5820,5620,5680,60171,48364.0,8514718.0
2007-11-22,5400,5800,5400,5680,39596,48364.0,8514718.0
2007-11-23,5600,5700,5460,5650,35517,48108.0,8514718.0
2007-11-26,5650,5790,5520,5630,48520,47938.0,8514718.0
2007-11-27,5600,5680,5530,5680,41755,48364.0,8514718.0
2007-11-28,5570,5690,5510,5680,28270,48364.0,8514718.0
2007-11-29,5700,5790,5530,5560,62645,47342.0,8514718.0
2007-11-30,5680,5680,5450,5450,62542,46405.0,8514718.0
2007-12-03,5500,5570,5390,5540,26706,47172.0,8514718.0
2007-12-04,5540,5600,5350,5540,3880,47172.0,8514718.0
2007-12-05,5600,5600,5400,5490,3735,46746.0,8514718.0
2007-12-06,5490,5550,5450,5500,35378,46831.0,8514718.0
2007-12-07,5580,5580,5350,5500,13154,46831.0,8514718.0
2007-12-10,5560,5560,5310,5330,6649,45383.0,8514718.0
2007-12-11,5270,5500,5220,5380,32204,46616.0,8664718.0
2007-12-12,5480,5480,5150,5300,22063,45923.0,8664718.0
2007-12-13,5270,5280,5180,5270,29460,45663.0,8664718.0
2007-12-14,5110,5260,4955,5000,55822,43324.0,8664718.0
2007-12-17,5000,5040,4815,4950,12651,42890.0,8664718.0
2007-12-18,4835,4995,4835,4965,6564,43020.0,8664718.0
2007-12-20,4950,4965,4705,4800,63186,41591.0,8664718.0
2007-12-21,4720,4800,4450,4700,51849,40724.0,8664718.0
2007-12-24,4700,4780,4400,4435,90555,38428.0,8664718.0
2007-12-26,4400,5100,4400,4850,229912,42024.0,8664718.0
2007-12-27,4850,4920,4630,4685,73049,40594.0,8664718.0
2007-12-28,4850,5180,4600,5160,313571,44710.0,8664718.0
2008-01-02,5060,5190,4920,4950,65777,42890.0,8664718.0
2008-01-03,4945,5210,4855,5210,78299,45143.0,8664718.0
2008-01-04,5070,5190,4700,4880,305097,42284.0,8664718.0
2008-01-07,4795,5120,4795,5050,29087,43757.0,8664718.0
2008-01-08,5150,5370,5140,5310,79994,46806.0,8814718.0
2008-01-09,5350,6040,5260,5960,238861,52536.0,8814718.0
2008-01-10,6020,6850,6000,6850,276483,60381.0,8814718.0
2008-01-11,7050,7750,6500,6950,445382,61262.0,8814718.0
2008-01-14,6950,7000,6410,6460,129031,56943.0,8814718.0
2008-01-15,6460,6640,5920,6010,130953,52976.0,8814718.0
2008-01-16,5910,6770,5910,6470,150043,57031.0,8814718.0
2008-01-17,6480,6560,6120,6130,73198,54034.0,8814718.0
2008-01-18,6050,6350,5930,6290,49423,55445.0,8814718.0
2008-01-21,6380,6780,6310,6500,92200,57588.0,8859718.0
2008-01-22,6290,6490,5960,6290,62781,55728.0,8859718.0
2008-01-23,6310,6660,6310,6600,60277,58474.0,8859718.0
2008-01-24,6750,7100,6750,6910,93464,61221.0,8859718.0
2008-01-25,6900,7070,6530,6820,55184,60423.0,8859718.0
2008-01-28,6610,6820,6460,6480,35335,57411.0,8859718.0
2008-01-29,6890,6890,6160,6200,78520,54930.0,8859718.0
2008-01-30,6400,6400,5970,6000,32232,53158.0,8859718.0
2008-01-31,5850,6200,5850,6010,14254,53247.0,8859718.0
2008-02-01,6030,6500,6030,6180,27767,54753.0,8859718.0
2008-02-04,6090,6300,6050,6060,27498,53690.0,8859718.0
2008-02-05,6000,6250,6000,6200,23708,54930.0,8859718.0
2008-02-11,6050,6170,5920,5960,10425,52804.0,8859718.0
2008-02-12,6180,6180,5910,6000,15215,53158.0,8859718.0
2008-02-13,6190,6190,5860,5880,27486,52095.0,8859718.0
2008-02-14,5910,6100,5900,6100,19753,54044.0,8859718.0
2008-02-15,6140,6140,5850,5990,13642,53070.0,8859718.0
2008-02-18,5960,6190,5860,6070,26168,53778.0,8859718.0
2008-02-19,6010,6560,5940,6500,63196,57588.0,8859718.0
2008-02-20,6510,6510,6150,6250,20815,55373.0,8859718.0
