솔트웍스(230980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-03-02,3215,3231,3119,3129,494051,3950.0,2000000.0
2016-03-03,3127,3159,3104,3137,80970,3960.0,2000000.0
2016-03-04,3127,3143,3120,3145,41792,3970.0,2000000.0
2016-03-07,3143,3151,3120,3145,16402,3970.0,2000000.0
2016-03-08,3143,3167,3135,3169,36515,4000.0,2000000.0
2016-03-09,3167,3167,3127,3153,7770,3980.0,2000000.0
2016-03-10,3151,3159,3112,3161,4994,3990.0,2000000.0
2016-03-11,3143,3143,3088,3129,36699,3950.0,2000000.0
2016-03-14,3120,3143,3120,3145,145,3970.0,2000000.0
2016-03-15,3088,3143,3088,3145,8502,3970.0,2000000.0
2016-03-16,3112,3143,3104,3137,659,3960.0,2000000.0
2016-03-17,3104,3135,3088,3097,21102,3910.0,2000000.0
2016-03-18,3112,3112,3096,3105,4456,3920.0,2000000.0
2016-03-21,3135,3135,3112,3121,13,3940.0,2000000.0
2016-03-22,3127,3127,3104,3121,1250,3940.0,2000000.0
2016-03-23,3119,3127,3088,3129,32079,3950.0,2000000.0
2016-03-24,3096,3135,3096,3137,4001,3960.0,2000000.0
2016-03-25,3135,3167,3127,3169,28167,4000.0,2000000.0
2016-03-28,3159,3176,3135,3169,36353,4000.0,2000000.0
2016-03-29,3167,3167,3120,3153,2397,3980.0,2000000.0
2016-03-30,3151,3151,3135,3153,10939,3980.0,2000000.0
2016-03-31,3112,3159,3104,3153,46730,3980.0,2000000.0
2016-04-01,3159,3167,3120,3169,4083,4000.0,2000000.0
2016-04-04,3159,3167,3135,3137,15226,3960.0,2000000.0
2016-04-05,3151,3176,3151,3169,13493,4000.0,2000000.0
2016-04-06,3167,3184,3167,3169,51624,4000.0,2000000.0
2016-04-07,3167,3184,3167,3177,24896,4010.0,2000000.0
2016-04-08,3223,3223,3167,3192,3375,4030.0,2000000.0
2016-04-11,3184,3184,3167,3184,4226,4020.0,2000000.0
2016-04-12,3184,3184,3167,3169,27501,4000.0,2000000.0
2016-04-14,3167,3184,3167,3169,26082,4000.0,2000000.0
2016-04-15,3120,3167,3120,3169,15,4000.0,2000000.0
2016-04-18,3167,3176,3167,3169,10985,4000.0,2000000.0
2016-04-19,3167,3200,3167,3200,84372,4040.0,2000000.0
2016-04-20,3200,3200,3176,3177,10,4010.0,2000000.0
2016-04-21,3216,3216,3159,3192,2257,4030.0,2000000.0
2016-04-22,3200,3200,3192,3192,1056,4030.0,2000000.0
2016-04-25,3200,3215,3167,3169,6534,4000.0,2000000.0
2016-04-26,3167,3184,3167,3177,4678,4010.0,2000000.0
2016-04-27,3176,3176,3176,3177,4143,4010.0,2000000.0
2016-04-28,3167,3167,3167,3169,1071,4000.0,2000000.0
2016-04-29,3135,3167,3135,3169,308,4000.0,2000000.0
2016-05-02,3184,3184,3184,3184,1000,4020.0,2000000.0
2016-05-03,3176,3176,3151,3169,2238,4000.0,2000000.0
2016-05-04,3167,3167,3151,3153,44,3980.0,2000000.0
2016-05-09,3151,3151,3143,3145,13357,3970.0,2000000.0
2016-05-10,3151,3151,3143,3145,9777,3970.0,2000000.0
2016-05-11,3143,3200,3143,3145,5045,3970.0,2000000.0
2016-05-12,3143,3143,3056,3145,41774,3970.0,2000000.0
2016-05-13,3192,3192,3135,3192,3,4030.0,2000000.0
2016-05-16,3184,3184,3112,3161,62,3990.0,2000000.0
2016-05-17,3135,3151,3135,3153,838,3980.0,2000000.0
2016-05-18,3176,3192,3151,3153,606,3980.0,2000000.0
2016-05-19,3151,3223,3151,3200,18491,4040.0,2000000.0
2016-05-20,3200,3200,3192,3192,4,4030.0,2000000.0
2016-05-23,3184,3184,3143,3169,2587,4000.0,2000000.0
2016-05-24,3224,3224,3167,3216,10286,4060.0,2000000.0
2016-05-25,3295,3310,3167,3208,19376,4050.0,2000000.0
2016-05-26,3208,3208,3208,3208,7421,4050.0,2000000.0
2016-05-27,3208,3208,3208,3208,1,4050.0,2000000.0
2016-05-30,3287,3287,3192,3192,22987,4030.0,2000000.0
2016-05-31,3192,3200,3184,3184,7087,4020.0,2000000.0
2016-06-01,3200,3208,3176,3200,1534,4040.0,2000000.0
2016-06-02,3247,3247,3176,3177,1512,4010.0,2000000.0
2016-06-03,0,0,0,3177,0,4010.0,2000000.0
2016-06-07,0,0,0,3177,0,,
2016-06-08,0,0,0,3177,0,,
2016-06-09,0,0,0,3177,0,,
2016-06-10,0,0,0,3177,0,,
2016-06-13,0,0,0,3177,0,,
2016-06-14,0,0,0,3177,0,,
2016-06-15,0,0,0,3177,0,,
2016-06-16,0,0,0,3177,0,,
2016-06-17,0,0,0,3177,0,,
2016-06-20,0,0,0,3177,0,,
2016-06-21,0,0,0,3177,0,,
2016-06-22,0,0,0,3177,0,,
2016-06-23,0,0,0,3177,0,,
2016-06-24,0,0,0,3177,0,,
2016-06-27,0,0,0,3177,0,,
2016-06-28,0,0,0,3177,0,,
2016-06-29,0,0,0,3177,0,,
2016-06-30,0,0,0,3177,0,,
2016-07-01,0,0,0,3177,0,,
2016-07-04,0,0,0,3177,0,,
2016-07-05,0,0,0,3177,0,,
2016-07-06,0,0,0,3177,0,,
2016-07-07,0,0,0,3177,0,,
2016-07-08,0,0,0,3177,0,,
2016-07-11,0,0,0,3177,0,,
2016-07-12,0,0,0,3177,0,,
2016-07-13,0,0,0,3177,0,,
2016-07-14,0,0,0,3177,0,,
2016-07-15,0,0,0,3177,0,,
2016-07-18,0,0,0,3177,0,,
2016-07-19,0,0,0,3177,0,,
2016-07-20,0,0,0,3177,0,,
2016-07-21,0,0,0,3177,0,,
2016-07-22,0,0,0,3177,0,,
2016-07-25,0,0,0,3177,0,,
2016-07-26,0,0,0,3177,0,,
2016-07-27,0,0,0,3177,0,,
2016-07-28,0,0,0,3177,0,,
2016-07-29,0,0,0,3177,0,,
2016-08-01,0,0,0,3177,0,,
2016-08-02,0,0,0,3177,0,,
2016-08-03,0,0,0,3177,0,,
2016-08-04,0,0,0,3177,0,,
2016-08-05,0,0,0,3177,0,,
2016-08-08,0,0,0,3177,0,,
2016-08-09,0,0,0,3177,0,,
2016-08-10,0,0,0,3177,0,,
2016-08-11,0,0,0,3177,0,,
2016-08-12,0,0,0,3177,0,,
2016-08-16,0,0,0,3177,0,,
2016-08-17,0,0,0,3177,0,,
2016-08-18,0,0,0,3177,0,,
2016-08-19,0,0,0,3177,0,,
2016-08-22,3176,4124,3176,4124,431238,7310.0,2000000.0
2016-08-23,4513,5360,4412,5360,3451740,9500.0,2000000.0
2016-08-24,5754,6488,5202,5315,3971080,9420.0,2000000.0
2016-08-25,5495,6274,5213,5558,2370142,9850.0,2000000.0
2016-08-26,5642,5856,5213,5242,748462,9290.0,2000000.0
2016-08-29,5495,5912,5055,5106,768822,9050.0,2000000.0
2016-08-30,5021,5286,4919,5100,213121,9040.0,2000000.0
2016-08-31,4993,5264,4626,4886,267272,8660.0,2000000.0
2016-09-01,4671,5625,4671,4880,1815666,8650.0,2000000.0
2016-09-02,4829,5472,4739,4739,606184,8400.0,2000000.0
2016-09-05,4897,4897,4530,4593,267605,8140.0,2000000.0
2016-09-06,4491,4931,4491,4508,452952,7990.0,2000000.0
2016-09-07,4513,4874,4429,4621,518858,8190.0,2000000.0
2016-09-08,4637,4711,4327,4367,273177,7740.0,2000000.0
2016-09-09,4417,5371,4192,4542,1695979,8050.0,2000000.0
2016-09-12,4423,4677,4361,4423,380270,7840.0,2000000.0
2016-09-13,4440,4767,4406,4412,326566,7820.0,2000000.0
2016-09-19,4293,4496,4254,4277,253046,7580.0,2000000.0
2016-09-20,4209,4338,4062,4062,156094,7200.0,2000000.0
2016-09-21,4067,4197,3988,4006,94132,7100.0,2000000.0
2016-09-22,4062,4592,4062,4119,484065,7300.0,2000000.0
