NEW(160550),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-12-23,7913,9090,7838,9090,2147704,239635.0,13203053.0
2014-12-24,9916,10317,8939,8940,2951690,235674.0,13203053.0
2014-12-26,8639,9290,8163,8664,1286025,228413.0,13203053.0
2014-12-29,8714,9540,8589,8965,796234,236335.0,13203053.0
2014-12-30,9065,9340,8739,9040,330089,238315.0,13203053.0
2015-01-02,9040,10392,8939,10392,1109641,273963.0,13203053.0
2015-01-05,10692,11544,10192,11018,1560646,290467.0,13203053.0
2015-01-06,10918,11193,10542,11069,762066,302837.0,13703053.0
2015-01-07,11068,11193,10567,10743,484318,293930.0,13703053.0
2015-01-08,10868,11719,10692,11720,1042815,320651.0,13703053.0
2015-01-09,11594,12470,11419,12020,1283848,328873.0,13703053.0
2015-01-12,12170,12245,11569,12020,659197,328873.0,13703053.0
2015-01-13,11919,12420,11043,11219,826956,306948.0,13703053.0
2015-01-14,11444,11819,11143,11494,418574,314485.0,13703053.0
2015-01-15,11369,11419,10843,11144,540224,304893.0,13703053.0
2015-01-16,11444,12571,11343,11995,1304393,328188.0,13703053.0
2015-01-19,12220,13222,11769,12596,1117098,344632.0,13703053.0
2015-01-20,12721,13071,12195,12396,516779,339151.0,13703053.0
2015-01-21,12420,12646,11970,12170,442291,332984.0,13703053.0
2015-01-22,12070,12095,10843,11094,1192727,303523.0,13703053.0
2015-01-23,11143,11394,10818,11244,517856,307634.0,13703053.0
2015-01-26,11369,11369,10467,10718,543247,293245.0,13703053.0
2015-01-27,10943,11168,10567,10568,485756,289134.0,13703053.0
2015-01-28,10667,11469,10467,11419,481522,312430.0,13703053.0
2015-01-29,11369,11619,11093,11369,411461,311059.0,13703053.0
2015-01-30,11469,12070,11318,11745,436829,321337.0,13703053.0
2015-02-02,11619,11619,11143,11319,239513,309689.0,13703053.0
2015-02-03,11494,11769,11218,11219,233251,306948.0,13703053.0
2015-02-04,11268,11343,10868,11119,310864,304208.0,13703053.0
2015-02-05,11168,11494,10943,11394,278385,311744.0,13703053.0
2015-02-06,11569,11970,11343,11820,526968,323392.0,13703053.0
2015-02-09,11970,12095,11419,11695,330334,319966.0,13703053.0
2015-02-10,11744,11819,11243,11594,222349,317226.0,13703053.0
2015-02-11,11619,11694,11043,11043,358681,302152.0,13703053.0
2015-02-12,10768,11744,10742,11619,341089,317911.0,13703053.0
2015-02-13,11419,11619,11043,11419,213375,312430.0,13703053.0
2015-02-16,11419,11519,10868,11018,206366,301467.0,13703053.0
2015-02-17,10893,11018,10367,10417,300557,285024.0,13703053.0
2015-02-23,10292,10692,10116,10693,184420,292560.0,13703053.0
2015-02-24,10692,10768,10567,10668,144530,291875.0,13703053.0
2015-02-25,10717,10793,10141,10192,219148,278857.0,13703053.0
2015-02-26,10317,10943,10167,10618,233787,290505.0,13703053.0
2015-02-27,10768,10918,10617,10743,105842,293930.0,13703053.0
2015-03-02,10868,10868,10317,10417,107864,285024.0,13703053.0
2015-03-03,10592,11193,10392,11018,169266,301467.0,13703053.0
2015-03-04,10868,11018,10742,11018,105238,301467.0,13703053.0
2015-03-05,11043,11268,10517,10743,115667,293930.0,13703053.0
2015-03-06,10918,10918,10367,10843,124817,296671.0,13703053.0
2015-03-09,10818,10818,10392,10392,151603,284338.0,13703053.0
2015-03-10,10517,10642,10267,10367,91170,283653.0,13703053.0
2015-03-11,10192,10567,10141,10543,90730,288449.0,13703053.0
2015-03-12,10517,10642,10367,10568,94428,289134.0,13703053.0
2015-03-13,10592,11369,10517,11369,267954,311059.0,13703053.0
2015-03-16,11369,11944,11243,11670,291221,319281.0,13703053.0
2015-03-17,11844,11844,11218,11720,135836,320651.0,13703053.0
2015-03-18,12095,12120,11419,11444,179243,313115.0,13703053.0
2015-03-19,11343,11644,10968,11043,132100,302152.0,13703053.0
2015-03-20,11143,11619,10993,11319,97170,309689.0,13703053.0
2015-03-23,11343,12120,11343,12020,258416,328873.0,13703053.0
2015-03-24,12195,12545,12145,12321,313410,337095.0,13703053.0
2015-03-25,12445,12445,11744,12296,272450,336410.0,13703053.0
2015-03-26,12095,12345,11769,11945,168956,326818.0,13703053.0
2015-03-27,12170,12520,11869,12521,236292,342576.0,13703053.0
2015-03-30,12871,12996,12170,12621,358422,345317.0,13703053.0
2015-03-31,12746,12771,12045,12220,172301,334354.0,13703053.0
2015-04-01,12345,12370,11995,12145,119038,332299.0,13703053.0
2015-04-02,12095,12445,11744,12170,237847,332984.0,13703053.0
2015-04-03,12420,12420,11970,12095,128194,330929.0,13703053.0
2015-04-06,12070,12170,11569,11945,229968,326818.0,13703053.0
2015-04-07,11894,11995,11694,11845,118959,324077.0,13703053.0
2015-04-08,11894,11919,11318,11319,201532,309689.0,13703053.0
2015-04-09,11419,11569,11143,11419,131234,312430.0,13703053.0
2015-04-10,11419,11494,10968,11494,247533,314485.0,13703053.0
2015-04-13,11569,11594,11043,11169,143839,305578.0,13703053.0
2015-04-14,11243,11343,10692,11018,285602,301467.0,13703053.0
2015-04-15,10943,11268,10943,11194,74614,306263.0,13703053.0
2015-04-16,11394,11394,11018,11294,113289,309004.0,13703053.0
2015-04-17,11318,11669,11093,11544,130638,315855.0,13703053.0
2015-04-20,11419,11594,11293,11594,82364,317226.0,13703053.0
2015-04-21,11519,11744,11318,11544,124566,315855.0,13703053.0
2015-04-22,11544,11869,11043,11544,214522,315855.0,13703053.0
2015-04-23,11719,12020,11218,11670,238807,319281.0,13703053.0
2015-04-24,11694,11769,11419,11670,96587,319281.0,13703053.0
2015-04-27,11794,12170,11594,11795,221928,322707.0,13703053.0
2015-04-28,11744,11769,11394,11619,163338,317911.0,13703053.0
2015-04-29,11719,11970,11594,11820,106725,323392.0,13703053.0
2015-04-30,11894,12220,11594,11920,165487,326133.0,13703053.0
2015-05-04,12020,12070,11669,11745,103321,321337.0,13703053.0
2015-05-06,11569,11995,11469,11820,89017,323392.0,13703053.0
2015-05-07,11819,11970,11519,11945,83725,326818.0,13703053.0
2015-05-08,11944,12195,11569,11745,156386,321337.0,13703053.0
2015-05-11,11869,12621,11794,12496,393371,341891.0,13703053.0
2015-05-12,12470,13322,12345,12596,626053,344632.0,13703053.0
2015-05-13,12696,13222,12696,12922,320837,353539.0,13703053.0
2015-05-14,12946,13247,12520,13047,197725,356965.0,13703053.0
2015-05-15,13096,13197,12696,12997,166875,355594.0,13703053.0
2015-05-18,12996,13096,12671,12997,109333,355594.0,13703053.0
2015-05-19,12996,13823,12846,13172,286007,360390.0,13703053.0
2015-05-20,13197,13572,13071,13473,189464,368612.0,13703053.0
2015-05-21,13372,14248,13222,14023,290581,383685.0,13703053.0
2015-05-22,13973,14674,13672,14224,239536,389167.0,13703053.0
2015-05-26,14098,14273,13672,14124,127620,386426.0,13703053.0
2015-05-27,14123,14374,13272,14349,182173,392592.0,13703053.0
2015-05-28,14098,14874,14098,14249,140062,389852.0,13703053.0
2015-05-29,14073,14173,13672,13923,139263,380945.0,13703053.0
2015-06-01,13798,14073,13522,13623,59807,372723.0,13703053.0
2015-06-02,13322,13948,13272,13773,119279,376834.0,13703053.0
2015-06-03,13597,13923,13021,13297,133096,363816.0,13703053.0
2015-06-04,13172,13347,12395,12646,292716,346002.0,13703053.0
2015-06-05,12696,12996,12646,12872,98203,352168.0,13703053.0
2015-06-08,12896,12896,12345,12646,173958,346002.0,13703053.0
2015-06-09,12545,13096,12520,12821,95494,350798.0,13703053.0
2015-06-10,12996,12996,12320,12446,87018,340521.0,13703053.0
2015-06-11,12370,12771,11944,12671,137632,346687.0,13703053.0
2015-06-12,12571,13297,12571,12947,140883,354224.0,13703053.0
2015-06-15,13046,13146,12520,12621,66761,345317.0,13703053.0
2015-06-16,12796,13798,12621,13372,229159,365872.0,13703053.0
2015-06-17,13447,13773,13297,13773,108713,376834.0,13703053.0
2015-06-18,13948,14123,13497,14099,119530,385741.0,13703053.0
2015-06-19,14098,14223,13121,13998,94546,383000.0,13703053.0
2015-06-22,13998,14749,13798,13823,159553,378204.0,13703053.0
2015-06-23,13823,14323,13622,14023,97224,383685.0,13703053.0
2015-06-24,14474,15525,14348,14750,378814,403555.0,13703053.0
2015-06-25,15325,15475,14599,15000,211359,410406.0,13703053.0
2015-06-26,15275,15475,14799,14925,240174,408351.0,13703053.0
2015-06-29,15475,15801,14474,14624,453471,400129.0,13703053.0
2015-06-30,14724,14799,14198,14624,179590,400129.0,13703053.0
2015-07-01,14624,14649,14273,14324,152874,391907.0,13703053.0
2015-07-02,14348,15050,14348,14675,205425,401499.0,13703053.0
2015-07-03,14674,15375,14123,15376,238060,420684.0,13703053.0
2015-07-06,15175,15576,14173,14349,266379,392592.0,13703053.0
