버킷스튜디오(066410),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-12-19,291984,294150,256946,256952,381440,32076.0,5400000.0
2003-12-22,226233,228395,226233,226239,477912,28242.0,5400000.0
2003-12-23,199418,215856,199418,199419,1422852,24894.0,5400000.0
2003-12-24,194654,198116,175619,176059,818684,21978.0,5400000.0
2003-12-26,171519,183412,160054,160054,470882,19980.0,5400000.0
2003-12-29,155936,165022,152260,155729,483804,19440.0,5400000.0
2003-12-30,161778,168051,157886,160271,514818,20007.0,5400000.0
2004-01-02,160913,162644,157668,158757,277697,19818.0,5400000.0
2004-01-05,159616,165888,156802,165894,376391,20709.0,5400000.0
2004-01-06,166107,177351,157886,157892,782610,19710.0,5400000.0
2004-01-07,155730,156161,142320,142751,293175,17820.0,5400000.0
2004-01-08,140587,145346,125664,125664,385260,15687.0,5400000.0
2004-01-09,124574,127389,114196,121123,470464,15120.0,5400000.0
2004-01-12,121116,129768,119385,121988,585926,15228.0,5400000.0
2004-01-13,123277,136470,123277,131504,1534399,16416.0,5400000.0
2004-01-14,131500,131500,120251,121123,584832,15120.0,5400000.0
2004-01-15,121118,122196,106624,106847,504595,13338.0,5400000.0
2004-01-16,106418,113552,104899,107280,428157,13392.0,5400000.0
2004-01-19,108784,112464,105756,106415,467569,13284.0,5400000.0
2004-01-20,105975,108785,104891,106198,287602,13257.0,5400000.0
2004-01-26,108571,113330,106622,109442,736226,13662.0,5400000.0
2004-01-27,110085,112682,106840,111822,377514,13959.0,5400000.0
2004-01-28,109867,110733,98406,98412,729448,12285.0,5400000.0
2004-01-29,96457,99702,95161,99277,314575,12393.0,5400000.0
2004-01-30,100568,103812,97971,98412,275267,12285.0,5400000.0
2004-02-02,99055,104679,99055,103819,382763,12960.0,5400000.0
2004-02-03,103173,105334,97767,98628,277519,12312.0,5400000.0
2004-02-04,98619,107058,98619,103819,336782,12960.0,5400000.0
2004-02-05,102300,108355,100351,105333,297800,13149.0,5400000.0
2004-02-06,106849,112903,98627,98628,809178,12312.0,5400000.0
2004-02-09,100787,101218,97973,98195,293060,12258.0,5400000.0
2004-02-10,99054,99703,95809,96033,169562,11988.0,5400000.0
2004-02-11,96248,102520,96248,98628,378679,12312.0,5400000.0
2004-02-12,98627,101006,97331,101008,136619,12609.0,5400000.0
2004-02-13,101440,112472,100793,106631,522593,13311.0,5400000.0
2004-02-16,105981,109874,104250,109876,168708,13716.0,5400000.0
2004-02-17,111163,111163,99919,101656,369936,12690.0,5400000.0
2004-02-18,102083,102513,96894,98195,256931,12258.0,5400000.0
2004-02-19,98413,100575,97547,98844,181030,12339.0,5400000.0
2004-02-20,96465,99927,96465,97979,152519,12231.0,5400000.0
2004-02-23,97766,101659,97548,99493,122598,12420.0,5400000.0
2004-02-24,98626,102519,95816,98844,242115,12339.0,5400000.0
2004-02-25,97764,100574,95598,95816,181697,11961.0,5400000.0
2004-02-26,96028,98838,95380,96682,183708,12069.0,5400000.0
2004-02-27,95598,98195,95598,97330,86431,12150.0,5400000.0
2004-03-02,97541,101217,97324,99926,205843,12474.0,5400000.0
2004-03-03,101659,107714,101659,104252,665356,13014.0,5400000.0
2004-03-04,108571,116574,105974,116580,1342539,14553.0,5400000.0
2004-03-05,122413,130417,121335,130423,2136398,16281.0,5400000.0
2004-03-08,134093,134093,121335,130423,1299224,16281.0,5400000.0
2004-03-09,130640,145994,128261,145996,2163984,18225.0,5400000.0
2004-03-10,145995,147079,136047,137993,945239,17226.0,5400000.0
2004-03-11,134099,137779,121554,121555,997880,15174.0,5400000.0
2004-03-12,122855,130640,107064,120689,1604524,15066.0,5400000.0
2004-03-15,125016,134964,124150,134964,1433954,16848.0,5400000.0
2004-03-16,137554,150965,134092,150971,1232469,18846.0,5400000.0
2004-03-17,159623,164595,141884,142751,1806328,17820.0,5400000.0
2004-03-18,142750,159842,142538,150538,1972916,18792.0,5400000.0
2004-03-19,150529,157454,145988,154215,1236092,19251.0,5400000.0
2004-03-22,154217,167627,154217,160054,1208199,19980.0,5400000.0
2004-03-23,145339,155722,141228,144914,675871,18090.0,5400000.0
2004-03-24,145986,149232,136257,136263,396801,17010.0,5400000.0
2004-03-25,138203,152479,135606,152485,1087444,19035.0,5400000.0
2004-03-26,156152,165451,139067,144914,1306460,18090.0,5400000.0
2004-03-29,150530,152044,143610,147726,576083,18441.0,5400000.0
2004-03-30,151829,165239,148584,165245,1887713,20628.0,5400000.0
2004-03-31,166327,177357,158758,163083,2286560,20358.0,5400000.0
2004-04-01,165240,173674,159181,173032,1313554,21600.0,5400000.0
2004-04-02,176485,185354,168699,172815,1283484,21573.0,5400000.0
2004-04-06,175194,179087,165029,165678,744249,20682.0,5400000.0
2004-04-07,164164,168922,159840,165678,648171,20682.0,5400000.0
2004-04-08,167840,174113,164595,164597,791645,20547.0,5400000.0
2004-04-09,164595,165248,156161,164597,463846,20547.0,5400000.0
2004-04-12,163509,166967,161348,163515,570084,20412.0,5400000.0
2004-04-13,164587,181678,154857,164380,2237509,20520.0,5400000.0
2004-04-14,159616,164157,144692,144697,1222126,18063.0,5400000.0
2004-04-16,139933,144692,135824,137560,653025,17172.0,5400000.0
