인터플렉스(051370),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-01-22,5354,5354,5354,5355,184605,73800.0,12300000.0
2003-01-23,5997,5997,5997,5998,2526,82656.0,12300000.0
2003-01-24,6710,6710,6710,6712,2287,92496.0,12300000.0
2003-01-27,7514,7514,7514,7515,742870,103566.0,12300000.0
2003-01-28,8415,8415,8058,8416,3063698,115989.0,12300000.0
2003-01-29,8219,8647,8031,8210,1670997,113160.0,12300000.0
2003-01-30,8254,9192,8254,8871,1989199,122262.0,12300000.0
2003-02-03,8611,9370,8611,8836,1069480,121770.0,12300000.0
2003-02-04,9058,9548,8844,9237,1192232,127305.0,12300000.0
2003-02-05,9237,10263,8915,10085,1220576,138990.0,12300000.0
2003-02-06,10084,10307,9281,9372,716866,129150.0,12300000.0
2003-02-07,9637,9637,9102,9282,690847,127920.0,12300000.0
2003-02-10,9102,9593,8896,9372,463158,129150.0,12300000.0
2003-02-11,9548,10485,9370,9550,2478899,131610.0,12300000.0
2003-02-12,9682,9727,9013,9193,618171,126690.0,12300000.0
2003-02-13,9370,9460,8746,8925,523157,123000.0,12300000.0
2003-02-14,8925,9460,8808,9104,342814,125460.0,12300000.0
2003-02-17,9460,10173,9415,10175,1906293,140220.0,12300000.0
2003-02-18,10352,10664,9995,10264,1600880,141450.0,12300000.0
2003-02-19,10664,10664,9816,10220,842189,140835.0,12300000.0
2003-02-20,10352,10976,10263,10978,1170714,151290.0,12300000.0
2003-02-21,10887,11468,10887,10978,967337,151290.0,12300000.0
2003-02-24,10932,11244,10620,11156,693573,153750.0,12300000.0
2003-02-25,10753,10887,10263,10264,691936,141450.0,12300000.0
2003-02-26,10307,10530,10128,10175,368210,140220.0,12300000.0
2003-02-27,9905,10084,9637,9818,436869,135300.0,12300000.0
2003-02-28,9861,10396,9861,9952,716717,137145.0,12300000.0
2003-03-03,10039,10128,9548,9996,427165,137760.0,12300000.0
2003-03-04,9637,9772,9102,9282,343967,127920.0,12300000.0
2003-03-05,9102,9102,8621,9014,368007,124230.0,12300000.0
2003-03-06,8969,9147,8495,8746,349159,120540.0,12300000.0
2003-03-07,8254,8772,8254,8389,331777,115620.0,12300000.0
2003-03-10,8389,8746,8316,8319,338968,114636.0,12300000.0
2003-03-11,8031,8343,7942,8024,184120,110577.0,12300000.0
2003-03-12,8121,8567,8076,8559,414370,117957.0,12300000.0
2003-03-13,8567,8611,8076,8166,460256,112545.0,12300000.0
2003-03-14,8657,9102,8478,9104,769117,125460.0,12300000.0
2003-03-17,8835,8969,8031,8121,395079,111930.0,12300000.0
2003-03-18,8746,9013,8594,8746,518734,120540.0,12300000.0
2003-03-19,8844,9237,8701,8720,1131433,120171.0,12300000.0
2003-03-20,8925,9460,8754,9461,1471566,130380.0,12300000.0
2003-03-21,9682,10263,9504,9640,1745711,132840.0,12300000.0
2003-03-24,9147,9281,8522,8524,1411270,117465.0,12300000.0
2003-03-25,7853,8031,7514,7836,828092,107994.0,12300000.0
2003-03-26,8031,8478,7888,8121,824821,111930.0,12300000.0
2003-03-27,7987,8405,7898,8256,329147,113775.0,12300000.0
2003-03-28,8299,8906,8299,8782,634377,121032.0,12300000.0
2003-03-31,8925,9058,8290,8292,603072,114267.0,12300000.0
2003-04-01,8121,8603,8049,8444,546633,116358.0,12300000.0
2003-04-02,8532,8657,8219,8444,334300,116358.0,12300000.0
2003-04-03,8746,8754,8343,8416,469559,115989.0,12300000.0
2003-04-04,8389,8621,8290,8613,403675,118695.0,12300000.0
2003-04-07,8746,9281,8727,9104,919949,125460.0,12300000.0
2003-04-08,8925,9370,8844,9327,597267,128535.0,12300000.0
2003-04-09,9370,9816,9147,9372,782641,129150.0,12300000.0
2003-04-10,9370,9593,9102,9505,545348,130995.0,12300000.0
2003-04-11,9504,9816,9370,9461,701954,130380.0,12300000.0
2003-04-14,9548,10084,9504,10085,939870,138990.0,12300000.0
