캔서롭(180400),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-12-15,15950,18300,15900,18300,230,31372.0,1714320.0
2014-12-16,21000,21000,21000,21000,250,36001.0,1714320.0
2014-12-17,18450,18450,18450,18450,50,31629.0,1714320.0
2014-12-18,18450,18450,18450,18450,0,31629.0,1714320.0
2014-12-19,18450,18450,18450,18450,0,,
2014-12-22,21000,21100,21000,21100,150,36172.0,1714320.0
2014-12-23,21100,21100,21100,21100,0,36172.0,1714320.0
2014-12-24,18000,18000,18000,18000,50,30858.0,1714320.0
2014-12-26,18000,18000,18000,18000,0,30858.0,1714320.0
2014-12-29,18000,18000,18000,18000,0,,
2014-12-30,20700,20700,16500,16500,1196,28286.0,1714320.0
2015-01-02,15100,15100,15100,15100,100,25886.0,1714320.0
2015-01-05,16000,16000,16000,16000,0,27429.0,1714320.0
2015-01-06,18400,18400,18400,18400,20,31543.0,1714320.0
2015-01-07,21150,21150,21150,21150,380,36258.0,1714320.0
2015-01-08,23900,24300,18500,24300,1001,41658.0,1714320.0
2015-01-09,20700,20800,20700,20800,1295,35658.0,1714320.0
2015-01-12,20800,20800,20800,20800,100,35658.0,1714320.0
2015-01-13,20800,20800,20800,20800,0,35658.0,1714320.0
2015-01-14,20800,21200,18000,18000,3420,30858.0,1714320.0
2015-01-15,17500,17500,17500,17500,10,30001.0,1714320.0
2015-01-16,16250,16250,16250,16250,60,27858.0,1714320.0
2015-01-19,16400,16400,16400,16400,10,28115.0,1714320.0
2015-01-20,15500,15500,15500,15500,10,26572.0,1714320.0
2015-01-21,17800,17800,17800,17800,6,30515.0,1714320.0
2015-01-22,20450,20450,20450,20450,51556,35058.0,1714320.0
2015-01-23,23500,23500,23500,23500,109,40287.0,1714320.0
2015-01-26,27000,27000,23050,23050,759,39515.0,1714320.0
2015-01-27,26500,26500,23050,23050,30,39515.0,1714320.0
2015-01-28,26500,26500,21550,23000,252,39429.0,1714320.0
2015-01-29,26450,26450,26450,26450,30,45344.0,1714320.0
2015-01-30,30400,30400,30400,30400,320,52115.0,1714320.0
2015-02-02,34950,34950,25850,25850,630,44315.0,1714320.0
2015-02-03,29700,29700,22000,29700,122,50915.0,1714320.0
2015-02-04,34150,34150,34150,34150,320,58544.0,1714320.0
2015-02-05,34150,39200,34150,39200,20,67201.0,1714320.0
2015-02-06,45050,45050,45050,45050,360,77230.0,1714320.0
2015-02-09,45050,45050,45050,45050,0,77230.0,1714320.0
2015-02-10,45050,45050,45050,45050,0,,
2015-02-11,45050,45050,45050,45050,0,,
2015-02-12,45050,45050,45050,45050,0,,
2015-02-13,46000,46000,46000,46000,100,78859.0,1714320.0
2015-02-16,39100,39100,39100,39100,30,67030.0,1714320.0
2015-02-17,44950,44950,44950,44950,10,77059.0,1714320.0
2015-02-23,44950,51200,44950,51200,20,87773.0,1714320.0
2015-02-24,43600,53400,43600,53400,210,91545.0,1714320.0
2015-02-25,45400,45400,45400,45400,100,77830.0,1714320.0
2015-02-26,38600,38600,38600,38600,1,66173.0,1714320.0
2015-02-27,35050,35050,35050,35050,90,60087.0,1714320.0
2015-03-02,32850,32850,32850,32850,10,56315.0,1714320.0
2015-03-03,32550,37750,31000,31000,1401,53144.0,1714320.0
2015-03-04,32500,32500,32500,32500,1,55715.0,1714320.0
2015-03-05,35000,36500,32000,32000,32,54858.0,1714320.0
2015-03-06,32000,32000,32000,32000,0,54858.0,1714320.0
2015-03-09,27200,31400,27200,31400,2,53830.0,1714320.0
2015-03-10,31400,36000,30200,32000,1838,54858.0,1714320.0
2015-03-11,32500,32500,27200,32500,54,55715.0,1714320.0
2015-03-12,37350,37350,30200,30200,1081,51772.0,1714320.0
2015-03-13,30250,30500,30200,30500,371,52287.0,1714320.0
2015-03-16,33000,33000,30300,33000,4,56573.0,1714320.0
2015-03-17,33000,37000,31500,31500,4,54001.0,1714320.0
2015-03-18,33000,33000,30200,32500,392,55715.0,1714320.0
2015-03-19,36950,36950,30350,35000,23,60001.0,1714320.0
2015-03-20,40250,40250,36700,37000,601,63430.0,1714320.0
2015-03-23,32000,32000,31500,31500,66979,54001.0,1714320.0
2015-03-24,30300,30300,30300,30300,100,51944.0,1714320.0
2015-03-25,30500,34800,30500,34800,103,59658.0,1714320.0
2015-03-26,32100,32100,32100,32100,3,55030.0,1714320.0
