휴온스글로벌(084110),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-12-19,11067,12718,9416,9418,1857944,87300.0,6000000.0
2006-12-20,9060,9384,8414,8836,471163,81900.0,6000000.0
2006-12-21,8994,8994,8218,8383,215438,77700.0,6000000.0
2006-12-22,8348,8381,7572,7638,230675,70800.0,6000000.0
2006-12-26,7443,7767,7152,7315,126343,67800.0,6000000.0
2006-12-27,7216,8285,7086,7638,450148,70800.0,6000000.0
2006-12-28,7442,7637,6892,6893,203157,63900.0,6000000.0
2007-01-02,6990,7119,6666,7056,100796,65400.0,6000000.0
2007-01-03,6958,7218,6797,6829,83313,63300.0,6000000.0
2007-01-04,6860,6989,6569,6797,123856,63000.0,6000000.0
2007-01-05,6699,6828,6446,6474,64799,60000.0,6000000.0
2007-01-08,6471,6632,6212,6214,55701,57600.0,6000000.0
2007-01-09,6220,7055,6220,6732,162602,62400.0,6000000.0
2007-01-10,6697,7247,6599,7088,128932,65700.0,6000000.0
2007-01-11,6990,7864,6990,7444,155043,69000.0,6000000.0
2007-01-12,7443,7864,7443,7638,141536,70800.0,6000000.0
2007-01-15,7894,7894,7345,7607,58188,70500.0,6000000.0
2007-01-16,7443,7734,7378,7638,45172,70800.0,6000000.0
2007-01-17,7603,8477,7507,7865,117116,72900.0,6000000.0
2007-01-18,7958,8218,7506,7509,81512,69600.0,6000000.0
2007-01-19,7443,7766,6731,6797,463969,72188.0,6875001.0
2007-01-22,6796,7248,6762,6893,206887,73219.0,6875001.0
2007-01-23,6924,6924,6601,6797,46991,72188.0,6875001.0
2007-01-24,6860,7799,6860,7638,307157,81125.0,6875001.0
2007-01-25,7701,7895,7442,7801,105306,82844.0,6875001.0
2007-01-26,7538,7668,7312,7607,113450,80781.0,6875001.0
2007-01-29,7766,7927,7442,7573,146904,80438.0,6875001.0
2007-01-30,7700,7798,7377,7573,104501,80438.0,6875001.0
2007-01-31,7668,7991,7441,7961,232896,84563.0,6875001.0
2007-02-01,7960,8283,7831,8092,202813,85938.0,6875001.0
2007-02-02,8153,8187,7830,7898,140003,83875.0,6875001.0
2007-02-05,7993,8445,7960,8415,232676,89375.0,6875001.0
2007-02-06,8445,8803,8284,8706,332375,92469.0,6875001.0
2007-02-07,8803,8900,8380,8642,402477,91781.0,6875001.0
2007-02-08,8641,8706,8090,8415,111028,89375.0,6875001.0
2007-02-09,8413,9124,8218,8772,218302,93156.0,6875001.0
2007-02-12,8768,9642,8575,9321,307380,99000.0,6875001.0
2007-02-13,9320,9483,9061,9095,191729,96594.0,6875001.0
2007-02-14,9126,9739,8996,9677,253397,102781.0,6875001.0
2007-02-15,9773,10355,8963,9160,652440,97281.0,6875001.0
2007-02-16,9059,9189,8476,8772,256363,93156.0,6875001.0
2007-02-20,8476,8574,8282,8383,535329,89031.0,6875001.0
2007-02-21,8218,8476,8153,8480,334446,90063.0,6875001.0
2007-02-22,8512,8932,8479,8511,420453,90406.0,6875001.0
2007-02-23,8576,8671,8187,8189,291179,86969.0,6875001.0
2007-02-26,8026,8479,7832,8222,315423,87313.0,6875001.0
2007-02-27,8414,9287,8348,8803,1159687,93500.0,6875001.0
2007-02-28,8219,8736,8187,8675,409997,92125.0,6875001.0
2007-03-02,8769,9515,8738,9516,826068,101063.0,6875001.0
2007-03-05,9515,9740,8122,8511,576915,90406.0,6875001.0
2007-03-06,8511,9287,8478,9064,634792,96250.0,6875001.0
2007-03-07,9126,9223,8706,9029,387779,95906.0,6875001.0
2007-03-08,9029,9416,8802,8803,419552,93500.0,6875001.0
2007-03-09,8900,9094,8769,8932,217865,94875.0,6875001.0
2007-03-12,9094,9483,9029,9095,529579,96594.0,6875001.0
2007-03-13,9254,9416,8931,8965,398881,95219.0,6875001.0
2007-03-14,8737,8900,8640,8739,266238,92813.0,6875001.0
2007-03-15,8865,8865,8444,8577,280251,91094.0,6875001.0
2007-03-16,8575,8865,8510,8577,229792,91094.0,6875001.0
2007-03-19,8640,8706,8478,8545,211007,90750.0,6875001.0
2007-03-20,8670,8736,8443,8448,212796,89719.0,6875001.0
2007-03-21,8446,8512,8189,8222,276089,87313.0,6875001.0
2007-03-22,8252,8769,8155,8739,457889,92813.0,6875001.0
2007-03-23,8735,8801,8346,8383,252857,89031.0,6875001.0
2007-03-26,8476,8509,8186,8383,195601,89031.0,6875001.0
2007-03-27,8443,8509,8218,8285,180905,88000.0,6875001.0
2007-03-28,8282,8670,8282,8285,295899,88000.0,6875001.0
