아이센스(099190),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-01-30,19485,19952,16782,17316,1968278,232762.0,8969634.0
2013-01-31,17049,18183,17016,17550,429685,235901.0,8969634.0
2013-02-01,17683,18284,16615,16616,467840,223344.0,8969634.0
2013-02-04,16749,17049,15514,15515,321911,208544.0,8969634.0
2013-02-05,15648,16448,15548,15882,255894,213477.0,8969634.0
2013-02-06,15748,16382,15714,16349,116428,219756.0,8969634.0
2013-02-07,16248,16849,16015,16616,128243,223344.0,8969634.0
2013-02-08,16615,17016,16549,16783,66686,225586.0,8969634.0
2013-02-12,17016,17016,16382,16783,42948,225586.0,8969634.0
2013-02-13,16749,16882,16081,16249,81914,218411.0,8969634.0
2013-02-14,16115,16582,15848,16149,101633,217065.0,8969634.0
2013-02-15,16215,16482,15815,16349,117656,219756.0,8969634.0
2013-02-18,16282,16782,16248,16482,96461,221550.0,8969634.0
2013-02-19,16682,17683,16448,17650,207645,237247.0,8969634.0
2013-02-20,17583,18183,17383,17750,172350,238592.0,8969634.0
2013-02-21,17750,17883,17249,17550,103707,235901.0,8969634.0
2013-02-22,17650,18651,17616,18251,241105,245319.0,8969634.0
2013-02-25,18250,18350,17650,18017,102699,242180.0,8969634.0
2013-02-26,18083,18150,17550,17550,73077,235901.0,8969634.0
2013-02-27,17583,18517,17550,17850,213816,239938.0,8969634.0
2013-02-28,18117,18884,17650,18851,276466,253392.0,8969634.0
2013-03-04,18817,18817,18083,18117,212855,243526.0,8969634.0
2013-03-05,18217,18350,17683,18151,243931,243974.0,8969634.0
2013-03-06,18284,19151,18017,18951,337799,254738.0,8969634.0
2013-03-07,19151,19318,18784,19085,146553,256532.0,8969634.0
2013-03-08,19051,19351,18651,19352,117858,260119.0,8969634.0
2013-03-11,19351,19685,18717,19452,135971,261465.0,8969634.0
2013-03-12,19585,20686,19284,20620,350063,277162.0,8969634.0
2013-03-13,20919,22688,20419,21020,333957,282543.0,8969634.0
2013-03-14,21019,21453,20552,21354,141599,287028.0,8969634.0
2013-03-15,21520,22221,21153,21554,147092,289719.0,8969634.0
2013-03-18,21553,21820,19885,20052,192779,269538.0,8969634.0
2013-03-19,20019,21420,19985,21420,135133,287925.0,8969634.0
2013-03-20,21620,21620,20619,20653,133563,277610.0,8969634.0
2013-03-21,20953,21120,20285,21020,92252,282543.0,8969634.0
2013-03-22,21086,21353,20486,21354,110601,287028.0,8969634.0
2013-03-25,21353,21553,20786,20786,64634,279404.0,8969634.0
2013-03-26,20853,20853,20019,20686,134894,278059.0,8969634.0
2013-03-27,20753,21453,20352,21120,128786,283889.0,8969634.0
2013-03-28,21386,21553,21019,21554,100127,289719.0,8969634.0
2013-03-29,21620,22187,21353,21754,130644,292410.0,8969634.0
2013-04-01,21720,22588,21320,22455,177660,301828.0,8969634.0
2013-04-02,22321,22821,21520,22054,141493,296446.0,8969634.0
2013-04-03,22087,22354,21687,22355,114658,300483.0,8969634.0
2013-04-04,22154,22688,21320,22388,135210,300931.0,8969634.0
2013-04-05,22387,22387,21386,21988,138979,295549.0,8969634.0
2013-04-08,21687,21854,20386,20386,163344,274022.0,8969634.0
2013-04-09,20386,21220,20152,20753,109930,278956.0,8969634.0
2013-04-10,20753,21086,20519,20786,72421,279404.0,8969634.0
2013-04-11,21019,21920,20886,21887,86207,294204.0,8969634.0
2013-04-12,22154,23155,22054,22888,424333,307658.0,8969634.0
2013-04-15,23188,23755,22788,23456,262144,315283.0,8969634.0
2013-04-16,22988,23855,22888,23522,141671,316180.0,8969634.0
2013-04-17,23522,24790,23155,24256,214071,326046.0,8969634.0
2013-04-18,24022,24489,23522,23556,132794,316628.0,8969634.0
2013-04-19,23155,23922,22187,23556,227632,316628.0,8969634.0
2013-04-22,23555,23755,23121,23222,81626,312143.0,8969634.0
2013-04-23,23255,24356,23222,24356,203569,327392.0,8969634.0
2013-04-24,24556,25257,23855,25124,156170,337707.0,8969634.0
2013-04-25,25090,25891,24189,24423,149419,328289.0,8969634.0
2013-04-26,24356,25857,24356,25825,179776,347125.0,8969634.0
2013-04-29,26158,26358,25190,26091,125423,350713.0,8969634.0
2013-04-30,26491,26491,25424,25858,121321,347573.0,8969634.0
2013-05-02,25991,26158,24456,24457,179585,328737.0,8969634.0
2013-05-03,24790,25824,24356,25324,146188,340398.0,8969634.0
2013-05-06,25157,25991,24957,25825,102362,347125.0,8969634.0
2013-05-07,25724,25957,25524,25858,60124,347573.0,8969634.0
2013-05-08,25957,26191,25424,25791,104378,346676.0,8969634.0
2013-05-09,25791,25991,24890,25257,122943,339501.0,8969634.0
2013-05-10,25190,25524,24856,25024,56942,336361.0,8969634.0
2013-05-13,24790,25290,23488,23489,168181,315731.0,8969634.0
2013-05-14,23455,24122,22488,23556,161921,316628.0,8969634.0
2013-05-15,24022,24423,23322,23422,49746,314834.0,8969634.0
2013-05-16,23422,24223,22821,24123,108093,324252.0,8969634.0
2013-05-20,23855,24323,23555,23556,37561,316628.0,8969634.0
2013-05-21,23555,23822,22855,23022,115192,309452.0,8969634.0
2013-05-22,22855,23622,22855,23055,53201,309901.0,8969634.0
2013-05-23,23055,23555,22988,23055,47433,309901.0,8969634.0
2013-05-24,23055,23922,22855,23889,75318,321113.0,8969634.0
2013-05-27,23722,24223,23355,24190,69005,325149.0,8969634.0
2013-05-28,24056,24356,23855,24123,31786,324252.0,8969634.0
2013-05-29,24356,24356,23722,23723,41462,318870.0,8969634.0
2013-05-30,23722,23922,22921,23222,68204,312143.0,8969634.0
2013-05-31,23021,23355,22020,23356,172321,313937.0,8969634.0
2013-06-03,22688,23121,21920,22154,120555,297792.0,8969634.0
2013-06-04,21987,22054,21220,21721,96165,291962.0,8969634.0
2013-06-05,21653,22421,20753,21754,45988,292410.0,8969634.0
2013-06-07,21386,22254,20786,22188,54710,298240.0,8969634.0
2013-06-10,22354,22788,21887,22121,33817,297343.0,8969634.0
2013-06-11,22121,22387,21620,22188,24917,298240.0,8969634.0
2013-06-12,22087,22921,21687,22922,57111,308107.0,8969634.0
