케이피에스(256940),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-12-21,8000,8000,8000,8000,0,18462.0,2307692.0
2016-12-22,9000,9200,9000,9200,5000,21231.0,2307692.0
2016-12-23,10550,10550,10550,10550,840,24346.0,2307692.0
2016-12-26,10550,10550,10550,10550,0,24346.0,2307692.0
2016-12-27,10550,10550,10550,10550,0,,
2016-12-28,10550,10550,10550,10550,0,,
2016-12-29,9000,9000,9000,9000,122,20769.0,2307692.0
2017-01-02,9000,9000,9000,9000,120,20769.0,2307692.0
2017-01-03,9100,9100,9100,9100,0,21000.0,2307692.0
2017-01-04,9200,9200,9200,9200,0,21231.0,2307692.0
2017-01-05,9200,9200,9200,9200,0,21231.0,2307692.0
2017-01-06,9200,9200,9200,9200,0,,
2017-01-09,9200,9200,9200,9200,0,,
2017-01-10,9200,9200,9200,9200,0,,
2017-01-11,9200,9200,9200,9200,0,,
2017-01-12,9200,9200,9200,9200,0,,
2017-01-13,9200,9200,9200,9200,0,26912.0,2925188.0
2017-01-16,9200,9200,9200,9200,0,,
2017-01-17,9200,9200,9200,9200,0,,
2017-01-18,9200,9200,9200,9200,0,,
2017-01-19,9300,9300,9300,9300,0,27204.0,2925188.0
2017-01-20,9310,9310,9310,9310,2,27234.0,2925188.0
2017-01-23,9310,9310,9310,9310,0,27234.0,2925188.0
2017-01-24,10200,10200,10200,10200,0,29837.0,2925188.0
2017-01-25,10200,10200,10200,10200,0,29837.0,2925188.0
2017-01-26,10300,10300,10300,10300,0,30129.0,2925188.0
2017-01-31,10300,10300,10300,10300,0,30129.0,2925188.0
2017-02-01,10300,10300,10300,10300,0,,
2017-02-02,10300,10300,10300,10300,0,,
2017-02-03,10300,10300,10300,10300,0,,
2017-02-06,10000,10000,10000,10000,2,29252.0,2925188.0
2017-02-07,10000,10000,10000,10000,0,29252.0,2925188.0
2017-02-08,10000,10000,10000,10000,0,,
2017-02-09,10000,10000,10000,10000,0,,
2017-02-10,10000,10000,10000,10000,0,,
2017-02-13,10000,10000,10000,10000,0,,
2017-02-14,10000,10000,10000,10000,0,,
2017-02-15,10000,10000,10000,10000,0,,
2017-02-16,8500,8500,8500,8500,1,24864.0,2925188.0
2017-02-17,9500,9500,9500,9500,0,27789.0,2925188.0
2017-02-20,9500,9500,9500,9500,0,27789.0,2925188.0
