에코프로비엠(247540),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-03-05,61100,65600,59900,63200,3952178,1254520.0,19850000.0
2019-03-06,64400,69600,63700,68700,1484460,1363695.0,19850000.0
2019-03-07,70300,72400,69200,70000,1019641,1389500.0,19850000.0
2019-03-08,70000,70800,67600,69900,472140,1387515.0,19850000.0
2019-03-11,69600,70300,66100,69200,394610,1373620.0,19850000.0
2019-03-12,69400,70500,66700,67200,335275,1333920.0,19850000.0
2019-03-13,67100,67200,63900,66000,450481,1310100.0,19850000.0
2019-03-14,67000,70700,66100,70000,696862,1389500.0,19850000.0
2019-03-15,70100,71200,66400,68400,478728,1357740.0,19850000.0
2019-03-18,68000,69100,65800,67600,397879,1341860.0,19850000.0
2019-03-19,68300,72700,67700,72700,983813,1443095.0,19850000.0
2019-03-20,73200,74000,70400,71400,598601,1429190.0,20016666.0
2019-03-21,72200,74500,71500,73000,632634,1461217.0,20016666.0
2019-03-22,73100,73500,68400,69900,1087240,1399165.0,20016666.0
2019-03-25,68500,68800,66000,67400,625647,1349123.0,20016666.0
2019-03-26,67900,69100,66600,68300,191816,1367138.0,20016666.0
2019-03-27,69300,71000,68100,70500,293264,1411175.0,20016666.0
2019-03-28,69300,69300,62200,62600,842311,1253043.0,20016666.0
2019-03-29,62600,63200,57300,61100,759934,1223018.0,20016666.0
2019-04-01,60100,61700,59700,60900,205471,1219015.0,20016666.0
2019-04-02,61500,61700,58500,59200,241092,1184987.0,20016666.0
2019-04-03,60800,62000,60100,61100,286951,1223018.0,20016666.0
2019-04-04,61400,61600,60300,60900,133461,1219015.0,20016666.0
2019-04-05,59100,60400,59100,59600,231598,1192993.0,20016666.0
2019-04-08,60000,63700,59800,63500,358571,1271058.0,20016666.0
2019-04-09,63800,66000,63700,64800,320935,1297080.0,20016666.0
2019-04-10,64800,66600,64300,66200,181172,1325103.0,20016666.0
2019-04-11,66800,67000,64800,67000,156310,1341117.0,20016666.0
2019-04-12,66900,67700,65800,66000,125457,1321100.0,20016666.0
2019-04-15,65600,66000,62700,63900,184514,1279065.0,20016666.0
2019-04-16,63800,63800,61900,62600,132714,1253043.0,20016666.0
2019-04-17,63000,64200,62200,63000,90849,1261050.0,20016666.0
2019-04-18,63200,64300,62500,63000,87808,1261050.0,20016666.0
2019-04-19,62700,64000,62600,63300,80498,1288874.0,20361366.0
2019-04-22,63300,64500,63100,64500,111601,1313308.0,20361366.0
2019-04-23,65000,65000,63500,63900,105095,1301091.0,20361366.0
2019-04-24,64500,64700,61700,62700,135733,1276658.0,20361366.0
2019-04-25,63100,63100,61400,62700,90808,1276658.0,20361366.0
2019-04-26,62300,62700,61200,61600,67455,1254260.0,20361366.0
2019-04-29,61600,62500,61300,62300,69793,1268513.0,20361366.0
2019-04-30,62800,62800,61200,62000,78747,1262405.0,20361366.0
2019-05-02,61800,64400,61500,64100,146771,1305164.0,20361366.0
2019-05-03,64100,65900,64100,65300,185627,1329597.0,20361366.0
2019-05-07,64000,64600,63000,64400,82382,1311272.0,20361366.0
2019-05-08,63400,63500,62200,63300,108551,1288874.0,20361366.0
2019-05-09,62600,63200,57400,58600,336207,1193176.0,20361366.0
2019-05-10,58700,59700,55900,59000,134099,1201321.0,20361366.0
2019-05-13,58300,58500,55300,56600,156522,1152453.0,20361366.0
2019-05-14,55000,56800,53400,55000,189995,1119875.0,20361366.0
2019-05-15,55700,59100,55300,59000,132998,1201321.0,20361366.0
2019-05-16,59000,59700,57300,58300,97709,1187068.0,20361366.0
2019-05-17,58300,59200,55700,56100,127151,1142273.0,20361366.0
2019-05-20,56400,57100,53600,53900,137961,1097478.0,20361366.0
2019-05-21,54000,54500,52400,53400,118513,1087297.0,20361366.0
2019-05-22,54800,57200,54300,54900,237586,1117839.0,20361366.0
2019-05-23,55600,56500,55000,55900,135852,1138200.0,20361366.0
2019-05-24,55400,57000,55000,56500,87606,1150417.0,20361366.0
2019-05-27,57200,60700,56000,59000,173618,1201321.0,20361366.0
2019-05-28,60000,60000,58400,59200,105921,1205393.0,20361366.0
2019-05-29,59200,60500,57900,59100,113599,1203357.0,20361366.0
2019-05-30,60200,64200,60200,62400,477505,1270549.0,20361366.0
2019-05-31,61700,62600,59300,59800,253600,1217610.0,20361366.0
2019-06-03,59700,62600,58400,62000,251305,1262405.0,20361366.0
2019-06-04,62000,65000,61700,64500,417782,1313308.0,20361366.0
2019-06-05,62800,65500,62500,65100,651430,1325525.0,20361366.0
2019-06-07,64400,67400,64400,67000,293611,1364212.0,20361366.0
2019-06-10,67800,68500,63600,65800,383588,1339778.0,20361366.0
2019-06-11,65400,67200,64100,66500,344482,1354031.0,20361366.0
2019-06-12,66300,67200,64700,65800,210873,1339778.0,20361366.0
2019-06-13,65100,68200,65000,66100,695617,1345886.0,20361366.0
2019-06-14,66100,66600,63700,64500,202765,1313308.0,20361366.0
2019-06-17,64300,64600,62600,63400,114066,1290911.0,20361366.0
2019-06-18,63500,64100,59000,60000,429429,1221682.0,20361366.0
2019-06-19,60800,60800,57700,57900,413827,1178923.0,20361366.0
2019-06-20,57200,59200,56700,58600,181973,1193176.0,20361366.0
2019-06-21,58500,60000,57700,58600,152147,1193176.0,20361366.0
2019-06-24,58700,59200,58000,58100,98898,1182995.0,20361366.0
2019-06-25,59000,60700,58700,59400,185455,1209465.0,20361366.0
2019-06-26,59700,59700,58600,58700,64497,1195212.0,20361366.0
2019-06-27,58700,60200,58400,59300,77141,1207429.0,20361366.0
2019-06-28,59300,60100,58800,59700,103900,1215574.0,20361366.0
2019-07-01,60000,60500,58800,59900,89441,1219646.0,20361366.0
2019-07-02,59600,60300,58400,58400,82434,1189104.0,20361366.0
2019-07-03,59500,60900,58700,59800,191698,1217610.0,20361366.0
2019-07-04,60300,60700,59100,60200,116251,1225754.0,20361366.0
2019-07-05,60300,60400,58000,60000,121501,1221682.0,20361366.0
2019-07-08,59700,59800,56000,56400,177122,1148381.0,20361366.0
2019-07-09,56100,57500,55300,56100,164660,1142273.0,20361366.0
2019-07-10,56300,57400,56100,56800,74451,1156526.0,20361366.0
2019-07-11,57000,59700,56900,59400,134249,1209465.0,20361366.0
2019-07-12,59100,64000,58900,63400,426572,1290911.0,20361366.0
2019-07-15,63500,64300,62100,63500,158004,1292947.0,20361366.0
2019-07-16,64100,66000,63200,63300,292448,1288874.0,20361366.0
2019-07-17,65800,66500,64000,65300,449003,1329597.0,20361366.0
2019-07-18,64600,64900,63400,63900,182662,1301091.0,20361366.0
2019-07-19,64300,65200,62600,63300,167229,1288874.0,20361366.0
2019-07-22,63600,63700,61100,61800,176844,1258332.0,20361366.0
2019-07-23,60900,60900,57400,58000,616846,1180959.0,20361366.0
2019-07-24,58400,59300,57400,58300,159688,1187068.0,20361366.0
2019-07-25,58000,58800,56500,57100,153338,1162634.0,20361366.0
2019-07-26,56800,57400,56500,56900,107013,1158562.0,20361366.0
2019-07-29,56600,56600,54200,54300,195840,1105622.0,20361366.0
2019-07-30,54500,56000,53500,56000,115133,1140236.0,20361366.0
2019-07-31,55600,58200,54600,57700,150151,1174851.0,20361366.0
2019-08-01,57100,57800,55800,56400,94675,1148381.0,20361366.0
2019-08-02,54800,57100,54100,56100,131447,1142273.0,20361366.0
2019-08-05,55200,55800,50600,50900,245584,1036394.0,20361366.0
2019-08-06,49000,52100,48450,49350,209354,1004833.0,20361366.0
2019-08-07,49450,51000,49450,51000,136160,1038430.0,20361366.0
2019-08-08,51600,53900,51300,53600,119676,1091369.0,20361366.0
2019-08-09,54400,54500,52400,53300,77330,1085261.0,20361366.0
2019-08-12,53300,54100,52500,53000,66520,1079152.0,20361366.0
2019-08-13,52900,52900,51000,51300,102436,1044538.0,20361366.0
2019-08-14,52600,53900,51800,53500,88352,1089333.0,20361366.0
2019-08-16,52300,52800,51700,52300,73482,1064899.0,20361366.0
2019-08-19,53000,53100,52100,52700,44285,1073044.0,20361366.0
2019-08-20,53600,57800,53600,57800,255251,1176887.0,20361366.0
2019-08-21,57800,58600,56900,58000,118462,1180959.0,20361366.0
2019-08-22,58100,59600,57600,58600,168749,1193176.0,20361366.0
2019-08-23,57300,59500,56300,59000,195568,1201321.0,20361366.0
2019-08-26,57500,58000,55700,56100,219128,1142273.0,20361366.0
2019-08-27,57900,58300,55900,56300,161467,1146345.0,20361366.0
2019-08-28,56300,59200,56300,59200,130624,1205393.0,20361366.0
2019-08-29,59700,59700,58500,59300,125141,1207429.0,20361366.0
2019-08-30,59900,60600,59100,59400,113252,1209465.0,20361366.0
2019-09-02,58500,58500,56300,57600,199710,1172815.0,20361366.0
2019-09-03,57400,58400,57000,57500,80906,1170779.0,20361366.0
2019-09-04,57400,57600,56200,56600,179744,1152453.0,20361366.0
2019-09-05,56700,57700,56400,56800,183051,1156526.0,20361366.0
2019-09-06,57400,57400,54800,55600,215654,1132092.0,20361366.0
2019-09-09,56300,56400,53000,53100,265223,1081189.0,20361366.0
2019-09-10,53400,53900,52500,53900,129024,1097478.0,20361366.0
2019-09-11,54000,54400,53200,53600,110109,1101800.0,20555966.0
2019-09-16,54000,54800,53200,54600,127493,1122356.0,20555966.0
2019-09-17,53500,53800,52100,52700,294354,1083299.0,20555966.0
2019-09-18,52800,53000,51900,52400,113440,1077133.0,20555966.0
2019-09-19,52400,53400,52200,52600,124906,1081244.0,20555966.0
2019-09-20,52600,53300,52300,53300,252946,1095633.0,20555966.0
2019-09-23,53400,53700,52500,52500,109650,1079188.0,20555966.0
2019-09-24,52600,53300,52100,52500,92196,1079188.0,20555966.0
2019-09-25,52100,52100,48250,49450,482512,1016493.0,20555966.0
2019-09-26,49500,50200,47950,48400,288971,994909.0,20555966.0
2019-09-27,48200,49650,48200,49500,112444,1017520.0,20555966.0
2019-09-30,48750,49550,48050,49400,78922,1015465.0,20555966.0
2019-10-01,49700,50300,49400,49950,116426,1026771.0,20555966.0
2019-10-02,49500,49500,48300,48400,129516,994909.0,20555966.0
2019-10-04,48000,48500,47250,47300,126141,972297.0,20555966.0
2019-10-07,47350,47700,44950,45150,240641,,
