덱스터(206560),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-12-22,12440,16153,11211,14447,5333547,277359.0,9630524.0
2015-12-23,14221,15099,12817,13218,1222960,253764.0,9630524.0
2015-12-24,13368,14497,12164,13620,858762,261469.0,9630524.0
2015-12-28,13494,13845,12741,12742,289098,244615.0,9630524.0
2015-12-29,12741,13669,12741,13545,254401,260024.0,9630524.0
2015-12-30,13394,17056,13368,15225,812590,292286.0,9630524.0
2016-01-04,15500,16629,15275,16053,556233,308177.0,9630524.0
2016-01-05,15701,16378,15199,15852,307476,304325.0,9630524.0
2016-01-06,15852,16203,14597,15225,360767,292286.0,9630524.0
2016-01-07,15049,15250,13895,13896,372774,266766.0,9630524.0
2016-01-08,13594,14748,13318,14146,339142,271581.0,9630524.0
2016-01-11,14046,14623,13970,14222,177859,273025.0,9630524.0
2016-01-12,14472,14497,13669,13670,155533,262432.0,9630524.0
2016-01-13,13720,14848,13720,14021,207336,269173.0,9630524.0
2016-01-14,13920,15199,13770,14623,334809,280730.0,9630524.0
2016-01-15,14924,16780,14848,16529,709117,352817.0,10707644.0
2016-01-18,16805,17482,16203,16554,375030,353352.0,10707644.0
2016-01-19,16554,17407,16178,17257,291512,368343.0,10707644.0
2016-01-20,17056,17181,14798,15350,598711,327654.0,10707644.0
2016-01-21,15751,15927,14999,15049,278789,321229.0,10707644.0
2016-01-22,15124,15852,14723,15827,343183,337826.0,10707644.0
2016-01-25,16203,16454,15801,16304,230250,347998.0,10707644.0
2016-01-26,16153,16378,15801,16228,137783,346392.0,10707644.0
2016-01-27,16303,16755,16002,16128,167033,344251.0,10707644.0
2016-01-28,16102,16178,15024,15100,225900,322300.0,10707644.0
2016-01-29,15149,15275,14422,14648,224005,312663.0,10707644.0
2016-02-01,14873,15225,14698,14924,123768,318552.0,10707644.0
2016-02-02,14924,14924,14397,14397,116668,307309.0,10707644.0
2016-02-03,14171,14196,13143,13720,324242,292854.0,10707644.0
2016-02-04,13770,14246,13419,13795,97002,294460.0,10707644.0
2016-02-05,13644,13770,13093,13269,123766,283217.0,10707644.0
