네오펙트(290660),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-28,9900,10100,7650,7700,4724082,90233.0,11718545.0
2018-11-29,7760,8150,7550,7830,1641049,91756.0,11718545.0
2018-11-30,7740,7910,7410,7450,650644,87303.0,11718545.0
2018-12-03,7500,7560,7050,7150,530349,83788.0,11718545.0
2018-12-04,7160,7210,6740,6970,503264,81678.0,11718545.0
2018-12-05,7020,8200,7020,7170,3724733,84022.0,11718545.0
2018-12-06,7090,7150,6550,6560,541223,76874.0,11718545.0
2018-12-07,6600,6710,6360,6380,314994,74764.0,11718545.0
2018-12-10,6280,6330,6110,6200,182687,72655.0,11718545.0
2018-12-11,6330,7890,6270,7200,4428913,84374.0,11718545.0
2018-12-12,7100,7350,6960,7230,1010777,84725.0,11718545.0
2018-12-13,7270,7270,6800,7030,584313,82381.0,11718545.0
2018-12-14,6970,7020,6340,6340,470550,74296.0,11718545.0
2018-12-17,6390,6630,6280,6530,224093,76522.0,11718545.0
2018-12-18,6420,6600,6300,6470,156732,75819.0,11718545.0
2018-12-19,6530,6860,6420,6750,211552,79100.0,11718545.0
2018-12-20,6550,7130,6550,7000,396573,82030.0,11718545.0
2018-12-21,7150,8100,7100,7250,2379447,84959.0,11718545.0
2018-12-24,7170,7390,6800,6800,282959,79686.0,11718545.0
2018-12-26,6980,7370,6850,6910,426042,80975.0,11718545.0
2018-12-27,7040,7350,6960,7160,343051,83905.0,11718545.0
2018-12-28,7310,8250,7240,7440,2797457,87967.0,11823545.0
2019-01-02,7440,7500,7260,7500,205448,88677.0,11823545.0
2019-01-03,7610,8300,7520,8300,1134666,98135.0,11823545.0
2019-01-04,8750,9400,7880,7910,1615795,93524.0,11823545.0
2019-01-07,8100,8330,7860,7950,622138,93997.0,11823545.0
2019-01-08,8020,8030,7390,7660,526922,90568.0,11823545.0
2019-01-09,7810,7890,7590,7590,292757,89741.0,11823545.0
2019-01-10,7590,7680,7310,7430,174578,87849.0,11823545.0
2019-01-11,7510,7590,7400,7430,138832,87849.0,11823545.0
2019-01-14,7430,8100,7350,7760,571666,91751.0,11823545.0
2019-01-15,7660,7750,7510,7560,182612,89386.0,11823545.0
2019-01-16,7550,7620,7350,7370,187605,87140.0,11823545.0
2019-01-17,7370,7560,7330,7330,156597,86667.0,11823545.0
2019-01-18,7360,7390,6880,6880,314492,81346.0,11823545.0
2019-01-21,6950,7000,6500,6610,271850,78154.0,11823545.0
2019-01-22,6660,6850,6600,6660,91401,78745.0,11823545.0
2019-01-23,6540,6770,6540,6660,54663,78745.0,11823545.0
2019-01-24,6670,6750,6630,6660,62096,78745.0,11823545.0
2019-01-25,7090,7450,6720,6720,488734,79454.0,11823545.0
2019-01-28,6760,6920,6730,6900,89743,81582.0,11823545.0
2019-01-29,6850,6950,6780,6870,56385,81228.0,11823545.0
2019-01-30,6810,6910,6760,6760,62003,79927.0,11823545.0
2019-01-31,6800,7010,6700,6940,78058,82402.0,11873545.0
2019-02-01,7000,7000,6720,6790,78680,80621.0,11873545.0
2019-02-07,6750,6880,6610,6780,82041,80503.0,11873545.0
2019-02-08,6780,6810,6650,6660,63385,79078.0,11873545.0
2019-02-11,6660,6720,6560,6670,69197,79197.0,11873545.0
2019-02-12,6600,6700,6600,6630,36435,78722.0,11873545.0
2019-02-13,6630,6720,6550,6650,58733,78959.0,11873545.0
2019-02-14,6650,7120,6600,6780,171274,80503.0,11873545.0
2019-02-15,6800,6850,6710,6740,53445,80028.0,11873545.0
2019-02-18,6780,6800,6670,6730,54877,79909.0,11873545.0
2019-02-19,6730,6950,6680,6900,88009,81927.0,11873545.0
2019-02-20,6900,7080,6850,7030,89294,83471.0,11873545.0
2019-02-21,7020,7060,6880,6980,72393,82877.0,11873545.0
2019-02-22,7000,7500,6910,7200,498557,85490.0,11873545.0
2019-02-25,7230,7400,6970,7030,206506,83471.0,11873545.0
2019-02-26,7110,7420,7040,7350,350817,87271.0,11873545.0
2019-02-27,7370,7440,7210,7290,187699,86558.0,11873545.0
2019-02-28,7260,7260,6800,6900,181755,81927.0,11873545.0
2019-03-04,7090,7230,6970,7080,166990,84065.0,11873545.0
2019-03-05,7080,7410,7080,7350,329426,87271.0,11873545.0
2019-03-06,7350,7430,7180,7280,149159,86439.0,11873545.0
2019-03-07,7280,7410,7110,7260,144906,86202.0,11873545.0
2019-03-08,7120,7300,7090,7200,83318,85490.0,11873545.0
2019-03-11,7310,7330,7120,7330,99362,87033.0,11873545.0
2019-03-12,7330,7500,7230,7340,234515,87152.0,11873545.0
2019-03-13,7420,8000,7300,8000,1081054,94988.0,11873545.0
2019-03-14,7760,7770,7590,7740,435024,91901.0,11873545.0
2019-03-15,7820,8160,7640,8000,579921,94988.0,11873545.0
2019-03-18,8070,8450,7900,8200,595732,97363.0,11873545.0
2019-03-19,8220,8370,7670,7680,412008,91189.0,11873545.0
2019-03-20,7610,7730,7240,7440,314536,88339.0,11873545.0
2019-03-21,7400,7560,7170,7260,147797,86202.0,11873545.0
2019-03-22,7400,7680,7270,7340,215049,87152.0,11873545.0
2019-03-25,7250,7510,6720,6800,576581,80740.0,11873545.0
2019-03-26,6800,7050,6790,6820,124733,80978.0,11873545.0
