코렌텍(104540),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-03-05,15950,17150,15350,15550,2274887,122591.0,7883661.0
2013-03-06,15800,15950,14750,15200,734012,119832.0,7883661.0
2013-03-07,15300,16000,15050,15650,537071,123379.0,7883661.0
2013-03-08,15500,15950,15150,15500,401550,122197.0,7883661.0
2013-03-11,15450,15600,15050,15050,235662,118649.0,7883661.0
2013-03-12,15200,15850,15050,15850,472029,124956.0,7883661.0
2013-03-13,16000,16500,15750,16500,625503,130080.0,7883661.0
2013-03-14,16800,17150,16500,16750,426713,132051.0,7883661.0
2013-03-15,16850,17400,16350,17350,678990,136782.0,7883661.0
2013-03-18,17550,17750,16750,16750,637969,132051.0,7883661.0
2013-03-19,16600,17100,16600,17050,241490,134416.0,7883661.0
2013-03-20,16750,17050,16300,16750,231183,133078.0,7944961.0
2013-03-21,16850,17250,16500,16500,183878,131092.0,7944961.0
2013-03-22,16500,18050,16500,17800,548590,141420.0,7944961.0
2013-03-25,18050,18450,17700,18300,273838,145393.0,7944961.0
2013-03-26,18300,18850,18000,18600,255661,147776.0,7944961.0
2013-03-27,18600,18900,17800,17850,311406,141818.0,7944961.0
2013-03-28,18000,18200,17500,17750,137496,141023.0,7944961.0
2013-03-29,17900,18300,17650,18100,141671,143804.0,7944961.0
2013-04-01,18100,18500,17850,18300,132298,145393.0,7944961.0
2013-04-02,18600,19900,18500,19300,662715,153338.0,7944961.0
2013-04-03,19450,20300,19300,19550,377351,155324.0,7944961.0
2013-04-04,19250,19700,18750,19650,225520,156118.0,7944961.0
2013-04-05,19750,20550,19350,19700,435183,156516.0,7944961.0
2013-04-08,19500,19700,18800,19000,184552,150954.0,7944961.0
2013-04-09,18650,19600,18500,19200,212156,152543.0,7944961.0
2013-04-10,19200,19700,19200,19400,68389,154132.0,7944961.0
2013-04-11,19400,20150,19400,19900,266685,158105.0,7944961.0
2013-04-12,20350,21950,19950,21400,423268,170022.0,7944961.0
2013-04-15,21400,24450,21400,23700,1027741,188296.0,7944961.0
2013-04-16,23600,25100,23400,23900,553109,189885.0,7944961.0
2013-04-17,23900,24800,23750,24200,341069,192268.0,7944961.0
2013-04-18,24000,24250,23250,23600,333104,187501.0,7944961.0
2013-04-19,23400,23400,21400,21950,501977,174392.0,7944961.0
2013-04-22,22200,22550,22100,22350,229097,177570.0,7944961.0
2013-04-23,22550,24100,22400,24000,376668,190679.0,7944961.0
2013-04-24,24100,24650,23650,24250,275250,194605.0,8024961.0
2013-04-25,24250,25400,23950,24700,369278,198217.0,8024961.0
2013-04-26,24700,25050,24100,24400,177626,195809.0,8024961.0
2013-04-29,24600,24600,23650,23650,175177,189790.0,8024961.0
2013-04-30,23700,24200,22750,23150,238780,185836.0,8027461.0
2013-05-02,23000,23500,22650,23150,163488,188614.0,8147461.0
2013-05-03,23300,24200,22850,24150,171579,196761.0,8147461.0
2013-05-06,24300,24700,23750,23800,115605,193910.0,8147461.0
2013-05-07,23600,24450,23600,24400,98948,198798.0,8147461.0
2013-05-08,24350,26200,24250,25700,408677,209390.0,8147461.0
2013-05-09,26000,26100,25400,25600,184387,208575.0,8147461.0
2013-05-10,25600,26200,25400,25650,145263,208982.0,8147461.0
2013-05-13,25700,25700,24500,24900,150446,202872.0,8147461.0
2013-05-14,24900,25000,22850,23400,287986,190651.0,8147461.0
2013-05-15,23600,23850,22700,23500,145812,191465.0,8147461.0
2013-05-16,23600,24750,23000,24500,202834,199858.0,8157461.0
2013-05-20,24500,24950,24050,24050,81389,196187.0,8157461.0
2013-05-21,23800,24150,23300,23500,105933,191700.0,8157461.0
2013-05-22,23600,23700,22550,22650,180143,184766.0,8157461.0
2013-05-23,22700,23550,22500,23250,144668,189661.0,8157461.0
2013-05-24,23250,23450,22900,23200,76221,189253.0,8157461.0
2013-05-27,23400,24300,23400,23600,121827,192516.0,8157461.0
2013-05-28,23650,24050,23250,23600,96389,192516.0,8157461.0
2013-05-29,23700,23900,22800,22800,139837,185990.0,8157461.0
2013-05-30,22850,22900,21600,21650,199992,176609.0,8157461.0
2013-05-31,21800,22250,21500,21950,96583,179056.0,8157461.0
2013-06-03,21950,22650,21550,22250,61125,181504.0,8157461.0
2013-06-04,22350,22500,21350,21700,67953,177017.0,8157461.0
2013-06-05,22150,22150,21250,21450,61102,174978.0,8157461.0
2013-06-07,21300,21700,20150,21100,74179,172122.0,8157461.0
2013-06-10,20750,21700,20750,21650,33086,176609.0,8157461.0
2013-06-11,21750,22750,21400,22150,120732,180688.0,8157461.0
2013-06-12,21850,22700,21850,22150,53165,180688.0,8157461.0
2013-06-13,22050,22600,21550,22350,49860,183759.0,8221861.0
2013-06-14,22700,22700,21900,22000,61574,180881.0,8221861.0
2013-06-17,21550,22000,20300,20450,148336,168137.0,8221861.0
2013-06-18,20600,20850,19400,20250,174858,166493.0,8221861.0
2013-06-19,20200,20500,19500,20000,86705,164437.0,8221861.0
2013-06-20,19500,19550,18600,18900,136585,155393.0,8221861.0
2013-06-21,18150,18450,17300,18000,213542,147993.0,8221861.0
2013-06-24,17800,18050,17150,17150,127879,141005.0,8221861.0
2013-06-25,17000,17500,14750,14900,243756,122506.0,8221861.0
2013-06-26,15500,16500,15100,16400,209356,134839.0,8221861.0
2013-06-27,16800,17350,16750,17150,106877,141005.0,8221861.0
2013-06-28,17250,17400,16450,16600,84444,136483.0,8221861.0
2013-07-01,16600,17950,16600,17800,163269,146349.0,8221861.0
2013-07-02,17950,17950,17200,17550,52791,144294.0,8221861.0
2013-07-03,17350,19650,17350,18300,280077,150460.0,8221861.0
2013-07-04,18500,19250,18350,18950,98560,155804.0,8221861.0
2013-07-05,19000,19200,18350,19000,82386,156215.0,8221861.0
2013-07-08,19000,19050,17750,17750,69662,145938.0,8221861.0
2013-07-09,17950,18300,17400,18200,55862,149638.0,8221861.0
2013-07-10,18350,18350,17200,17300,70698,142238.0,8221861.0
2013-07-11,17450,18150,17450,18050,49516,148405.0,8221861.0
2013-07-12,18250,18850,17900,18650,78016,153338.0,8221861.0
2013-07-15,18750,18800,18150,18450,65828,151693.0,8221861.0
