대주전자재료(078600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-12-10,3145,3520,3080,3379,1934862,34451.0,8222140.0
2004-12-13,3104,3669,2975,2976,822846,30340.0,8222140.0
2004-12-14,2983,3056,2741,3057,293401,31162.0,8222140.0
2004-12-15,2806,3028,2806,2928,184744,29846.0,8222140.0
2004-12-16,2927,3023,2870,2912,169620,29682.0,8222140.0
2004-12-17,2906,2939,2757,2895,157377,29517.0,8222140.0
2004-12-20,2879,2922,2806,2856,62914,29106.0,8222140.0
2004-12-21,2822,2863,2661,2662,93991,27133.0,8222140.0
2004-12-22,2596,2737,2596,2665,159238,27174.0,8222140.0
2004-12-23,2665,2927,2665,2787,189790,28407.0,8222140.0
2004-12-24,2749,2854,2741,2856,55827,29106.0,8222140.0
2004-12-27,2870,2870,2766,2839,33066,28942.0,8222140.0
2004-12-28,2749,2838,2741,2782,40276,28366.0,8222140.0
2004-12-29,2782,2983,2782,2904,88759,29600.0,8222140.0
2004-12-30,2826,2895,2798,2863,32953,29189.0,8222140.0
2005-01-03,2903,2903,2806,2823,25441,28777.0,8222140.0
2005-01-04,2822,3000,2806,2976,76520,30340.0,8222140.0
2005-01-05,2967,3136,2927,2956,86307,30134.0,8222140.0
2005-01-06,2959,2991,2870,2984,55606,30422.0,8222140.0
2005-01-07,2959,3039,2922,2968,71318,30257.0,8222140.0
2005-01-10,2919,2983,2870,2899,300400,29559.0,8222140.0
2005-01-11,2870,2996,2822,2996,208012,30545.0,8222140.0
2005-01-12,3241,3354,3221,3355,984876,34204.0,8222140.0
2005-01-13,3467,3754,3306,3710,853925,37822.0,8222140.0
2005-01-14,3782,3943,3628,3779,648101,38521.0,8222140.0
2005-01-17,3878,4225,3790,3903,635002,39795.0,8222140.0
2005-01-18,4000,4000,3782,3871,366407,39466.0,8222140.0
2005-01-19,3984,4322,3871,3952,446886,40288.0,8222140.0
2005-01-20,3910,3951,3540,3541,422549,36095.0,8222140.0
2005-01-21,3572,3963,3548,3900,384260,39754.0,8222140.0
2005-01-24,4064,4362,4064,4364,524925,44482.0,8222140.0
2005-01-25,4596,4742,4040,4718,756641,48100.0,8222140.0
2005-01-26,4919,4999,4153,4355,475148,44400.0,8222140.0
2005-01-27,4394,4516,4048,4202,305096,42837.0,8222140.0
2005-01-28,4064,4677,4064,4508,484951,45962.0,8222140.0
2005-01-31,4419,4839,4419,4517,447233,46044.0,8222140.0
2005-02-01,4628,4637,4330,4331,238001,44153.0,8222140.0
2005-02-02,4387,4387,4088,4194,191315,42755.0,8222140.0
2005-02-03,4193,4596,4153,4524,296730,46126.0,8222140.0
2005-02-04,4677,4919,4443,4678,566259,47688.0,8222140.0
2005-02-07,4822,5233,4765,5235,575950,53362.0,8222140.0
2005-02-11,5403,5499,5249,5307,565502,54102.0,8222140.0
2005-02-14,5411,5443,5242,5363,486999,54677.0,8222140.0
2005-02-15,5435,5863,5330,5863,655493,59775.0,8222140.0
