이녹스첨단소재(272290),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-07-10,65681,70405,55852,69650,2139063,634697.0,8611899.0
2017-07-11,68799,70972,66909,68611,588369,625224.0,8611899.0
2017-07-12,68610,68610,64262,64547,584969,588193.0,8611899.0
2017-07-13,66342,69271,65585,67950,521428,619196.0,8611899.0
2017-07-14,69177,72768,68704,72391,595382,659671.0,8611899.0
2017-07-17,71351,73430,70217,72486,348049,660533.0,8611899.0
2017-07-18,72485,73524,70972,73431,334867,669145.0,8611899.0
2017-07-19,75225,80045,74658,75321,915539,686368.0,8611899.0
2017-07-20,74185,76076,73430,75888,257159,691535.0,8611899.0
2017-07-21,75981,77398,74658,74754,285413,681201.0,8611899.0
2017-07-24,75792,77210,73902,76927,336772,701009.0,8611899.0
2017-07-25,76927,77494,73714,74187,270842,676034.0,8611899.0
2017-07-26,75037,75320,70217,72297,352252,658810.0,8611899.0
2017-07-27,71823,73524,68421,70123,392993,639003.0,8611899.0
2017-07-28,68988,69366,63507,64641,643021,589054.0,8611899.0
2017-07-31,62939,64830,60482,64453,493557,587332.0,8611899.0
2017-08-01,63695,66342,63224,65020,325812,592499.0,8611899.0
2017-08-02,66625,68894,66152,68327,411176,622640.0,8611899.0
2017-08-03,68610,68704,64074,64737,296518,589915.0,8611899.0
2017-08-04,64452,65964,62372,62941,257718,573552.0,8611899.0
2017-08-07,62467,64546,60861,61145,359592,557190.0,8611899.0
2017-08-08,61995,64546,61805,64264,373385,585609.0,8611899.0
2017-08-09,64262,66909,64074,65208,431182,594221.0,8611899.0
2017-08-10,64735,67571,64262,66815,246953,608861.0,8611899.0
2017-08-11,64735,67098,64735,66248,162721,603694.0,8611899.0
2017-08-14,67098,69650,66625,69556,204555,633836.0,8611899.0
2017-08-16,70217,71161,69461,69650,213933,634697.0,8611899.0
2017-08-17,69933,70784,69082,70501,126234,642448.0,8611899.0
2017-08-18,69366,70784,69271,69650,108831,635212.0,8618891.0
2017-08-21,69555,71351,67948,69745,161098,636074.0,8618891.0
2017-08-22,70122,72579,70122,72203,201913,658483.0,8618891.0
2017-08-23,72768,73714,71634,71635,168693,653312.0,8618891.0
2017-08-24,71918,73051,70878,71351,133295,650726.0,8618891.0
2017-08-25,71540,72768,70878,70879,117777,646417.0,8618891.0
2017-08-28,71540,71540,67948,68138,221114,621422.0,8618891.0
2017-08-29,67192,69366,66247,69084,191659,630041.0,8618891.0
2017-08-30,69933,72295,69271,72297,236233,659345.0,8618891.0
2017-08-31,72768,72863,70500,71257,159033,649864.0,8618891.0
2017-09-01,71540,72579,70500,71824,144440,655036.0,8618891.0
2017-09-04,69271,71445,69177,69745,125089,636074.0,8618891.0
2017-09-05,70689,70878,66909,67855,207471,618836.0,8618891.0
2017-09-06,67571,69366,67475,68138,148357,621422.0,8618891.0
2017-09-07,69177,72107,68327,71824,224964,655036.0,8618891.0
2017-09-08,72012,73051,71351,71446,170813,651588.0,8618891.0
2017-09-11,72295,74091,71445,72958,242098,665378.0,8618891.0
2017-09-12,73808,74942,72579,73620,197800,671412.0,8618891.0
2017-09-13,73808,74658,72768,72770,237481,663655.0,8618891.0
