비츠로셀(082920),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-10-28,4444,4519,3784,3818,6647000,63889.0,12676375.0
2009-10-29,3725,4384,3543,4386,5857794,73396.0,12676375.0
2009-10-30,4816,5036,4104,4204,7623705,70354.0,12676375.0
2009-11-02,4012,4475,3945,4090,2190151,68452.0,12676375.0
2009-11-03,4170,4618,4156,4394,3723300,73523.0,12676375.0
2009-11-04,4739,4762,4309,4333,2111673,72509.0,12676375.0
2009-11-05,4293,4467,4171,4257,834502,71241.0,12676375.0
2009-11-06,4352,4482,4164,4243,1090999,70988.0,12676375.0
2009-11-09,4240,4361,4089,4090,696929,68452.0,12676375.0
2009-11-10,4171,4194,3907,3970,641936,66424.0,12676375.0
2009-11-11,3967,4012,3785,3811,587941,63762.0,12676375.0
2009-11-12,3839,4043,3792,3833,687722,64142.0,12676375.0
2009-11-13,3862,4005,3839,3878,503107,64903.0,12676375.0
2009-11-16,3937,3960,3653,3655,567086,61164.0,12676375.0
2009-11-17,3740,3744,3540,3541,413684,59262.0,12676375.0
2009-11-18,3527,3673,3510,3545,402827,59325.0,12676375.0
2009-11-19,3546,3744,3546,3692,340684,61797.0,12676375.0
2009-11-20,3694,3846,3614,3811,279421,63762.0,12676375.0
2009-11-23,3808,3892,3698,3742,278556,62621.0,12676375.0
2009-11-24,3785,3808,3634,3650,185971,61100.0,12676375.0
2009-11-25,3625,3694,3558,3636,222867,60847.0,12676375.0
2009-11-26,3665,3823,3638,3712,303429,62114.0,12676375.0
2009-11-27,3634,3660,3460,3485,281560,58311.0,12676375.0
2009-11-30,3562,3626,3527,3560,109909,59579.0,12676375.0
2009-12-01,3596,4051,3559,3962,700040,66297.0,12676375.0
2009-12-02,4255,4445,4165,4279,2380182,71622.0,12676375.0
2009-12-03,4210,4279,4104,4121,664395,68959.0,12676375.0
2009-12-04,4149,4352,4149,4273,858961,71495.0,12676375.0
2009-12-07,4248,4323,4134,4243,528204,70988.0,12676375.0
2009-12-08,4323,4505,4043,4151,1188870,69467.0,12676375.0
2009-12-09,4104,4125,3997,4083,443374,68326.0,12676375.0
2009-12-10,4095,4255,4065,4165,561978,69720.0,12676375.0
2009-12-11,4279,4399,4202,4311,984217,72129.0,12676375.0
2009-12-14,4300,4370,4194,4288,511472,71748.0,12676375.0
2009-12-15,4284,4330,4202,4326,454115,72382.0,12676375.0
2009-12-16,4475,4633,4187,4204,1684792,70354.0,12676375.0
2009-12-17,4203,4210,4096,4099,534314,68579.0,12676375.0
2009-12-18,4095,4202,4035,4144,330506,69340.0,12676375.0
2009-12-21,4164,4399,4164,4264,819807,71368.0,12676375.0
2009-12-22,4278,4292,4133,4136,417989,69213.0,12676375.0
2009-12-23,4156,4536,4074,4257,1944697,71241.0,12676375.0
2009-12-24,4377,4618,4285,4621,1544609,77326.0,12676375.0
2009-12-28,4709,4709,4413,4417,898771,73903.0,12676375.0
2009-12-29,4369,4475,4278,4326,638610,72382.0,12676375.0
2009-12-30,4309,4422,4269,4303,363656,72002.0,12676375.0
2010-01-04,4338,4579,4292,4583,700180,76692.0,12676375.0
2010-01-05,4543,4574,4353,4356,728110,72889.0,12676375.0
2010-01-06,4399,4437,4218,4243,693726,70988.0,12676375.0
2010-01-07,4279,4377,4240,4250,478700,71114.0,12676375.0
2010-01-08,4309,4316,4156,4204,366733,70354.0,12676375.0
2010-01-11,4164,4269,4164,4243,249267,70988.0,12676375.0
2010-01-12,4269,4384,4240,4317,407888,72255.0,12676375.0
2010-01-13,4352,4377,4202,4204,309429,70354.0,12676375.0
2010-01-14,4255,4309,4218,4234,203332,70861.0,12676375.0
2010-01-15,4263,4566,4256,4508,777873,75424.0,12676375.0
2010-01-18,4505,4649,4377,4598,781047,76946.0,12676375.0
2010-01-19,4641,4678,4430,4469,851632,74791.0,12676375.0
2010-01-20,4550,4777,4377,4462,1305923,74664.0,12676375.0
2010-01-21,4452,4883,4392,4810,1435131,80495.0,12676375.0
2010-01-22,4695,5006,4657,4886,1443709,81763.0,12676375.0
2010-01-25,4832,5097,4248,4446,1411424,74410.0,12676375.0
2010-01-26,4466,4535,4179,4264,606897,71368.0,12676375.0
2010-01-27,4285,4406,4232,4303,343574,72002.0,12676375.0
2010-01-28,4330,4369,4224,4326,169750,72382.0,12676375.0
2010-01-29,4240,4279,3937,3939,387357,65917.0,12676375.0
2010-02-01,3937,4089,3921,4008,213751,67058.0,12676375.0
2010-02-02,4090,4126,3937,3970,206964,66424.0,12676375.0
2010-02-03,4013,4111,3998,4099,199671,68579.0,12676375.0
2010-02-04,4119,4125,4027,4053,97610,67819.0,12676375.0
2010-02-05,3817,3937,3710,3939,200318,65917.0,12676375.0
2010-02-08,4005,4012,3846,3902,136553,65283.0,12676375.0
2010-02-09,3899,4065,3838,4037,129339,67565.0,12676375.0
2010-02-10,4125,4466,4058,4136,731531,69213.0,12676375.0
2010-02-11,4134,4202,4073,4083,157603,68326.0,12676375.0
2010-02-12,4081,4171,4059,4090,123996,68452.0,12676375.0
2010-02-16,4096,4141,4052,4069,101515,68072.0,12676375.0
2010-02-17,4089,4141,4065,4105,108341,68706.0,12676375.0
2010-02-18,4119,4149,4020,4076,118053,68199.0,12676375.0
2010-02-19,4073,4073,3930,3955,221008,66171.0,12676375.0
2010-02-22,4005,4052,3974,3999,63430,66931.0,12676375.0
2010-02-23,4012,4035,3945,3992,65802,66804.0,12676375.0
2010-02-24,3982,4051,3937,3962,81993,66297.0,12676375.0
2010-02-25,3967,4013,3847,3848,88756,64396.0,12676375.0
2010-02-26,3846,3921,3831,3864,84576,64650.0,12676375.0
2010-03-02,3899,3921,3831,3864,98543,64650.0,12676375.0
2010-03-03,3861,3899,3823,3841,107136,64269.0,12676375.0
2010-03-04,3839,3883,3747,3811,136797,63762.0,12676375.0
2010-03-05,3808,3853,3770,3811,109154,63762.0,12676375.0
2010-03-08,3899,4043,3877,3962,233478,66297.0,12676375.0
2010-03-09,3960,4005,3899,3962,98740,66297.0,12676375.0
2010-03-10,3951,4035,3899,4015,146769,67185.0,12676375.0
2010-03-11,4027,4036,3967,3970,94874,66424.0,12676375.0
2010-03-12,3967,3997,3913,3931,91269,65790.0,12676375.0
2010-03-15,3892,4059,3892,4022,190340,67312.0,12676375.0
2010-03-16,4058,4369,4058,4165,1038360,69720.0,12676375.0
2010-03-17,4194,4239,4021,4022,218504,67312.0,12676375.0
2010-03-18,4089,4110,4020,4037,140450,67565.0,12676375.0
2010-03-19,4065,4104,4027,4090,99199,68452.0,12676375.0
2010-03-22,4104,4104,3966,3985,143690,66678.0,12676375.0
2010-03-23,4012,4035,3974,3977,104520,66551.0,12676375.0
2010-03-24,3991,4020,3930,3977,126495,66551.0,12676375.0
2010-03-25,3951,4089,3951,3992,91234,66804.0,12676375.0
2010-03-26,4043,4081,3982,4030,60600,67438.0,12676375.0
2010-03-29,4012,4218,3991,4030,218256,67438.0,12676375.0
2010-03-30,4065,4074,3921,3931,150143,65790.0,12676375.0
