한국제8호스팩(310870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-20,2005,2005,2000,2005,670051,6857.0,3420000.0
2018-12-21,2005,2005,2000,2005,39896,6857.0,3420000.0
2018-12-24,2005,2020,2005,2020,92304,6908.0,3420000.0
2018-12-26,2015,2020,2010,2010,48955,6874.0,3420000.0
2018-12-27,2015,2015,2015,2015,2759,6891.0,3420000.0
2018-12-28,2010,2015,2010,2010,10890,6874.0,3420000.0
2019-01-02,2010,2010,2010,2010,0,6874.0,3420000.0
2019-01-03,2005,2015,2005,2010,1910,6874.0,3420000.0
2019-01-04,2015,2015,2010,2010,102,6874.0,3420000.0
2019-01-07,2010,2010,2010,2010,3635,6874.0,3420000.0
2019-01-08,2010,2015,2010,2010,34733,6874.0,3420000.0
2019-01-09,2010,2015,2010,2015,5884,6891.0,3420000.0
2019-01-10,2010,2015,2010,2015,3600,6891.0,3420000.0
2019-01-11,2010,2015,2005,2010,32690,6874.0,3420000.0
2019-01-14,2015,2015,2010,2010,1502,6874.0,3420000.0
2019-01-15,2010,2010,2010,2010,0,,
2019-01-16,2015,2015,2015,2015,8239,6891.0,3420000.0
2019-01-17,2015,2025,2015,2025,28050,6926.0,3420000.0
2019-01-18,2025,2030,2025,2030,30001,6943.0,3420000.0
2019-01-21,2030,2035,2025,2035,40505,6960.0,3420000.0
2019-01-22,2020,2030,2020,2030,8458,6943.0,3420000.0
2019-01-23,2030,2040,2030,2040,11610,6977.0,3420000.0
2019-01-24,2035,2035,2035,2035,435,6960.0,3420000.0
2019-01-25,2035,2035,2035,2035,900,6960.0,3420000.0
2019-01-28,2030,2035,2025,2025,25040,6926.0,3420000.0
2019-01-29,2035,2035,2035,2035,81,6960.0,3420000.0
2019-01-30,2020,2025,2020,2020,456,6908.0,3420000.0
2019-01-31,2035,2040,2030,2035,9817,6960.0,3420000.0
2019-02-01,2035,2035,2035,2035,0,6960.0,3420000.0
2019-02-07,2040,2040,2020,2020,1820,6908.0,3420000.0
2019-02-08,2035,2035,2035,2035,1,6960.0,3420000.0
2019-02-11,2035,2035,2035,2035,1,6960.0,3420000.0
2019-02-12,2035,2035,2030,2030,478,6943.0,3420000.0
2019-02-13,2035,2035,2020,2020,455,6908.0,3420000.0
2019-02-14,2035,2035,2020,2020,9044,6908.0,3420000.0
2019-02-15,2035,2035,2035,2035,1,,
2019-02-18,2035,2035,2025,2025,5001,6926.0,3420000.0
2019-02-19,2035,2035,2030,2030,1401,6943.0,3420000.0
2019-02-20,2030,2030,2030,2030,1,6943.0,3420000.0
2019-02-21,2030,2030,2030,2030,1,,
2019-02-22,2030,2035,2030,2035,1937,6960.0,3420000.0
2019-02-25,2040,2050,2040,2045,6207,6994.0,3420000.0
2019-02-26,2050,2050,2050,2050,1,7011.0,3420000.0
2019-02-27,2055,2055,2025,2025,3,6926.0,3420000.0
2019-02-28,2050,2050,2030,2030,201,6943.0,3420000.0
2019-03-04,2030,2060,2025,2060,3677,7045.0,3420000.0
