파나진(046210),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-08-16,7212,7212,7212,7215,153990,21000.0,7000000.0
2000-08-17,8083,8083,6373,6469,3781755,18830.0,7000000.0
2000-08-18,6253,7215,5699,7167,1037528,20860.0,7000000.0
2000-08-21,6710,6733,6325,6325,678529,18410.0,7000000.0
2000-08-22,5673,6710,5626,5676,1370155,16520.0,7000000.0
2000-08-23,5676,6155,5508,5868,763445,17080.0,7000000.0
2000-08-24,5917,5990,5172,5171,632784,15050.0,7000000.0
2000-08-25,4715,5266,4594,4786,434231,13930.0,7000000.0
2000-08-28,5074,5123,4761,5002,532884,14560.0,7000000.0
2000-08-29,5001,5482,4688,4978,804566,14490.0,7000000.0
2000-08-30,4954,5337,4833,5050,301217,14700.0,7000000.0
2000-08-31,5049,5145,4687,4858,169296,14140.0,7000000.0
2000-09-01,4857,5051,4761,4834,202591,14070.0,7000000.0
2000-09-04,4832,5409,4760,5363,823943,15610.0,7000000.0
2000-09-05,5412,5508,4929,5147,455832,14980.0,7000000.0
2000-09-06,4956,5124,4788,4810,309227,14000.0,7000000.0
2000-09-07,4859,4859,4330,4497,313663,13090.0,7000000.0
2000-09-08,4330,4571,4209,4329,142995,12600.0,7000000.0
2000-09-14,4209,4209,3968,4161,110374,12110.0,7000000.0
2000-09-15,3968,4258,3968,4161,146165,12110.0,7000000.0
2000-09-18,3918,4041,3679,3680,104715,10710.0,7000000.0
2000-09-19,3392,3609,3247,3271,206235,9520.0,7000000.0
2000-09-20,3368,3489,3319,3415,122018,9940.0,7000000.0
2000-09-21,3244,3389,3076,3150,137489,9170.0,7000000.0
2000-09-22,3245,3294,2814,2862,119996,8330.0,7000000.0
2000-09-25,2887,3104,2742,3102,63419,9030.0,7000000.0
2000-09-26,2907,3461,2907,3463,174435,10080.0,7000000.0
2000-09-27,3559,3872,3414,3631,404073,10570.0,7000000.0
2000-09-28,3585,3802,3246,3415,679581,9940.0,7000000.0
2000-09-29,3489,3825,3246,3824,786250,11130.0,7000000.0
2000-10-02,3824,4065,3535,3776,940116,10990.0,7000000.0
2000-10-04,3560,4041,3511,3848,696472,11200.0,7000000.0
2000-10-05,4041,4306,3873,3944,1001779,11480.0,7000000.0
2000-10-06,4064,4087,3801,3968,507198,11550.0,7000000.0
2000-10-09,3992,4402,3872,4233,611310,12320.0,7000000.0
2000-10-10,4184,4425,3918,4112,390428,11970.0,7000000.0
2000-10-11,3969,4088,3656,3776,264928,10990.0,7000000.0
2000-10-12,3438,4206,3438,4209,583152,12250.0,7000000.0
2000-10-13,3968,4715,3774,4714,1244448,13720.0,7000000.0
2000-10-16,4978,5267,4833,5147,1009861,14980.0,7000000.0
2000-10-17,5027,5413,4667,5171,679382,15050.0,7000000.0
2000-10-18,5171,5769,5171,5772,1221973,16800.0,7000000.0
2000-10-19,6059,6445,6012,6445,279918,18760.0,7000000.0
2000-10-20,7093,7212,6516,7215,812259,21000.0,7000000.0
2000-10-23,7238,7836,6731,6734,1215680,19600.0,7000000.0
2000-10-24,6735,7527,6373,7528,732298,21910.0,7000000.0
2000-10-25,8176,8417,8176,8417,278061,24500.0,7000000.0
2000-10-26,8660,9428,7699,8177,1400601,23800.0,7000000.0
2000-10-27,8439,8897,8030,8201,818036,23870.0,7000000.0
2000-10-30,8634,9162,8490,9163,1187552,26670.0,7000000.0
2000-10-31,9693,10247,9331,10245,835169,29820.0,7000000.0
2000-11-01,11473,11473,11305,11472,200645,33390.0,7000000.0
2000-11-02,12844,12844,12506,12842,149786,37380.0,7000000.0
2000-11-03,13708,14382,12602,13949,1194478,40600.0,7000000.0
2000-11-06,14911,14911,12794,13877,827674,40390.0,7000000.0
2000-11-07,13828,15534,13730,15536,696977,45220.0,7000000.0
2000-11-08,16711,17385,15870,17388,1137274,50610.0,7000000.0
2000-11-09,17074,17797,15632,16787,1032164,48860.0,7000000.0
2000-11-10,16834,18780,16834,18783,1064236,54670.0,7000000.0
2000-11-13,21021,21021,19986,21019,400937,61180.0,7000000.0
2000-11-14,21427,23518,21427,23520,372552,68460.0,7000000.0
2000-11-15,24289,26335,23593,24771,884324,72100.0,7000000.0
2000-11-16,23089,26334,21886,23977,1177898,69790.0,7000000.0
2000-11-17,24051,25254,21117,21115,693510,61460.0,7000000.0
2000-11-20,18641,19484,18592,18590,489657,54110.0,7000000.0
2000-11-21,16377,17195,16377,16378,743432,47670.0,7000000.0
2000-11-22,14431,14431,14431,14430,66722,42000.0,7000000.0
2000-11-23,12700,13347,12700,12698,7778189,36960.0,7000000.0
2000-11-24,11904,12554,11183,11183,3570317,32550.0,7000000.0
2000-11-27,11232,11760,9883,11375,6316783,33110.0,7000000.0
2000-11-28,11255,12217,10028,10029,5767438,29190.0,7000000.0
2000-11-29,9283,9454,8826,8826,5539827,25690.0,7000000.0
2000-11-30,8850,9208,7837,8129,7070502,23660.0,7000000.0
2000-12-01,7453,9090,7453,9091,5700178,26460.0,7000000.0
2000-12-04,9548,10174,9427,10173,5313617,29610.0,7000000.0
2000-12-05,10294,10965,8970,8970,5396789,26110.0,7000000.0
2000-12-06,9260,9622,7961,8249,3341958,24010.0,7000000.0
2000-12-07,8083,8490,7455,8033,2196297,23380.0,7000000.0
2000-12-08,8034,8613,7744,7936,2411032,23100.0,7000000.0
2000-12-11,7937,8128,7096,7479,2232777,21770.0,7000000.0
2000-12-12,7526,8367,7117,8369,3759475,24360.0,7000000.0
2000-12-13,8539,8852,7453,7479,4676657,21770.0,7000000.0
2000-12-14,7527,7672,7239,7359,1143409,21420.0,7000000.0
2000-12-15,7214,7382,6494,6541,1419639,19040.0,7000000.0
2000-12-18,6254,6831,6085,6301,2112124,18340.0,7000000.0
2000-12-19,6181,6494,5556,5579,3047386,16240.0,7000000.0
2000-12-20,5458,5458,4928,4930,889618,14350.0,7000000.0
2000-12-21,4354,4523,4354,4353,1277366,12670.0,7000000.0
2000-12-22,3969,4354,3847,3848,816784,11200.0,7000000.0
2000-12-26,3729,3896,3391,3415,2300784,9940.0,7000000.0
2001-01-02,3151,3825,3151,3824,1311383,11130.0,7000000.0
2001-01-03,3825,4280,3631,4281,1725842,12460.0,7000000.0
2001-01-04,4787,4787,4594,4786,321663,13930.0,7000000.0
2001-01-05,5147,5341,4594,5195,3194705,15120.0,7000000.0
2001-01-08,5027,5532,4810,5171,2169756,15050.0,7000000.0
2001-01-09,5411,5769,5194,5772,2334527,16800.0,7000000.0
2001-01-10,6133,6446,5101,5123,3489075,14910.0,7000000.0
2001-01-11,5436,5725,5050,5724,2254805,16660.0,7000000.0
2001-01-12,6131,6397,6058,6397,1478136,18620.0,7000000.0
2001-01-15,6638,7140,6203,7143,3116722,20790.0,7000000.0
2001-01-16,7215,7215,6350,6493,2594675,18900.0,7000000.0
2001-01-17,6254,6709,5796,5892,2322045,17150.0,7000000.0
2001-01-18,5914,6589,5556,6012,3760605,17500.0,7000000.0
2001-01-19,6299,6492,5650,5748,2042861,16730.0,7000000.0
2001-01-22,5603,6348,5603,6085,2200302,17710.0,7000000.0
2001-01-26,6252,6493,5771,6012,2967343,17500.0,7000000.0
2001-01-29,6276,6731,6276,6734,371088,19600.0,7000000.0
2001-01-30,7527,7527,7527,7528,51360,21910.0,7000000.0
2001-01-31,8417,8417,6781,8417,5042797,24500.0,7000000.0
2001-02-01,8010,9260,7744,8177,3089898,23800.0,7000000.0
2001-02-02,8418,8563,7456,7648,1438040,22260.0,7000000.0
2001-02-05,7238,7479,6731,6734,1298932,19600.0,7000000.0
2001-02-06,6758,7527,6541,7528,2091292,21910.0,7000000.0
2001-02-07,7286,7865,6734,6926,2066417,20160.0,7000000.0
2001-02-08,7023,7481,6928,7167,1299954,20860.0,7000000.0
2001-02-09,7212,7574,7093,7215,1183225,21000.0,7000000.0
2001-02-12,6927,7357,6927,7215,843023,21000.0,7000000.0
