케이비17호스팩(317030),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-03-27,1995,2000,1990,2000,931832,10922.0,5461000.0
2019-03-28,2000,2000,1995,2000,98114,10922.0,5461000.0
2019-03-29,2000,2000,1990,1995,127641,10895.0,5461000.0
2019-04-01,2000,2000,1995,1995,49887,10895.0,5461000.0
2019-04-02,1995,2005,1995,2005,65374,10949.0,5461000.0
2019-04-03,2005,2010,1995,2010,129814,10977.0,5461000.0
2019-04-04,2005,2010,2000,2005,52857,10949.0,5461000.0
2019-04-05,2005,2010,2000,2010,14877,10977.0,5461000.0
2019-04-08,2010,2010,2000,2010,13626,10977.0,5461000.0
2019-04-09,2005,2005,2000,2005,17999,10949.0,5461000.0
2019-04-10,2005,2010,2000,2005,48120,10949.0,5461000.0
2019-04-11,2005,2010,2005,2010,54871,10977.0,5461000.0
2019-04-12,2010,2015,2005,2015,73603,11004.0,5461000.0
2019-04-15,2015,2020,2010,2015,74419,11004.0,5461000.0
2019-04-16,2015,2015,2010,2015,19084,11004.0,5461000.0
2019-04-17,2015,2015,2010,2015,89971,11004.0,5461000.0
2019-04-18,2020,2020,2015,2020,31836,11031.0,5461000.0
2019-04-19,2020,2025,2020,2025,50496,11059.0,5461000.0
2019-04-22,2015,2025,2015,2015,44820,11004.0,5461000.0
2019-04-23,2025,2025,2015,2025,29241,11059.0,5461000.0
2019-04-24,2025,2025,2015,2015,33827,11004.0,5461000.0
2019-04-25,2015,2020,2015,2020,17799,11031.0,5461000.0
2019-04-26,2015,2025,2015,2015,33475,11004.0,5461000.0
2019-04-29,2020,2025,2015,2020,56263,11031.0,5461000.0
2019-04-30,2020,2025,2020,2020,78874,11031.0,5461000.0
2019-05-02,2020,2025,2015,2020,122229,11031.0,5461000.0
2019-05-03,2025,2035,2020,2030,92171,11086.0,5461000.0
2019-05-07,2030,2040,2030,2035,6110,11113.0,5461000.0
2019-05-08,2040,2040,2025,2035,40928,11113.0,5461000.0
2019-05-09,2040,2050,2040,2045,63991,11168.0,5461000.0
2019-05-10,2050,2060,2050,2060,23415,11250.0,5461000.0
2019-05-13,2060,2090,2060,2070,31797,11304.0,5461000.0
2019-05-14,2100,2105,2050,2080,58051,11359.0,5461000.0
2019-05-15,2085,2085,2045,2070,7262,11304.0,5461000.0
2019-05-16,2050,2065,2050,2065,15997,11277.0,5461000.0
2019-05-17,2070,2070,2060,2060,12193,11250.0,5461000.0
2019-05-20,2050,2070,2050,2055,7052,11222.0,5461000.0
