대신밸런스제4호스팩(262830),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-03-03,2033,2094,1998,2024,191905,9970.0,5010000.0
2017-03-06,2054,2054,2018,2024,14422,9970.0,5010000.0
2017-03-07,2028,2038,2028,2029,73254,9995.0,5010000.0
2017-03-08,2023,2033,2018,2024,19735,9970.0,5010000.0
2017-03-09,2023,2033,2023,2029,86492,9995.0,5010000.0
2017-03-10,2023,2028,2018,2019,25158,9945.0,5010000.0
2017-03-13,2018,2028,2008,2024,1667,9970.0,5010000.0
2017-03-14,2008,2018,2008,2019,160,9945.0,5010000.0
2017-03-15,2033,2033,2023,2024,9309,9970.0,5010000.0
2017-03-16,2013,2023,2013,2014,230550,9920.0,5010000.0
2017-03-17,2033,2206,2028,2029,169532,9995.0,5010000.0
2017-03-20,2033,2135,2023,2034,138203,10020.0,5010000.0
2017-03-21,2054,2079,2018,2044,46299,10070.0,5010000.0
2017-03-22,2023,2105,2018,2034,72536,10020.0,5010000.0
2017-03-23,2018,2033,2013,2024,42683,9970.0,5010000.0
2017-03-24,2038,2038,2013,2029,9217,9995.0,5010000.0
2017-03-27,2018,2044,2018,2034,9465,10020.0,5010000.0
2017-03-28,2033,2033,2008,2034,5894,10020.0,5010000.0
2017-03-29,2038,2044,2028,2029,18271,9995.0,5010000.0
2017-03-30,2033,2033,2023,2029,1098,9995.0,5010000.0
2017-03-31,2028,2064,2028,2034,6408,10020.0,5010000.0
2017-04-03,2028,2033,2023,2024,14110,9970.0,5010000.0
2017-04-04,2028,2054,2028,2054,7401,10120.0,5010000.0
2017-04-05,2028,2033,2028,2034,3605,10020.0,5010000.0
2017-04-06,2023,2069,2023,2069,5315,10195.0,5010000.0
2017-04-07,2033,2038,2033,2039,350,10045.0,5010000.0
2017-04-10,2023,2033,2023,2024,9502,9970.0,5010000.0
2017-04-11,2013,2044,2013,2044,881,10070.0,5010000.0
2017-04-12,2028,2028,2028,2029,1,9995.0,5010000.0
2017-04-13,2038,2038,2028,2029,1771,9995.0,5010000.0
2017-04-14,2033,2033,2013,2019,2480,9945.0,5010000.0
2017-04-17,2013,2038,2013,2039,7158,10045.0,5010000.0
2017-04-18,2018,2033,2018,2034,4004,10020.0,5010000.0
2017-04-19,2049,2049,2028,2029,561,9995.0,5010000.0
2017-04-20,2028,2033,2028,2034,7234,10020.0,5010000.0
2017-04-21,2028,2033,2023,2034,10046,10020.0,5010000.0
2017-04-24,2018,2033,2008,2014,88142,9920.0,5010000.0
2017-04-25,2013,2033,2013,2034,255356,10020.0,5010000.0
2017-04-26,2033,2038,2008,2024,17169,9970.0,5010000.0
2017-04-27,2023,2033,2023,2024,7264,9970.0,5010000.0
2017-04-28,2023,2023,2018,2024,2877,9970.0,5010000.0
2017-05-02,2033,2038,2033,2039,9814,10045.0,5010000.0
2017-05-04,2038,2038,2038,2039,4000,10045.0,5010000.0
2017-05-08,2033,2033,2033,2034,12100,10020.0,5010000.0
2017-05-10,2028,2033,2028,2034,306,10020.0,5010000.0
2017-05-11,2033,2033,2028,2029,3115,9995.0,5010000.0
2017-05-12,2028,2028,2028,2029,697,9995.0,5010000.0
2017-05-15,2033,2033,2028,2029,10425,9995.0,5010000.0
2017-05-16,2028,2033,2028,2029,5398,9995.0,5010000.0
2017-05-17,2028,2033,2028,2029,12078,9995.0,5010000.0
2017-05-18,2028,2038,2028,2029,2533,9995.0,5010000.0
2017-05-19,2033,2033,2028,2029,14999,9995.0,5010000.0
2017-05-22,2028,2033,2028,2029,4987,9995.0,5010000.0
2017-05-23,2033,2044,2028,2029,8392,9995.0,5010000.0
2017-05-24,2028,2033,2023,2029,13043,9995.0,5010000.0
2017-05-25,2033,2033,2013,2019,41919,9945.0,5010000.0
2017-05-26,2018,2023,2003,2003,15804,9870.0,5010000.0
2017-05-29,2018,2018,2003,2003,5215,9870.0,5010000.0
2017-05-30,2018,2033,2018,2019,27759,9945.0,5010000.0
2017-05-31,2033,2033,2023,2024,3988,9970.0,5010000.0
2017-06-01,2018,2023,2013,2014,3173,9920.0,5010000.0
2017-06-02,2013,2013,2013,2014,310,9920.0,5010000.0
2017-06-05,2008,2033,1998,2019,21567,9945.0,5010000.0
2017-06-07,2013,2013,2008,2014,15022,9920.0,5010000.0
2017-06-08,2013,2018,1998,2014,5827,9920.0,5010000.0
2017-06-09,2003,2013,1998,2014,1296,9920.0,5010000.0
2017-06-12,2008,2013,1998,2014,11516,9920.0,5010000.0
2017-06-13,2013,2013,2013,2014,1080,9920.0,5010000.0
2017-06-14,2018,2028,2018,2024,7726,9970.0,5010000.0
2017-06-15,2023,2028,2023,2024,2181,9970.0,5010000.0
2017-06-16,2023,2023,2023,2024,0,9970.0,5010000.0
2017-06-19,2023,2028,2018,2019,4036,9945.0,5010000.0
2017-06-20,2013,2028,2008,2008,11783,9895.0,5010000.0
2017-06-21,2003,2008,2003,2008,6,9895.0,5010000.0
2017-06-22,2028,2028,2018,2019,10527,9945.0,5010000.0
2017-06-23,0,0,0,2019,0,9945.0,5010000.0
2017-06-26,0,0,0,2019,0,,
2017-06-27,0,0,0,2019,0,,
2017-06-28,0,0,0,2019,0,,
2017-06-29,0,0,0,2019,0,,
2017-06-30,0,0,0,2019,0,,
2017-07-03,0,0,0,2019,0,,
2017-07-04,0,0,0,2019,0,,
2017-07-05,0,0,0,2019,0,,
2017-07-06,0,0,0,2019,0,,
2017-07-07,0,0,0,2019,0,,
2017-07-10,0,0,0,2019,0,,
2017-07-11,0,0,0,2019,0,,
2017-07-12,0,0,0,2019,0,,
2017-07-13,0,0,0,2019,0,,
2017-07-14,0,0,0,2019,0,,
2017-07-17,0,0,0,2019,0,,
2017-07-18,0,0,0,2019,0,,
2017-07-19,0,0,0,2019,0,,
2017-07-20,0,0,0,2019,0,,
2017-07-21,0,0,0,2019,0,,
2017-07-24,0,0,0,2019,0,,
2017-07-25,0,0,0,2019,0,,
2017-07-26,0,0,0,2019,0,,
2017-07-27,0,0,0,2019,0,,
2017-07-28,0,0,0,2019,0,,
2017-07-31,2033,2033,2018,2024,132571,9970.0,5010000.0
2017-08-01,2054,2054,2018,2029,87182,9995.0,5010000.0
2017-08-02,2038,2038,2028,2029,70107,9995.0,5010000.0
2017-08-03,2028,2028,2028,2029,52367,9995.0,5010000.0
2017-08-04,2033,2033,2028,2029,9553,9995.0,5010000.0
2017-08-07,2033,2033,2028,2029,5907,9995.0,5010000.0
2017-08-08,2028,2033,2028,2034,14039,10020.0,5010000.0
2017-08-09,2028,2033,2028,2029,4900,9995.0,5010000.0
2017-08-10,2028,2033,2028,2029,1610,9995.0,5010000.0
2017-08-11,2033,2033,2028,2034,11836,10020.0,5010000.0
2017-08-14,2033,2033,2028,2029,49492,9995.0,5010000.0
2017-08-16,2033,2033,2028,2029,2710,9995.0,5010000.0
2017-08-17,2033,2033,2033,2034,5010,10020.0,5010000.0
2017-08-18,2033,2033,2028,2034,85424,10020.0,5010000.0
2017-08-21,2028,2033,2028,2029,6551,9995.0,5010000.0
2017-08-22,2028,2033,2028,2029,9882,9995.0,5010000.0
2017-08-23,2033,2044,2028,2044,3503,10070.0,5010000.0
2017-08-24,2038,2038,2038,2039,0,10045.0,5010000.0
2017-08-25,2028,2105,2028,2044,15736,10070.0,5010000.0
2017-08-28,2110,2110,2038,2075,129,10220.0,5010000.0
2017-08-29,2038,2054,2038,2044,37,10070.0,5010000.0
2017-08-30,2044,2044,2044,2044,150,10070.0,5010000.0
2017-08-31,2079,2079,2033,2044,25040,10070.0,5010000.0
2017-09-01,2049,2049,2044,2044,414,10070.0,5010000.0
2017-09-04,2038,2044,2033,2034,22429,10020.0,5010000.0
2017-09-05,2033,2044,2033,2039,1733,10045.0,5010000.0
2017-09-06,2038,2038,2038,2039,1466,10045.0,5010000.0
2017-09-07,2044,2044,2044,2044,3891,10070.0,5010000.0
2017-09-08,2044,2069,2033,2034,93848,10020.0,5010000.0
2017-09-11,2033,2033,2028,2034,72294,10020.0,5010000.0
2017-09-12,2033,2033,2033,2034,20528,10020.0,5010000.0
2017-09-13,2033,2038,2028,2029,31672,9995.0,5010000.0
2017-09-14,2028,2049,2028,2029,3519,9995.0,5010000.0
2017-09-15,2033,2044,2033,2034,26316,10020.0,5010000.0
2017-09-18,2033,2049,2033,2049,330,10095.0,5010000.0
2017-09-19,2049,2049,2049,2049,0,10095.0,5010000.0
2017-09-20,2059,2059,2033,2039,16100,10045.0,5010000.0
2017-09-21,2054,2054,2044,2044,21,10070.0,5010000.0
2017-09-22,2033,2033,2033,2034,30,10020.0,5010000.0
2017-09-25,2044,2044,2038,2039,8015,10045.0,5010000.0
2017-09-26,2038,2044,2033,2034,11302,10020.0,5010000.0
2017-09-27,2084,2084,2028,2034,31780,10020.0,5010000.0
2017-09-28,2079,2079,2033,2034,11,10020.0,5010000.0
2017-09-29,2033,2038,2033,2039,11732,10045.0,5010000.0
2017-10-10,2038,2038,2038,2039,500,10045.0,5010000.0
2017-10-11,2038,2038,2038,2039,7568,10045.0,5010000.0
2017-10-12,2038,2054,2038,2039,131,10045.0,5010000.0
2017-10-13,2038,2038,2038,2039,0,10045.0,5010000.0
2017-10-16,2038,2044,2038,2044,2001,10070.0,5010000.0
2017-10-17,2038,2038,2038,2039,10,10045.0,5010000.0
2017-10-18,2074,2074,2044,2044,2071,10070.0,5010000.0
2017-10-19,2044,2064,2038,2039,5751,10045.0,5010000.0
2017-10-20,2038,2038,2033,2039,6184,10045.0,5010000.0
2017-10-23,2033,2044,2033,2044,5584,10070.0,5010000.0
2017-10-24,2044,2044,2044,2044,0,10070.0,5010000.0
2017-10-25,2033,2038,2033,2034,594,10020.0,5010000.0
2017-10-26,2033,2038,2033,2034,1325,10020.0,5010000.0
2017-10-27,2033,2038,2033,2034,18311,10020.0,5010000.0
2017-10-30,2028,2033,2018,2029,75131,9995.0,5010000.0
2017-10-31,2033,2033,2018,2024,53143,9970.0,5010000.0
2017-11-01,2023,2033,2023,2029,18892,9995.0,5010000.0
2017-11-02,2033,2033,2033,2034,2040,10020.0,5010000.0
2017-11-03,2033,2044,2023,2044,41827,10070.0,5010000.0
2017-11-06,2054,2054,2028,2029,10910,9995.0,5010000.0
2017-11-07,2054,2054,2028,2034,52086,10020.0,5010000.0
2017-11-08,2033,2033,2033,2034,14,10020.0,5010000.0
2017-11-09,2038,2044,2038,2044,3891,10070.0,5010000.0
2017-11-10,2044,2044,2028,2034,1769,10020.0,5010000.0
2017-11-13,2033,2033,2033,2034,100,10020.0,5010000.0
2017-11-14,2033,2033,2033,2034,350,10020.0,5010000.0
2017-11-15,2044,2044,2033,2034,180,10020.0,5010000.0
2017-11-16,2033,2033,2033,2034,1000,10020.0,5010000.0
2017-11-17,2028,2028,2028,2029,146,9995.0,5010000.0
2017-11-20,2028,2038,2028,2034,7856,10020.0,5010000.0
2017-11-21,2028,2033,1998,2024,22940,9970.0,5010000.0
2017-11-22,2023,2028,2018,2024,595,9970.0,5010000.0
2017-11-23,2013,2023,2013,2014,20550,9920.0,5010000.0
2017-11-24,2018,2018,1998,1998,30187,9845.0,5010000.0
2017-11-27,2013,2033,2013,2019,5307,9945.0,5010000.0
2017-11-28,2003,2023,2003,2024,14324,9970.0,5010000.0
2017-11-29,2003,2028,2003,2029,15933,9995.0,5010000.0
2017-11-30,2013,2033,2013,2034,16061,10020.0,5010000.0
2017-12-01,2033,2033,2033,2034,48,10020.0,5010000.0
2017-12-04,2003,2003,1983,1998,162607,9845.0,5010000.0
2017-12-05,1993,2013,1993,2014,30403,9920.0,5010000.0
2017-12-06,1993,2013,1993,2014,5637,9920.0,5010000.0
2017-12-07,2018,2018,2018,2019,6789,9945.0,5010000.0
2017-12-08,2023,2059,1988,2003,14117,9870.0,5010000.0
2017-12-11,2003,2028,2003,2003,7394,9870.0,5010000.0
2017-12-12,2028,2028,2013,2024,9560,9970.0,5010000.0
2017-12-13,2023,2023,2023,2024,7575,9970.0,5010000.0
2017-12-14,2023,2023,2018,2019,210,9945.0,5010000.0
2017-12-15,2018,2028,1993,1993,5851,9820.0,5010000.0
2017-12-18,1988,1998,1988,1998,23960,9845.0,5010000.0
2017-12-19,2003,2028,2003,2029,12242,9995.0,5010000.0
2017-12-20,2028,2028,2013,2019,6351,9945.0,5010000.0
2017-12-21,1993,2018,1993,2003,7603,9870.0,5010000.0
2017-12-22,1993,2003,1993,2003,4374,9870.0,5010000.0
2017-12-26,2008,2008,2008,2008,0,9895.0,5010000.0
2017-12-27,2008,2008,2008,2008,0,9895.0,5010000.0
2017-12-28,2008,2008,2008,2008,0,,
2018-01-02,2003,2008,2003,2003,354,9870.0,5010000.0
2018-01-03,2003,2003,2003,2003,0,9870.0,5010000.0
2018-01-04,2003,2018,2003,2014,3895,9920.0,5010000.0
2018-01-05,2013,2023,2013,2024,4126,9970.0,5010000.0
2018-01-08,2023,2023,2013,2014,8841,9920.0,5010000.0
2018-01-09,2018,2028,2018,2024,5064,9970.0,5010000.0
2018-01-10,2013,2028,2013,2029,2579,9995.0,5010000.0
2018-01-11,1993,2033,1993,2014,4070,9920.0,5010000.0
2018-01-12,2013,2013,2013,2014,0,9920.0,5010000.0
2018-01-15,2013,2028,2013,2029,3125,9995.0,5010000.0
2018-01-16,2028,2028,2023,2029,4173,9995.0,5010000.0
2018-01-17,2008,2033,2008,2034,7893,10020.0,5010000.0
2018-01-18,2008,2013,2008,2014,16536,9920.0,5010000.0
2018-01-19,2013,2013,2013,2014,1112,9920.0,5010000.0
2018-01-22,2003,2033,2003,2008,2280,9895.0,5010000.0
2018-01-23,2008,2008,2003,2003,5280,9870.0,5010000.0
2018-01-24,2013,2018,2013,2014,1960,9920.0,5010000.0
2018-01-25,2013,2013,2013,2014,1069,9920.0,5010000.0
2018-01-26,2013,2023,2013,2024,3130,9970.0,5010000.0
2018-01-29,2023,2023,2013,2019,5825,9945.0,5010000.0
2018-01-30,2018,2018,2018,2019,1710,9945.0,5010000.0
2018-01-31,2023,2033,2023,2034,3095,10020.0,5010000.0
2018-02-01,2033,2033,2028,2029,7328,9995.0,5010000.0
2018-02-02,2044,2044,2028,2029,1893,9995.0,5010000.0
2018-02-05,2028,2028,2028,2029,1199,9995.0,5010000.0
2018-02-06,2028,2028,2028,2029,0,9995.0,5010000.0
2018-02-07,2033,2038,2033,2039,2576,10045.0,5010000.0
2018-02-08,2033,2038,2033,2039,6302,10045.0,5010000.0
2018-02-09,2038,2038,2038,2039,1101,10045.0,5010000.0
2018-02-12,2033,2049,2033,2049,4951,10095.0,5010000.0
2018-02-13,2033,2044,2033,2044,1212,10070.0,5010000.0
2018-02-14,2044,2044,2033,2034,77,10020.0,5010000.0
2018-02-19,2033,2033,2033,2034,106,10020.0,5010000.0
2018-02-20,2033,2033,2028,2029,4924,9995.0,5010000.0
2018-02-21,2028,2044,2028,2044,616,10070.0,5010000.0
2018-02-22,2023,2033,2023,2024,12367,9970.0,5010000.0
2018-02-23,2038,2038,2038,2039,215,10045.0,5010000.0
2018-02-26,2038,2038,2028,2029,281,9995.0,5010000.0
2018-02-27,2028,2028,2028,2029,1,9995.0,5010000.0
2018-02-28,2028,2033,2028,2034,620,10020.0,5010000.0
2018-03-02,2033,2033,2033,2034,0,10020.0,5010000.0
2018-03-05,2038,2038,2038,2039,603,10045.0,5010000.0
2018-03-06,2033,2038,2033,2039,20855,10045.0,5010000.0
2018-03-07,2033,2038,2033,2034,784,10020.0,5010000.0
2018-03-08,2033,2033,2033,2034,764,10020.0,5010000.0
2018-03-09,2038,2038,2038,2039,0,10045.0,5010000.0
2018-03-12,2033,2044,2018,2044,12067,10070.0,5010000.0
2018-03-13,2028,2038,2023,2039,20177,10045.0,5010000.0
2018-03-14,2028,2044,2028,2044,3322,10070.0,5010000.0
2018-03-15,2044,2044,2044,2044,16,10070.0,5010000.0
2018-03-16,2044,2049,2044,2049,3048,10095.0,5010000.0
2018-03-19,2069,2069,2069,2069,333,10195.0,5010000.0
2018-03-20,2064,2064,2064,2064,800,10170.0,5010000.0
2018-03-21,2033,2059,2033,2034,4278,10020.0,5010000.0
2018-03-22,2033,2038,2033,2039,9850,10045.0,5010000.0
2018-03-23,2038,2038,2038,2039,0,,
2018-03-26,2038,2038,2038,2039,0,,
2018-03-27,2044,2044,2044,2044,0,10070.0,5010000.0
2018-03-28,2033,2038,2033,2039,5377,10045.0,5010000.0
2018-03-29,2038,2038,2038,2039,0,,
2018-03-30,2038,2038,2038,2039,0,,
2018-04-02,2038,2038,2033,2039,4201,10045.0,5010000.0
2018-04-03,2044,2079,2044,2080,1148,10245.0,5010000.0
2018-04-04,2079,2079,2038,2069,2984,10195.0,5010000.0
2018-04-05,2064,2074,2059,2064,486,10170.0,5010000.0
2018-04-06,2049,2049,2033,2039,964,10045.0,5010000.0
2018-04-09,2033,2069,2033,2044,1056,10070.0,5010000.0
2018-04-10,2038,2069,2033,2039,3594,10045.0,5010000.0
2018-04-11,2038,2069,2038,2039,1145,10045.0,5010000.0
2018-04-12,2038,2059,2033,2059,582,10145.0,5010000.0
2018-04-13,2054,2059,2028,2059,12617,10145.0,5010000.0
2018-04-16,2044,2064,2033,2034,1188,10020.0,5010000.0
2018-04-17,2033,2049,2028,2049,6796,10095.0,5010000.0
2018-04-18,2028,2049,2028,2049,1978,10095.0,5010000.0
2018-04-19,2028,2033,2028,2029,2875,9995.0,5010000.0
2018-04-20,2023,2023,2018,2024,4701,9970.0,5010000.0
2018-04-23,2033,2033,2023,2024,806,9970.0,5010000.0
2018-04-24,2028,2033,2028,2034,1444,10020.0,5010000.0
2018-04-25,2033,2038,2028,2034,1288,10020.0,5010000.0
2018-04-26,2033,2044,2033,2044,1027,10070.0,5010000.0
2018-04-27,2038,2038,2038,2039,765,10045.0,5010000.0
2018-04-30,2033,2033,2028,2034,10442,10020.0,5010000.0
2018-05-02,2033,2044,2033,2034,3072,10020.0,5010000.0
2018-05-03,2033,2038,2033,2034,890,10020.0,5010000.0
2018-05-04,2033,2044,2033,2034,5123,10020.0,5010000.0
2018-05-08,2033,2033,2028,2034,19165,10020.0,5010000.0
2018-05-09,2028,2033,2028,2034,10863,10020.0,5010000.0
2018-05-10,2033,2044,2028,2044,1373,10070.0,5010000.0
2018-05-11,2044,2044,2028,2044,2017,10070.0,5010000.0
2018-05-14,2044,2044,2044,2044,13,10070.0,5010000.0
2018-05-15,2044,2044,2028,2044,1744,10070.0,5010000.0
2018-05-16,2044,2049,2044,2044,633,10070.0,5010000.0
2018-05-17,2033,2049,2033,2049,1128,10095.0,5010000.0
2018-05-18,2049,2049,2028,2049,1231,10095.0,5010000.0
2018-05-21,2049,2049,2044,2044,8072,10070.0,5010000.0
2018-05-23,2049,2049,2044,2044,56,10070.0,5010000.0
2018-05-24,2049,2059,2033,2034,28895,10020.0,5010000.0
2018-05-25,2033,2033,2033,2034,5000,10020.0,5010000.0
2018-05-28,2038,2054,2038,2054,1531,10120.0,5010000.0
2018-05-29,2044,2079,2044,2054,7770,10120.0,5010000.0
2018-05-30,2054,2064,2054,2059,378,10145.0,5010000.0
2018-05-31,2064,2064,2059,2064,370,10170.0,5010000.0
2018-06-01,2064,2094,2064,2075,5717,10220.0,5010000.0
2018-06-04,2054,2115,2054,2085,664,10270.0,5010000.0
2018-06-05,2084,2105,2084,2085,3749,10270.0,5010000.0
2018-06-07,2084,2125,2084,2115,9047,10421.0,5010000.0
2018-06-08,2084,2115,2084,2115,13,10421.0,5010000.0
2018-06-11,2115,2115,2089,2110,19357,10396.0,5010000.0
2018-06-12,2054,2079,2054,2080,7358,10245.0,5010000.0
2018-06-14,2079,2094,2074,2095,18634,10321.0,5010000.0
2018-06-15,2094,2110,2094,2105,2210,10371.0,5010000.0
2018-06-18,2105,2105,2084,2085,2351,10270.0,5010000.0
2018-06-19,2084,2084,2084,2085,2228,10270.0,5010000.0
2018-06-20,2084,2084,2084,2085,1500,10270.0,5010000.0
2018-06-21,2084,2084,2084,2085,1,10270.0,5010000.0
2018-06-22,2084,2084,2084,2085,0,10270.0,5010000.0
2018-06-25,2089,2089,2089,2090,0,10296.0,5010000.0
2018-06-26,2079,2079,2079,2080,200,10245.0,5010000.0
2018-06-27,2079,2084,2079,2080,17198,10245.0,5010000.0
2018-06-28,2079,2079,2079,2080,0,10245.0,5010000.0
2018-06-29,2084,2084,2084,2085,28,10270.0,5010000.0
2018-07-02,2084,2084,2084,2085,73,10270.0,5010000.0
2018-07-03,2089,2089,2089,2090,0,,
2018-07-04,2094,2094,2089,2090,1001,10296.0,5010000.0
2018-07-05,2094,2110,2094,2100,1861,10346.0,5010000.0
2018-07-06,2100,2100,2100,2100,1165,10346.0,5010000.0
2018-07-09,2099,2125,2099,2125,1095,10471.0,5010000.0
2018-07-10,2110,2125,2105,2125,3682,10471.0,5010000.0
2018-07-11,2130,2130,2125,2125,1124,10471.0,5010000.0
2018-07-12,2125,2125,2125,2125,27,10471.0,5010000.0
2018-07-13,2105,2105,2105,2105,2535,10371.0,5010000.0
2018-07-16,2100,2100,2100,2100,2932,10346.0,5010000.0
2018-07-17,2094,2100,2094,2100,550,10346.0,5010000.0
2018-07-18,2094,2094,2094,2095,501,10321.0,5010000.0
2018-07-19,2089,2094,2089,2090,451,10296.0,5010000.0
2018-07-20,2089,2125,2089,2090,546,10296.0,5010000.0
2018-07-23,2089,2089,2089,2090,501,10296.0,5010000.0
2018-07-24,2089,2089,2089,2090,501,,
2018-07-25,2084,2089,2084,2090,999,10296.0,5010000.0
2018-07-26,2084,2125,2084,2125,321,10471.0,5010000.0
2018-07-27,2084,2125,2084,2125,5029,10471.0,5010000.0
2018-07-30,2084,2084,2084,2085,10000,10270.0,5010000.0
2018-07-31,2084,2084,2084,2085,300,10270.0,5010000.0
2018-08-01,2084,2120,2084,2085,521,10270.0,5010000.0
2018-08-02,2084,2084,2084,2085,2241,10270.0,5010000.0
2018-08-03,2125,2125,2125,2125,1,10471.0,5010000.0
2018-08-06,2084,2125,2084,2090,506,10296.0,5010000.0
2018-08-07,2084,2089,2084,2085,4304,10270.0,5010000.0
2018-08-08,2125,2125,2125,2125,1,,
2018-08-09,2125,2125,2089,2090,5328,10296.0,5010000.0
2018-08-10,2094,2094,2094,2095,0,10321.0,5010000.0
2018-08-13,2089,2089,2084,2085,3000,10270.0,5010000.0
2018-08-14,2125,2125,2115,2120,3430,10446.0,5010000.0
2018-08-16,2084,2084,2084,2085,5,10270.0,5010000.0
2018-08-17,2089,2120,2089,2090,248,10296.0,5010000.0
2018-08-20,2089,2089,2089,2090,1,10296.0,5010000.0
2018-08-21,2089,2089,2089,2090,0,10296.0,5010000.0
2018-08-22,2089,2120,2089,2090,2530,10296.0,5010000.0
2018-08-23,2084,2084,2084,2085,8144,10270.0,5010000.0
2018-08-24,2084,2084,2084,2085,0,,
2018-08-27,2084,2120,2084,2120,221,10446.0,5010000.0
2018-08-28,2120,2125,2100,2100,1021,10346.0,5010000.0
2018-08-29,2100,2130,2100,2120,2514,10446.0,5010000.0
2018-08-30,2130,2130,2115,2120,11631,10446.0,5010000.0
2018-08-31,2120,2120,2110,2110,587,10396.0,5010000.0
2018-09-03,2100,2110,2100,2105,883,10371.0,5010000.0
