바이온(032980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,69585,69585,69585,69577,0,2100.0,400000.0
1999-01-05,72890,72890,72890,72890,100,2200.0,400000.0
1999-01-06,71572,71572,71572,71565,400,2160.0,400000.0
1999-01-07,75539,75539,75539,75541,20,2280.0,400000.0
1999-01-08,84163,84163,84163,84155,10,2540.0,400000.0
1999-01-11,84167,92778,84167,92769,60,2800.0,400000.0
1999-01-12,81640,103909,81640,103902,11420,3136.0,400000.0
1999-01-13,91442,91442,91442,91444,1000,2760.0,400000.0
1999-01-14,100728,100728,80584,80577,15020,2432.0,400000.0
1999-01-15,90119,90119,75539,75541,13780,2280.0,400000.0
1999-01-18,84551,84551,84551,84553,7950,2552.0,400000.0
1999-01-19,94623,94623,94623,94625,21310,2856.0,400000.0
1999-01-20,105898,105898,105898,105889,6070,3196.0,400000.0
1999-01-21,118491,118491,96755,117950,31060,3560.0,400000.0
1999-01-22,119287,119287,117957,117950,2250,3560.0,400000.0
1999-01-25,116500,116500,103909,103902,2510,3136.0,400000.0
1999-01-26,103371,103371,103371,103371,0,3120.0,400000.0
1999-01-27,103371,106022,103371,106022,60,3200.0,400000.0
1999-01-28,105899,118752,105365,118745,34680,3584.0,400000.0
1999-01-29,131204,131204,119283,131070,85900,3956.0,400000.0
1999-02-01,136501,146441,136501,146443,172630,4420.0,400000.0
1999-02-02,158370,163010,129880,153732,200340,4640.0,400000.0
1999-02-03,145779,153729,135839,135841,7450,4100.0,400000.0
1999-02-04,125907,132537,119946,119937,14750,3620.0,400000.0
1999-02-05,119943,133854,106023,119275,39530,3600.0,400000.0
1999-02-08,119283,119283,104965,106685,29800,3220.0,400000.0
1999-02-09,108152,108676,107220,107347,7280,3240.0,400000.0
1999-02-10,95425,107356,95425,107347,13600,3240.0,400000.0
1999-02-11,120204,120204,106022,106022,22050,3200.0,400000.0
1999-02-12,118612,118612,118612,118612,20,3580.0,400000.0
1999-02-18,118346,118346,117550,117552,2000,3548.0,400000.0
1999-02-19,115307,115307,115307,115299,0,3480.0,400000.0
1999-02-22,102049,106020,101516,101516,9030,3064.0,400000.0
1999-02-23,112648,112648,90118,108010,17780,3260.0,400000.0
1999-02-24,95159,106022,95159,106022,6600,3200.0,400000.0
1999-02-25,105368,105368,105368,105359,0,3180.0,400000.0
1999-02-26,92771,105361,92771,105227,11200,3176.0,400000.0
1999-03-02,111993,111993,111993,111986,90,3380.0,400000.0
1999-03-03,108671,108671,108671,108673,0,3280.0,400000.0
1999-03-04,105898,105898,105898,105889,0,3196.0,400000.0
1999-03-05,105225,105225,105225,105227,0,3176.0,400000.0
1999-03-08,106022,106022,106022,106022,100,3200.0,400000.0
1999-03-09,104704,104704,104704,104697,0,3160.0,400000.0
1999-03-10,112656,112656,106026,107347,920,3240.0,400000.0
1999-03-11,106022,106022,106022,106022,10000,3200.0,400000.0
1999-03-12,93434,104704,93434,104697,10720,3160.0,400000.0
1999-03-15,99401,108672,99401,106022,14690,3200.0,400000.0
1999-03-16,106022,111323,106022,111323,11260,3360.0,400000.0
1999-03-17,106024,112519,106024,111191,15000,3356.0,400000.0
1999-03-18,110003,118487,110003,118480,3200,3576.0,400000.0
1999-03-19,111323,111323,111323,111323,1240,3360.0,400000.0
1999-03-22,106022,106022,106022,106022,0,3200.0,400000.0
1999-03-23,99403,99403,99403,99396,0,3000.0,400000.0
1999-03-24,88929,88929,88793,88793,2100,2680.0,400000.0
1999-03-25,91439,95418,88789,95420,28710,2880.0,400000.0
1999-03-26,95557,106022,95557,106022,26800,3200.0,400000.0
1999-03-29,116624,118614,100723,116624,22870,3520.0,400000.0
1999-03-30,110802,130547,103376,130540,52910,3940.0,400000.0
1999-03-31,145778,145778,143128,143130,28300,4320.0,400000.0
1999-04-01,133856,133856,131205,132528,6010,4000.0,400000.0
1999-04-02,132535,132535,119284,132528,5680,4000.0,400000.0
1999-04-06,132533,132533,119282,119275,13000,3600.0,400000.0
1999-04-07,119282,119282,106023,119275,1020,3600.0,400000.0
1999-04-08,119282,119282,119282,119275,0,3600.0,400000.0
1999-04-09,119282,119282,119282,119275,0,,
1999-04-12,106026,110005,106026,109998,4420,3320.0,400000.0
1999-04-13,96881,110005,96881,109998,7320,3320.0,400000.0
1999-04-14,111323,123118,111323,123118,31970,3716.0,400000.0
1999-04-15,123120,137836,123120,137829,5010,4160.0,400000.0
1999-04-16,123254,129884,123254,124576,20710,3760.0,400000.0
1999-04-19,112790,139156,110402,132528,3310,4000.0,400000.0
1999-04-20,125907,131877,121267,130540,29100,3940.0,400000.0
1999-04-21,124585,130545,124585,127226,24560,3840.0,400000.0
1999-04-22,125767,127232,124582,125769,16410,3796.0,400000.0
1999-04-23,124580,127230,121930,125901,3970,3800.0,400000.0
1999-04-26,121934,129885,121934,129877,1020,3920.0,400000.0
1999-04-27,125901,132530,125901,125901,12110,3800.0,400000.0
1999-04-28,125901,129880,125901,125901,9380,3800.0,400000.0
1999-04-29,119407,131201,119407,125901,29430,3800.0,400000.0
1999-04-30,131205,131205,123255,129877,10060,3920.0,400000.0
1999-05-03,120604,145125,120604,145118,74270,4380.0,400000.0
1999-05-04,162355,162355,159035,162346,107080,4900.0,400000.0
1999-05-06,181561,181561,181561,181563,29270,5480.0,400000.0
1999-05-07,202776,202776,202776,202767,109200,6120.0,400000.0
1999-05-10,225301,225301,205421,206743,34000,6240.0,400000.0
1999-05-11,206749,206749,188198,188189,27700,5680.0,400000.0
1999-05-12,184215,194824,176264,194815,66800,5880.0,400000.0
1999-05-13,202099,218008,185538,216020,53780,6520.0,400000.0
1999-05-14,225298,238548,210718,238550,78130,7200.0,400000.0
1999-05-17,245183,245183,212043,214695,61820,6480.0,400000.0
1999-05-18,214705,214705,192175,205418,45920,6200.0,400000.0
1999-05-19,205424,229944,205424,225297,45020,6800.0,400000.0
1999-05-20,251802,251802,238551,251802,66470,7600.0,400000.0
1999-05-21,265060,281621,265060,281621,117380,8500.0,400000.0
1999-05-24,315423,315423,303493,315416,31630,9520.0,400000.0
1999-05-25,353193,353193,352524,353186,26660,10660.0,400000.0
1999-05-26,394933,394933,353192,377703,85260,11400.0,400000.0
1999-05-27,357832,408192,357832,408185,88540,12320.0,400000.0
