파크시스템스(140860),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-12-17,11000,11500,8620,8660,2423547,51364.0,5931155.0
2015-12-18,8540,8580,7690,7770,955209,46085.0,5931155.0
2015-12-21,7760,7930,7300,7880,371341,46738.0,5931155.0
2015-12-22,7740,7800,7450,7500,278750,44484.0,5931155.0
2015-12-23,7530,7980,7420,7860,299622,46619.0,5931155.0
2015-12-24,7950,9450,7870,8570,1209115,50830.0,5931155.0
2015-12-28,8450,8550,8000,8100,153467,48042.0,5931155.0
2015-12-29,8050,8650,8050,8470,122166,50237.0,5931155.0
2015-12-30,8470,9210,8450,9000,254841,57880.0,6431155.0
2016-01-04,9050,10350,8940,9300,463898,59810.0,6431155.0
2016-01-05,9290,9680,9120,9400,167092,60453.0,6431155.0
2016-01-06,9500,11000,9500,10200,662898,65598.0,6431155.0
2016-01-07,10150,10400,9730,9990,164200,64247.0,6431155.0
2016-01-08,10500,10900,9800,10100,484592,64955.0,6431155.0
2016-01-11,9810,9950,9100,9710,231016,62447.0,6431155.0
2016-01-12,9700,9770,9310,9470,83892,60903.0,6431155.0
2016-01-13,9500,10150,9500,10000,151767,64312.0,6431155.0
2016-01-14,9840,9980,9560,9800,76160,63025.0,6431155.0
2016-01-15,9800,12100,9800,10950,1026031,70421.0,6431155.0
2016-01-18,10900,11400,10200,11300,480278,72672.0,6431155.0
2016-01-19,11300,11400,10800,10800,229129,69456.0,6431155.0
2016-01-20,10800,11000,10050,10300,202017,66241.0,6431155.0
2016-01-21,10400,11250,9920,10300,251651,66241.0,6431155.0
2016-01-22,10400,11000,10400,10800,234749,70075.0,6488455.0
2016-01-25,10900,11450,10900,11300,374782,73320.0,6488455.0
2016-01-26,11250,11700,11000,11300,334306,73320.0,6488455.0
2016-01-27,11350,12150,11250,12000,470510,77861.0,6488455.0
2016-01-28,11900,12600,11800,12150,215689,78835.0,6488455.0
2016-01-29,12150,12350,11600,12000,122624,77861.0,6488455.0
2016-02-01,12000,12200,11350,12150,138805,78835.0,6488455.0
2016-02-02,12100,12200,11550,11700,86731,75973.0,6493455.0
2016-02-03,11600,11700,11200,11550,86842,74999.0,6493455.0
2016-02-04,11400,11700,11150,11350,78587,73701.0,6493455.0
2016-02-05,11350,12100,11100,12100,189458,78571.0,6493455.0
2016-02-11,11800,12250,11500,11600,142487,75324.0,6493455.0
2016-02-12,11400,11450,9980,10500,408056,68181.0,6493455.0
2016-02-15,10600,11000,10150,10750,92163,69805.0,6493455.0
2016-02-16,10900,11100,10500,10800,53348,70129.0,6493455.0
2016-02-17,10800,10850,10300,10300,80866,66883.0,6493455.0
2016-02-18,10400,11050,10300,10750,88891,69805.0,6493455.0
2016-02-19,10900,11200,10650,11000,83456,71428.0,6493455.0
2016-02-22,11000,11100,10700,10900,62071,70779.0,6493455.0
2016-02-23,10950,10950,10550,10700,48501,69480.0,6493455.0
2016-02-24,10600,10950,10550,10950,58208,71103.0,6493455.0
2016-02-25,10900,11000,10600,10700,52302,69480.0,6493455.0
2016-02-26,10700,11500,10700,11200,236755,72727.0,6493455.0
2016-02-29,11300,11450,11100,11250,107234,73051.0,6493455.0
2016-03-02,11500,11500,11050,11100,95647,72077.0,6493455.0
2016-03-03,11200,11650,11200,11300,200840,73376.0,6493455.0
2016-03-04,11450,11650,11100,11300,96781,73376.0,6493455.0
2016-03-07,11200,11500,11100,11350,72440,73701.0,6493455.0
2016-03-08,11300,11800,11300,11550,89707,74999.0,6493455.0
2016-03-09,11550,12550,11550,12000,272703,77921.0,6493455.0
2016-03-10,12150,12450,11800,11950,120383,77597.0,6493455.0
2016-03-11,12000,12150,11800,11950,48559,77597.0,6493455.0
2016-03-14,12200,12350,11950,12100,73361,78571.0,6493455.0
2016-03-15,12150,12850,12150,12450,147608,80844.0,6493455.0
2016-03-16,12450,12700,12300,12450,60048,80844.0,6493455.0
2016-03-17,12700,12700,12250,12500,55974,81168.0,6493455.0
2016-03-18,12500,12650,12000,12300,75316,79869.0,6493455.0
2016-03-21,12300,12350,11750,12000,60361,77921.0,6493455.0
2016-03-22,12050,12100,11650,11800,55311,76623.0,6493455.0
2016-03-23,12050,12050,11500,11700,71875,75973.0,6493455.0
2016-03-24,11700,11900,11500,11600,47384,75324.0,6493455.0
2016-03-25,11600,11750,11350,11600,30045,75324.0,6493455.0
2016-03-28,11850,12000,11450,11600,65953,75324.0,6493455.0
2016-03-29,11650,11700,11150,11500,72841,74675.0,6493455.0
2016-03-30,11500,11600,11100,11600,112820,75370.0,6497455.0
2016-03-31,11600,12050,11450,12000,98391,77969.0,6497455.0
2016-04-01,12000,12250,11700,12000,58069,77969.0,6497455.0
2016-04-04,12100,12100,11750,11950,51608,77645.0,6497455.0
2016-04-05,11950,11950,11500,11750,38506,76345.0,6497455.0
2016-04-06,11750,11800,11500,11500,44759,74721.0,6497455.0
2016-04-07,11650,13200,11500,12450,367090,80893.0,6497455.0
2016-04-08,12450,13250,12400,13050,319893,84792.0,6497455.0
2016-04-11,13050,13150,12650,13050,100087,84792.0,6497455.0
2016-04-12,13000,13750,12850,13400,219796,87066.0,6497455.0
2016-04-14,13550,13550,12900,13150,83969,85442.0,6497455.0
2016-04-15,13150,13250,12650,12700,47427,82518.0,6497455.0
2016-04-18,12500,12900,12250,12900,65104,83817.0,6497455.0
2016-04-19,12750,13050,12750,13000,48267,84467.0,6497455.0
2016-04-20,13000,13050,12450,12800,76325,83167.0,6497455.0
2016-04-21,13000,13200,12700,13000,68616,84467.0,6497455.0
2016-04-22,12850,13200,12750,13100,90186,85117.0,6497455.0
2016-04-25,13150,13150,12700,12900,82474,83817.0,6497455.0
2016-04-26,12900,13100,12700,12700,43025,82594.0,6503455.0
2016-04-27,12700,12950,12650,12650,38216,82269.0,6503455.0
2016-04-28,12700,12900,12300,12900,57371,83895.0,6503455.0
2016-04-29,12950,13000,12750,13000,29802,84545.0,6503455.0
2016-05-02,12800,13000,12300,12300,54782,79992.0,6503455.0
2016-05-03,12400,12750,12150,12600,41779,81944.0,6503455.0
2016-05-04,12650,12700,12300,12400,20945,80643.0,6503455.0
2016-05-09,12400,12600,11950,12000,34750,78041.0,6503455.0
2016-05-10,12000,12250,11700,12250,42579,79667.0,6503455.0
2016-05-11,12250,12900,12050,12850,71805,83569.0,6503455.0
2016-05-12,12850,13050,12700,12950,34377,84220.0,6503455.0
2016-05-13,13000,13050,12550,12700,43921,82594.0,6503455.0
2016-05-16,12750,12950,11900,12200,92810,79342.0,6503455.0
