삼보모터스(053700),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-11-06,348706,348706,348706,348684,318349,29632.0,4630000.0
2001-11-07,390087,390087,348692,390090,2086340,33151.0,4630000.0
2001-11-08,390093,429326,365032,369932,711412,31438.0,4630000.0
2001-11-09,370507,381398,354148,362304,430067,30790.0,4630000.0
2001-11-12,321458,362334,321458,329614,228102,28012.0,4630000.0
2001-11-13,332354,344337,327978,334518,193991,28428.0,4630000.0
2001-11-14,337814,374313,337814,374290,497114,31808.0,4630000.0
2001-11-15,381382,381382,340508,359580,341584,30558.0,4630000.0
2001-11-16,370502,371024,349245,363394,216699,30882.0,4630000.0
2001-11-19,365575,392278,359037,364483,228506,30975.0,4630000.0
2001-11-20,365568,370491,345952,353587,113737,30049.0,4630000.0
2001-11-21,349781,368303,339414,360124,285048,30604.0,4630000.0
2001-11-22,350331,369401,350331,365572,444825,31067.0,4630000.0
2001-11-23,369959,409168,362326,374835,1126047,31854.0,4630000.0
2001-11-26,380291,383548,348691,352497,327608,29956.0,4630000.0
2001-11-27,348703,356882,330726,337242,235142,28660.0,4630000.0
2001-11-28,337813,350891,320359,324711,180760,27595.0,4630000.0
2001-11-29,316013,334537,316013,329614,115749,28012.0,4630000.0
2001-11-30,325280,336717,323639,325256,136326,27641.0,4630000.0
2001-12-03,325279,348700,321450,337787,218223,28706.0,4630000.0
2001-12-04,336163,339420,324179,326891,122048,27780.0,4630000.0
2001-12-05,332354,340508,326338,334518,217643,28428.0,4630000.0
2001-12-06,340529,346521,324194,329614,177712,28012.0,4630000.0
2001-12-07,324738,332370,318745,324166,127707,27548.0,4630000.0
2001-12-10,318744,325283,288758,318174,155994,27039.0,4630000.0
2001-12-11,321437,345404,305650,335063,333742,28474.0,4630000.0
2001-12-12,335072,357423,324182,332339,505694,28243.0,4630000.0
2001-12-13,340513,341607,326888,326891,123698,27780.0,4630000.0
2001-12-14,313303,330185,313303,317084,105623,26947.0,4630000.0
2001-12-17,321454,351438,319290,343235,289743,29169.0,4630000.0
2001-12-18,348700,357974,332365,337787,350026,28706.0,4630000.0
2001-12-19,340517,352501,325823,332339,141353,28243.0,4630000.0
2001-12-20,326904,336725,320912,329614,92114,28012.0,4630000.0
2001-12-21,329084,345966,321451,343780,123460,29215.0,4630000.0
2001-12-24,338342,367753,338342,354132,246048,30095.0,4630000.0
2001-12-26,354150,363424,348704,361759,155956,30743.0,4630000.0
2001-12-27,365978,373163,354591,359962,84589,27826.0,4630000.0
2001-12-28,353387,394111,353387,390508,264847,30188.0,4630000.0
2002-01-02,396507,431240,383926,419257,182817,32410.0,4630000.0
2002-01-03,425268,438445,416865,424647,150568,32827.0,4630000.0
2002-01-04,437221,441424,397094,397097,193636,30697.0,4630000.0
2002-01-07,395309,398292,382729,398294,98060,30790.0,4630000.0
2002-01-08,401312,425280,398925,401289,161621,31021.0,4630000.0
2002-01-09,384529,413296,384529,401289,66277,31021.0,4630000.0
2002-01-10,404278,418673,398907,416262,114665,32178.0,4630000.0
2002-01-11,425273,431240,410280,419257,96558,32410.0,4630000.0
2002-01-14,419287,435448,413295,427642,139741,33058.0,4630000.0
2002-01-15,427645,442016,421654,422252,158908,32642.0,4630000.0
2002-01-16,421057,427049,407284,422252,132153,32642.0,4630000.0
2002-01-17,422269,425277,412099,413867,54572,31993.0,4630000.0
2002-01-18,410285,419285,403100,407278,56211,31484.0,4630000.0
2002-01-21,402485,410267,398904,409075,44567,31623.0,4630000.0
2002-01-22,409089,414484,398920,413268,49090,31947.0,4630000.0
2002-01-23,407882,412084,401293,403086,52591,31160.0,4630000.0
2002-01-24,399515,405507,395313,399492,80538,30882.0,4630000.0
2002-01-25,396509,409089,384524,406680,133651,31438.0,4630000.0
2002-01-28,409087,430643,407297,419257,117802,32410.0,4630000.0
2002-01-29,419275,469571,419275,451001,304588,34864.0,4630000.0
2002-01-30,458218,491161,449814,479750,358409,37086.0,4630000.0
2002-01-31,486353,510296,467781,490531,450860,37920.0,4630000.0
2002-02-01,498336,506715,482748,497119,190368,38429.0,4630000.0
2002-02-04,494134,502513,464175,464178,174425,35882.0,4630000.0
2002-02-05,444414,473180,443221,465376,141995,35975.0,4630000.0
2002-02-06,462974,488730,456982,488135,137470,37734.0,4630000.0
2002-02-07,488139,498929,470164,476156,154989,36808.0,4630000.0
2002-02-08,485157,485157,461190,463579,102483,35836.0,4630000.0
2002-02-14,467788,479174,463586,479151,60522,37040.0,4630000.0
2002-02-15,470763,536649,470763,536649,244414,41485.0,4630000.0
2002-02-18,536644,543854,522273,535451,203851,41392.0,4630000.0
2002-02-19,527064,561199,527064,527066,234787,40744.0,4630000.0
2002-02-20,525873,534252,518688,527665,111046,40790.0,4630000.0
2002-02-21,532478,568404,527083,545034,203185,42133.0,4630000.0
2002-02-22,528873,554631,528873,538446,71123,41624.0,4630000.0
2002-02-25,530057,548033,529460,536050,101978,41438.0,4630000.0
2002-02-26,530061,561810,530061,557013,167939,43059.0,4630000.0
2002-02-27,557619,610922,551031,586361,231957,45328.0,4630000.0
2002-02-28,598953,655861,592960,655838,454963,50698.0,4630000.0
2002-03-04,724724,733699,718733,733700,94028,56718.0,4630000.0
2002-03-05,778624,778624,682806,733700,630575,56718.0,4630000.0
2002-03-06,715751,793595,694768,754663,647783,58338.0,4630000.0
2002-03-07,754690,826543,724732,742684,645365,57412.0,4630000.0
2002-03-08,754685,769651,682808,694769,434842,53708.0,4630000.0
2002-03-11,697765,736698,676807,724716,510035,56023.0,4630000.0
2002-03-12,724733,754692,694774,709742,378519,54866.0,4630000.0
2002-03-13,718737,760655,691787,748674,359650,57875.0,4630000.0
2002-03-14,748691,766641,718733,733700,211915,56718.0,4630000.0
2002-03-15,724728,799587,724728,787604,554659,60884.0,4630000.0
2002-03-18,805581,808589,748696,748674,357337,57875.0,4630000.0
2002-03-19,760649,763657,661823,700758,437912,54171.0,4630000.0
2002-03-20,700749,721733,676808,685785,308047,53014.0,4630000.0
2002-03-21,676808,709750,664824,685785,313862,53014.0,4630000.0
2002-03-22,700756,733698,688798,700758,381032,54171.0,4630000.0
2002-03-25,700759,775643,700759,727710,502267,56254.0,4630000.0
2002-03-26,718730,742696,640862,640865,279136,49541.0,4630000.0
2002-03-27,640874,652857,583989,643859,536728,49772.0,4630000.0
2002-03-28,649881,679816,598962,598939,375552,46300.0,4630000.0
2002-03-29,598957,625908,585184,610917,201694,47226.0,4630000.0
2002-04-01,601938,622921,554625,557013,113724,43059.0,4630000.0
2002-04-02,539055,562998,539055,548628,159238,42411.0,4630000.0
2002-04-03,530055,584578,530055,582169,255214,45004.0,4630000.0
2002-04-04,573183,581561,555806,560007,229477,43290.0,4630000.0
2002-04-08,625889,625889,610922,625891,222705,48384.0,4630000.0
2002-04-09,637880,640863,574979,574981,266422,44448.0,4630000.0
2002-04-10,551642,557037,510918,510895,210231,43443.0,5093000.0
2002-04-11,485154,522273,485154,509098,185327,43290.0,5093000.0
2002-04-12,492949,501327,479771,485739,128852,41304.0,5093000.0
2002-04-15,485759,534861,485759,531259,154782,45175.0,5093000.0
2002-04-16,531282,563006,531282,551023,160181,46856.0,5093000.0
2002-04-17,568993,574985,524688,530061,114583,45073.0,5093000.0
2002-04-18,530053,549817,498329,515088,268198,43800.0,5093000.0
2002-04-19,521096,521096,494741,506703,111215,43087.0,5093000.0
2002-04-22,491738,506108,446216,448605,212611,38147.0,5093000.0
2002-04-23,437826,437826,401303,425246,187735,36160.0,5093000.0
2002-04-24,422269,442631,395318,407278,195044,34632.0,5093000.0
2002-04-25,377931,395310,358763,378529,235198,32188.0,5093000.0
2002-04-26,379152,421668,374354,419257,115987,35651.0,5093000.0
2002-04-29,386336,434245,380343,398893,133571,33919.0,5093000.0
2002-04-30,401293,410269,385109,403086,84362,34276.0,5093000.0
2002-05-02,412692,427062,389321,412669,110852,35091.0,5093000.0
2002-05-03,408474,410264,389306,401888,84551,34174.0,5093000.0
2002-05-06,395906,402494,389914,398294,69358,33868.0,5093000.0
2002-05-07,385107,393510,383317,389311,46161,33104.0,5093000.0
2002-05-08,395304,414473,394707,410273,176075,34887.0,5093000.0
2002-05-09,422253,430034,406690,422851,258299,35957.0,5093000.0
2002-05-10,425277,436042,413889,413867,165039,35193.0,5093000.0
2002-05-13,406108,421075,406108,407278,53430,34632.0,5093000.0
2002-05-14,407885,420464,407288,410273,128777,34887.0,5093000.0
2002-05-15,414476,444410,413879,437225,235915,37179.0,5093000.0
2002-05-16,443209,444403,414469,422252,99261,35906.0,5093000.0
2002-05-17,434248,434248,396507,419257,166121,35651.0,5093000.0
2002-05-20,424653,433057,413887,433032,142768,36822.0,5093000.0
2002-05-21,433045,467180,430633,443214,483500,37688.0,5093000.0
2002-05-22,449201,453402,431225,435428,157166,37026.0,5093000.0
2002-05-23,440829,448014,401298,404284,194073,34378.0,5093000.0
2002-05-24,404875,416262,381530,383320,170375,32595.0,5093000.0
2002-05-27,377331,382726,337799,337802,217464,28725.0,5093000.0
2002-05-28,347398,347398,306673,318036,235765,27044.0,5093000.0
2002-05-29,329432,329432,312052,320432,143269,27248.0,5093000.0
2002-05-30,312049,326445,294099,326422,193426,27757.0,5093000.0
2002-05-31,330628,341418,314466,321031,125220,27298.0,5093000.0
2002-06-03,317450,326451,313273,314443,49845,26738.0,5093000.0
2002-06-04,300081,311443,298266,303662,66354,25822.0,5093000.0
2002-06-05,303681,318052,303681,309052,89634,26280.0,5093000.0
2002-06-07,305465,306683,286295,287491,80474,24446.0,5093000.0
2002-06-10,291694,321654,291694,321630,147668,27349.0,5093000.0
2002-06-11,329425,329425,314457,325822,77660,27706.0,5093000.0
2002-06-12,326445,359387,320453,359363,106095,30558.0,5093000.0
2002-06-14,348606,370161,348606,355171,91887,30201.0,5093000.0
2002-06-17,350376,366560,350376,362957,48338,30864.0,5093000.0
2002-06-18,368364,374356,362969,373139,61233,31729.0,5093000.0
2002-06-19,365973,370747,329426,365352,58124,31067.0,5093000.0
2002-06-20,348585,357560,331206,349780,24177,29743.0,5093000.0
2002-06-21,335408,362955,335408,349780,104842,29743.0,5093000.0
2002-06-24,347408,367771,335424,340796,188026,28979.0,5093000.0
2002-06-25,341408,352175,305458,305459,68481,25974.0,5093000.0
2002-06-26,290502,298284,268946,275512,86670,23428.0,5093000.0
2002-06-27,281521,287513,273118,287491,94787,24446.0,5093000.0
2002-06-28,288711,308478,288711,301865,56515,25669.0,5093000.0
2002-07-02,291088,305458,278507,305459,36799,25974.0,5093000.0
2002-07-03,298860,309651,296474,309651,31886,26331.0,5093000.0
2002-07-04,311447,341406,311447,338401,76684,28775.0,5093000.0
2002-07-05,350376,364149,334215,356369,115466,30303.0,5093000.0
2002-07-08,368362,382136,344395,359363,80294,30558.0,5093000.0
2002-07-09,359385,370747,334224,365352,83441,31067.0,5093000.0
2002-07-10,368350,368947,356368,356369,57697,30303.0,5093000.0
2002-07-11,353381,353381,336002,336005,56954,28572.0,5093000.0
2002-07-12,349800,349800,323444,335406,62536,28521.0,5093000.0
2002-07-15,323424,336600,320440,322828,45576,27451.0,5093000.0
2002-07-16,306047,324619,301871,303662,67342,25822.0,5093000.0
2002-07-18,305458,315054,302474,305459,23949,25974.0,5093000.0
2002-07-19,293494,301872,287502,291084,40234,24752.0,5093000.0
2002-07-22,282700,286280,269522,270122,44098,22969.0,5093000.0
2002-07-23,258747,287513,258150,287491,91601,24446.0,5093000.0
2002-07-24,274342,279712,259946,268924,41517,22868.0,5093000.0
2002-07-25,287500,287500,267735,270721,83888,23020.0,5093000.0
2002-07-26,263540,275523,263540,272517,19734,23173.0,5093000.0
2002-07-29,272524,286919,260564,261137,28947,22205.0,5093000.0
2002-07-30,267146,274928,264735,265928,16021,22613.0,5093000.0
2002-07-31,264147,269544,264147,268924,14778,22868.0,5093000.0
2002-08-01,268940,273738,261158,267127,15044,22715.0,5093000.0
2002-08-02,263542,266525,251557,252752,12205,21492.0,5093000.0
2002-08-05,251555,256951,239572,245565,16105,20881.0,5093000.0
2002-08-06,243193,250976,239587,243169,8966,20678.0,5093000.0
2002-08-07,245577,253360,245577,249158,22064,21187.0,5093000.0
2002-08-08,251564,255766,244976,254549,24765,21645.0,5093000.0
2002-08-09,258147,266525,252154,252752,268832,21492.0,5093000.0
2002-08-12,252756,273741,252756,267726,30269,22766.0,5093000.0
2002-08-13,269527,280914,264132,271320,11564,23071.0,5093000.0
2002-08-14,271315,279694,264130,270721,44845,23020.0,5093000.0
2002-08-16,287508,303071,275523,298870,142150,25414.0,5093000.0
2002-08-19,298862,323426,298862,316838,107081,26942.0,5093000.0
2002-08-20,317447,329432,317447,320432,53127,27248.0,5093000.0
2002-08-21,305455,314456,303068,311448,36057,26484.0,5093000.0
2002-08-22,311459,319241,302483,307854,62165,26178.0,5093000.0
2002-08-23,300092,308471,288704,306656,68048,26076.0,5093000.0
2002-08-26,300687,303670,294098,299469,12237,25465.0,5093000.0
2002-08-27,302484,315064,300694,301266,48191,25618.0,5093000.0
2002-08-28,296474,303658,287499,296475,31921,25210.0,5093000.0
2002-08-29,298872,299469,288703,299469,17932,25465.0,5093000.0
2002-08-30,299469,308468,299469,299469,30032,25465.0,5093000.0
2002-09-02,299464,317439,293497,311448,75425,26484.0,5093000.0
2002-09-03,309056,325216,309056,310250,57504,26382.0,5093000.0
2002-09-04,301294,311463,300101,309052,46555,26280.0,5093000.0
2002-09-05,325813,328821,312040,323426,104935,27502.0,5093000.0
2002-09-06,325234,361782,323444,361759,190104,30762.0,5093000.0
2002-09-09,374346,389314,334219,344390,219520,29285.0,5093000.0
2002-09-10,355193,370758,335428,368347,218886,31322.0,5093000.0
2002-09-11,372558,373751,324624,324624,158705,27604.0,5093000.0
2002-09-12,310253,323431,285690,311448,162256,26484.0,5093000.0
2002-09-13,287506,317440,287506,298271,49590,25363.0,5093000.0
2002-09-16,292285,311454,285696,293480,71532,24956.0,5093000.0
2002-09-17,290484,305451,290484,297074,52023,25261.0,5093000.0
2002-09-18,287521,293513,275537,282699,39219,24039.0,5093000.0
2002-09-19,275530,296489,270731,287491,52169,24446.0,5093000.0
2002-09-23,293511,293511,275535,275512,29708,23428.0,5093000.0
2002-09-24,250360,272512,250360,251554,68622,21391.0,5093000.0
2002-09-25,240168,260556,227613,232388,49628,19761.0,5093000.0
2002-09-26,235399,243778,233584,233586,44831,19863.0,5093000.0
2002-09-27,234803,241391,229408,233586,50176,19863.0,5093000.0
2002-09-30,224017,230009,216832,221608,20970,18844.0,5093000.0
2002-10-01,213229,228818,213229,215618,15369,18335.0,5093000.0
