윈하이텍(192390),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-07-25,8902,10208,8902,10208,1052975,100655.0,6600300.0
2014-07-28,10676,10844,8702,10041,2468046,99004.0,6600300.0
2014-07-29,9973,10275,9404,9438,665549,93064.0,6600300.0
2014-07-30,9973,10040,8066,8367,666070,82504.0,6600300.0
2014-07-31,8300,9304,7798,9171,637998,90424.0,6600300.0
2014-08-01,8735,9103,8400,8769,660134,86464.0,6600300.0
2014-08-04,9003,9572,8902,8970,480413,88444.0,6600300.0
2014-08-05,9070,9304,8367,8367,421952,82504.0,6600300.0
2014-08-06,8333,8835,8166,8669,156803,85474.0,6600300.0
2014-08-07,8902,8936,8400,8401,82281,82834.0,6600300.0
2014-08-08,8300,8501,7798,8167,99436,80524.0,6600300.0
2014-08-11,8066,8099,7396,7397,333559,72933.0,6600300.0
2014-08-12,7363,7631,6861,7263,175820,71613.0,6600300.0
2014-08-13,7262,7329,6995,7062,78779,69633.0,6600300.0
2014-08-14,7162,7363,6600,6620,150543,65277.0,6600300.0
2014-08-18,6693,6995,6613,6995,108802,68973.0,6600300.0
2014-08-19,6995,7296,6928,7129,79970,70293.0,6600300.0
2014-08-20,7062,7262,7062,7162,30995,70623.0,6600300.0
2014-08-21,7162,7195,6827,6928,58762,68313.0,6600300.0
2014-08-22,6961,7697,6894,7196,105662,70953.0,6600300.0
2014-08-25,6693,6894,6620,6761,790889,66663.0,6600300.0
2014-08-26,6794,7363,6727,7029,400176,69303.0,6600300.0
2014-08-27,7128,7128,6827,6928,117699,68313.0,6600300.0
2014-08-28,6928,7262,6894,7062,227797,69633.0,6600300.0
2014-08-29,7162,7329,7028,7096,253297,69963.0,6600300.0
2014-09-01,7095,7262,6995,6995,167372,68973.0,6600300.0
2014-09-02,7028,7396,6894,7296,289699,71943.0,6600300.0
2014-09-03,7296,7430,7195,7397,147926,72933.0,6600300.0
2014-09-04,7430,7463,7128,7397,198252,72933.0,6600300.0
2014-09-05,7363,7430,6861,7229,135046,71283.0,6600300.0
2014-09-11,7128,7329,7128,7263,47985,71613.0,6600300.0
2014-09-12,7363,7363,7028,7162,47591,70623.0,6600300.0
2014-09-15,7162,7162,6861,6861,68184,67653.0,6600300.0
2014-09-16,6961,7262,6861,7029,119268,69303.0,6600300.0
2014-09-17,7095,7430,7095,7096,179069,69963.0,6600300.0
2014-09-18,7430,7597,7229,7263,227293,71613.0,6600300.0
2014-09-19,7430,7564,7363,7497,185730,73923.0,6600300.0
2014-09-22,7430,7497,7262,7263,75766,71613.0,6600300.0
2014-09-23,7363,7363,7062,7196,77096,70953.0,6600300.0
2014-09-24,7128,7430,7062,7430,114622,73263.0,6600300.0
2014-09-25,7497,7497,7162,7330,97977,72273.0,6600300.0
2014-09-26,7195,7396,7028,7363,158357,72603.0,6600300.0
2014-09-29,7296,7363,6727,6794,232898,66993.0,6600300.0
2014-09-30,6794,6928,6144,6192,466101,61053.0,6600300.0
2014-10-01,6118,6232,5937,5944,138090,58611.0,6600300.0
2014-10-02,5957,6124,5803,6112,88074,60261.0,6600300.0
2014-10-06,6044,6131,5596,5636,195069,55575.0,6600300.0
2014-10-07,5649,5736,5388,5522,119790,54452.0,6600300.0
2014-10-08,5509,5656,5415,5623,54164,55443.0,6600300.0
2014-10-10,5562,5562,5355,5435,59200,53594.0,6600300.0
2014-10-13,5422,5422,4966,5255,248770,51812.0,6600300.0
2014-10-14,5174,5488,5174,5462,50395,53858.0,6600300.0
2014-10-15,5455,5656,5261,5489,60014,54122.0,6600300.0
2014-10-16,5428,5683,5361,5623,50520,55443.0,6600300.0
2014-10-17,5622,5810,5549,5710,55947,56301.0,6600300.0
2014-10-20,5709,5810,5562,5784,38497,57027.0,6600300.0
2014-10-21,5816,5816,5576,5623,27629,55443.0,6600300.0
2014-10-22,5629,5830,5562,5636,48297,55575.0,6600300.0
2014-10-23,5636,5750,5488,5489,30666,54122.0,6600300.0
2014-10-24,5488,5502,5234,5255,30522,51812.0,6600300.0
2014-10-27,5248,5622,5114,5589,52753,55113.0,6600300.0
2014-10-28,5790,5883,5288,5409,143117,53330.0,6600300.0
2014-10-29,5482,5482,5087,5087,105771,50162.0,6600300.0
2014-10-30,5160,5187,4886,4940,70362,48710.0,6600300.0
2014-10-31,4920,5013,4672,4773,134056,47060.0,6600300.0
2014-11-03,4772,4799,4464,4505,83879,44420.0,6600300.0
2014-11-04,4551,5147,4551,4920,143746,48512.0,6600300.0
2014-11-05,4953,4986,4571,4572,158475,45080.0,6600300.0
2014-11-06,4585,4712,4431,4686,120779,46202.0,6600300.0
2014-11-07,4638,5100,4612,5040,123516,49700.0,6600300.0
2014-11-10,5107,5321,5080,5221,96791,51482.0,6600300.0
2014-11-11,5261,5281,5033,5061,71754,49898.0,6600300.0
2014-11-12,5060,5174,4973,4980,55577,49106.0,6600300.0
2014-11-13,4993,5288,4980,5228,102287,51548.0,6600300.0
2014-11-14,5227,5248,5020,5034,32757,49634.0,6600300.0
2014-11-17,5080,5087,4652,4692,97645,46268.0,6600300.0
2014-11-18,4946,5047,4806,4826,90221,47588.0,6600300.0
2014-11-19,4853,4886,4672,4733,72116,46664.0,6600300.0
2014-11-20,4792,5087,4752,5007,148362,49370.0,6600300.0
2014-11-21,5047,5207,4960,5014,112504,49436.0,6600300.0
2014-11-24,5107,5120,4920,5014,58055,49436.0,6600300.0
2014-11-25,5288,5388,5140,5389,202673,53132.0,6600300.0
2014-11-26,5422,5455,5254,5362,72780,52868.0,6600300.0
2014-11-27,5415,5596,5361,5422,66371,53462.0,6600300.0
2014-11-28,5475,5589,5422,5422,57894,53462.0,6600300.0
2014-12-01,5428,5475,5154,5208,82863,51350.0,6600300.0
2014-12-02,5187,5288,5134,5268,40484,51944.0,6600300.0
