윌링스(313760),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-07-25,22800,29600,22000,29600,5074308,143915.0,4862000.0
2019-07-26,32100,34100,21400,22500,3620125,109395.0,4862000.0
2019-07-29,23350,23800,19000,19800,859028,96268.0,4862000.0
2019-07-30,19800,20050,16500,16900,654673,82168.0,4862000.0
2019-07-31,16800,21500,16600,18050,3813828,87759.0,4862000.0
2019-08-01,17550,17650,14750,15100,560234,73416.0,4862000.0
2019-08-02,14750,16150,13950,14500,702962,70499.0,4862000.0
2019-08-05,14050,14450,12550,12600,222597,61261.0,4862000.0
2019-08-06,12300,13850,11100,12300,447362,59803.0,4862000.0
2019-08-07,12750,13350,12300,12500,210789,60775.0,4862000.0
2019-08-08,12600,13800,12500,13250,264550,64422.0,4862000.0
2019-08-09,13150,13900,12950,13550,344369,65880.0,4862000.0
2019-08-12,13450,13650,13100,13250,108195,64422.0,4862000.0
2019-08-13,13100,13100,12300,12450,116683,60532.0,4862000.0
2019-08-14,12850,13200,12500,12650,87916,61504.0,4862000.0
2019-08-16,12500,12600,11800,12050,76090,58587.0,4862000.0
2019-08-19,12300,13750,12200,12500,461771,60775.0,4862000.0
2019-08-20,12750,13300,12650,12900,216351,62720.0,4862000.0
2019-08-21,13100,13100,12650,12650,99328,61504.0,4862000.0
2019-08-22,12700,13100,12450,12950,149693,62963.0,4862000.0
2019-08-23,12950,13000,12450,12600,160670,61261.0,4862000.0
2019-08-26,12000,12150,11250,11250,171402,54698.0,4862000.0
2019-08-27,11600,12000,11150,11350,123113,55184.0,4862000.0
2019-08-28,11400,12500,11300,11800,361677,57372.0,4862000.0
2019-08-29,11750,12800,11700,12000,297271,58344.0,4862000.0
2019-08-30,12200,12450,11900,12000,117403,58344.0,4862000.0
2019-09-02,11900,12200,11600,12200,115198,59316.0,4862000.0
2019-09-03,12350,13050,12100,12800,321726,62234.0,4862000.0
2019-09-04,12800,12950,12550,12900,117817,62720.0,4862000.0
2019-09-05,12900,13450,12650,12850,218447,62477.0,4862000.0
2019-09-06,12950,13550,12650,13200,270149,64178.0,4862000.0
2019-09-09,13350,13900,13050,13500,259768,65637.0,4862000.0
2019-09-10,13650,15150,13200,14500,1264235,70499.0,4862000.0
2019-09-11,14650,15850,14150,14350,717469,69770.0,4862000.0
2019-09-16,14650,14950,14200,14250,215012,69284.0,4862000.0
2019-09-17,14300,14300,13600,13700,169796,66609.0,4862000.0
2019-09-18,13700,13900,13550,13900,136252,67582.0,4862000.0
2019-09-19,14400,14450,13700,13700,146048,66609.0,4862000.0
2019-09-20,13650,13950,13450,13750,79418,66852.0,4862000.0
2019-09-23,13750,13750,13150,13300,86508,64665.0,4862000.0
2019-09-24,13200,13500,12900,13100,76367,63692.0,4862000.0
2019-09-25,13200,13200,12200,12200,104236,59316.0,4862000.0
2019-09-26,12400,12450,11850,12150,99373,59073.0,4862000.0
2019-09-27,12400,12650,12100,12300,58709,59803.0,4862000.0
2019-09-30,12300,12600,11800,12600,73330,61261.0,4862000.0
2019-10-01,12600,12600,12100,12250,53301,59560.0,4862000.0
2019-10-02,12200,12200,11800,11900,64037,57858.0,4862000.0
2019-10-04,11750,11900,11650,11750,51016,57128.0,4862000.0
2019-10-07,11800,12000,11350,11450,52396,55670.0,4862000.0
