엘앤케이바이오(156100),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-07-01,9260,9260,9100,9100,19100,37581.0,4129820.0
2013-07-02,0,0,0,9440,0,38986.0,4129820.0
2013-07-03,9440,9440,9440,9440,2000,38986.0,4129820.0
2013-07-04,0,0,0,9440,0,38986.0,4129820.0
2013-07-05,8050,8050,8050,8050,500,33245.0,4129820.0
2013-07-08,0,0,0,8050,0,33245.0,4129820.0
2013-07-09,9240,9240,9240,9240,100,38160.0,4129820.0
2013-07-10,0,0,0,8500,0,35103.0,4129820.0
2013-07-11,9080,9080,9080,9080,100,37499.0,4129820.0
2013-07-12,0,0,0,8400,0,34690.0,4129820.0
2013-07-15,0,0,0,8200,0,33865.0,4129820.0
2013-07-16,9100,9100,9100,9100,200,37581.0,4129820.0
2013-07-17,0,0,0,8200,0,33865.0,4129820.0
2013-07-18,9000,9000,9000,9000,3000,37168.0,4129820.0
2013-07-19,10350,10350,8900,8900,2200,36755.0,4129820.0
2013-07-22,8900,8900,8900,8900,500,36755.0,4129820.0
2013-07-23,8100,8100,8100,8100,1400,33452.0,4129820.0
2013-07-24,0,0,0,8100,0,33452.0,4129820.0
2013-07-25,8100,8100,8100,8100,1000,33452.0,4129820.0
2013-07-26,9190,9190,9190,9190,500,37953.0,4129820.0
2013-07-29,0,0,0,9190,0,37953.0,4129820.0
2013-07-30,9350,9350,9350,9350,100,38614.0,4129820.0
2013-07-31,9500,9500,9500,9500,100,39233.0,4129820.0
2013-08-01,9200,9600,9200,9200,12200,37994.0,4129820.0
2013-08-02,9300,9300,9300,9300,100,38407.0,4129820.0
2013-08-05,9500,9500,9500,9500,100,39233.0,4129820.0
2013-08-06,9500,9500,9500,9500,500,39233.0,4129820.0
2013-08-07,10000,10000,10000,10000,1000,41298.0,4129820.0
2013-08-08,9000,10000,9000,10000,1200,41298.0,4129820.0
2013-08-09,9500,9500,9500,9500,3000,39233.0,4129820.0
2013-08-12,0,0,0,8900,0,36755.0,4129820.0
2013-08-13,9000,9000,9000,9000,600,37168.0,4129820.0
2013-08-14,9200,9200,8500,8500,1300,35103.0,4129820.0
2013-08-16,0,0,0,8500,0,35103.0,4129820.0
2013-08-19,9500,9500,9500,9500,3000,39233.0,4129820.0
2013-08-20,0,0,0,9500,0,39233.0,4129820.0
2013-08-21,10000,10000,10000,10000,200,41298.0,4129820.0
2013-08-22,9500,9500,9500,9500,3000,,
2013-08-23,0,0,0,9500,0,,
2013-08-26,10000,10000,10000,10000,100,41298.0,4129820.0
2013-08-27,10000,10000,10000,10000,100,41298.0,4129820.0
2013-08-28,8500,9500,8500,8510,1300,35145.0,4129820.0
2013-08-29,9500,9500,8100,8100,400,33452.0,4129820.0
2013-08-30,9300,9300,9300,9300,100,38407.0,4129820.0
2013-09-02,9450,9500,8600,9500,1600,39233.0,4129820.0
2013-09-03,0,0,0,9500,0,,
2013-09-04,10200,10200,10200,10200,100,42124.0,4129820.0
2013-09-05,0,0,0,9400,0,38820.0,4129820.0
2013-09-06,0,0,0,9000,0,37168.0,4129820.0
2013-09-09,9500,9500,9500,9500,100,39233.0,4129820.0
2013-09-10,8490,8490,8490,8490,3500,35062.0,4129820.0
2013-09-11,9490,9490,9490,9490,300,39192.0,4129820.0
2013-09-12,0,0,0,8500,0,35103.0,4129820.0
2013-09-13,9490,9490,9490,9490,100,39192.0,4129820.0
2013-09-16,0,0,0,8500,0,,
2013-09-17,9000,9000,9000,9000,100,37168.0,4129820.0
2013-09-23,8700,9500,8700,9500,5900,39233.0,4129820.0
2013-09-24,10000,10000,10000,10000,400,41298.0,4129820.0
2013-09-25,10500,10500,10500,10500,300,43363.0,4129820.0
2013-09-26,8950,8950,8950,8950,200,36962.0,4129820.0
2013-09-27,8200,10000,8200,10000,2000,41298.0,4129820.0
2013-09-30,0,0,0,10000,0,41298.0,4129820.0
2013-10-01,10050,10050,10050,10050,200,41505.0,4129820.0
2013-10-02,9500,9500,9500,9500,500,39233.0,4129820.0
2013-10-04,9000,9000,9000,9000,300,37168.0,4129820.0
2013-10-07,0,0,0,8600,0,35516.0,4129820.0
2013-10-08,0,0,0,8600,0,35516.0,4129820.0
2013-10-10,8500,8600,8500,8600,700,35516.0,4129820.0
2013-10-11,0,0,0,8600,0,,
2013-10-14,0,0,0,8600,0,,
2013-10-15,8600,8600,8600,8600,200,35516.0,4129820.0
2013-10-16,8600,8600,8600,8600,200,,
2013-10-17,8600,8600,8600,8600,100,35516.0,4129820.0
2013-10-18,8600,8600,8600,8600,1800,35516.0,4129820.0
2013-10-21,0,0,0,8600,0,,
2013-10-22,9800,9800,9800,9800,1100,40472.0,4129820.0
2013-10-23,10000,10000,10000,10000,100,41298.0,4129820.0
2013-10-24,9500,9500,9500,9500,1000,39233.0,4129820.0
2013-10-25,0,0,0,9500,0,,
2013-10-28,0,0,0,9000,0,37168.0,4129820.0
2013-10-29,9500,9500,9400,9400,1900,38820.0,4129820.0
2013-10-30,9900,9900,9900,9900,1100,40885.0,4129820.0
2013-10-31,9500,9500,9500,9500,5000,39233.0,4129820.0
2013-11-01,0,0,0,9500,0,,
2013-11-04,9500,9500,9500,9500,5100,39233.0,4129820.0
2013-11-05,9500,9500,9500,9500,800,39233.0,4129820.0
2013-11-06,9500,9500,9500,9500,4200,39233.0,4129820.0
2013-11-07,0,0,0,9500,0,,
2013-11-08,0,0,0,9500,0,,
2013-11-11,0,0,0,9400,0,38820.0,4129820.0
2013-11-12,0,0,0,9400,0,38820.0,4129820.0
2013-11-13,0,0,0,9100,0,37581.0,4129820.0
2013-11-14,9100,9100,9100,9100,5000,37581.0,4129820.0
2013-11-15,0,0,0,9100,0,37581.0,4129820.0
2013-11-18,0,0,0,9100,0,,
2013-11-19,0,0,0,9100,0,,
2013-11-20,0,0,0,9100,0,,
2013-11-21,0,0,0,9100,0,,
2013-11-22,0,0,0,9100,0,,
2013-11-25,0,0,0,9100,0,,
2013-11-26,0,0,0,9100,0,,
2013-11-27,0,0,0,9100,0,,
2013-11-28,9150,9150,9150,9150,5000,37788.0,4129820.0
2013-11-29,0,0,0,9150,0,37788.0,4129820.0
2013-12-02,0,0,0,9150,0,,
2013-12-03,9150,9150,9150,9150,5000,37788.0,4129820.0
2013-12-04,0,0,0,9150,0,,
2013-12-05,0,0,0,9150,0,,
2013-12-06,9150,9150,9150,9150,500,37788.0,4129820.0
2013-12-09,9150,9150,9150,9150,2500,37788.0,4129820.0
2013-12-10,0,0,0,9150,0,,
2013-12-11,9500,9500,9500,9500,100,39233.0,4129820.0
2013-12-12,9500,9500,9500,9500,100,39233.0,4129820.0
2013-12-13,9400,9500,9400,9450,3000,39027.0,4129820.0
2013-12-16,0,0,0,9450,0,39027.0,4129820.0
2013-12-17,9900,9900,9900,9900,100,40885.0,4129820.0
2013-12-18,9500,9700,9500,9650,3100,39853.0,4129820.0
2013-12-19,0,0,0,9650,0,39853.0,4129820.0
2013-12-20,9650,9650,9650,9650,2000,39853.0,4129820.0
2013-12-23,0,0,0,9650,0,,
2013-12-24,0,0,0,9650,0,,
2013-12-26,9500,10000,9500,10000,5100,41298.0,4129820.0
2013-12-27,9650,10000,9650,9900,5200,40885.0,4129820.0
2013-12-30,10200,10200,10200,10200,300,42124.0,4129820.0
2014-01-02,0,0,0,10200,0,42124.0,4129820.0
2014-01-03,0,0,0,10200,0,,
2014-01-06,0,0,0,10200,0,,
2014-01-07,0,0,0,10200,0,,
2014-01-08,0,0,0,10200,0,,
2014-01-09,10050,10050,10050,10050,900,41505.0,4129820.0
2014-01-10,10200,10500,10200,10500,1200,43363.0,4129820.0
2014-01-13,0,0,0,10600,0,43776.0,4129820.0
2014-01-14,0,0,0,10600,0,43776.0,4129820.0
2014-01-15,11000,11000,11000,11000,1000,45428.0,4129820.0
2014-01-16,0,0,0,11000,0,45428.0,4129820.0
2014-01-17,0,0,0,11000,0,,
2014-01-20,0,0,0,11000,0,,
2014-01-21,0,0,0,11000,0,,
2014-01-22,0,0,0,11000,0,,
2014-01-23,11500,11500,11500,11500,100,47493.0,4129820.0
2014-01-24,11500,11500,11500,11500,500,47493.0,4129820.0
2014-01-27,0,0,0,11500,0,47493.0,4129820.0
2014-01-28,0,0,0,11500,0,,
2014-01-29,11000,11000,11000,11000,500,45428.0,4129820.0
2014-02-03,11000,11000,11000,11000,500,45428.0,4129820.0
2014-02-04,11400,11400,11400,11400,100,47080.0,4129820.0
2014-02-05,0,0,0,11400,0,47080.0,4129820.0
2014-02-06,11450,11450,11450,11450,500,47286.0,4129820.0
2014-02-07,11500,11500,11500,11500,2000,47493.0,4129820.0
2014-02-10,11500,11550,11500,11550,2000,47699.0,4129820.0
2014-02-11,0,0,0,11550,0,47699.0,4129820.0
2014-02-12,11600,11600,11600,11600,1000,47906.0,4129820.0
2014-02-13,0,0,0,11600,0,47906.0,4129820.0
2014-02-14,0,0,0,11600,0,,
2014-02-17,11600,11600,11600,11600,300,47906.0,4129820.0
2014-02-18,0,0,0,11600,0,,
2014-02-19,11600,11600,11600,11600,1600,47906.0,4129820.0
2014-02-20,0,0,0,11600,0,,
2014-02-21,0,0,0,11600,0,,
2014-02-24,0,0,0,11600,0,,
2014-02-25,0,0,0,11600,0,,
2014-02-26,0,0,0,11600,0,,
2014-02-27,0,0,0,11600,0,,
2014-02-28,11600,11800,11600,11800,500,48732.0,4129820.0
2014-03-03,11700,11700,11700,11700,200,48319.0,4129820.0
2014-03-04,11700,11700,11700,11700,800,48319.0,4129820.0
2014-03-05,11700,11800,11700,11800,400,48732.0,4129820.0
2014-03-06,11800,12000,11800,11950,2900,49351.0,4129820.0
2014-03-07,11950,11950,11950,11950,100,49351.0,4129820.0
2014-03-10,0,0,0,11950,0,49351.0,4129820.0
2014-03-11,12000,12100,12000,12100,900,49971.0,4129820.0
2014-03-12,0,0,0,12100,0,49971.0,4129820.0
2014-03-13,12150,12150,12150,12150,300,50177.0,4129820.0
2014-03-14,12200,12250,12200,12200,600,50384.0,4129820.0
2014-03-17,0,0,0,12200,0,50384.0,4129820.0
2014-03-18,0,0,0,12200,0,,
2014-03-19,0,0,0,12200,0,,
2014-03-20,0,0,0,12200,0,,
2014-03-21,0,0,0,12200,0,,
2014-03-24,12250,12250,12250,12250,100,50590.0,4129820.0
2014-03-25,0,0,0,12250,0,50590.0,4129820.0
2014-03-26,0,0,0,12250,0,,
2014-03-27,0,0,0,12250,0,,
2014-03-28,0,0,0,12250,0,,
