오이솔루션(138080),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-02-27,15707,18063,15707,18065,773027,119131.0,5179610.0
2014-02-28,20381,20734,15943,16415,3097962,108254.0,5179610.0
2014-03-03,16021,16179,13979,13980,1348363,92197.0,5179610.0
2014-03-04,13665,14176,13076,13313,1033547,87794.0,5179610.0
2014-03-05,13626,13822,13233,13391,674535,88312.0,5179610.0
2014-03-06,13547,13744,12487,12566,796935,82874.0,5179610.0
2014-03-07,12722,13076,12487,13037,466165,85982.0,5179610.0
2014-03-10,13115,13194,12408,12409,314695,81838.0,5179610.0
2014-03-11,12369,14215,12330,13705,1193194,90384.0,5179610.0
2014-03-12,13744,14176,13547,13705,424468,90384.0,5179610.0
2014-03-13,13744,14098,13547,13784,481030,90902.0,5179610.0
2014-03-14,13626,14647,13586,14295,724305,94269.0,5179610.0
2014-03-17,14293,14529,13940,14059,408494,92715.0,5179610.0
2014-03-18,14254,15275,14137,14687,831438,96859.0,5179610.0
2014-03-19,14725,14961,14411,14569,351607,96082.0,5179610.0
2014-03-20,14725,15314,14686,14766,279750,97377.0,5179610.0
2014-03-21,14804,14882,14098,14176,332430,93492.0,5179610.0
2014-03-24,14293,14686,13586,13588,391166,89607.0,5179610.0
2014-03-25,13508,13547,12958,13077,188903,86241.0,5179610.0
2014-03-26,13194,13430,12998,12998,113617,85723.0,5179610.0
2014-03-27,12958,13586,12958,13352,797610,88053.0,5179610.0
2014-03-28,13115,13115,12566,12645,684791,83392.0,5179610.0
2014-03-31,12566,12958,12527,12724,183319,83910.0,5179610.0
2014-04-01,12958,14254,12880,13666,1394756,90125.0,5179610.0
2014-04-02,13626,14215,13430,14020,432889,92456.0,5179610.0
2014-04-03,14097,14137,13665,13666,219469,90125.0,5179610.0
2014-04-04,13705,14804,13586,14255,689824,94010.0,5179610.0
2014-04-07,14176,14647,14057,14255,265750,94010.0,5179610.0
2014-04-08,14254,14372,13744,13784,266929,90902.0,5179610.0
2014-04-09,14057,14922,13901,14766,672793,97377.0,5179610.0
2014-04-10,14529,15393,14529,15159,555123,99966.0,5179610.0
2014-04-11,14804,15118,14725,15119,248079,99707.0,5179610.0
2014-04-14,15040,15550,14882,15198,344974,100225.0,5179610.0
2014-04-15,15314,15628,14843,15394,434082,101520.0,5179610.0
2014-04-16,15550,15707,14843,14883,529846,98154.0,5179610.0
2014-04-17,15040,15118,14411,14648,274583,96600.0,5179610.0
2014-04-18,14686,16060,14686,15669,774586,103333.0,5179610.0
2014-04-21,15747,15747,15275,15472,211054,102038.0,5179610.0
2014-04-22,15747,16218,15433,15708,524659,103592.0,5179610.0
2014-04-23,15825,15904,15433,15511,207071,102297.0,5179610.0
2014-04-24,15550,15825,14765,15159,239779,99966.0,5179610.0
2014-04-25,15157,15236,14804,15001,200470,98931.0,5179610.0
2014-04-28,14922,15197,14843,15079,109877,99449.0,5179610.0
2014-04-29,15079,15157,14176,14176,244701,93492.0,5179610.0
2014-04-30,14254,14450,13273,13666,290360,90125.0,5179610.0
2014-05-02,13744,13862,13586,13705,97501,90384.0,5179610.0
2014-05-07,13705,13705,13037,13037,129440,85982.0,5179610.0
2014-05-08,13312,14215,12958,13902,238229,91679.0,5179610.0
2014-05-09,13901,14372,13744,14137,132992,93233.0,5179610.0
2014-05-12,14018,14529,13979,14412,137543,95046.0,5179610.0
2014-05-13,14529,15236,14176,15159,291177,99966.0,5179610.0
2014-05-14,15433,15550,14804,14962,289986,98672.0,5179610.0
2014-05-15,14882,14961,14098,14137,248600,93233.0,5179610.0
2014-05-16,14529,14804,14333,14373,279106,94787.0,5179610.0
2014-05-19,14529,14569,13744,13784,157980,90902.0,5179610.0
2014-05-20,13744,14098,13273,14098,142393,92974.0,5179610.0
2014-05-21,14057,14686,13901,14412,167315,95046.0,5179610.0
2014-05-22,14450,14765,13940,13941,162273,91938.0,5179610.0
2014-05-23,14057,14293,13783,14059,97086,92715.0,5179610.0
2014-05-26,14215,14215,13744,13744,102536,90643.0,5179610.0
2014-05-27,14057,14529,13901,14216,199727,93751.0,5179610.0
2014-05-28,14137,14293,13901,14098,88537,92974.0,5179610.0
2014-05-29,14098,14450,13979,14373,164103,94787.0,5179610.0
2014-05-30,14411,14608,14176,14334,152155,94528.0,5179610.0
2014-06-02,14411,14489,13665,13744,137868,90643.0,5179610.0
2014-06-03,13586,13822,13154,13627,103120,89866.0,5179610.0
2014-06-05,13508,13744,13037,13117,102575,86499.0,5179610.0
2014-06-09,13115,13351,12408,12802,181456,84428.0,5179610.0
2014-06-10,12801,13154,12762,13077,88485,86241.0,5179610.0
2014-06-11,13430,13705,13076,13117,150012,86499.0,5179610.0
2014-06-12,13194,13862,13154,13627,247415,89866.0,5179610.0
2014-06-13,13626,13705,13312,13588,96363,89607.0,5179610.0
2014-06-16,13705,13940,13390,13391,102707,88312.0,5179610.0
2014-06-17,13508,13940,13430,13941,109811,91938.0,5179610.0
2014-06-18,14057,14569,13822,14373,301959,94787.0,5179610.0
2014-06-19,14293,14411,14018,14176,117374,93492.0,5179610.0
2014-06-20,14608,15118,14254,14255,527139,94010.0,5179610.0
2014-06-23,14176,14333,13273,13391,304352,88312.0,5179610.0
2014-06-24,13233,14098,13194,13744,221894,90643.0,5179610.0
2014-06-25,13744,13979,13547,13823,92976,91161.0,5179610.0
2014-06-26,13901,14725,13901,14530,370863,95823.0,5179610.0
2014-06-27,14647,14882,14450,14687,189513,96859.0,5179610.0
2014-06-30,14647,14961,14411,14883,201012,98154.0,5179610.0
2014-07-01,14804,15118,14725,14883,200783,98154.0,5179610.0
2014-07-02,15236,15314,14961,14962,315437,98672.0,5179610.0
2014-07-03,15040,15236,14647,15159,232678,99966.0,5179610.0
2014-07-04,15157,15668,14961,15472,344095,102038.0,5179610.0
2014-07-07,15747,16021,15511,15747,314233,103851.0,5179610.0
2014-07-08,16021,17867,15982,17004,1398164,112139.0,5179610.0
2014-07-09,17003,17592,16846,17553,464864,115764.0,5179610.0
