하나금융9호스팩(261200),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-06-26,1955,2000,1935,1960,428492,8350.0,4260000.0
2017-06-27,1965,2010,1960,1975,108520,8414.0,4260000.0
2017-06-28,1975,1980,1955,1975,47368,8414.0,4260000.0
2017-06-29,1975,1985,1960,1970,26230,8392.0,4260000.0
2017-06-30,1970,2010,1965,1995,46289,8499.0,4260000.0
2017-07-03,1995,2020,1990,2010,57371,8563.0,4260000.0
2017-07-04,2000,2020,2000,2010,21571,8563.0,4260000.0
2017-07-05,2005,2015,2000,2000,48473,8520.0,4260000.0
2017-07-06,2000,2025,1995,1995,72177,8499.0,4260000.0
2017-07-07,1985,2180,1985,2000,260649,8520.0,4260000.0
2017-07-10,2015,2020,2000,2015,75299,8584.0,4260000.0
2017-07-11,2015,2080,2015,2020,35816,8605.0,4260000.0
2017-07-12,2015,2040,2010,2015,75951,8584.0,4260000.0
2017-07-13,2010,2025,2005,2025,27275,8626.0,4260000.0
2017-07-14,2025,2025,2020,2025,2156,8626.0,4260000.0
2017-07-17,2080,2080,2020,2025,1507,8626.0,4260000.0
2017-07-18,2015,2045,2015,2015,2013,8584.0,4260000.0
2017-07-19,2020,2030,2020,2030,39282,8648.0,4260000.0
2017-07-20,2070,2070,2025,2025,44639,8626.0,4260000.0
2017-07-21,2025,2065,2025,2025,634,8626.0,4260000.0
2017-07-24,2030,2030,2025,2025,21,8626.0,4260000.0
2017-07-25,2015,2080,2015,2030,5527,8648.0,4260000.0
2017-07-26,2020,2040,2020,2020,19445,8605.0,4260000.0
2017-07-27,2020,2090,2020,2020,9778,8605.0,4260000.0
2017-07-28,2040,2045,2025,2025,92,8626.0,4260000.0
2017-07-31,2020,2050,2020,2025,411,8626.0,4260000.0
2017-08-01,2025,2060,2015,2015,34029,8584.0,4260000.0
2017-08-02,2015,2025,2015,2025,999,8626.0,4260000.0
2017-08-03,2015,2045,2010,2015,1793,8584.0,4260000.0
2017-08-04,2015,2015,2015,2015,5111,8584.0,4260000.0
2017-08-07,2050,2050,2050,2050,2700,8733.0,4260000.0
2017-08-08,2120,2120,2005,2070,57204,8818.0,4260000.0
2017-08-09,2070,2075,2020,2030,862,8648.0,4260000.0
2017-08-10,2030,2030,2030,2030,0,8648.0,4260000.0
2017-08-11,2025,2025,2025,2025,0,8626.0,4260000.0
2017-08-14,2090,2090,2090,2090,1,8903.0,4260000.0
2017-08-16,2005,2070,2005,2070,750,8818.0,4260000.0
2017-08-17,2030,2065,2020,2045,3177,8712.0,4260000.0
2017-08-18,2010,2025,2005,2010,42238,8563.0,4260000.0
2017-08-21,2000,2040,2000,2015,1126,8584.0,4260000.0
