유테크(178780),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-06-30,12550,12700,10650,10850,2034643,53331.0,4915300.0
2015-07-01,11450,12250,11200,11900,758472,58492.0,4915300.0
2015-07-02,12150,14450,11700,13300,671026,65373.0,4915300.0
2015-07-03,13750,17250,13600,15200,2283614,74713.0,4915300.0
2015-07-06,15800,16700,14750,15400,667349,75696.0,4915300.0
2015-07-07,15800,16000,14250,15500,249117,76187.0,4915300.0
2015-07-08,15300,16700,14300,15800,476630,77662.0,4915300.0
2015-07-09,15600,16200,14900,16200,210697,79628.0,4915300.0
2015-07-10,16850,17500,15650,15750,294922,77416.0,4915300.0
2015-07-13,16000,16000,15350,15550,108342,76433.0,4915300.0
2015-07-14,15550,15800,14900,14950,144824,75950.0,5080300.0
2015-07-15,15100,15350,14400,14750,139305,74934.0,5080300.0
2015-07-16,14800,16400,14250,15500,307278,78745.0,5080300.0
2015-07-17,16000,16000,14800,15100,128142,76713.0,5080300.0
2015-07-20,15400,15700,14950,15300,87493,77729.0,5080300.0
2015-07-21,15200,15700,15050,15500,69299,78745.0,5080300.0
2015-07-22,15500,15600,15050,15200,80662,77221.0,5080300.0
2015-07-23,15300,15450,15050,15450,49816,78491.0,5080300.0
2015-07-24,15450,15450,14700,14700,88731,74680.0,5080300.0
2015-07-27,14700,14900,13150,13300,324176,67568.0,5080300.0
2015-07-28,13000,14050,13000,13400,94107,68076.0,5080300.0
2015-07-29,13900,13900,13200,13250,43507,67314.0,5080300.0
2015-07-30,14100,16750,13700,14500,863178,73664.0,5080300.0
2015-07-31,14850,16300,14500,15050,388935,76459.0,5080300.0
2015-08-03,14700,15150,13800,14000,139768,71124.0,5080300.0
2015-08-04,13650,14200,13500,14000,135559,71124.0,5080300.0
2015-08-05,13900,13900,13250,13700,139747,69600.0,5080300.0
2015-08-06,13700,14000,13500,13950,77720,70870.0,5080300.0
2015-08-07,13800,14750,13700,14400,119940,73156.0,5080300.0
2015-08-10,14500,14800,14200,14650,123608,74426.0,5080300.0
2015-08-11,14650,14950,13800,13850,173382,70362.0,5080300.0
2015-08-12,13600,13850,12900,13500,109670,68584.0,5080300.0
2015-08-13,13450,13850,13050,13850,65911,70362.0,5080300.0
2015-08-17,13750,14000,13350,13650,66905,69346.0,5080300.0
2015-08-18,13600,13900,12950,13050,78107,66298.0,5080300.0
2015-08-19,12900,13050,11400,12000,173958,60964.0,5080300.0
2015-08-20,11800,12200,11350,11450,67368,58169.0,5080300.0
2015-08-21,10650,11850,10350,11100,147434,56391.0,5080300.0
2015-08-24,10650,11400,10500,10500,85344,53343.0,5080300.0
2015-08-25,10700,11350,10050,11250,111485,57153.0,5080300.0
2015-08-26,11250,11900,11150,11500,90117,58423.0,5080300.0
2015-08-27,11600,11850,11100,11300,76951,57407.0,5080300.0
2015-08-28,11700,11950,11250,11800,97845,59948.0,5080300.0
2015-08-31,11550,12200,11400,11650,95904,59185.0,5080300.0
2015-09-01,11700,11900,11100,11150,88723,56645.0,5080300.0
2015-09-02,10750,11500,10600,11500,62128,58423.0,5080300.0
2015-09-03,11650,12200,11600,11750,101382,59694.0,5080300.0
2015-09-04,11700,11950,10700,10900,169040,55375.0,5080300.0
2015-09-07,10900,11250,10600,10700,52464,54359.0,5080300.0
2015-09-08,10850,11050,10400,11050,73501,56137.0,5080300.0
2015-09-09,11650,13900,11600,13200,1245772,67060.0,5080300.0
2015-09-10,12950,13350,12150,12350,412609,62742.0,5080300.0
2015-09-11,12600,13050,12000,12050,269626,61218.0,5080300.0
2015-09-14,12250,13050,12250,12700,257882,64520.0,5080300.0
2015-09-15,13150,13550,12950,13250,259575,67314.0,5080300.0
2015-09-16,13150,13250,12800,12800,146069,65028.0,5080300.0
2015-09-17,12800,12900,12350,12500,105675,63504.0,5080300.0
2015-09-18,12750,12750,12200,12650,134280,64266.0,5080300.0
2015-09-21,12650,12650,12150,12200,101722,61980.0,5080300.0
2015-09-22,12400,12500,12000,12250,127436,62234.0,5080300.0
2015-09-23,12050,12150,11300,11350,160066,57661.0,5080300.0
2015-09-24,11400,11650,11200,11500,105153,58423.0,5080300.0
2015-09-25,11500,11650,11200,11350,58343,57661.0,5080300.0
2015-09-30,11250,11400,10900,11100,73142,56391.0,5080300.0
2015-10-01,11150,11300,11000,11150,57035,56645.0,5080300.0
2015-10-02,11250,11350,11050,11050,76975,56137.0,5080300.0
2015-10-05,11200,11300,11000,11250,70710,57153.0,5080300.0
2015-10-06,11300,11450,11100,11150,68800,56645.0,5080300.0
2015-10-07,11200,11350,11000,11050,85988,56137.0,5080300.0
2015-10-08,11100,11200,10950,11100,40519,56391.0,5080300.0
2015-10-12,11200,11850,11000,11650,128778,59185.0,5080300.0
2015-10-13,11700,11850,11350,11450,87145,58169.0,5080300.0
2015-10-14,11400,11650,11250,11300,61591,57407.0,5080300.0
2015-10-15,11300,11550,11250,11400,32051,57915.0,5080300.0
2015-10-16,11450,12000,11350,12000,95760,60964.0,5080300.0
2015-10-19,12100,12550,11850,12500,127183,63504.0,5080300.0
2015-10-20,12600,12600,12250,12400,75268,62996.0,5080300.0
2015-10-21,12400,12450,11950,12000,76625,60964.0,5080300.0
2015-10-22,11950,12750,11850,12400,127439,62996.0,5080300.0
2015-10-23,12750,13650,12500,13000,276982,66044.0,5080300.0
2015-10-26,13150,13150,12200,12350,125635,62742.0,5080300.0
2015-10-27,12350,12600,12100,12400,56044,62996.0,5080300.0
2015-10-28,12500,12850,12300,12600,60162,64012.0,5080300.0
2015-10-29,12800,12800,12350,12550,59374,63758.0,5080300.0
2015-10-30,12500,12550,11900,12050,78361,61218.0,5080300.0
2015-11-02,11800,12100,11450,11650,86902,59185.0,5080300.0
2015-11-03,11600,11700,11150,11300,87190,57407.0,5080300.0
2015-11-04,11500,11700,11250,11600,50634,58931.0,5080300.0
2015-11-05,11450,12500,11450,12250,120546,62234.0,5080300.0
2015-11-06,12250,12600,12100,12500,77456,63504.0,5080300.0
2015-11-09,12500,12800,12250,12450,78645,63250.0,5080300.0
2015-11-10,12400,12450,11900,12100,69217,61472.0,5080300.0
2015-11-11,12000,12750,11950,12550,138608,63758.0,5080300.0
2015-11-12,11700,12400,11700,12300,188866,62488.0,5080300.0
2015-11-13,12400,12600,12000,12300,119391,62488.0,5080300.0
2015-11-16,12300,12350,11700,11850,90650,60202.0,5080300.0
2015-11-17,11850,12300,11300,11450,156380,58169.0,5080300.0
2015-11-18,11500,11950,11150,11250,95971,57153.0,5080300.0
2015-11-19,11250,11750,11150,11150,106875,56645.0,5080300.0
2015-11-20,11350,11750,11300,11650,74076,59185.0,5080300.0
2015-11-23,11700,12500,11700,12500,214198,63504.0,5080300.0
2015-11-24,12500,14000,12200,13800,322097,70108.0,5080300.0
2015-11-25,13800,14950,13800,14300,495197,72648.0,5080300.0
2015-11-26,14300,14750,13750,14100,195156,71632.0,5080300.0
2015-11-27,14150,14400,13600,14050,161095,71378.0,5080300.0
2015-11-30,14050,14600,13850,14000,202116,71124.0,5080300.0
2015-12-01,14050,14300,13900,14250,144036,72394.0,5080300.0
2015-12-02,14350,14750,14100,14700,187775,74680.0,5080300.0
2015-12-03,14700,15050,14650,14850,167382,75442.0,5080300.0
2015-12-04,14800,14950,14300,14950,92962,75950.0,5080300.0
2015-12-07,15050,15450,14100,14150,153341,71886.0,5080300.0
2015-12-08,14200,14250,13250,13650,166776,69346.0,5080300.0
2015-12-09,13500,13600,12900,13200,176393,67060.0,5080300.0
2015-12-10,13050,13450,12600,13300,133769,67568.0,5080300.0
2015-12-11,13650,14200,13300,13950,121044,70870.0,5080300.0
2015-12-14,13900,13900,13250,13500,59367,68584.0,5080300.0
2015-12-15,13800,13800,13350,13500,49766,68584.0,5080300.0
2015-12-16,13650,13800,13500,13700,54995,69600.0,5080300.0
2015-12-17,13650,14150,13500,14150,68218,71886.0,5080300.0
2015-12-18,14300,14800,14000,14500,126743,73664.0,5080300.0
2015-12-21,14500,14550,14000,14550,65752,73918.0,5080300.0
2015-12-22,14750,14750,14300,14300,62891,72648.0,5080300.0
2015-12-23,14400,14600,13500,14250,80697,72394.0,5080300.0
2015-12-24,14500,14550,13850,14400,67914,73156.0,5080300.0
2015-12-28,14550,14550,14100,14400,32517,73156.0,5080300.0
2015-12-29,14700,14750,14100,14200,51977,72140.0,5080300.0
2015-12-30,14200,14450,13450,13900,118454,70616.0,5080300.0
2016-01-04,13850,13850,13100,13800,99517,70108.0,5080300.0
2016-01-05,13750,13800,13500,13800,43594,70108.0,5080300.0
2016-01-06,14400,16500,13900,15500,611902,78745.0,5080300.0
2016-01-07,15500,15850,14850,15850,177015,80523.0,5080300.0
2016-01-08,15700,16550,15300,16300,246657,82809.0,5080300.0
2016-01-11,15850,16150,15450,15450,169540,78491.0,5080300.0
2016-01-12,15300,15300,14200,14400,263926,73156.0,5080300.0
2016-01-13,14400,14750,14150,14300,175388,72648.0,5080300.0
2016-01-14,13900,16350,13800,15800,310235,80269.0,5080300.0
2016-01-15,16300,16400,15600,15700,164918,79761.0,5080300.0
2016-01-18,15450,16000,15300,15650,148216,79507.0,5080300.0
2016-01-19,15500,17350,15500,17200,355224,87381.0,5080300.0
2016-01-20,17100,17350,16150,16400,268151,83317.0,5080300.0
2016-01-21,16500,16800,14900,15100,302415,76713.0,5080300.0
2016-01-22,15000,15200,14450,14850,148754,75442.0,5080300.0
2016-01-25,14850,15350,14500,14850,149382,75442.0,5080300.0
2016-01-26,14800,15050,14050,14750,118307,74934.0,5080300.0
2016-01-27,15050,15050,14400,14850,87378,75442.0,5080300.0
2016-01-28,14850,15450,14600,14800,116051,75188.0,5080300.0
2016-01-29,14800,14800,14150,14400,173048,73156.0,5080300.0
2016-02-01,14450,15250,14300,15150,116266,76967.0,5080300.0
2016-02-02,15150,15250,14650,15150,110195,76967.0,5080300.0
2016-02-03,15150,16300,14900,16300,254400,82809.0,5080300.0
2016-02-04,16300,16650,14350,14400,509679,73156.0,5080300.0
2016-02-05,14750,15100,14450,14700,181883,74680.0,5080300.0
2016-02-11,14400,14400,13800,14000,132318,71124.0,5080300.0
2016-02-12,13500,13600,12500,12700,146776,64520.0,5080300.0
2016-02-15,13200,13250,12550,12850,81878,65282.0,5080300.0
2016-02-16,12850,13900,12850,13200,91190,67060.0,5080300.0
2016-02-17,13350,13650,13100,13350,115147,67822.0,5080300.0
2016-02-18,7070,7340,6820,7100,161695,36070.0,5080300.0
2016-02-19,7100,7150,6990,7130,66494,36223.0,5080300.0
2016-02-22,7030,7190,7030,7100,43566,36070.0,5080300.0
2016-02-23,7100,7110,7020,7060,43378,35867.0,5080300.0
2016-02-24,6880,7070,6880,6940,40547,35257.0,5080300.0
2016-02-25,7050,7050,6700,6800,58929,34546.0,5080300.0
2016-02-26,6700,7030,6610,6980,73160,35460.0,5080300.0
2016-02-29,6720,7000,6690,6720,55458,34140.0,5080300.0
2016-03-02,6730,6870,6710,6830,45653,34698.0,5080300.0
2016-03-03,6890,6890,6750,6830,38860,34698.0,5080300.0
2016-03-04,6790,6890,6730,6810,60036,34597.0,5080300.0
2016-03-07,6820,7030,6810,6980,71663,35460.0,5080300.0
2016-03-08,6840,6910,6560,6730,195163,68381.0,10160600.0
2016-03-09,6700,6820,6630,6810,134870,69194.0,10160600.0
2016-03-10,6810,6870,6660,6750,132677,68584.0,10160600.0
2016-03-11,6760,7620,6630,7300,610902,74172.0,10160600.0
2016-03-14,7410,7480,7160,7280,181462,73969.0,10160600.0
2016-03-15,7280,7280,7070,7200,189351,73156.0,10160600.0
2016-03-16,7170,7600,7170,7470,439993,75900.0,10160600.0
2016-03-17,7470,8240,7400,8070,748177,81996.0,10160600.0
2016-03-18,7960,8220,7900,8110,267947,82402.0,10160600.0
2016-03-21,8050,8730,7930,8380,941213,85146.0,10160600.0
2016-03-22,8400,8500,8170,8340,236861,84739.0,10160600.0
2016-03-23,8340,8630,8340,8440,258789,85755.0,10160600.0
2016-03-24,8450,8450,8030,8170,243468,83012.0,10160600.0
2016-03-25,8050,8490,7950,8480,318428,86162.0,10160600.0
2016-03-28,8320,8710,8290,8480,354959,86162.0,10160600.0
2016-03-29,8350,8350,7350,7390,1196642,75087.0,10160600.0
2016-03-30,7500,7900,7420,7600,382631,77221.0,10160600.0
2016-03-31,7870,7870,6730,6810,1323407,69194.0,10160600.0
2016-04-01,6840,6920,6590,6750,323215,68584.0,10160600.0
2016-04-04,6780,6800,6650,6670,127214,67771.0,10160600.0
2016-04-05,6700,6700,6330,6450,302624,65536.0,10160600.0
2016-04-06,6430,6810,6420,6750,220182,68584.0,10160600.0
2016-04-07,6750,6770,6500,6610,153927,67162.0,10160600.0
2016-04-08,6600,6690,6500,6610,100518,67162.0,10160600.0
2016-04-11,6660,6680,6470,6470,96755,65739.0,10160600.0
2016-04-12,6430,6850,6380,6710,235617,68178.0,10160600.0
2016-04-14,6700,6970,6600,6780,216321,68889.0,10160600.0
2016-04-15,6820,6870,6400,6490,235163,65942.0,10160600.0
2016-04-18,6510,6910,6510,6910,356825,70210.0,10160600.0
